ID_question,type,question,question_token,absa_token
3387,Slider-7,"Wie beurteilen Sie diese Aussage: ""Wer sich nichts zuschulden kommen lässt, hat von staatlichen Sicherheitsmassnahmen nichts zu befürchten.""",staatlich sicherheitsmassnahme,sicherheitsmassnahmen
3388,Slider-7,"Wie beurteilen Sie diese Aussage: ""Die Bestrafung Krimineller ist wichtiger als deren Wiedereingliederung in die Gesellschaft.""",bestrafung kriminell wiedereingliederung gesellschaft,kriminell
3389,Slider-7,"Wie beurteilen Sie diese Aussage: ""Für ein Kind ist es am besten, wenn ein Elternteil Vollzeit für die Kinderbetreuung zu Hause bleibt.""",kinderbetreuung,kinderbetreuung
3391,Standard-4,Soll der Bund Ausländer/-innen bei der Integration stärker unterstützen?,ausländer integration,ausländer
3392,Standard-4,Soll der Konsum von Cannabis legalisiert werden?,cannabis,cannabis
3398,Standard-4,Soll die Schweiz das Schengen-Abkommen mit der EU kündigen und wieder verstärkte Personenkontrollen direkt an der Grenze einführen?,schengen personenkontrollen,schengen
3399,Slider-7,"Wie beurteilen Sie diese Aussage: ""Vermögende sollen sich stärker an der Finanzierung des Staates beteiligen.""",vermögend finanzierung staat,vermögende
3412,Standard-4,Befürworten Sie eine Erhöhung des Rentenalters (z.B. auf 67 Jahre)?,rentenalter,rentenalter
3413,Standard-4,Soll der Staat die Schaffung von familienergänzenden Betreuungsstrukturen finanziell stärker unterstützen?,familienergänzend betreuungsstruktur finanziell,familienergänzend
3414,Standard-4,Eine Initiative fordert einen bezahlten Vaterschaftsurlaub von vier Wochen. Befürworten Sie dieses Anliegen?,vaterschaftsurlaub,vaterschaftsurlaub
3415,Standard-4,Sollen die Renten der Pensionskasse durch eine Senkung des Umwandlungssatzes gekürzt und an die gestiegene Lebenserwartung angepasst werden?,rente pensionskasse,rente
3416,Standard-4,Befürworten Sie Bestrebungen in den Kantonen zur Senkung der Sozialhilfeleistungen?,sozialhilfeleistung,sozialhilfeleistung
3417,Standard-4,Soll der Bund den gemeinnützigen Wohnungsbau verstärkt fördern?,wohnungsbau,wohnungsbau
3418,Standard-4,Sollen sich die Versicherten stärker an den Gesundheitskosten beteiligen (z.B. Erhöhung der Mindestfranchise)?,gesundheitskosten franchise,gesundheitskosten
3419,Standard-4,Würden Sie die Einführung der Widerspruchslösung bei der Organspende befürworten?,organspende,organspende
3420,Standard-4,Soll für Kinder eine Impfpflicht gemäss dem Schweizerischen Impfplan eingeführt werden?,impfpflicht impfplan,impfpflicht
3421,Standard-4,"Eine Initiative fordert, dass die Prämienverbilligung so ausgestaltet wird, dass niemand mehr als zehn Prozent des verfügbaren Einkommens für die Krankenkassenprämien aufwenden muss. Befürworten Sie dies?",prämienverbilligung krankenkassenprämien,prämienverbilligung
3422,Standard-4,"Eine Initiative möchte dem Bund mehr Kompetenzen geben, um Massnahmen zur Senkung der Gesundheitskosten zu ergreifen (Einführung einer Kostenbremse). Befürworten Sie dies?",massnahme gesundheitskosten kostenbremse,gesundheitskosten
3423,Standard-4,Soll sich der Staat stärker für gleiche Bildungschancen einsetzen (z.B. mit Nachhilfe-Gutscheinen für Schüler/-innen aus Familien mit geringem Einkommen)?,bildungschance nachhilfe-gutschein,bildungschance
3424,Standard-4,"Finden Sie es richtig, wenn Schulen Dispense aus religiösen Gründen für einzelne Fächer oder Veranstaltungen bewilligen (z.B. Sport- oder Sexualkundeunterricht)?",schulen dispens religiös,religiös
3425,Standard-4,Soll der Bund die finanzielle Unterstützung für die berufliche Weiterbildung und Umschulung ausbauen?,finanzielle Unterstützung weiterbildung,unterstützung
3426,Standard-4,Gemäss dem Konzept der integrativen Schule werden Kinder mit Lernschwierigkeiten oder Behinderungen grundsätzlich in regulären Schulklassen unterrichtet. Befürworten Sie dies?,lernschwierigkeit behinderung schulklasse unterricht,lernschwierigkeit
3427,Standard-4,"Sollen Ausländer/-innen, die seit mindestens zehn Jahren in der Schweiz leben, das Stimm- und Wahlrecht auf Gemeindeebene erhalten?",ausländer stimmrecht wahlrecht,recht
3428,Standard-4,Ist die Begrenzung der Einwanderung für Sie wichtiger als der Erhalt der Bilateralen Verträge mit der EU?,einwanderung bilateral verträge eu,einwanderung
3429,Standard-4,Sollen Sans-Papiers einfacher einen geregelten Aufenthaltsstatus erhalten?,sans-papier aufenthaltsstatus,aufenthaltsstatus
3430,Standard-4,Befürworten Sie eine weitere Verschärfung des Asylrechts?,asylrecht,asylrecht
3431,Standard-4,Sollen die Anforderungen für Einbürgerungen erhöht werden?,einbürgerung,einbürgerung
3432,Standard-4,Sollen gleichgeschlechtliche Paare in allen Bereichen die gleichen Rechte wie heterosexuelle Paare haben?,gleichgeschlechtlich paar rechte heterosexuell,gleichgeschlechtlich
