answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,sentiment_tb
100.0,100.0,86.0,0.7,neutral,RT @michaelbaumer: Seit 1954 eine starke Partnerschaft zwischen der Stadt Zürich mit @ewz_energie und dem Bergell für erneuerbare Energie m…,seit starke partnerschaft stadt zürich bergell erneuerbare energie m,"{'Seit': 0.24, '1954': 0, 'eine': 0, 'starke': 0, 'Partnerschaft': 0.38, 'zwischen': 0.18, 'der': 0.09, 'Stadt': 0.08, 'Zürich': 0, 'mit': 0.86, 'und': 0.1, 'dem': 0.09, 'Bergell': 0.16, 'für': 0.16, 'erneuerbare': 0.25, 'Energie': 0.2, 'm': 0, '…': 0}",positive,"[0.0051116613, 0.0016252797, 0.99326307]",,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @ICTswitzerland: E-Voting-Systeme im Härtetest und AHV-Nummer als Personenidentifikator? Diese und weitere ICT-relevante Vorstösse stehe…,e voting systeme härten ahv nummer personenidentifikator weit ict relevante vorstösse stehen,,,,"{'E-Voting-Systeme': 0.5, 'im': 0, 'Härtetest': 0.12, 'und': 0.32, 'AHV-Nummer': 0.115, 'als': 0.21, 'Personenidentifikator': 0.45, 'Diese': 0, 'weitere': 0, 'ICT-relevante': 0, 'Vorstösse': 0, 'stehe': 0, '…': 0}",neutral,"[0.7770613, 0.17120937, 0.051729362]",,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @merzthurgau: Desinformation, Polarisierung und Populismus sieht @EdithGraf als zentrale Risiken im Bereich „Digitalisierung und Politik…",desinformation polarisierung populismus sehen zentrale risiken bereich digitalisierung politik,,,,,,,"{'Desinformation': 0.11, 'Polarisierung': 0.11, 'und': 0, 'Populismus': 0.13, 'sieht': 0.16, 'als': 0.1, 'zentrale': 0.14, 'Risiken': 0.2, 'im': 0, 'Bereich': 0.44, '„': 0, 'Digitalisierung': 0, 'Politik': 0, '…': 0}",positive,"[0.2737341, 0.064739525, 0.6615264]",,,,neutral
50.0,75.0,57.0,0.0,neutral,#Digitalisierung #Foederalismus@parldigi @Bundeskanzlei @efd_dff @EdithGraf https://t.co/pXTLuxMtTV,digitalisierung foederalismus,,,,,,,"{'Digitalisierung': 0, 'Foederalismus': 0.36}",neutral,"[0.54623854, 0.015139029, 0.43862247]",,,,neutral
100.0,100.0,86.0,0.7,neutral,"RT @taswiss: «Nur eine Demokratie, die sich verändert, 
bleibt eine lebendige Demokratie»
Die Studien zum Projekt «Digitalisierung und Demo…",demokratie verändern bleiben lebendig demokratie studien projekt digitalisierung demo,,,,,,,"{'«': 0, 'Nur': 0, 'eine': 0, 'Demokratie': 0, 'die': 0, 'sich': 0, 'verändert': 0, 'bleibt': 0, 'lebendige': 0, '»': 0, 'Die': 0, 'Studien': 0, 'zum': 0, 'Projekt': 0, 'Digitalisierung': 0, 'und': 0, 'Demo': 0, '…': 0}",neutral,"[0.81856215, 0.014158924, 0.1672789]",,,,positive
100.0,100.0,86.0,0.7,neutral,RT @s_sommaruga: #5G-Technologie und Digitalisierung voranbringen und gleichzeitig die Bevölkerung vor Strahlung schützen – dafür haben wir…,g technologie digitalisierung voranbringen gleichzeitig bevölkerung strahlung schützen dafür,,,,,,,"{'5G-Technologie': 0, 'und': 1.0, 'Digitalisierung': 0, 'voranbringen': 0, 'gleichzeitig': 0, 'die': 0.05, 'Bevölkerung': 0.05, 'vor': 0, 'Strahlung': 0.1, 'schützen': 0, '–': 0, 'dafür': 0, 'haben': 0, 'wir': 0, '…': 0}",positive,"[0.0029601722, 0.0014247437, 0.9956151]",,,,positive
100.0,100.0,86.0,0.7,neutral,Danke @ekf_cfqf für euer wichtiges gesellschaftspolitische Engagement #Digitalisierung #Gleichstellung https://t.co/xNsnCR4hMY,danke wichtig gesellschaftspolitische engagement digitalisierung gleichstellung,,,,,,,"{'Danke': 0.185, 'für': 0.13, 'euer': 0.13, 'wichtiges': 0.27, 'gesellschaftspolitische': 0, 'Engagement': 0, 'Digitalisierung': 0, 'Gleichstellung': 0.34}",positive,"[0.26016584, 0.028774932, 0.7110592]",,,,positive
100.0,100.0,100.0,1.0,neutral,⁦@parldigi⁩ ⁦@UZH_dsi⁩ bieten Veranstaltungsreihe zu relevanten Themen der Digitalisierung für ⁦@ParlCH⁩. Freue mich dabei zu sein! https://t.co/g89ftCOvrq,bieten veranstaltungsreihe relevant themen digitalisierung freuen dabei,,,,,,,"{'\u2066\u2069': 0, 'bieten': 0, 'Veranstaltungsreihe': 0, 'zu': 0, 'relevanten': 0, 'Themen': 0, 'der': 0, 'Digitalisierung': 0, 'für': 0, '\u2066\u2069.': 0, 'Freue': 0, 'mich': 0, 'dabei': 0, 'sein': 0}",positive,"[0.00905054, 0.0014992354, 0.98945016]",,,,positive
100.0,100.0,100.0,0.85,neutral,RT @FredrichBettina: Warum wir uns für die Digitalisierung interessieren müssen! Spannende Beiträge und Interviews im neusten Frauenfragen…,warum digitalisierung interessieren müssen spannend beiträge interviews neu frauenfragen,,,,,,,"{'Warum': 0.53, 'wir': 0, 'uns': 0, 'für': 0, 'die': 0.06, 'Digitalisierung': 0, 'interessieren': 1.0, 'müssen': 0.23, 'Spannende': 0.19, 'Beiträge': 0, 'und': 0.09, 'Interviews': 0.14, 'im': 0, 'neusten': 0, 'Frauenfragen': 0.08, '…': 0}",positive,"[0.0019165567, 0.0017640581, 0.9963194]",,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @BaGysi: Digitalisierung: Chancen für Zukunft im Gesundheitswesen nutzen, Regelungen treffen Digitalisierungsvorstösse der @spschweiz gu…",digitalisierung chancen zukunft gesundheitswesen nutzen regelungen treffen digitalisierungsvorstösse gu,,,,,,,"{'Digitalisierung': 0, 'Chancen': 0.44, 'für': 0.11, 'Zukunft': 0.14, 'im': 0, 'Gesundheitswesen': 0.03, 'nutzen': 0.54, 'Regelungen': 0.16, 'treffen': 0, 'Digitalisierungsvorstösse': 0.08, 'der': 0.04, 'gu': 0.04, '…': 0}",positive,"[0.3923739, 0.07758373, 0.53004235]",,,,neutral
