answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,RT @BernhardGuhl: @YvonneBuergin @JCVPSchweiz Also nur um es klarzustellen: Eine automatische Anpassung von Rentenalter an die Lebenserwart…,klarstellen automatische anpassung rentenalter lebenserwart,"{'Also': 0, 'nur': 0, 'um': 0, 'es': 0, 'klarzustellen': 0.18, 'Eine': 0, 'automatische': 1.0, 'Anpassung': 1.0, 'von': 0, 'Rentenalter': 0.22999999999999998, 'an': 0.42, 'die': 0, 'Lebenserwart': 0.27, '…': 0}",positive,"[0.22693606, 0.2004188, 0.57264507]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @RentenreformJa: «Ja zu Rentenalter 65. Ja zu Umwandlungssatz 6.0. Ja zur Flexibilisierung. Ja zur Verbesserung bei Teilzeitarbeit. Ja z…,ja rentenalter ja umwandlungssatz ja flexibilisierung ja verbesserung teilzeitarbeit ja z,"{'«': 0, 'Ja': 0, 'zu': 0, 'Rentenalter': 0, '65.': 0, 'Umwandlungssatz': 0, '6.0.': 0, 'zur': 0, 'Flexibilisierung': 0, 'Verbesserung': 0, 'bei': 0, 'Teilzeitarbeit': 0, 'z': 0, '…': 0}",positive,"[0.0044795056, 0.0023372415, 0.9931832]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @maya_bally: Im 2014 war Parlament der Meinung, 3 J Wartefrist für Einbürgerung genüge, wenn Sozialhilfe bezogen wurde. Im 2018 will Meh…",parlament meinung j wartefrist einbürgerung genügen sozialhilfe beziehen meh,,,,"{'Im': 0, '2014': 0, 'war': 0, 'Parlament': 0.06, 'der': 0.02, 'Meinung': 0.16, '3': 0, 'J': 0, 'Wartefrist': 0.04, 'für': 0.09, 'Einbürgerung': 0.28, 'genüge': 0, 'wenn': 0.07, 'Sozialhilfe': 0.05, 'bezogen': 0, 'wurde': 0, '2018': 0, 'will': 0, 'Meh': 0.31, '…': 0}",neutral,"[0.5319629, 0.009090368, 0.45894682]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @beatflach: #ErleichtereEinbürgerung Sieben Jungparteien im #Aargau sagen JA! #Abst17 https://t.co/JAUCb1k2JS,erleichtereeinbürgerung sieben jungparteien aargau sagen ja abst17,,,,"{'ErleichtereEinbürgerung': 1.0, 'Sieben': 0.3, 'Jungparteien': 0.1, 'im': 0, 'Aargau': 0.16, 'sagen': 0.09, 'JA': 0, 'Abst17': 0.17}",positive,"[0.0017895594, 0.0017910175, 0.9964194]",,,,,,,,,,,,,neutral
0.0,0.0,0.0,-0.85,negative,"RT @BernhardGuhl: SIK-S duldet, dass die Schweiz #Kriegsmaterial in #Bürgerkriegsländer exportiert. Ich bin schwer enttäuscht. Für ein paar…",sik s dulden schweiz kriegsmaterial bürgerkriegsländer exportieren schwer enttäuschen paar,,,,,,,"{'SIK-S': 0, 'duldet': 0.15, 'dass': 0, 'die': 0, 'Schweiz': 0.09, 'Kriegsmaterial': 0.085, 'in': 0, 'Bürgerkriegsländer': 0.042499999999999996, 'exportiert': 0, 'Ich': 0.22, 'bin': 0, 'schwer': 0, 'enttäuscht': 1.0, 'Für': 0.2, 'ein': 0, 'paar': 0, '…': 0}",positive,"[0.15917286, 0.20055588, 0.64027125]",,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,RT @LandoltMartin: Die @BDPSchweiz verlangt mehr Demokratie bei den Bewilligungskriterien für Kriegsmaterialexporte. Damit müssten Änderung…,verlangen mehr demokratie bewilligungskriterien kriegsmaterialexporte müssten änderung,,,,,,,"{'Die': 0.11, 'verlangt': 0, 'mehr': 0.11, 'Demokratie': 0.29, 'bei': 0, 'den': 0.11, 'Bewilligungskriterien': 0.29500000000000004, 'für': 0.4, 'Kriegsmaterialexporte': 0.8275, 'Damit': 0.11, 'müssten': 0.09, 'Änderung': 0, '…': 0}",neutral,"[0.61061275, 0.037349936, 0.35203728]",,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @BernhardGuhl: Es wäre ein Affront gegenüber jedem Kriegsopfer und -Flüchtling, wenn der #Bundesrat die #Kriegsmaterialausfuhr in Kriegs…",affront gegenüber jed kriegsopfer flüchtling bundesrat kriegsmaterialausfuhr kriegs,,,,,,,"{'Es': 0, 'wäre': 0.04, 'ein': 0, 'Affront': 0.11, 'gegenüber': 0.06, 'jedem': 0, 'Kriegsopfer': 0.23, 'und': 0.04, '-Flüchtling': 0, 'wenn': 0.65, 'der': 1.0, 'Bundesrat': 0, 'die': 1.0, 'Kriegsmaterialausfuhr': 0.3725, 'in': 0.33, 'Kriegs': 0.23, '…': 0}",neutral,"[0.902283, 0.035788056, 0.06192896]",,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,RT @BernhardGuhl: Die #Medienvielfalt ist enorm wichtig für unsere #Demokratie. Die Digitalisierung verändert die Medienwelt. Es braucht ei…,medienvielfalt enorm wichtig demokratie digitalisierung verändern medienwelt brauchen ei,,,,,,,,,,"{'Die': 0.11, 'Medienvielfalt': 0.18, 'ist': 0.24, 'enorm': 0, 'wichtig': 0.1, 'für': 0.05, 'unsere': 0.07, 'Demokratie': 0.22, 'Digitalisierung': 0, 'verändert': 0, 'die': 0.11, 'Medienwelt': 0.15, 'Es': 0.24, 'braucht': 0, 'ei': 0, '…': 0}",positive,"[0.0066741374, 0.004145936, 0.98917997]",,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @Andres_Marques: Auch beim #Umweltschutz und #Artenschutz gilt: Mehrheitsfähige Lösungen aus der Mitte bringen die #Schweiz weiter und n…,beim umweltschutz artenschutz gelten mehrheitsfähige lösungen mitte bringen schweiz weit n,,,,,,,,,,,,,"{'Auch': 0.35, 'beim': 0.03, 'Umweltschutz': 0.135, 'und': 0.07, 'Artenschutz': 0.115, 'gilt': 0, 'Mehrheitsfähige': 0.05, 'Lösungen': 0.29, 'aus': 0, 'der': 0.03, 'Mitte': 0, 'bringen': 0.14, 'die': 0.03, 'Schweiz': 0.03, 'weiter': 0.06, 'n': 0.06, '…': 0}",neutral,"[0.47953406, 0.0486516, 0.47181433]",,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @AGmur: Nein zur #AAI! Wie soll der Atomausstieg überhaupt je möglich werden, wenn #Umweltschutzverbände jedes Alternativenergie-Projekt…",nein aai atomausstieg überhaupt je möglich umweltschutzverbände jed alternativenergie projekt,,,,,,,,,,,,,"{'Nein': 0.06, 'zur': 0.06, 'AAI': 0.11, 'Wie': 0, 'soll': 0, 'der': 0.06, 'Atomausstieg': 0.14, 'überhaupt': 0, 'je': 0, 'möglich': 0.09, 'werden': 0, 'wenn': 1.0, 'Umweltschutzverbände': 0.47250000000000003, 'jedes': 0, 'Alternativenergie-Projekt': 0.125, '…': 0}",positive,"[0.07852098, 0.020019418, 0.9014596]",,,,neutral
50.0,75.0,57.0,0.0,neutral,@Trinkwasser_ch @wahlforschung0 Da geht ja auch die Autobahn und diverse Züge durch. Kommt nicht alles von der Landwirtschaft.,gehen ja autobahn divers züge kommen landwirtschaft,,,,,,,,,,,,,,,,"{'Da': 0, 'geht': 0, 'ja': 0.16, 'auch': 0, 'die': 0.22, 'Autobahn': 0, 'und': 0.16, 'diverse': 0, 'Züge': 0.27, 'durch': 0.17, 'Kommt': 0, 'nicht': 0, 'alles': 0.33, 'von': 1.0, 'der': 0.22, 'Landwirtschaft': 1.0}",neutral,"[0.95939726, 0.035724733, 0.004877979]",neutral
100.0,100.0,100.0,1.0,neutral,"Ihr könnt immer noch voten für Regula und Markus Hauenstein auf @RadioArgovia od. https://t.co/v31RuVavPJ . Am besten mit dem Natel, Wlan rausnehmen und mit den Mobile Daten.  Publikumspreis 2018 #Aargau #Landwirtschaft https://t.co/T56X8H9jDH",immer voten regula markus hauenstein od gut natel wlan rausnehmen mobil daten publikumspreis aargau landwirtschaft,,,,,,,,,,,,,,,,"{'Ihr': 0, 'könnt': 0.02, 'immer': 0, 'noch': 0.04, 'voten': 0.06, 'für': 0.03, 'Regula': 0, 'und': 0.05, 'Markus': 0.06, 'Hauenstein': 0.1, 'auf': 0.05, 'od': 0, 'Am': 0, 'besten': 0.19, 'mit': 0, 'dem': 0.045, 'Natel': 0, 'Wlan': 0, 'rausnehmen': 0.025, 'den': 0.05, 'Mobile': 0.13, 'Daten': 0.09, 'Publikumspreis': 0.515, '2018': 0, 'Aargau': 0.77, 'Landwirtschaft': 1.0}",positive,"[0.040952846, 0.011291208, 0.947756]",positive
100.0,100.0,100.0,1.0,neutral,"Votet doch bitte unter https://t.co/v31RuVavPJ Aargauer Landwirtschaft für de Markus und Regula Hauenstein-Hess für de Publikumspries 2018 #Landwirtschaft #Aargau @RadioArgovia
Viele Dank.
Markus Hauenstein https://t.co/ZGsH4Vepmn",votet bitte aargauer landwirtschaft de markus regula hauenstein hess de publikumspries landwirtschaft aargau danken markus hauenstein,,,,,,,,,,,,,,,,"{'Votet': 0, 'doch': 0, 'bitte': 0, 'unter': 0.1, 'Aargauer': 0.09, 'Landwirtschaft': 0, 'für': 0.16, 'de': 0, 'Markus': 0.77, 'und': 0.09, 'Regula': 0, 'Hauenstein-Hess': 0, 'Publikumspries': 0, '2018': 0, 'Aargau': 0.23, 'Viele': 0, 'Dank': 0.68, 'Hauenstein': 1.0}",positive,"[0.26804075, 0.10357361, 0.62838566]",positive
