answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3419,absa_sentiment_3419,absa_scores_3419,absa_token_weights_3430,absa_sentiment_3430,absa_scores_3430,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3435,absa_sentiment_3435,absa_scores_3435,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
100.0,100.0,86.0,0.7,neutral,RT @alliance_F: Wichtiger Entscheid: NR stimmt mit 113:80 Stimmen der Vorlage über die Finanzhilfen für familienergänzende Kinderbetreuung…,wichtig entscheid nr stimmen stimmen vorlage finanzhilfen familienergänzende kinderbetreuung,"{'Wichtiger': 0.05, 'Entscheid': 0.07, 'NR': 0, 'stimmt': 0, 'mit': 0, '113:80': 0, 'Stimmen': 0, 'der': 0.14, 'Vorlage': 0, 'über': 0, 'die': 0.14, 'Finanzhilfen': 0, 'für': 1.0, 'familienergänzende': 0.16, 'Kinderbetreuung': 0.95, '…': 0}",neutral,"[0.73629427, 0.04285193, 0.22085379]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
75.0,75.0,71.0,0.35,neutral,"Krankenkassen sollen #Cannabis-Medis zahlen http://t.co/tvy2OS07Hz Legalisieren! Auch als Genussmittel, doch viel mehr als Arznei! #wahlch15",krankenkassen sollen cannabis medis zahlen legalisieren genussmittel mehr arznei wahlch15,,,,"{'Krankenkassen': 0.095, 'sollen': 0.03, 'Cannabis-Medis': 0, 'zahlen': 0, 'Legalisieren': 0.08, 'Auch': 0.04, 'als': 0.04, 'Genussmittel': 0.06, 'doch': 0, 'viel': 0.03, 'mehr': 0.03, 'Arznei': 0, 'wahlch15': 1.0}",positive,"[0.3061187, 0.044333503, 0.64954776]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
25.0,25.0,28.0,-0.3333333333333333,neutral,http://t.co/t15LDCMrYn 14-Jährige koksen. Eine höchst beunruhigende Entwicklung. Dennoch kriminalisieren konservative lieber #Cannabis.,jährige koksen höchst beunruhigend entwicklung dennoch kriminalisieren konservative lieb cannabis,,,,"{'14-Jährige': 0.035, 'koksen': 0.05, 'Eine': 0, 'höchst': 0, 'beunruhigende': 0, 'Entwicklung': 0.07, 'Dennoch': 0, 'kriminalisieren': 1.0, 'konservative': 0, 'lieber': 0, 'Cannabis': 0.29}",neutral,"[0.60201377, 0.04594562, 0.35204053]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,100.0,1.0,neutral,"Der Nationalrat stimmt grossmehrheitlich JA zu ""Cannabis für Schwerkranke"" #SVP mehrheitlich dagegen, #CVP gespalten. #wahlch15 Gut so!",nationalrat stimmen grossmehrheitlich ja cannabis schwerkranke svp mehrheitlich dagegen cvp spalten wahlch15 gut,,,,"{'Der': 0.08, 'Nationalrat': 0.075, 'stimmt': 0, 'grossmehrheitlich': 0.06, 'JA': 0, 'zu': 0.19, 'Cannabis': 1.0, 'für': 0.14, 'Schwerkranke': 0.07, 'SVP': 0, 'mehrheitlich': 0, 'dagegen': 0.08, 'CVP': 0.02, 'gespalten': 0.03, 'wahlch15': 0.05, 'Gut': 0, 'so': 0}",positive,"[0.0028779379, 0.0014660639, 0.995656]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
75.0,75.0,71.0,0.2333333333333333,neutral,"@PhTschopp Ich befürworte eine Angleichung des Rentenalters, doch wenn man sich die Zahlen ansieht, zweifle ich ob das reichen wird.",befürworten angleichung rentenalters zahlen ansehen zweifeln reich,,,,,,,"{'Ich': 0.03, 'befürworte': 0, 'eine': 0, 'Angleichung': 0, 'des': 0, 'Rentenalters': 0.35, 'doch': 0, 'wenn': 0.05, 'man': 0, 'sich': 0, 'die': 0.07, 'Zahlen': 0.33, 'ansieht': 0.05, 'zweifle': 0.07, 'ich': 0.03, 'ob': 0, 'das': 0.06, 'reichen': 0, 'wird': 0.04}",positive,"[0.20094566, 0.007009702, 0.79204464]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @JakobKreu3fe1d: „430 Millionen für Vaterschaftsurlaub ist zu viel“ sagt der Bundesrat. 

9 Milliarden für neue Kampfjets
Jährlich 1,8 M…",millionen vaterschaftsurlaub sagen bundesrat milliarden neue kampfjets jährlich m,,,,,,,,,,"{'„': 0, '430': 0, 'Millionen': 0, 'für': 0, 'Vaterschaftsurlaub': 0, 'ist': 0, 'zu': 0, 'viel': 0, '“': 0, 'sagt': 0, 'der': 0, 'Bundesrat': 0, '9': 0, 'Milliarden': 0, 'neue': 0, 'Kampfjets': 0, 'Jährlich': 0, '1,8': 0, 'M': 0, '…': 0}",negative,"[0.023329955, 0.9311047, 0.045565344]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,Mit der Ablehnung des #Vaterschaftsurlaub verpasst der Bundesrat eine Chance. Die Schweiz bleibt eines der wenigen Länder ohne @papizeit.,ablehnung vaterschaftsurlaub verpasst bundesrat chance schweiz bleiben wenig länder,,,,,,,,,,"{'Mit': 0.15, 'der': 0.03, 'Ablehnung': 0.52, 'des': 0, 'Vaterschaftsurlaub': 0.59, 'verpasst': 0, 'Bundesrat': 0.09, 'eine': 0.03, 'Chance': 0, 'Die': 0.03, 'Schweiz': 0.08, 'bleibt': 0.04, 'eines': 0.03, 'wenigen': 0.03, 'Länder': 0.04, 'ohne': 0.01}",negative,"[0.18669838, 0.52672005, 0.28658152]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
75.0,100.0,86.0,0.5,neutral,"RT @Emei21: 1 Mrd. für #sion2026=Finanzierung für 2,5 Jahre #Vaterschaftsurlaub Nein zu den absurden Prioritäten des #BR 👉🏼 https://t.co/EM…",mrd sion2026 finanzierung jahre vaterschaftsurlaub nein absurd prioritäten br,,,,,,,,,,"{'1': 0, 'Mrd.': 0.07, 'für': 0.11, 'sion2026=Finanzierung': 0.20500000000000002, '2,5': 0, 'Jahre': 0.33, 'Vaterschaftsurlaub': 0.45, 'Nein': 0.29, 'zu': 0.1, 'den': 0.08, 'absurden': 0.29, 'Prioritäten': 0.06, 'des': 0, 'BR': 0.07}",positive,"[0.018261716, 0.037164707, 0.9445736]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
0.0,0.0,0.0,-1.0,negative,Wird wohl vorläufig nix mit dem Vaterschaftsurlaub. Schade. @papizeit #ParlCH,wohl vorläufig nix vaterschaftsurlaub schaden parlch,,,,,,,,,,"{'Wird': 0, 'wohl': 0, 'vorläufig': 0, 'nix': 0, 'mit': 0.11, 'dem': 0.05, 'Vaterschaftsurlaub': 0.345, 'Schade': 0, 'ParlCH': 0.18}",neutral,"[0.48875532, 0.42629248, 0.08495216]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,RT @papizeit: Fakt bleibt: Schweiz = Sonderfall #Vaterschaftsurlaub #OECD Ländervergleich #srfarena http://t.co/utHQFYexJf,fakt bleiben schweiz sonderfall vaterschaftsurlaub oecd ländervergleich srfarena,,,,,,,,,,"{'Fakt': 0.08, 'bleibt': 0.07, 'Schweiz': 0.17, 'Sonderfall': 0.36, 'Vaterschaftsurlaub': 1.0, 'OECD': 0.23, 'Ländervergleich': 0.12, 'srfarena': 0.17}",positive,"[0.08931875, 0.011766611, 0.8989147]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
