answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3415,absa_sentiment_3415,absa_scores_3415,absa_token_weights_3419,absa_sentiment_3419,absa_scores_3419,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3433,absa_sentiment_3433,absa_scores_3433,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3452,absa_sentiment_3452,absa_scores_3452,absa_token_weights_3455,absa_sentiment_3455,absa_scores_3455,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
0.0,0.0,0.0,-1.0,neutral,"@MalcolmOhanwe Dito bei der Ehe für alle, Cannabislegalisierung, seinerzeit dem Frauenstimmrecht, heute Stimmrechtsalter 16, etc.
Nichts davon hat sonderlich viel mit links/rechts zu tun, dennoch wird es von vielen so wahrgenommen.",dito ehe all cannabislegalisierung seinerzeit frauenstimmrecht heute stimmrechtsalter etc davon sonderlich links rechts tun dennoch wahrnehmen,"{'Dito': 0, 'bei': 0.07, 'der': 0, 'Ehe': 0.2, 'für': 0.1, 'alle': 0.08, 'Cannabislegalisierung': 0.89, 'seinerzeit': 0.08, 'dem': 0.02, 'Frauenstimmrecht': 0, 'heute': 0.05, 'Stimmrechtsalter': 0.065, '16': 0, 'etc.': 0, 'Nichts': 0, 'davon': 0.02, 'hat': 0, 'sonderlich': 0, 'viel': 0, 'mit': 0.02, 'links': 0, 'rechts': 0.02, 'zu': 0.02, 'tun': 0.025, 'dennoch': 0.02, 'wird': 0, 'es': 0.02, 'von': 0, 'vielen': 0.02, 'so': 0, 'wahrgenommen': 0.06}",neutral,"[0.56783277, 0.088038586, 0.3441287]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,100.0,0.85,neutral,"@hans_denkt @retolipp Erfolgreiches Lobbying der Landwirtschaft.
Wenn in der Schweiz Cannabis (endlich) legalisiert wird, werden spätestens in der übernächsten Legislatur Subventionen für die Hanf-Bauern gefordert.",erfolgreich lobbying landwirtschaft schweiz cannabis endlich legalisieren spätestens übernächst legislatur subventionen hanf bauern fordern,"{'Erfolgreiches': 1.0, 'Lobbying': 1.0, 'der': 0.03, 'Landwirtschaft': 0.3, 'Wenn': 0.14, 'in': 0.05, 'Schweiz': 0.08, 'Cannabis': 0.13, 'endlich': 0, 'legalisiert': 0.17, 'wird': 0.09, 'werden': 0.09, 'spätestens': 0.04, 'übernächsten': 0.0375, 'Legislatur': 0.09, 'Subventionen': 0.12, 'für': 0.03, 'die': 0.03, 'Hanf-Bauern': 0.045, 'gefordert': 0}",positive,"[0.2897706, 0.038369488, 0.67185986]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'Erfolgreiches': 1.0, 'Lobbying': 1.0, 'der': 0.03, 'Landwirtschaft': 0.44, 'Wenn': 0.11, 'in': 0.04, 'Schweiz': 0.05, 'Cannabis': 0.08, 'endlich': 0, 'legalisiert': 0.13, 'wird': 0.08, 'werden': 0.08, 'spätestens': 0.035, 'übernächsten': 0.0325, 'Legislatur': 0.07, 'Subventionen': 0.1, 'für': 0.03, 'die': 0.03, 'Hanf-Bauern': 0.045, 'gefordert': 0}",positive,"[0.0073658642, 0.0025398615, 0.99009424]",positive
50.0,75.0,57.0,0.0799999999999999,negative,"@WylerDominic Ich bin der grösste linke Verfechter eines höheren Rentenalters den du finden wirst, aber einen Automatismus in die Verfassung schreiben finde ich falsch und undemokratisch. Es besteht bei jeder Anpassung wieder die Wahl zwischen höherem Rentenalter und höheren Beiträgen.",grösste link verfechter hoch rentenalters finden automatismus verfassung schreiben finden falsch undemokratisch bestehen jed anpassung wahl hoch rentenalter hoch beiträgen,,,,"{'Ich': 0.04, 'bin': 0, 'der': 0.03, 'grösste': 0, 'linke': 0.15, 'Verfechter': 0.48, 'eines': 0, 'höheren': 0.46, 'Rentenalters': 0.125, 'den': 0.03, 'du': 0, 'finden': 0.05, 'wirst': 0.05, 'aber': 0.15, 'einen': 0.04, 'Automatismus': 0.17, 'in': 0.04, 'die': 0.03, 'Verfassung': 0.06, 'schreiben': 0, 'finde': 0.05, 'ich': 0.04, 'falsch': 0, 'und': 0.04, 'undemokratisch': 0.17, 'Es': 0.02, 'besteht': 0, 'bei': 0, 'jeder': 0, 'Anpassung': 0.12, 'wieder': 0.03, 'Wahl': 0.09, 'zwischen': 0.07, 'höherem': 0.46, 'Rentenalter': 0.125, 'Beiträgen': 0.07}",positive,"[0.017460397, 0.004691769, 0.97784775]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,25.0,28.0,-0.15,neutral,"@knallfrog @ruediloeffel @ChrSchumi @akf3_5 @moninielsen @nohillside @evppev @bindermichi @real_miffy_1985 @Schmieli @maya_bally @MarcelWaldvogel @rote_Fee @indubioproreto @El_Gageli @mcw_bern @adfichter @oe_simon Ist man gegen Gleichstellung, wenn man gegen ein höheres Rentenalter ist und deshalb Rentenalter 65 für Frauen ablehnt?",gleichstellung hoch rentenalter deshalb rentenalter frauen ablehnen,,,,"{'Ist': 0, 'man': 0, 'gegen': 0.22, 'Gleichstellung': 0.33, 'wenn': 0.38, 'ein': 0, 'höheres': 0.15, 'Rentenalter': 0.105, 'ist': 0, 'und': 0.15, 'deshalb': 0.19, '65': 0, 'für': 0.19, 'Frauen': 0.22, 'ablehnt': 0}",neutral,"[0.70805097, 0.08975956, 0.20218952]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"@Victor_Kadlubo Geht mir auch bei der Erhöhung des Rentenalters ähnlich: Ich würde sie lieber gestalten und Bedingungen setzen, statt sie zu verhindern versuchen, bis sie dann doch kommt, nur dann ohne Gestaltungseinfluss von Links.",gehen erhöhung rentenalters ähnlich lieb gestalten bedingungen setzen statt verhindern versuchen kommen gestaltungseinfluss links,,,,"{'Geht': 0, 'mir': 0.12, 'auch': 0, 'bei': 0, 'der': 0.07, 'Erhöhung': 1.0, 'des': 0.05, 'Rentenalters': 0.765, 'ähnlich': 0.24, 'Ich': 0.15, 'würde': 0.16, 'sie': 0, 'lieber': 0.37, 'gestalten': 0, 'und': 0.06, 'Bedingungen': 0.11, 'setzen': 0.11, 'statt': 0.060000000000000005, 'zu': 0.05, 'verhindern': 0, 'versuchen': 0.05, 'bis': 0.07, 'dann': 0.03, 'doch': 0, 'kommt': 0, 'nur': 0.03, 'ohne': 0.04, 'Gestaltungseinfluss': 0.1, 'von': 0.05, 'Links': 0.14}",negative,"[0.06475786, 0.72970706, 0.20553507]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"@ZStadtfux @the_aeschli Man sollte aber auch die Ursachen für das ""keine Arbeit mehr finden"" anschauen. Diverse Ursachen werden dabei nicht sein ""Du bist X Jahre alt"" sondern ""Du stehst Y Jahre vor der Pensionierung"". Letzteres verschiebt sich mit dem Rentenalter.",sollen ursachen arbeit mehr finden anschauen divers ursachen dabei x jahre alt stehen y jahre pensionierung letzter verschieben rentenalter,,,,"{'Man': 0, 'sollte': 0.01, 'aber': 0.2, 'auch': 0.01, 'die': 0.04, 'Ursachen': 0.08, 'für': 0, 'das': 0, 'keine': 0, 'Arbeit': 0.03, 'mehr': 0, 'finden': 0, 'anschauen': 0.015, 'Diverse': 0, 'werden': 0.03, 'dabei': 0, 'nicht': 0.11, 'sein': 0, 'Du': 0, 'bist': 0.21999999999999997, 'X': 0.05, 'Jahre': 0.48, 'alt': 0, 'sondern': 0.2, 'stehst': 0.29, 'Y': 0.24, 'vor': 1.0, 'der': 0.04, 'Pensionierung': 0.09, 'Letzteres': 0.05500000000000001, 'verschiebt': 0.09, 'sich': 0, 'mit': 0.11, 'dem': 0.04, 'Rentenalter': 0.18}",neutral,"[0.8020564, 0.049602397, 0.1483413]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"@frau_johann @retolipp Oder wenn eine Firma Mitarbeiter will, die min 10J im Unternehmen bleiben, stellt sie wohl niemanden an, der 10J vor dem Rentenalter steht, unabhängig davon, wie hoch oder tief dieses ist.",firma mitarbeiter min 10j unternehmen bleiben stellen wohl niemand 10j rentenalter stehen unabhängig davon hoch tief,,,,"{'Oder': 0.04, 'wenn': 0.02, 'eine': 0, 'Firma': 0.02, 'Mitarbeiter': 0.02, 'will': 0, 'die': 0.02, 'min': 0, '10J': 0, 'im': 0, 'Unternehmen': 0.02, 'bleiben': 0, 'stellt': 0, 'sie': 0, 'wohl': 0, 'niemanden': 0, 'an': 0, 'der': 0.02, 'vor': 1.0, 'dem': 0.02, 'Rentenalter': 0.985, 'steht': 0, 'unabhängig': 0, 'davon': 0.12, 'wie': 0.11, 'hoch': 0.07, 'oder': 0.04, 'tief': 0, 'dieses': 0, 'ist': 0.07}",neutral,"[0.93694234, 0.039063666, 0.023993917]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"@frau_johann @retolipp Man sollte sich aber auch Gedanken machen, welche Gründe dazu führen, dass ältere auf dem Arbeitsmarkt einen schwereren Stand haben und wie sich das Rentenalter auf diese Gründe auswirkt.",sollen gedanken welch gründe fahren alt arbeitsmarkt schwer stehen rentenalter gründe auswirken,,,,"{'Man': 0, 'sollte': 0.03, 'sich': 0, 'aber': 0.04, 'auch': 0.03, 'Gedanken': 0, 'machen': 0, 'welche': 0, 'Gründe': 0.13, 'dazu': 0, 'führen': 0, 'dass': 0, 'ältere': 0.23, 'auf': 0.04, 'dem': 0.44, 'Arbeitsmarkt': 0.14, 'einen': 0.02, 'schwereren': 0, 'Stand': 0, 'haben': 0.03, 'und': 0.08, 'wie': 0.19, 'das': 0, 'Rentenalter': 1.0, 'diese': 0, 'auswirkt': 0.55}",neutral,"[0.67230797, 0.033637278, 0.29405475]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
75.0,75.0,86.0,0.425,negative,"@Angelika_Ruider @CR_Schmid @pbruegger @SandroBrotz @SRF @MFrauchigerSVP @JupiterKallisto @WohlgensingerN @nickglaettli @furkan_s_oguz Ich glaube, ich wäre ein schlechter Moderator, weil ich mitdiskutieren möchte. Da trete ich dann lieber gegen ein paar Parteigspändli für ein höheres Rentenalter an oder sowas.",glauben schlecht moderator mitdiskutieren mögen treten lieb paar parteigspändli hoch rentenalter sowas,,,,"{'Ich': 0.04, 'glaube': 0, 'ich': 0.04, 'wäre': 0.02, 'ein': 0, 'schlechter': 0, 'Moderator': 0.07, 'weil': 0.03, 'mitdiskutieren': 0.06, 'möchte': 0.02, 'Da': 0, 'trete': 0, 'dann': 0.16, 'lieber': 0, 'gegen': 0.23, 'paar': 0, 'Parteigspändli': 0.15, 'für': 0.62, 'höheres': 1.0, 'Rentenalter': 0.925, 'an': 0, 'oder': 0.25, 'sowas': 0}",neutral,"[0.77717125, 0.020592732, 0.20223598]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,negative,"@CR_Schmid @dahinden_urs @hans_denkt Naja, das einzige was nicht frei einteilbar ist, ist der Mutterschaftsurlaub. Ich glaube nicht, dass die 14 Wochen (resp. 12 Wochen Differenz zum Vaterschaftsurlaub) das Problem sind.
Das eigentliche Problem kommt bei der Aufteilung in den Jahren danach.",naja einzig frei einteilbar mutterschaftsurlaub glauben wochen resp wochen differenz vaterschaftsurlaub problem eigentlich problem kommen aufteilung jahren danach,,,,,,,"{'Naja': 0.23, 'das': 0.03, 'einzige': 0.49, 'was': 0, 'nicht': 0, 'frei': 0, 'einteilbar': 0, 'ist': 1.0, 'der': 0.03, 'Mutterschaftsurlaub': 0.2, 'Ich': 0.05, 'glaube': 0, 'dass': 0.03, 'die': 0.03, '14': 0, 'Wochen': 0.02, 'resp': 0, '12': 0, 'Differenz': 0.1, 'zum': 0.03, 'Vaterschaftsurlaub': 0.03, 'Problem': 0.07, 'sind': 0.09, 'Das': 0.03, 'eigentliche': 0, 'kommt': 0.05, 'bei': 0, 'Aufteilung': 0, 'in': 0.04, 'den': 0.03, 'Jahren': 0.15, 'danach': 0.04}",neutral,"[0.47011667, 0.220917, 0.3089663]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
