answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3391,absa_sentiment_3391,absa_scores_3391,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3418,absa_sentiment_3418,absa_scores_3418,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3438,absa_sentiment_3438,absa_scores_3438,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
0.0,0.0,0.0,-1.0,negative,"@bglaettli @GrueneCH Was soll der Mehrwert sein?
Der letzte Schritt der Integration ist die Einbürgerung. Das Ausländer auch über Verteidigungsfragen entscheiden könnten ist mehr als nur verwerflich.",mehrwert letzte schritt integration einbürgerung ausländer verteidigungsfragen entscheiden mehr verwerflich,"{'Was': 0, 'soll': 0, 'der': 0.07, 'Mehrwert': 0.07, 'sein': 0, 'Der': 0.07, 'letzte': 0.06, 'Schritt': 0.1, 'Integration': 0.34, 'ist': 0.34, 'die': 0.07, 'Einbürgerung': 0.4, 'Das': 0.07, 'Ausländer': 1.0, 'auch': 0.36, 'über': 0, 'Verteidigungsfragen': 0.315, 'entscheiden': 0.47, 'könnten': 0, 'mehr': 0.08, 'als': 0, 'nur': 0, 'verwerflich': 0.3}",neutral,"[0.60030925, 0.11801466, 0.28167608]",,,,,,,,,,"{'Was': 0, 'soll': 0, 'der': 0.17, 'Mehrwert': 0.07, 'sein': 0, 'Der': 0.17, 'letzte': 0.34, 'Schritt': 0.54, 'Integration': 0.34, 'ist': 0.15, 'die': 0.17, 'Einbürgerung': 1.0, 'Das': 0.17, 'Ausländer': 0.08, 'auch': 0.04, 'über': 0, 'Verteidigungsfragen': 0.04, 'entscheiden': 0.07, 'könnten': 0, 'mehr': 0.07, 'als': 0, 'nur': 0, 'verwerflich': 0.14}",positive,"[0.09732745, 0.008395905, 0.8942766]",,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"@RonjaJansen Ihr bietet aber auch 0 Hand für eine schrittweise Lösung.
Der 1. und wichtigste Schritt wäre die Entpolitisierung des Rentenalters. Man sollte in erster Linie über die ∅, an die Lebenserwartung gekoppelte, Rentendauer und nicht über das Rentenalter diskutieren.
1/2",bieten hand schrittweise lösung wichtigste schritt entpolitisierung rentenalters sollen erst linie lebenserwartung gekoppelt rentendauer rentenalter diskutieren,,,,"{'Ihr': 0, 'bietet': 0, 'aber': 0.02, 'auch': 0.02, '0': 0, 'Hand': 0.02, 'für': 0.02, 'eine': 0.02, 'schrittweise': 0, 'Lösung': 0.03, 'Der': 0.02, '1.': 0, 'und': 0, 'wichtigste': 0.025, 'Schritt': 0.1, 'wäre': 0.05, 'die': 0, 'Entpolitisierung': 1.0, 'des': 0, 'Rentenalters': 0.025, 'Man': 0, 'sollte': 0.02, 'in': 0, 'erster': 0.02, 'Linie': 0, 'über': 0, '∅': 0, 'an': 0, 'Lebenserwartung': 0, 'gekoppelte': 0, 'Rentendauer': 0, 'nicht': 0, 'das': 0, 'Rentenalter': 0, 'diskutieren': 0, '1': 0, '2': 0}",neutral,"[0.9132634, 0.074729525, 0.012007076]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"RT @JCVPSchweiz: Heute diskutiert der Nationalrat über den #Vaterschaftsurlaub. Wir hoffen, dass er mit dem Vorschlag der @CVP_PDC einem zw…",heute diskutieren nationalrat vaterschaftsurlaub hoffen vorschlag zw,,,,,,,"{'Heute': 0.16, 'diskutiert': 0, 'der': 0.06, 'Nationalrat': 0.22, 'über': 0, 'den': 0.06, 'Vaterschaftsurlaub': 0.51, 'Wir': 0.11, 'hoffen': 0.15, 'dass': 0.11, 'er': 0.13, 'mit': 0.05, 'dem': 0.06, 'Vorschlag': 0.23, 'einem': 0.05, 'zw': 0, '…': 0}",neutral,"[0.9058202, 0.012259392, 0.08192037]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,"Philomena Kollateralschaden wür besser passe, nämed ihre de Schnapps weg! 

CSS-Chefin Philomena Colatrella präsentiert ihre Radikalkur für tiefere Gesundheitskosten: «Mindestfranchise von 10'000 Franken!» via @Blickch https://t.co/HWlmuE2Duw",philomena kollateralschaden wür gut passe nämed de schnapps css chefin philomena colatrella präsentieren radikalkur tief gesundheitskosten mindestfranchise franken via,,,,,,,,,,"{'Philomena': 0.04, 'Kollateralschaden': 0.04, 'wür': 0.02, 'besser': 0.01, 'passe': 0, 'nämed': 0, 'ihre': 0, 'de': 0, 'Schnapps': 0.04, 'weg': 0, 'CSS-Chefin': 0, 'Colatrella': 0.06, 'präsentiert': 0.12, 'Radikalkur': 0.1, 'für': 0.45, 'tiefere': 0, 'Gesundheitskosten': 0.69, '«': 0, 'Mindestfranchise': 0, 'von': 0, ""10'000"": 0, 'Franken': 0, '»': 0, 'via': 0}",positive,"[0.06406699, 0.23402262, 0.70191044]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"@FrankiTheTank1 Das hat doch nichts mit konservativ zu tun.
Ausländerstimmrecht ist der falsche Weg!
Wenn wir scho darüber sprechen, dann wäre es sinnvoller über einheitliche Regeln zur Einbürgerung zu diskutieren.",konservativ tun ausländerstimmrecht falsch scho darüber sprechen sinnvoll einheitliche regeln einbürgerung diskutieren,,,,,,,,,,,,,"{'Das': 0.05, 'hat': 0, 'doch': 0, 'nichts': 0.02, 'mit': 0.03, 'konservativ': 0.1, 'zu': 0.06, 'tun': 0.04, 'Ausländerstimmrecht': 0.255, 'ist': 0.05, 'der': 0.05, 'falsche': 0.08, 'Weg': 0, 'Wenn': 0, 'wir': 0, 'scho': 0.03, 'darüber': 0.045, 'sprechen': 0.06, 'dann': 0.03, 'wäre': 0.04, 'es': 0.05, 'sinnvoller': 0.1, 'über': 0, 'einheitliche': 0, 'Regeln': 1.0, 'zur': 0.055, 'Einbürgerung': 1.0, 'diskutieren': 0}",neutral,"[0.8704122, 0.04538023, 0.08420752]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"@bglaettli @GrueneCH Nicht ganz das Gleiche und aus dem Kontext gerissen.

""No taxation without representation"" gehört zur Revolution, weil die Kolonien von fremden Herrschern kontrolliert und Fremdbestimmt wurden, ohne Möglichkeit mitzubestimmen.

In der CH gibt es die Möglichkeit der Einbürgerung.",ganz gleich kontext reißen no taxation without representation hören revolution kolonien fremd herrschern kontrollieren fremdbestimmt möglichkeit mitbestimmen ch geben möglichkeit einbürgerung,,,,,,,,,,,,,"{'Nicht': 0.03, 'ganz': 0, 'das': 0, 'Gleiche': 0.03, 'und': 0.03, 'aus': 0.02, 'dem': 0.24, 'Kontext': 0.04, 'gerissen': 0, 'No': 0.03, 'taxation': 0.04, 'without': 0.08, 'representation': 0.06, 'gehört': 0, 'zur': 0.24, 'Revolution': 0.06, 'weil': 0.06, 'die': 0.24, 'Kolonien': 0.03, 'von': 0, 'fremden': 0, 'Herrschern': 0.03, 'kontrolliert': 0.04, 'Fremdbestimmt': 0.06, 'wurden': 0, 'ohne': 0.08, 'Möglichkeit': 0, 'mitzubestimmen': 0.035, 'In': 0.08, 'der': 0.24, 'CH': 0.06, 'gibt': 0, 'es': 0.25, 'Einbürgerung': 1.0}",positive,"[0.009564983, 0.001385445, 0.98904955]",,,,,,,,,,,,,,,,,,,,,,,,,positive
0.0,0.0,0.0,-1.0,negative,"@bglaettli @GrueneCH Was soll der Mehrwert sein?
Der letzte Schritt der Integration ist die Einbürgerung. Das Ausländer auch über Verteidigungsfragen entscheiden könnten ist mehr als nur verwerflich.",mehrwert letzte schritt integration einbürgerung ausländer verteidigungsfragen entscheiden mehr verwerflich,"{'Was': 0, 'soll': 0, 'der': 0.07, 'Mehrwert': 0.07, 'sein': 0, 'Der': 0.07, 'letzte': 0.06, 'Schritt': 0.1, 'Integration': 0.34, 'ist': 0.34, 'die': 0.07, 'Einbürgerung': 0.4, 'Das': 0.07, 'Ausländer': 1.0, 'auch': 0.36, 'über': 0, 'Verteidigungsfragen': 0.315, 'entscheiden': 0.47, 'könnten': 0, 'mehr': 0.08, 'als': 0, 'nur': 0, 'verwerflich': 0.3}",neutral,"[0.60030925, 0.11801466, 0.28167608]",,,,,,,,,,"{'Was': 0, 'soll': 0, 'der': 0.17, 'Mehrwert': 0.07, 'sein': 0, 'Der': 0.17, 'letzte': 0.34, 'Schritt': 0.54, 'Integration': 0.34, 'ist': 0.15, 'die': 0.17, 'Einbürgerung': 1.0, 'Das': 0.17, 'Ausländer': 0.08, 'auch': 0.04, 'über': 0, 'Verteidigungsfragen': 0.04, 'entscheiden': 0.07, 'könnten': 0, 'mehr': 0.07, 'als': 0, 'nur': 0, 'verwerflich': 0.14}",positive,"[0.09732745, 0.008395905, 0.8942766]",,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,100.0,1.0,neutral,"@GrueneCH @Wochenzeitung Für was gibt es denn noch das Bürgerrecht?
Der letzte Schritt der Integration ist die Einbürgerung. Will jemand aktiv mitreden steht ihm die Einbürgerung offen.",geben bürgerrecht letzte schritt integration einbürgerung jemand aktiv mitreden stehen einbürgerung offen,,,,,,,,,,,,,"{'Für': 0.06, 'was': 0, 'gibt': 0, 'es': 0.1, 'denn': 0, 'noch': 0, 'das': 0, 'Bürgerrecht': 0, 'Der': 0.19, 'letzte': 0.38, 'Schritt': 0.57, 'der': 0.19, 'Integration': 0.5, 'ist': 0.1, 'die': 0.19, 'Einbürgerung': 0.09, 'Will': 0, 'jemand': 0.08, 'aktiv': 0.07, 'mitreden': 0.03, 'steht': 0, 'ihm': 0, 'offen': 0.06}",positive,"[0.0266442, 0.0022910396, 0.97106475]",,,,,,,,,,,,,,,,,,,,,,,,,positive
75.0,75.0,71.0,0.35,neutral,"@stadi1988 Das mit der Lohngleichheit wird wohl die grösste Herausforderung, hat aber vielerlei Gründe.
Z.B allgemeine  intransparenz bei den Löhnen, fehlendes Monitoring, weniger hart geführte Lohnverhandlungen und oft mals fehlende Berufsjahre wegen Mutterschaft.",lohngleichheit wohl grösste herausforderung vielerlei gründe z b allgemein intransparenz löhnen fehlend monitoring wenig hart geführt lohnverhandlungen oft mals fehlend berufsjahre wegen mutterschaft,,,,,,,,,,,,,,,,"{'Das': 0.36, 'mit': 0, 'der': 0.36, 'Lohngleichheit': 0.565, 'wird': 0.31, 'wohl': 0, 'die': 0.36, 'grösste': 0, 'Herausforderung': 1.0, 'hat': 0, 'aber': 0.61, 'vielerlei': 0.18, 'Gründe': 0.4, 'Z.B': 0, 'allgemeine': 0.14, 'intransparenz': 0, 'bei': 0, 'den': 0.36, 'Löhnen': 0.22, 'fehlendes': 0, 'Monitoring': 0.22, 'weniger': 0, 'hart': 0, 'geführte': 0, 'Lohnverhandlungen': 0.275, 'und': 0.09, 'oft': 0, 'mals': 0, 'fehlende': 0, 'Berufsjahre': 0.10500000000000001, 'wegen': 0, 'Mutterschaft': 0}",negative,"[0.009830964, 0.648745, 0.3414241]",,,,,,,,,,,,,,,,,,,,,,positive
75.0,75.0,71.0,0.2333333333333333,neutral,"@FurbieMiller @MFrauchigerSVP @FDPFrauenCH @NinaFehrDuesel @_MartinaBircher @BabaSteinemann @SaSollberger @DianaGutjahr1 Ja aber umgekehrt werden verheiratete Paare stärker besteuert, weil das Einkommen nur noch bei einer Person besteuert wird, was wiederum verheiratete benachteiligt.
Am einfachsten wäre eine Aufsplittung bei den Ehepaaren, statt eine Individualbesteuerung einzuführen.",ja umkehren verheiraten paare stark besteuern einkommen person besteuern wiederum verheiraten benachteiligen einfach aufsplittung ehepaaren statt individualbesteuerung einführen,,,,,,,,,,,,,,,,,,,"{'Ja': 0, 'aber': 0.02, 'umgekehrt': 0, 'werden': 0, 'verheiratete': 0.13, 'Paare': 0.1, 'stärker': 0, 'besteuert': 0.14, 'weil': 0.07, 'das': 0, 'Einkommen': 0.09, 'nur': 0.07, 'noch': 0, 'bei': 0.04, 'einer': 0.07, 'Person': 0.15, 'wird': 0, 'was': 0, 'wiederum': 0.04, 'benachteiligt': 0, 'Am': 0, 'einfachsten': 0, 'wäre': 0.06, 'eine': 0.07, 'Aufsplittung': 0.08, 'den': 0.11, 'Ehepaaren': 0.115, 'statt': 0.37, 'Individualbesteuerung': 0.81, 'einzuführen': 0.14}",neutral,"[0.7521926, 0.046478037, 0.20132932]",,,,,,,,,,,,,,,,,,,neutral
