answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3391,absa_sentiment_3391,absa_scores_3391,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,sentiment_tb
50.0,75.0,57.0,0.0,negative,"RT @bdp_zurich: Rico Keller: «Integration als Schlüsselwort in der Ausländerpolitik.»
#langweiligabergut

https://t.co/v73pXJLztc https://t…",rico keller integration schlüsselwort ausländerpolitik langweiligabergut,"{'Rico': 0.09, 'Keller': 0.09, '«': 0, 'Integration': 0, 'als': 0, 'Schlüsselwort': 0, 'in': 0, 'der': 0, 'Ausländerpolitik': 0, '»': 0, 'langweiligabergut': 0}",positive,"[0.0082900375, 0.0037085454, 0.9880014]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @BDPSchweiz: Wir wollen nicht mehr Kiffer, aber weniger Bürokratie für Schwerkranke, die durch den medizinischen Einsatz von Cannabis et…",mehr kiffer wenig bürokratie schwerkranke medizinisch einsatz cannabis et,,,,"{'Wir': 0.06, 'wollen': 0.06, 'nicht': 0.05, 'mehr': 0.03, 'Kiffer': 0, 'aber': 0.13, 'weniger': 0, 'Bürokratie': 0.12, 'für': 0.1, 'Schwerkranke': 0.125, 'die': 0.2, 'durch': 0, 'den': 0.2, 'medizinischen': 0.27, 'Einsatz': 0, 'von': 0, 'Cannabis': 1.0, 'et': 0, '…': 0}",neutral,"[0.93910533, 0.018235473, 0.042659268]",,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"RT @bdp_zurich: .@PhilippKutter wünscht sich, @CVP_PDC würde wissensch. #Cannabisversuche+ die #Ehefüralle inkl. Volladotpion unterstützen.…",wünschen wissensch cannabisversuche ehefüralle inkl volladotpion unterstützen,,,,"{'wünscht': 0.16, 'sich': 0, 'würde': 0.14, 'wissensch': 0, 'Cannabisversuche+': 0, 'die': 0.26, 'Ehefüralle': 0, 'inkl.': 0, 'Volladotpion': 0.68, 'unterstützen': 0.67, '…': 0}",positive,"[0.023845142, 0.0038911193, 0.97226375]",,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,negative,RT @bdp_zurich: Die @BDPSchweiz hat vor Jahren eine sinnvolle Lösung präsentiert: Lebenserwartung an Rentenalter koppeln! #langweiligabergu…,jahren sinnvoll lösung präsentieren lebenserwartung rentenalter koppeln langweiligabergu,,,,,,,"{'Die': 0, 'hat': 0, 'vor': 0, 'Jahren': 0.06, 'eine': 0, 'sinnvolle': 0, 'Lösung': 0.4, 'präsentiert': 0, 'Lebenserwartung': 0.64, 'an': 0, 'Rentenalter': 0.435, 'koppeln': 0, 'langweiligabergu': 0, '…': 0}",neutral,"[0.6503889, 0.021220509, 0.3283906]",,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,"RT @bdp_zurich: LISTE 7 am 20.10. 
Für die Entpolitisierung des Rentenalters #langweiligabergut https://t.co/aGo5bFoz2F https://t.co/ctdI5x…",liste entpolitisierung rentenalters langweiligabergut,,,,,,,"{'LISTE': 0, '7': 0, 'am': 0, '20.10.': 0, 'Für': 0.11, 'die': 0.07, 'Entpolitisierung': 1.0, 'des': 0, 'Rentenalters': 0.135, 'langweiligabergut': 0}",positive,"[0.4898065, 0.011338415, 0.49885505]",,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @bdp_zurich: Die Studie stützt den @BDPSchweiz Vorstoss: Schrittweise Erhöhung des gesetzlichen #Rentenalters zur Anpassung an die Leben…,studie stützen vorstoss schrittweise erhöhung gesetzlich rentenalters anpassung leben,,,,,,,"{'Die': 0.2, 'Studie': 0.11, 'stützt': 0.22, 'den': 0.2, 'Vorstoss': 0, 'Schrittweise': 0, 'Erhöhung': 1.0, 'des': 0, 'gesetzlichen': 0, 'Rentenalters': 0.385, 'zur': 0.15000000000000002, 'Anpassung': 0, 'an': 0, 'die': 0.2, 'Leben': 0.19, '…': 0}",positive,"[0.13293785, 0.06330439, 0.8037577]",,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @bdp_zurich: Wir fordern die Entpolitisierung in diesem Bereich und daher die Verknüpfung von Rentenalter und Lebenserwartung
https://t.…",fordern entpolitisierung bereich daher verknüpfung rentenalter lebenserwartung,,,,,,,"{'Wir': 0.03, 'fordern': 0, 'die': 0.05, 'Entpolitisierung': 0.17, 'in': 0.03, 'diesem': 0.03, 'Bereich': 0.06, 'und': 0.47, 'daher': 0, 'Verknüpfung': 0, 'von': 0, 'Rentenalter': 1.0, 'Lebenserwartung': 0.4}",neutral,"[0.527166, 0.010335134, 0.4624989]",,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @Angelika_Ruider: Hört mal auf mit #Rentenalter 65! Es braucht eine Kopplung des Rentenalters an die Lebenserwartung - alles andere ist…,hören mal rentenalter brauchen kopplung rentenalters lebenserwartung,,,,,,,"{'Hört': 0, 'mal': 0, 'auf': 0, 'mit': 1.0, 'Rentenalter': 0.11, '65': 0, 'Es': 0.07, 'braucht': 0.16, 'eine': 0, 'Kopplung': 0, 'des': 0, 'Rentenalters': 0.11, 'an': 0, 'die': 0.16, 'Lebenserwartung': 0.185, 'alles': 0.1, 'andere': 0, 'ist': 0.07, '…': 0}",positive,"[0.27883402, 0.048364263, 0.6728017]",,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"RT @Angelika_Ruider: @BDPSchweiz -Vorschlag ""Koppelung von Lebenserwartung und Rentenalter"" ist mehrheitsfähig https://t.co/GQL55qlVxJ",vorschlag koppelung lebenserwartung rentenalter mehrheitsfähig,,,,,,,"{'-Vorschlag': 0, 'Koppelung': 0, 'von': 0, 'Lebenserwartung': 0.265, 'und': 0.26, 'Rentenalter': 0.42000000000000004, 'ist': 1.0, 'mehrheitsfähig': 0.79}",positive,"[0.26725206, 0.013796885, 0.7189511]",,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @LandoltMartin: @BDPSchweiz fordert Entpolitisierung des Rentenalters, indem es automatisch mit Lebenserwartung verknüpft wird. https://…",fordern entpolitisierung rentenalters automatisch lebenserwartung verknüpfen,,,,,,,"{'fordert': 0.12, 'Entpolitisierung': 1.0, 'des': 0, 'Rentenalters': 0.13, 'indem': 0.07, 'es': 0, 'automatisch': 0.08, 'mit': 0, 'Lebenserwartung': 0.06, 'verknüpft': 0, 'wird': 0}",positive,"[0.35503435, 0.11427988, 0.5306858]",,,,,,,,,,,,,,,,,,,neutral
