answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
100.0,100.0,100.0,1.0,neutral,RT @BernhardGuhl: Beenden wir die politischen Diskussionen um die Erhöhung des Rentenalters indem wir das einzig logische machen: #Rentenal…,beenden politisch diskussionen erhöhung rentenalters einzig logische rentenal,"{'Beenden': 0.12, 'wir': 0, 'die': 0.06, 'politischen': 0.35, 'Diskussionen': 0.36, 'um': 0, 'Erhöhung': 0, 'des': 0, 'Rentenalters': 0.76, 'indem': 0.21, 'das': 0, 'einzig': 0.05, 'logische': 0.19, 'machen': 0, 'Rentenal': 0.17, '…': 0}",neutral,"[0.62694806, 0.056674886, 0.31637704]",,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,RT @BDPSchweiz: Klares Ja auch zum #Vaterschaftsurlaub @papizeit #BDP https://t.co/59CgrtB3yM,klar ja vaterschaftsurlaub bdp,,,,"{'Klares': 0.19, 'Ja': 0, 'auch': 0, 'zum': 0.68, 'Vaterschaftsurlaub': 0.71, 'BDP': 0.28}",positive,"[0.0029405397, 0.0013537393, 0.9957058]",,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @BDPSchweiz: Sag auch Du Ja zum Vaterschaftsurlaub am 27. September! @LorenzHess #BDP @papizeit #abst2020 #CHvote https://t.co/c2EQvKce6f,sag ja vaterschaftsurlaub september bdp abst2020 chvote,,,,"{'Sag': 0, 'auch': 0, 'Du': 0, 'Ja': 0, 'zum': 1.0, 'Vaterschaftsurlaub': 0.515, 'am': 0, '27.': 0, 'September': 0.1, 'BDP': 0.08, 'abst2020': 0.15, 'CHvote': 0.11}",positive,"[0.006545426, 0.0012374411, 0.99221706]",,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"RT @BernhardGuhl: Soeben hat der Nationalrat meine Motion: 
""Volkswirtschaftlich effiziente Integration erneuerbarer Energien in die Stromn…",soeben nationalrat motion volkswirtschaftlich effiziente integration erneuerbarer energien stromn,,,,,,,"{'Soeben': 0.04, 'hat': 0, 'der': 0.07, 'Nationalrat': 0.09, 'meine': 0.05, 'Motion': 0.16, 'Volkswirtschaftlich': 1.0, 'effiziente': 1.0, 'Integration': 0.92, 'erneuerbarer': 0.44, 'Energien': 0.25, 'in': 0, 'die': 0.07, 'Stromn': 0, '…': 0}",positive,"[0.0061091674, 0.0029188127, 0.99097204]",,,,,,,,,,,,,,,,positive
50.0,25.0,28.0,-0.15,neutral,RT @BDPSchweiz: Schon heute können solche Fälle offenbar nicht verhindert werden. Eine weitere Lockerung der Kriegsmaterialverordnung lehne…,schon heute fälle offenbaren verhindern weit lockerung kriegsmaterialverordnung lehne,,,,,,,,,,"{'Schon': 0, 'heute': 0.13, 'können': 0.05, 'solche': 0.13, 'Fälle': 0.15, 'offenbar': 0, 'nicht': 0, 'verhindert': 0.09, 'werden': 0, 'Eine': 0, 'weitere': 0.17, 'Lockerung': 0, 'der': 0.23, 'Kriegsmaterialverordnung': 0.61, 'lehne': 0, '…': 0}",positive,"[0.25735083, 0.015658794, 0.72699034]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,RT @Blickch: Widerstand gegen Kriegsmaterial-Exporte wächst: Front gegen Bundesrat wird grösser https://t.co/f4ydJAepcR https://t.co/erKnuP…,widerstehen kriegsmaterial exporte wachsen front bundesrat grösser,,,,,,,,,,"{'Widerstand': 0.54, 'gegen': 0.07, 'Kriegsmaterial-Exporte': 0.18, 'wächst': 0, 'Front': 0.08, 'Bundesrat': 0.07, 'wird': 0, 'grösser': 0}",positive,"[0.11176571, 0.058307346, 0.82992697]",,,,,,,,,,,,,neutral
0.0,0.0,0.0,-0.85,negative,"RT @BernhardGuhl: SIK-S duldet, dass die Schweiz #Kriegsmaterial in #Bürgerkriegsländer exportiert. Ich bin schwer enttäuscht. Für ein paar…",sik s dulden schweiz kriegsmaterial bürgerkriegsländer exportieren schwer enttäuschen paar,,,,,,,,,,"{'SIK-S': 0, 'duldet': 0.15, 'dass': 0, 'die': 0, 'Schweiz': 0.09, 'Kriegsmaterial': 0.085, 'in': 0, 'Bürgerkriegsländer': 0.042499999999999996, 'exportiert': 0, 'Ich': 0.22, 'bin': 0, 'schwer': 0, 'enttäuscht': 1.0, 'Für': 0.2, 'ein': 0, 'paar': 0, '…': 0}",positive,"[0.15917286, 0.20055588, 0.64027125]",,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,RT @BernhardGuhl: #Erdogan schickt gar Kampfflugzeuge nach Azerbaijan in den #Krieg. Wie lange schaut die Schweiz zu? @EDA_DFAE,erdogan schicken gar kampfflugzeuge azerbaijan krieg lang schauen schweiz,,,,,,,,,,,,,"{'Erdogan': 0.17, 'schickt': 0.23, 'gar': 0, 'Kampfflugzeuge': 0, 'nach': 0, 'Azerbaijan': 0.12, 'in': 0.07, 'den': 0.06, 'Krieg': 0.1, 'Wie': 0, 'lange': 0.37, 'schaut': 0, 'die': 0.06, 'Schweiz': 0.62, 'zu': 0.1}",neutral,"[0.6862914, 0.01812325, 0.2955853]",,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @BernhardGuhl: Bundesrat will Grundsatzabstimmung über Beschaffung der #Kampfflugzeuge: Ganz entsprechend der Motion der @BDPSchweiz . E…,bundesrat grundsatzabstimmung beschaffung kampfflugzeuge ganz entsprechen motion e,,,,,,,,,,,,,"{'Bundesrat': 0.15500000000000003, 'will': 0, 'Grundsatzabstimmung': 0.11000000000000001, 'über': 0, 'Beschaffung': 0.08, 'der': 0.14, 'Kampfflugzeuge': 0, 'Ganz': 0, 'entsprechend': 0, 'Motion': 0.54, 'E': 0.78, '…': 0}",neutral,"[0.88730603, 0.016609693, 0.09608432]",,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,RT @BernhardGuhl: Die #Medienvielfalt ist enorm wichtig für unsere #Demokratie. Die Digitalisierung verändert die Medienwelt. Es braucht ei…,medienvielfalt enorm wichtig demokratie digitalisierung verändern medienwelt brauchen ei,,,,,,,,,,,,,,,,"{'Die': 0.11, 'Medienvielfalt': 0.18, 'ist': 0.24, 'enorm': 0, 'wichtig': 0.1, 'für': 0.05, 'unsere': 0.07, 'Demokratie': 0.22, 'Digitalisierung': 0, 'verändert': 0, 'die': 0.11, 'Medienwelt': 0.15, 'Es': 0.24, 'braucht': 0, 'ei': 0, '…': 0}",positive,"[0.0066741374, 0.004145936, 0.98917997]",,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Auch beim #Umweltschutz und #Artenschutz gilt: Mehrheitsfähige Lösungen aus der Mitte bringen die #Schweiz weiter und nützen mehr als Maximalforderungen von #Links und #Rechts. Darum mehr #Mitte, mehr @BDPSchweiz #Wahlen19, #WahlCH19, @BernhardGuhl
https://t.co/6xodzBDjX3",beim umweltschutz artenschutz gelten mehrheitsfähige lösungen mitte bringen schweiz weit nützen mehr maximalforderungen links rechts darum mehr mitte mehr wahlen19 wahlch19,,,,,,,,,,,,,,,,,,,"{'Auch': 0, 'beim': 0.04, 'Umweltschutz': 0.315, 'und': 0.04, 'Artenschutz': 0.14, 'gilt': 0, 'Mehrheitsfähige': 0.06, 'Lösungen': 0.21, 'aus': 0, 'der': 0.04, 'Mitte': 0, 'bringen': 0.05, 'die': 0.04, 'Schweiz': 0.06, 'weiter': 0.06, 'nützen': 0, 'mehr': 0.04, 'als': 0, 'Maximalforderungen': 0.05, 'von': 0.08, 'Links': 0, 'Rechts': 0.04, 'Darum': 0, 'Wahlen19': 0, 'WahlCH19': 0}",neutral,"[0.5108101, 0.09965545, 0.38953444]",,,,neutral
