answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,sentiment_tb
100.0,100.0,100.0,1.0,neutral,"RT @BaGysi: Erfreuliche Beschlüsse der SGK-NR: ja zu Cannabis-Versuchen, Ja zum Gegenvorschlag zur Pflegeinitiative und Ja zum Sozialversic…",erfreulich beschlüsse sgk nr ja cannabis versuchen ja gegenvorschlag pflegeinitiative ja sozialversic,"{'Erfreuliche': 0, 'Beschlüsse': 0.1, 'der': 0.06, 'SGK-NR': 0, 'ja': 0.08, 'zu': 0.05, 'Cannabis-Versuchen': 1.0, 'Ja': 0.08, 'zum': 0.055, 'Gegenvorschlag': 0.08, 'zur': 0.055, 'Pflegeinitiative': 0.08, 'und': 0.08, 'Sozialversic': 0.185, '…': 0}",positive,"[0.012290882, 0.0022361106, 0.985473]",,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"RT @AVierviertel: «Wer wirklich will, kann sich doch einfach einbürgern lassen?» Das oftgehörte Argument gegen ein modernes Einbürgerungsre…",wer wirklich einfach einbürgern lassen oftgehörte argument modern einbürgerungsre,,,,"{'«': 0, 'Wer': 0, 'wirklich': 0, 'will': 0, 'kann': 0, 'sich': 0, 'doch': 0, 'einfach': 0, 'einbürgern': 0, 'lassen': 0, '»': 0, 'Das': 0, 'oftgehörte': 0, 'Argument': 0, 'gegen': 0, 'ein': 0, 'modernes': 0, 'Einbürgerungsre': 0, '…': 0}",neutral,"[0.7501844, 0.045138, 0.20467754]",,,,,,,positive
50.0,75.0,71.0,0.15,neutral,RT @AVierviertel: #SRF-@deville_late widmet eine ganze Sendung dem Thema Einbürgerungen. Doch beim Bürgerrecht bleibt einem das Lachen im H…,srf widmen ganze sendung thema einbürgerungen beim bürgerrecht bleiben lachen h,,,,"{'SRF-': 0, 'widmet': 0, 'eine': 0, 'ganze': 0, 'Sendung': 0, 'dem': 0.04, 'Thema': 0, 'Einbürgerungen': 0, 'Doch': 0.08, 'beim': 0.04, 'Bürgerrecht': 0.1, 'bleibt': 0.05, 'einem': 0, 'das': 0, 'Lachen': 0, 'im': 0, 'H': 0, '…': 0}",positive,"[0.13719453, 0.0044089104, 0.85839653]",,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @AVierviertel: Unser Co-Präsident @ArberBullakaj hat am Lauf gegen Rassismus unsere Forderungen vorgestellt. Die Einbürgerung ist kein G…,co präsident lauf rassismus forderungen vorstellen einbürgerung g,,,,"{'Unser': 0.03, 'Co-Präsident': 0, 'hat': 0, 'am': 0, 'Lauf': 0.03, 'gegen': 0.06, 'Rassismus': 0.08, 'unsere': 0.03, 'Forderungen': 0, 'vorgestellt': 0.06, 'Die': 0.04, 'Einbürgerung': 0.89, 'ist': 0.46, 'kein': 0, 'G': 1.0, '…': 0}",neutral,"[0.8946584, 0.04590976, 0.059431806]",,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @AVierviertel: Die Schweiz hat europaweit das restriktivste Einbürgerungsverfahren. Das war nicht immer so: «Anfangs des 20. Jahrhundert…,schweiz europaweit restriktivste einbürgerungsverfahren immer anfangs jahrhundert,,,,"{'Die': 0.11, 'Schweiz': 0.22, 'hat': 0, 'europaweit': 0.17, 'das': 0, 'restriktivste': 0, 'Einbürgerungsverfahren': 1.0, 'Das': 0.11, 'war': 0, 'nicht': 0, 'immer': 0.07, 'so': 0, '«': 0, 'Anfangs': 0, 'des': 0, '20.': 0, 'Jahrhundert': 0, '…': 0}",negative,"[0.036552813, 0.70288825, 0.26055893]",,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @AVierviertel: Emmen hat vor 21 Jahren die Initiative «Einbürgerungen an die Urne» angenommen. Bei der ersten Abstimmung wurden alle Per…,emmen jahren initiative einbürgerungen urne annehmen erst abstimmung all per,,,,"{'Emmen': 0.17, 'hat': 0, 'vor': 0, '21': 0, 'Jahren': 0.06, 'die': 0, 'Initiative': 0.11, '«': 0, 'Einbürgerungen': 0, 'an': 0, 'Urne': 0, '»': 0, 'angenommen': 0, 'Bei': 0, 'der': 0, 'ersten': 0, 'Abstimmung': 0, 'wurden': 0, 'alle': 0, 'Per': 0, '…': 0}",neutral,"[0.93239784, 0.007636282, 0.0599659]",,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @AVierviertel: Unser Manifest für ein Grundrecht auf Einbürgerung gibt es nun auch auf Chinesisch und Polnisch, insgesamt in 21 Sprachen…",manifest grundrecht einbürgerung geben chinesisch polnisch insgesamt sprachen,,,,"{'Unser': 0.14, 'Manifest': 0, 'für': 0.31, 'ein': 0, 'Grundrecht': 0.81, 'auf': 0, 'Einbürgerung': 1.0, 'gibt': 0, 'es': 0.16, 'nun': 0, 'auch': 0.1, 'Chinesisch': 0.05, 'und': 0.05, 'Polnisch': 0.08, 'insgesamt': 0.04, 'in': 0.04, '21': 0, 'Sprachen': 0.11, '…': 0}",positive,"[0.0672635, 0.0055370512, 0.9271994]",,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"RT @AVierviertel: Was würden Sie aufgrund von Ihren persönlichen Erfahrungen Einbürgerungswilligen empfehlen?

«Dass sie die Einbürgerung a…",aufgrund persönlich erfahrungen einbürgerungswilligen empfehlen einbürgerung a,,,,"{'Was': 0.05, 'würden': 0.06, 'Sie': 0.07, 'aufgrund': 0, 'von': 0, 'Ihren': 0.02, 'persönlichen': 0.04, 'Erfahrungen': 0, 'Einbürgerungswilligen': 1.0, 'empfehlen': 0.22, '«': 0, 'Dass': 0, 'sie': 0, 'die': 0, 'Einbürgerung': 0, 'a': 0, '…': 0}",neutral,"[0.8363908, 0.027000235, 0.13660894]",,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"RT @AVierviertel: Jeder Mensch, der seit vier Jahren in der Schweiz lebt, soll unabhängig vom Aufenthaltsstatus ein Recht auf Einbürgerung…",jed mensch seit vier jahren schweiz leben unabhängig aufenthaltsstatus recht einbürgerung,,,,"{'Jeder': 0.18, 'Mensch': 0, 'der': 0.35, 'seit': 0, 'vier': 0.04, 'Jahren': 0.11, 'in': 0.04, 'Schweiz': 0.09, 'lebt': 0, 'soll': 0, 'unabhängig': 0, 'vom': 0.35, 'Aufenthaltsstatus': 0.1, 'ein': 0, 'Recht': 0, 'auf': 0, 'Einbürgerung': 1.0, '…': 0}",positive,"[0.0035312108, 0.001068382, 0.9954005]",,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @AVierviertel: Unser Manifest für ein Grundrecht auf Einbürgerung in rund 20 Sprachen: Direktlinks zu jeder Sprache im Thread. Jetzt les…,manifest grundrecht einbürgerung rund sprachen direktlinks jed sprache thread les,,,,"{'Unser': 0.11, 'Manifest': 0, 'für': 0.32, 'ein': 0, 'Grundrecht': 0.72, 'auf': 0, 'Einbürgerung': 1.0, 'in': 0.02, 'rund': 0.1, '20': 0, 'Sprachen': 0.14, 'Direktlinks': 0.07500000000000001, 'zu': 0.05, 'jeder': 0, 'Sprache': 0.05, 'im': 0, 'Thread': 0.08, 'Jetzt': 0.06, 'les': 0.04, '…': 0}",positive,"[0.012755861, 0.001906593, 0.98533756]",,,,,,,neutral
