answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,sentiment_tb
100.0,100.0,86.0,0.7,neutral,"Technischer #Fortschritt ist erst dann sozialer Fortschritt, wenn für jede Arbeit ein Beitrag an die #Sozialwerke geleistet wird, selbst wenn sie von Maschinen oder Software erledigt wird.
Darum #AHV-Abgaben auch auf #Energie und digitalen Dienstleistungen statt Rentenalter 67! https://t.co/E761SVZ23N",technisch fortschritt erst sozial fortschritt jed arbeit beitrag sozialwerke leisten maschinen software erledigen darum ahv abgaben energie digital dienstleistungen statt rentenalter,"{'Technischer': 0.02, 'Fortschritt': 0.02, 'ist': 0.03, 'erst': 0, 'dann': 0, 'sozialer': 0.01, 'wenn': 0.07, 'für': 0.03, 'jede': 0.05, 'Arbeit': 0.02, 'ein': 0, 'Beitrag': 0.02, 'an': 0, 'die': 0.02, 'Sozialwerke': 0.01, 'geleistet': 0.03, 'wird': 0, 'selbst': 0, 'sie': 0, 'von': 0, 'Maschinen': 0, 'oder': 0.03, 'Software': 0.02, 'erledigt': 0, 'Darum': 0, 'AHV-Abgaben': 0.06, 'auch': 0, 'auf': 0.27, 'Energie': 0.03, 'und': 0.09, 'digitalen': 0.08, 'Dienstleistungen': 0.12, 'statt': 0.755, 'Rentenalter': 0.645, '67': 0}",neutral,"[0.69549495, 0.076897226, 0.22760786]",,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"@doppel_m @lenasorg @alliance_F @kathrinbertschy @Claude_Grosjean @glp_bern @RegulaBuehlmann @YaseminCevik9 Damit Männer und Frauen für Arbeitgeber dasselbe Risiko bedeuten, fordert doch bitte einfach einen Vaterschaftsurlaub von 14 Wochen. Da bin ich dabei.👍",männer frauen arbeitgeber risiko bedeuten fordern bitte einfach vaterschaftsurlaub wochen dabei,,,,"{'Damit': 0, 'Männer': 0.05, 'und': 0.04, 'Frauen': 0.04, 'für': 0.54, 'Arbeitgeber': 0, 'dasselbe': 0.045, 'Risiko': 0.07, 'bedeuten': 0.06, 'fordert': 0, 'doch': 0, 'bitte': 0, 'einfach': 0, 'einen': 0, 'Vaterschaftsurlaub': 0.545, 'von': 0, '14': 0, 'Wochen': 0.09, 'Da': 0, 'bin': 0, 'ich': 0.14, 'dabei': 0}",neutral,"[0.935605, 0.009739167, 0.054655895]",,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"@MachlerDavid @tagesanzeiger Nicht ganz, wir würden dann auch zwei Wochen Betriebsaufwand von Teilen der Armee sparen, inkl. EO-Entschädigung... Zwei Wochen Vaterschaftsurlaub kommt die Schweiz direkt und indirekt vermutlich günstiger als zwei Wochen WK...🤷‍♂️",ganz zwei wochen betriebsaufwand teilen armee sparen inkl eo entschädigung zwei wochen vaterschaftsurlaub kommen schweiz direkt indirekt vermutlich günstig zwei wochen wk,,,,"{'Nicht': 0.06, 'ganz': 0, 'wir': 0, 'würden': 0.06, 'dann': 0.05, 'auch': 0.07, 'zwei': 0.07, 'Wochen': 0.16, 'Betriebsaufwand': 0.09, 'von': 0.05, 'Teilen': 0, 'der': 0.06, 'Armee': 0.13, 'sparen': 0.11, 'inkl.': 0, 'EO-Entschädigung': 0.18, '...': 0, 'Zwei': 0.07, 'Vaterschaftsurlaub': 0.265, 'kommt': 0, 'die': 0.06, 'Schweiz': 0.32, 'direkt': 0, 'und': 0.09, 'indirekt': 0, 'vermutlich': 0, 'günstiger': 0.16, 'als': 0, 'WK': 0.38, '🤷': 0, '\u200d️': 0}",neutral,"[0.8310938, 0.06695972, 0.10194643]",,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @MachlerDavid: Laut @tagesanzeiger verursachen zwei Wochen #Vaterschaftsurlaub 900 Millionen indirekte Kosten; z.b. Für Stellvertretunge…,laut verursachen zwei wochen vaterschaftsurlaub millionen indirekte kosten z b stellvertretunge,,,,"{'Laut': 0.15, 'verursachen': 0, 'zwei': 0.14, 'Wochen': 0.28, 'Vaterschaftsurlaub': 0.96, '900': 0, 'Millionen': 0, 'indirekte': 0, 'Kosten': 0.17, 'z.b.': 0, 'Für': 0.05, 'Stellvertretunge': 0, '…': 0}",neutral,"[0.75670934, 0.117360964, 0.12592968]",,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @sibylleforrer: Der Bundesrat will keinen #Vaterschaftsurlaub.

Das ist eine krasse Geringschätzung der elterlichen (und damit fundament…",bundesrat vaterschaftsurlaub krasse geringschätzung elterlich fundament,,,,"{'Der': 0.05, 'Bundesrat': 0.12000000000000001, 'will': 0, 'keinen': 0, 'Vaterschaftsurlaub': 0.52, 'Das': 0.05, 'ist': 0.15, 'eine': 0, 'krasse': 0.21, 'Geringschätzung': 0, 'der': 0.05, 'elterlichen': 0.09, 'und': 0.04, 'damit': 0, 'fundament': 0, '…': 0}",negative,"[0.06123488, 0.69780636, 0.2409587]",,,,,,,,,,neutral
100.0,100.0,86.0,0.7,negative,"@LeaKusano @sibylleforrer Oh ja, so ein Preis soll natürlich kein Ersatz sein für Vaterschaftsurlaub und Elternzeit. Wir warten immer noch auf beides...😏",oh ja preis natürlich ersatz vaterschaftsurlaub elternzeit warten immer beide,,,,"{'Oh': 0.06, 'ja': 0.51, 'so': 0, 'ein': 0, 'Preis': 0.11, 'soll': 0, 'natürlich': 0, 'kein': 0, 'Ersatz': 0, 'sein': 0, 'für': 0.06, 'Vaterschaftsurlaub': 0.735, 'und': 0.51, 'Elternzeit': 1.0, 'Wir': 0.08, 'warten': 0, 'immer': 0, 'noch': 0.06, 'auf': 0, 'beides': 0.07, '...': 0}",neutral,"[0.70735765, 0.25184074, 0.040801674]",,,,,,,,,,positive
75.0,100.0,86.0,0.5666666666666667,neutral,@KaelinIrene Und ich dachte Arbeitsrecht und EO seien Bundessache🤦‍♂️... Wie wär's wenn Männer einfach 4 Wochen weniger WK oder Zivildienst leisten? Dann geht's mit den Kosten für die EO besser auf und die Herausforderung für die Arbeitgeber ob Vaterschaftsurlaub oder WK ist ja dieselbe.,denken arbeitsrecht eo bundessache wär s männer einfach wochen wenig wk zivildienst leisten gehen s kosten eo gut herausforderung arbeitgeber vaterschaftsurlaub wk ja,,,,"{'Und': 0.06, 'ich': 0.01, 'dachte': 0.03, 'Arbeitsrecht': 0.01, 'und': 0, 'EO': 0, 'seien': 0, 'Bundessache': 0.02, '🤦': 0, '\u200d️': 0, '...': 0, 'Wie': 0, ""wär's"": 0, 'wenn': 0, 'Männer': 0, 'einfach': 0, '4': 0, 'Wochen': 0, 'weniger': 0, 'WK': 0, 'oder': 0, 'Zivildienst': 0, 'leisten': 0, 'Dann': 0, ""geht's"": 0, 'mit': 0, 'den': 0, 'Kosten': 0, 'für': 0, 'die': 0, 'besser': 0, 'auf': 0, 'Herausforderung': 0, 'Arbeitgeber': 0, 'ob': 0, 'Vaterschaftsurlaub': 0, 'ist': 0, 'ja': 0, 'dieselbe': 0}",neutral,"[0.80072653, 0.009567032, 0.18970637]",,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,Mehr Leuchtturmprojekte für mehr Klimaschutz! #leuchtturmprojekt #energieeffizienz #erneuerbareenergie #bfe #wahlen2019 #Liste4 #ohniflugi #bern #saintmalo #bielbienne #leuchtturm https://t.co/ff0SLO4gyQ,mehr leuchtturmprojekte mehr klimaschutz leuchtturmprojekt energieeffizienz erneuerbareenergie bfe wahlen2019 liste4 ohniflugi bern saintmalo bielbienne leuchtturm,,,,,,,"{'Mehr': 0.05, 'Leuchtturmprojekte': 0.07, 'für': 0.08, 'mehr': 0.05, 'Klimaschutz': 0.10500000000000001, 'leuchtturmprojekt': 0.16, 'energieeffizienz': 0.64, 'erneuerbareenergie': 0.64, 'bfe': 0.06, 'wahlen2019': 0, 'Liste4': 0.06, 'ohniflugi': 0.08, 'bern': 0.02, 'saintmalo': 0.08, 'bielbienne': 0.07, 'leuchtturm': 0.06}",positive,"[0.0068093296, 0.007849534, 0.98534113]",,,,,,,neutral
25.0,0.0,14.0,-0.5,neutral,"#MEI Wenn die Demokratie versagt, gibt es keinen Grund mehr gegen einen EU-Beitritt. Werde meine EU-kritische Haltung zutiefst überdenken...",mei demokratie versagen geben grund mehr eu beitreten eu kritisch haltung zutiefst überdenken,,,,,,,,,,"{'MEI': 0, 'Wenn': 0, 'die': 0.03, 'Demokratie': 0.09, 'versagt': 0.06, 'gibt': 0, 'es': 0.06, 'keinen': 0, 'Grund': 0, 'mehr': 0, 'gegen': 0, 'einen': 0, 'EU-Beitritt': 0.08, 'Werde': 0, 'meine': 0.31, 'EU-kritische': 0, 'Haltung': 0, 'zutiefst': 1.0, 'überdenken': 0.91, '...': 0}",positive,"[0.08555442, 0.054871254, 0.8595743]",,,,negative
50.0,75.0,57.0,0.0,neutral,@eviallemann @verkehrsclub @bastiengirod es braucht vor allem eine ausstiegs-strategie für den verbrennungsmotor im strassenverkehr...,brauchen ausstiegs strategie verbrennungsmotor strassenverkehr,,,,,,,,,,,,,"{'es': 0.06, 'braucht': 0, 'vor': 0, 'allem': 0, 'eine': 0, 'ausstiegs-strategie': 0.13, 'für': 0.29, 'den': 0.21, 'verbrennungsmotor': 0.305, 'im': 0, 'strassenverkehr': 0.745, '...': 0}",neutral,"[0.6766226, 0.12999293, 0.19338438]",neutral
