answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3415,absa_sentiment_3415,absa_scores_3415,absa_token_weights_3421,absa_sentiment_3421,absa_scores_3421,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3444,absa_sentiment_3444,absa_scores_3444,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,RT @Tamarafuniciell: Die familienergänzende Kinderbetreuung muss ein Service public werden wie die Volksschule. Unterschreibe jetzt unsere…,familienergänzende kinderbetreuung service public volksschule unterschreiben,"{'Die': 0, 'familienergänzende': 0.1, 'Kinderbetreuung': 0.35, 'muss': 0, 'ein': 0, 'Service': 0.16, 'public': 0.17, 'werden': 0, 'wie': 0, 'die': 0, 'Volksschule': 0.145, 'Unterschreibe': 1.0, 'jetzt': 0.99, 'unsere': 1.0, '…': 0}",positive,"[0.42636546, 0.030932289, 0.5427022]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,#Kinderbetreuung. NR pieren behauptet es hat genug Plätze.  SVP Frau benachteiligt Landregionen,kinderbetreuung nr pieren behaupten genug plätze svp frau benachteiligen landregionen,"{'Kinderbetreuung': 0.75, 'NR': 0, 'pieren': 0, 'behauptet': 0, 'es': 0.09, 'hat': 0, 'genug': 0.11, 'Plätze': 0, 'SVP': 0, 'Frau': 0, 'benachteiligt': 0, 'Landregionen': 0.07}",positive,"[0.12141308, 0.017351916, 0.861235]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,Ich konnte die SGK-Nationalrat heute vertreten. SGK-S folgt uns und will #Cannabis Regulierung vorwärts bringen. https://t.co/FCtSHJvk4d,sgk nationalrat heute vertreten sgk s folgen cannabis regulierung vorwärts bringen,,,,"{'Ich': 0.06, 'konnte': 0, 'die': 0.14, 'SGK-Nationalrat': 0.19, 'heute': 0.14, 'vertreten': 0.2, 'SGK-S': 0, 'folgt': 0.36, 'uns': 0.09, 'und': 0.16, 'will': 0, 'Cannabis': 1.0, 'Regulierung': 0.87, 'vorwärts': 0.79, 'bringen': 0.64}",positive,"[0.30368218, 0.014987283, 0.6813305]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,Die Gutheissung der Vorlage Cannabisarzneimittel ist erleichtert die medizinische Anwendung von Cannabis. Einziger Mackel: es ist nicht über die Krankenkassen finanziert.,gutheissung vorlage cannabisarzneimittel erleichtern medizinische anwendung cannabis einzig mackel krankenkassen finanzieren,,,,"{'Die': 0.07, 'Gutheissung': 0.09, 'der': 0.07, 'Vorlage': 0.1, 'Cannabisarzneimittel': 0, 'ist': 0.16, 'erleichtert': 0, 'die': 0.07, 'medizinische': 0.08, 'Anwendung': 0, 'von': 0, 'Cannabis': 0.14, 'Einziger': 0.89, 'Mackel': 0, 'es': 0.16, 'nicht': 0.6, 'über': 0, 'Krankenkassen': 0.07, 'finanziert': 0.19}",positive,"[0.31020004, 0.29502386, 0.39477608]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,Wichtiger Schritt für Cannabis als Arzneimittel gemacht; zudem Stärkung von ambulanten Pauschalen beschlossen und Überprüfung der Grundrechte für Patient_innen beim Experimentierartikel angeordnet. https://t.co/VtcRnlvd0C,wichtig schritt cannabis arzneimittel zudem stärkung ambulant pauschal beschließen überprüfung grundrechte patient_innen beim experimentierartikel anordnen,,,,"{'Wichtiger': 0.17, 'Schritt': 0.15, 'für': 0.29, 'Cannabis': 0.11, 'als': 0.06, 'Arzneimittel': 0, 'gemacht': 0, 'zudem': 0.095, 'Stärkung': 0, 'von': 0, 'ambulanten': 0.22, 'Pauschalen': 0.2, 'beschlossen': 0.3, 'und': 0.74, 'Überprüfung': 0, 'der': 0.12, 'Grundrechte': 0.27, 'Patient_innen': 0, 'beim': 0.12, 'Experimentierartikel': 0, 'angeordnet': 0}",positive,"[0.21478973, 0.026589237, 0.758621]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,0.8500000000000001,neutral,"Erfreuliche Beschlüsse der SGK-NR: ja zu Cannabis-Versuchen, Ja zum Gegenvorschlag zur Pflegeinitiative und Ja zum Sozialversicherungsabkommen mit Kosovv@ - mehr Soziale Gerechtigkeit und bessere  Bedinungen für die Pflege https://t.co/eBDTlmmZCZ",erfreulich beschlüsse sgk nr ja cannabis versuchen ja gegenvorschlag pflegeinitiative ja sozialversicherungsabkommen kosovv mehr soziale gerechtigkeit gut bedinungen pflegen,,,,"{'Erfreuliche': 0, 'Beschlüsse': 0.2, 'der': 0.07, 'SGK-NR': 0, 'ja': 0.07, 'zu': 0.04, 'Cannabis-Versuchen': 1.0, 'Ja': 0.07, 'zum': 0.05500000000000001, 'Gegenvorschlag': 0.095, 'zur': 0.05500000000000001, 'Pflegeinitiative': 0.07, 'und': 0.07, 'Sozialversicherungsabkommen': 0.15000000000000002, 'mit': 0.04, 'Kosovv': 0, 'mehr': 0.04, 'Soziale': 0.11, 'Gerechtigkeit': 0.09, 'bessere': 0.08, 'Bedinungen': 0.12, 'für': 0.04, 'die': 0.07, 'Pflege': 0}",positive,"[0.027703747, 0.033223324, 0.9390729]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,Es hat einiges gebraucht. Nun kann man diese Studien endlich machen. und wieder Vorwärtsschritte im Umgang mit Cannabis. https://t.co/6kfDFmzMBG,gebrauchen studien endlich vorwärtsschritte umgang cannabis,,,,"{'Es': 0, 'hat': 0, 'einiges': 0.04, 'gebraucht': 0, 'Nun': 0, 'kann': 0.04, 'man': 0, 'diese': 0, 'Studien': 0.34, 'endlich': 0, 'machen': 0, 'und': 0.11, 'wieder': 0.14, 'Vorwärtsschritte': 0.13, 'im': 0, 'Umgang': 0, 'mit': 0.4, 'Cannabis': 1.0}",neutral,"[0.89308167, 0.00519047, 0.1017279]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,neutral,Darum ist Entscheid gegen die Projekte zur Cannabis-Regulierung unsinnig https://t.co/YducRCDUYx,darum entscheid projekte cannabis regulierung unsinnig,,,,"{'Darum': 0, 'ist': 0.22, 'Entscheid': 0.11, 'gegen': 0.06, 'die': 0.05, 'Projekte': 0.09, 'zur': 0.05, 'Cannabis-Regulierung': 0.08, 'unsinnig': 1.0}",neutral,"[0.48387232, 0.273646, 0.24248178]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,100.0,1.0,positive,Erfreulich. Bundesrat heisst mein #Postulat gut und will #Cannabis Bericht zu den Versuchen mit kontrollierter Abgabe in den Städten machen.,erfreulich bundesrat heisst postulat gut cannabis bericht versuchen kontrolliert abgabe städten,,,,"{'Erfreulich': 0.12, 'Bundesrat': 0.14500000000000002, 'heisst': 0, 'mein': 0.06, 'Postulat': 0.18, 'gut': 0, 'und': 0.1, 'will': 0, 'Cannabis': 1.0, 'Bericht': 0, 'zu': 0.11, 'den': 0.1, 'Versuchen': 0.11, 'mit': 0.13, 'kontrollierter': 0.2, 'Abgabe': 0, 'in': 0.07, 'Städten': 0.25, 'machen': 0}",positive,"[0.25329933, 0.013095454, 0.7336052]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,25.0,28.0,-0.15,neutral,"Hinhören. es kann nicht sein, dass die Frauen die AHV-Reform bezahlen müssen. FDP plädiert nicht nur für 65/65 sondern für weitere Rentenaltererhöhung für alle ! #Händewegvonunserenrenten https://t.co/uAQb2Qv0jt",hinhören frauen ahv reform bezahlen müssen fdp plädieren weit rentenaltererhöhung all händewegvonunserenrenten,,,,,,,"{'Hinhören': 0.05, 'es': 0, 'kann': 0, 'nicht': 0.05, 'sein': 0, 'dass': 0.05, 'die': 0.28, 'Frauen': 0.1, 'AHV-Reform': 0, 'bezahlen': 0.09, 'müssen': 0.05, 'FDP': 0.1, 'plädiert': 0, 'nur': 0.05, 'für': 0.16, '65': 0, 'sondern': 0.14, 'weitere': 0.58, 'Rentenaltererhöhung': 0.875, 'alle': 0.18, 'Händewegvonunserenrenten': 0.09625}",positive,"[0.10659936, 0.059290804, 0.8341099]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
