answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3448,absa_sentiment_3448,absa_scores_3448,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3452,absa_sentiment_3452,absa_scores_3452,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"@Fuss_Florian @spschweiz @GrueneCH @grunliberale Offenbar sind bei der @FDP_Liberalen die Verhältnisse verloren gegangen. Die Vorlage wird als Steuerabzug für Kinderbetreuung (Kosten 10 Mio.) verkauft, um die Erwerbstätigkeit von Frauen zu fördern.

350 Mio. kostet aber die reingeschmuggelte Erhöhung des allg. Kinderabzugs.",offenbaren verhältnisse verlieren gehen vorlage steuerabzug kinderbetreuung kosten mio verkaufen erwerbstätigkeit frauen fördern mio kosten reingeschmuggelte erhöhung allg kinderabzugs,"{'Offenbar': 0.04, 'sind': 0, 'bei': 0, 'der': 0.03, 'die': 0.03, 'Verhältnisse': 0, 'verloren': 0.04, 'gegangen': 0, 'Die': 0.03, 'Vorlage': 0.1, 'wird': 0, 'als': 0.13, 'Steuerabzug': 0.365, 'für': 0, 'Kinderbetreuung': 1.0, 'Kosten': 0.04, '10': 0, 'Mio.': 0, 'verkauft': 0.15, 'um': 0.12, 'Erwerbstätigkeit': 0, 'von': 0, 'Frauen': 0.22, 'zu': 0.03, 'fördern': 0, '350': 0, 'kostet': 0.04, 'aber': 0, 'reingeschmuggelte': 0.05, 'Erhöhung': 0.05, 'des': 0, 'allg.': 0.03, 'Kinderabzugs': 0}",negative,"[0.1946655, 0.75659823, 0.048736263]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @grunliberale: «Die Grünliberalen beurteilen die #Kinderbetreuung für erwerbstätige Eltern als systemrelevant. Gerade jetzt, wo es alle…",grünliberalen beurteilen kinderbetreuung erwerbstätige eltern systemrelevant gerade all,"{'«': 0, 'Die': 0, 'Grünliberalen': 0, 'beurteilen': 0, 'die': 0, 'Kinderbetreuung': 0, 'für': 0, 'erwerbstätige': 0, 'Eltern': 0, 'als': 0, 'systemrelevant': 0, 'Gerade': 0, 'jetzt': 0, 'wo': 0, 'es': 0, 'alle': 0, '…': 0}",positive,"[0.023237213, 0.015220625, 0.9615421]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @glpzh: ""...von der Stärkung der ausserfamiliären Kinderbetreuung bis zum Naturschutz. Sie haben sich auch die finanzpolitische Nachhalt…",stärkung ausserfamiliären kinderbetreuung naturschutz finanzpolitische nachhalt,"{'...': 0, 'von': 0.45, 'der': 0.1, 'Stärkung': 1.0, 'ausserfamiliären': 0, 'Kinderbetreuung': 1.0, 'bis': 0, 'zum': 0.14, 'Naturschutz': 0, 'Sie': 0, 'haben': 0.11499999999999999, 'sich': 0, 'auch': 0.05, 'die': 0.1, 'finanzpolitische': 0, 'Nachhalt': 0.12, '…': 0}",positive,"[0.0006691018, 0.0012605594, 0.9980704]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @PVuichard: @jglpCH international - auch @Corriere berichtet über den Cannabis-Geldsegen für die AVH 🇨🇭 Nutzen wir die Chance!💪

https:/…",international berichten cannabis geldsegen avh nutzen chance https,,,,"{'international': 0.11, 'auch': 0.22, 'berichtet': 0.58, 'über': 0, 'den': 0.04, 'Cannabis-Geldsegen': 0.99, 'für': 0.27, 'die': 0, 'AVH': 0.07, '🇨': 0, '🇭': 0, 'Nutzen': 0, 'wir': 0, 'Chance': 0, 'https': 0, ':/': 0, '…': 0}",neutral,"[0.8486184, 0.13111359, 0.020268006]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @PVuichard: 🇨🇭 Cannabis-Geldsegen für die AHV 💪 
Mehr Freiheit, fertig Schwarzmarkt, mehr Kapazität für Polizei. Es wird Zeit! https://t…",cannabis geldsegen ahv mehr freiheit fertigen schwarzmarkt mehr kapazität polizei zeit,,,,"{'🇨': 0, '🇭': 0, 'Cannabis-Geldsegen': 0, 'für': 0, 'die': 0, 'AHV': 0, 'Mehr': 0, 'Freiheit': 0, 'fertig': 0, 'Schwarzmarkt': 0, 'mehr': 0, 'Kapazität': 0, 'Polizei': 0, 'Es': 0, 'wird': 0, 'Zeit': 0}",positive,"[0.0032180035, 0.0029687765, 0.99381316]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"RT @pirminmeyer: Neue Projekte: Cannabislegalisierung, Bildung und neuer Generationenvertrag. Schaut rein @glplab. Vielen Dank! https://t.c…",neue projekte cannabislegalisierung bildung neu generationenvertrag schauen rein danken,,,,"{'Neue': 0.05, 'Projekte': 0.39, 'Cannabislegalisierung': 0.265, 'Bildung': 0.15, 'und': 0.15, 'neuer': 0, 'Generationenvertrag': 0, 'Schaut': 0, 'rein': 0, 'Vielen': 0, 'Dank': 0.36}",positive,"[0.050921623, 0.0034523632, 0.945626]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
0.0,0.0,14.0,-0.7,neutral,RT @doppel_m: Die Vorsorgereform muss urnenfähig sein. Die Angleichung des Rentenalters ist richtig. Aber nicht einseitig auf Kosten der Fr…,vorsorgereform urnenfähig angleichung rentenalters richtig einseitig kosten fr,,,,,,,"{'Die': 0.04, 'Vorsorgereform': 0.175, 'muss': 0, 'urnenfähig': 0.19, 'sein': 0, 'Angleichung': 1.0, 'des': 0, 'Rentenalters': 0.69, 'ist': 0.69, 'richtig': 1.0, 'Aber': 0.39, 'nicht': 0.35, 'einseitig': 0, 'auf': 0, 'Kosten': 0, 'der': 0.04, 'Fr': 0.05, '…': 0}",positive,"[0.09620703, 0.0064955414, 0.8972974]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,RT @KatrinCometta: Wie bringen wir die #Gleichstellung und die #Vereinbarkeit von Familie &amp; Beruf voran? Ist mit dem #Vaterschaftsurlaub al…,bringen gleichstellung vereinbarkeit familie amp beruf voran vaterschaftsurlaub al,,,,,,,,,,"{'Wie': 0, 'bringen': 0.04, 'wir': 0, 'die': 0.55, 'Gleichstellung': 0.08, 'und': 0.07, 'Vereinbarkeit': 0.1, 'von': 0, 'Familie': 0.09, 'amp': 0.1, 'Beruf': 0, 'voran': 0, 'Ist': 0.25, 'mit': 0.39, 'dem': 0.55, 'Vaterschaftsurlaub': 0.6, 'al': 0.26, '…': 0}",positive,"[0.004825428, 0.0047885384, 0.990386]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @grunliberale: Die Vorlage zum #Vaterschaftsurlaub ist ein Schritt in die richtige Richtung. Wir machen uns weiterhin für eine #Elternze…,vorlage vaterschaftsurlaub schritt richtige richtung weiterhin elternze,,,,,,,,,,"{'Die': 0.07, 'Vorlage': 0.73, 'zum': 0.05500000000000001, 'Vaterschaftsurlaub': 0.71, 'ist': 0.31, 'ein': 0, 'Schritt': 0.28, 'in': 0.07, 'die': 0.07, 'richtige': 0.19, 'Richtung': 0.14, 'Wir': 0.09, 'machen': 0, 'uns': 0, 'weiterhin': 0, 'für': 0.05, 'eine': 0, 'Elternze': 0.15, '…': 0}",positive,"[0.0036712077, 0.003184619, 0.99314415]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,25.0,28.0,-0.15,negative,"RT @operationlibero: Die 6 grössten Lügen des SVP-Flyers zur erleichterten Einbürgerung. Lesen, JA! stimmen, retweeten: https://t.co/YM4TBY…",grössten lügen svp flyers erleichtern einbürgerung lesen ja stimmen retweeten,,,,,,,,,,,,,"{'Die': 0.09, '6': 0, 'grössten': 0.12, 'Lügen': 0, 'des': 0, 'SVP-Flyers': 0, 'zur': 0.09, 'erleichterten': 0, 'Einbürgerung': 1.0, 'Lesen': 0.18, 'JA': 0, 'stimmen': 0, 'retweeten': 0.13}",positive,"[0.039586287, 0.021256462, 0.93915725]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
