answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3419,absa_sentiment_3419,absa_scores_3419,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3435,absa_sentiment_3435,absa_scores_3435,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,sentiment_tb
25.0,0.0,14.0,-0.575,negative,"Die Familienpolitik ist bereits heute einseitig und ungerecht gegenüber Familien, welche ihre Kinder selber betreuen.
Danke an SP, SVP, EVP und EDU, dass dies nicht noch schlimmer wird.

--
Unheilige Allianz verhindert höheren Abzug bei Kinderbetreuung
https://t.co/9l0SV1PRe2",familienpolitik bereits heute einseitig ungerecht gegenüber familien welch kinder selber betreuen danke sp svp evp edu schlimm unheilige allianz verhindern hoch abzug kinderbetreuung,"{'Die': 0, 'Familienpolitik': 0.065, 'ist': 0.07, 'bereits': 0.08, 'heute': 0, 'einseitig': 0, 'und': 0.03, 'ungerecht': 0.08, 'gegenüber': 0.06, 'Familien': 0, 'welche': 0, 'ihre': 0.02, 'Kinder': 0.05, 'selber': 0, 'betreuen': 0.28, 'Danke': 0, 'an': 0, 'SP': 0.03, 'SVP': 0, 'EVP': 0.06, 'EDU': 0.06, 'dass': 0.07, 'dies': 0, 'nicht': 0.08, 'noch': 0, 'schlimmer': 0.12, 'wird': 0, '--': 0, 'Unheilige': 0.37, 'Allianz': 0, 'verhindert': 0, 'höheren': 1.0, 'Abzug': 0, 'bei': 0, 'Kinderbetreuung': 0.53}",negative,"[0.37023118, 0.3705098, 0.259259]",,,,,,,,,,,,,,,,,,,,,,,,,negative
0.0,0.0,0.0,-1.0,neutral,"Trügerische Freude.
«#Cannabis ist keine weiche Droge, sondern ein heimtückische, bewusstseinsverändernde Substanz, welche unter Umständen schwere psychische Störungen bis hin zu Schizophrenie verursachen kann…!»
https://t.co/yibZxr9x2t",trügerische freude cannabis weich droge heimtückische bewusstseinsverändernde substanz welch umständen schwer psychisch störungen schizophrenie verursachen,,,,"{'Trügerische': 0.23, 'Freude': 0.28, '«': 0, 'Cannabis': 0, 'ist': 0, 'keine': 0, 'weiche': 0, 'Droge': 0, 'sondern': 0, 'ein': 0, 'heimtückische': 0, 'bewusstseinsverändernde': 0, 'Substanz': 0, 'welche': 0, 'unter': 0, 'Umständen': 0, 'schwere': 0, 'psychische': 0, 'Störungen': 0, 'bis': 0, 'hin': 0, 'zu': 0, 'Schizophrenie': 0, 'verursachen': 0, 'kann': 0, '…': 0, '»': 0}",negative,"[0.12846658, 0.43760753, 0.43392587]",,,,,,,,,,,,,,,,,,,,,,negative
0.0,0.0,0.0,-1.0,neutral,"2008 wurde die #Cannabis-Legalisierung durch alle Stände und mit 63.3% abgelehnt.
Wollen nun Bundesrat und Parlament eine Legalisierung durch die Hintertüre?
https://t.co/EBdFdNm44j",cannabis legalisierung all stände ablehnen bundesrat parlament legalisierung hintertüre,,,,"{'2008': 0, 'wurde': 0, 'die': 0.03, 'Cannabis-Legalisierung': 0.41000000000000003, 'durch': 0.04, 'alle': 0, 'Stände': 0, 'und': 0.05, 'mit': 0.17, '63.3': 0, 'abgelehnt': 0, 'Wollen': 0.06, 'nun': 0, 'Bundesrat': 0.065, 'Parlament': 0.08, 'eine': 0, 'Legalisierung': 0.31, 'Hintertüre': 0.05}",negative,"[0.41455218, 0.57511073, 0.0103371]",,,,,,,,,,,,,,,,,,,,,,negative
0.0,0.0,0.0,-1.0,neutral,"Der Stadtrat Bern will wieder einmal #Cannabis verkaufen.
Was das bedeutet:
«Cannabis ist keine weiche Droge, sondern ein heimtückische, bewusstseinsverändernde Substanz, welche unter Umständen schwere psychische Störungen bis hin zu Schizophrenie verursachen kann…!» https://t.co/yDSMCGXXIM",stadtrat bern cannabis verkaufen bedeuten cannabis weich droge heimtückische bewusstseinsverändernde substanz welch umständen schwer psychisch störungen schizophrenie verursachen,,,,"{'Der': 0.16, 'Stadtrat': 0.14, 'Bern': 0.12, 'will': 0, 'wieder': 0.63, 'einmal': 0, 'Cannabis': 0, 'verkaufen': 0.28500000000000003, 'Was': 0, 'das': 0.07, 'bedeutet': 0.12, '«': 0, 'ist': 0, 'keine': 0, 'weiche': 0, 'Droge': 0, 'sondern': 0, 'ein': 0, 'heimtückische': 0, 'bewusstseinsverändernde': 0, 'Substanz': 0, 'welche': 0, 'unter': 0, 'Umständen': 0, 'schwere': 0, 'psychische': 0, 'Störungen': 0, 'bis': 0, 'hin': 0, 'zu': 0, 'Schizophrenie': 0, 'verursachen': 0, 'kann': 0, '…': 0, '»': 0}",neutral,"[0.76456726, 0.047901303, 0.18753143]",,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,Vortrag: Cannabis - 10 Fragen und Antworten http://t.co/JgpDNDZMJX #EDU #WahlCH15,vortrag cannabis fragen antworten edu wahlch15,,,,"{'Vortrag': 0, 'Cannabis': 0.16, '10': 0, 'Fragen': 0.51, 'und': 1.0, 'Antworten': 0, 'EDU': 0.08, 'WahlCH15': 0}",neutral,"[0.9781973, 0.0020237619, 0.0197789]",,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,Der vernünftige Umgang mit Cannabis ist ein Verzicht auf Cannabis - http://gubser.info/stadtrat/,vernünftig umgang cannabis verzicht cannabis,,,,"{'Der': 0.5, 'vernünftige': 1.0, 'Umgang': 0, 'mit': 0, 'Cannabis': 0.22, 'ist': 0.92, 'ein': 0, 'Verzicht': 0, 'auf': 0}",positive,"[0.10037657, 0.0046030106, 0.89502037]",,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,@TaniaZH Ehrlicherweise muss man bei gestiegener Lebenserwartung das Rentenalter erhöhen,ehrlicherweise gestiegen lebenserwartung rentenalter erhöhen,,,,,,,"{'Ehrlicherweise': 0, 'muss': 0.61, 'man': 0, 'bei': 0, 'gestiegener': 0, 'Lebenserwartung': 0.255, 'das': 0, 'Rentenalter': 0.935, 'erhöhen': 1.0}",neutral,"[0.44867164, 0.21502607, 0.33630228]",,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Organzwang statt Organspende?
Schweigen ist keine Zustimmung und Spenden beruht auf Freiwilligkeit.

Ohne Widerspruch werden alle Spender
https://t.co/dFqtbGRTqq",organzwang statt organspende schweigen zustimmung spenden beruhen freiwilligkeit widerspruch all spender,,,,,,,,,,"{'Organzwang': 0, 'statt': 0.44, 'Organspende': 0.42, 'Schweigen': 0, 'ist': 0.43, 'keine': 0, 'Zustimmung': 0, 'und': 0.24, 'Spenden': 0, 'beruht': 0.43, 'auf': 0, 'Freiwilligkeit': 0, 'Ohne': 0.08, 'Widerspruch': 0.13, 'werden': 0, 'alle': 0, 'Spender': 0}",neutral,"[0.8522616, 0.096035734, 0.051702645]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Zur Versachlichung der Diskussion über die #Lohngleichheit zwischen #Mann und #Frau:
«Man kann den ungeklärten Anteil der Lohndifferenz nicht automatisch oder ausschliesslich als Diskriminierung bezeichnen.»
https://t.co/id6BiUeswG",versachlichung diskussion lohngleichheit mann frau ungeklärt anteil lohndifferenz automatisch ausschliesslich diskriminierung bezeichnen,,,,,,,,,,,,,"{'Zur': 0.095, 'Versachlichung': 0, 'der': 0, 'Diskussion': 0.19, 'über': 0, 'die': 0.09, 'Lohngleichheit': 0, 'zwischen': 1.0, 'Mann': 0, 'und': 0.16, 'Frau': 0, '«': 0, 'Man': 0, 'kann': 0, 'den': 0, 'ungeklärten': 0, 'Anteil': 0, 'Lohndifferenz': 0, 'nicht': 0, 'automatisch': 0, 'oder': 0, 'ausschliesslich': 0, 'als': 0, 'Diskriminierung': 0, 'bezeichnen': 0, '»': 0}",neutral,"[0.6639196, 0.20978518, 0.12629521]",,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"RT @EDUSchweiz: MEDIENMITTEILUNG
Thun, 25. September 2018

Zur Diskussion der Ärzteschaft über die Sterbehilfe

Leben statt Sterben fördern…",medienmitteilung thun september diskussion ärzteschaft sterbehilfe leben statt sterben fördern,,,,,,,,,,,,,,,,"{'MEDIENMITTEILUNG': 0.16999999999999998, 'Thun': 0.05, '25.': 0, 'September': 0.04, '2018': 0, 'Zur': 0.12, 'Diskussion': 0.73, 'der': 0.12, 'Ärzteschaft': 0.31, 'über': 0, 'die': 0.12, 'Sterbehilfe': 1.0, 'Leben': 0.23, 'statt': 0.235, 'Sterben': 0, 'fördern': 0, '…': 0}",neutral,"[0.6029318, 0.010404923, 0.3866633]",,,,,,,,,,positive
