answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3417,absa_sentiment_3417,absa_scores_3417,absa_token_weights_3419,absa_sentiment_3419,absa_scores_3419,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3448,absa_sentiment_3448,absa_scores_3448,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3474,absa_sentiment_3474,absa_scores_3474,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
100.0,100.0,100.0,1.0,neutral,Beenden wir die politischen Diskussionen um die Erhöhung des Rentenalters indem wir das einzig logische machen: #Rentenalter automatisch an #Lebenserwartung anpassen. #ahv #BVG https://t.co/d2cyo3SvNv,beenden politisch diskussionen erhöhung rentenalters einzig logische rentenalter automatisch lebenserwartung anpassen ahv bvg,"{'Beenden': 0.15, 'wir': 0, 'die': 0.06, 'politischen': 0.3, 'Diskussionen': 0.35, 'um': 0, 'Erhöhung': 0, 'des': 0, 'Rentenalters': 0.115, 'indem': 0.16999999999999998, 'das': 0, 'einzig': 0.04, 'logische': 0.1, 'machen': 0, 'Rentenalter': 0.115, 'automatisch': 0.16, 'an': 0.04, 'Lebenserwartung': 0.125, 'anpassen': 0.13, 'ahv': 0, 'BVG': 0.08}",neutral,"[0.40822202, 0.39206877, 0.19970916]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,"Die BDP hat 2012 einen Vorstoss eingereicht, der die automatische Anpassung des Rentenalters an die Lebenserwartung fordert. Liebe Medien: Schreibt bitte wär s erfunde hät. #Altersvorsorge https://t.co/KaH921JxxQ",bdp vorstoss einreichen automatische anpassung rentenalters lebenserwartung fordern lieb medien schreiben bitte wär s erfunde hät altersvorsorge,"{'Die': 0.2, 'BDP': 0.12, 'hat': 0, '2012': 0, 'einen': 0.11, 'Vorstoss': 0, 'eingereicht': 0.25, 'der': 0.2, 'die': 0.2, 'automatische': 0, 'Anpassung': 0, 'des': 0, 'Rentenalters': 0.445, 'an': 0, 'Lebenserwartung': 0.27, 'fordert': 0, 'Liebe': 0, 'Medien': 0.07, 'Schreibt': 0.08, 'bitte': 0, 'wär': 0.66, 's': 0, 'erfunde': 0.13, 'hät': 0, 'Altersvorsorge': 0.09}",negative,"[0.20406744, 0.759324, 0.03660856]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,@YvonneBuergin @JCVPSchweiz Also nur um es klarzustellen: Eine automatische Anpassung von Rentenalter an die Lebenserwartung fordert die @BDPSchweiz seit einer Ewigkeit: Unser Vorstoss vom 12.12.2012: https://t.co/moXMX1aiCZ #wärhätserfunde?,klarstellen automatische anpassung rentenalter lebenserwartung fordern seit ewigkeit vorstoss wärhätserfunde,"{'Also': 0, 'nur': 0, 'um': 0.09, 'es': 0, 'klarzustellen': 0.07, 'Eine': 0, 'automatische': 0.17, 'Anpassung': 0.19, 'von': 0, 'Rentenalter': 0.11, 'an': 0.05, 'die': 0, 'Lebenserwartung': 0.07, 'fordert': 0, 'seit': 0, 'einer': 0, 'Ewigkeit': 0.11, 'Unser': 0.1, 'Vorstoss': 0.18, 'vom': 0, '12.12.2012': 0, 'wärhätserfunde': 0}",neutral,"[0.5869077, 0.22966127, 0.18343107]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @asba_j: Genau deshalb soll das Rentenalter mit der Lebenserwartung verknüpft werden: https://t.co/dCWb44mQRd #BDP #vorwärts #Altersvors…,genau deshalb rentenalter lebenserwartung verknüpfen bdp vorwärts altersvors,"{'Genau': 0, 'deshalb': 0.24, 'soll': 0, 'das': 0, 'Rentenalter': 0.385, 'mit': 0, 'der': 1.0, 'Lebenserwartung': 0.16999999999999998, 'verknüpft': 0, 'werden': 0, 'BDP': 0.06, 'vorwärts': 0.08, 'Altersvors': 0.71, '…': 0}",neutral,"[0.49036434, 0.02871592, 0.48091978]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"RT @LandoltMartin: Heute ist ein guter Tag, um daran zu erinnern, dass die beste Lösung eine Verknüpfung des Rentenalters mit der Lebenserw…",heute gut tag daran erinnern gut lösung verknüpfung rentenalters lebenserw,"{'Heute': 0.1, 'ist': 0.3, 'ein': 0, 'guter': 0, 'Tag': 0, 'um': 0.05, 'daran': 0.63, 'zu': 0.63, 'erinnern': 0.16, 'dass': 0.09, 'die': 0.11, 'beste': 0, 'Lösung': 0.43, 'eine': 0, 'Verknüpfung': 0, 'des': 0, 'Rentenalters': 0.915, 'mit': 1.0, 'der': 0.11, 'Lebenserw': 0, '…': 0}",positive,"[0.20122957, 0.011477202, 0.78729326]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @BDPSchweiz: Ja zum #Vaterschaftsurlaub am 27. September! @h_siegenthaler @papizeit #BDP #abst2020 #chVote https://t.co/0TTbVXBnu2,ja vaterschaftsurlaub september bdp abst2020 chvote,,,,"{'Ja': 0, 'zum': 1.0, 'Vaterschaftsurlaub': 0.57, 'am': 0, '27.': 0, 'September': 0.07, 'BDP': 0.08, 'abst2020': 0.17, 'chVote': 0.11}",positive,"[0.006561614, 0.0029805345, 0.9904578]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,RT @BDPSchweiz: Klares Ja auch zum #Vaterschaftsurlaub @papizeit #BDP https://t.co/59CgrtB3yM,klar ja vaterschaftsurlaub bdp,,,,"{'Klares': 0.19, 'Ja': 0, 'auch': 0, 'zum': 0.68, 'Vaterschaftsurlaub': 0.71, 'BDP': 0.28}",positive,"[0.0029405397, 0.0013537393, 0.9957058]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,@DennisBuehler @falcino2011 @M_Haefliger @BinderMarianne @CVP_PDC Natürlich könnte man das Volk fragen. Die Frage wäre dann: Wollt ihr 4 Wochen #Vaterschaftsurlaub in der #Verfassung und den Weg zum #Elternurlaub steinig und länger machen oder wollt ihr 2 Wochen als ersten Schritt auf dem Weg zur Elternzeit jetzt schnell einführen?,natürlich volk fragen fragen wochen vaterschaftsurlaub verfassung elternurlaub steinig lang wochen erst schritt elternzeit schnellen einfahren,,,,"{'Natürlich': 0, 'könnte': 0.02, 'man': 0, 'das': 0, 'Volk': 0.03, 'fragen': 0, 'Die': 0.02, 'Frage': 0.03, 'wäre': 0.02, 'dann': 0.03, 'Wollt': 0.02, 'ihr': 0, '4': 0, 'Wochen': 0.16, 'Vaterschaftsurlaub': 0.08, 'in': 0.13, 'der': 0.02, 'Verfassung': 0.08, 'und': 0.07, 'den': 0.02, 'Weg': 0, 'zum': 0.03, 'Elternurlaub': 0.08, 'steinig': 0, 'länger': 0.04, 'machen': 0.03, 'oder': 0.06, 'wollt': 0.02, '2': 0, 'als': 0.08, 'ersten': 0.04, 'Schritt': 0.08, 'auf': 0.03, 'dem': 0.03, 'zur': 0.03, 'Elternzeit': 0.08, 'jetzt': 0, 'schnell': 0, 'einführen': 0.09}",neutral,"[0.6303971, 0.28920293, 0.08040004]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Nein zur Planwirtschaft. Nein zu einer Pflicht, wenn freiwillige Wohnbauförderung bereits möglich ist. #abst2020 #Wohnungsbauinitiative https://t.co/i8RdZYyHRd",nein planwirtschaft nein pflicht freiwillige wohnbauförderung bereits möglich abst2020 wohnungsbauinitiative,,,,,,,"{'Nein': 0.04, 'zur': 0.055, 'Planwirtschaft': 0.12, 'zu': 0.05, 'einer': 0, 'Pflicht': 0, 'wenn': 0.35, 'freiwillige': 0, 'Wohnbauförderung': 0.42, 'bereits': 0.12, 'möglich': 0.17, 'ist': 0.1, 'abst2020': 0.25, 'Wohnungsbauinitiative': 0.125}",positive,"[0.33860826, 0.06416557, 0.5972262]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"Als ich noch im Nationalrat war hatte ich  einem Vorstoss, der die Widerspruchslösung wollte, zugestimmt. #Organspende  Gut hat der NR zugestimmt. Mal sehen, was der Ständerat macht. https://t.co/EaRahL5YMM",nationalrat vorstoss widerspruchslösung zustimmen organspende gut nr zustimmen mal sehen ständerat,,,,,,,,,,"{'Als': 0.02, 'ich': 0.01, 'noch': 0.01, 'im': 0, 'Nationalrat': 0.075, 'war': 0, 'hatte': 0, 'einem': 0, 'Vorstoss': 0, 'der': 0.2, 'die': 0.2, 'Widerspruchslösung': 0, 'wollte': 0, 'zugestimmt': 0.2, 'Organspende': 0, 'Gut': 0.03, 'hat': 0, 'NR': 0, 'Mal': 0, 'sehen': 0.71, 'was': 0.01, 'Ständerat': 0.115, 'macht': 0}",neutral,"[0.9588001, 0.012303349, 0.02889658]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
