answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3415,absa_sentiment_3415,absa_scores_3415,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3471,absa_sentiment_3471,absa_scores_3471,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"RT @JCVPSchweiz: Unser Vorschlag ist ein Gesamzkonzept:
-Rentenalter anpassen und flexibilisieren
-Koordinationsabzug abschaffen
-Arbeitgeb…",vorschlag gesamzkonzept rentenalter anpassen flexibilisieren koordinationsabzug abschaffen arbeitgeb,"{'Unser': 0.08, 'Vorschlag': 0.28, 'ist': 0.12, 'ein': 0, 'Gesamzkonzept': 0.4, '-Rentenalter': 0.62, 'anpassen': 1.0, 'und': 0.48, 'flexibilisieren': 0.36375, '-Koordinationsabzug': 0.18, 'abschaffen': 0.24, '-Arbeitgeb': 0, '…': 0}",positive,"[0.31437492, 0.031205622, 0.6544194]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @JCVPSchweiz: „Für eine langfristige und nachhaltige Sanierung der Altersvorsorge braucht es eine Erhöhung des Rentenalters. Gleichberec…,langfristig nachhaltig sanierung altersvorsorge brauchen erhöhung rentenalters gleichberec,"{'„': 0, 'Für': 0, 'eine': 0, 'langfristige': 0, 'und': 0, 'nachhaltige': 0, 'Sanierung': 0, 'der': 0, 'Altersvorsorge': 0, 'braucht': 0, 'es': 0, 'Erhöhung': 0, 'des': 0, 'Rentenalters': 0, 'Gleichberec': 0, '…': 0}",neutral,"[0.43798336, 0.2107416, 0.35127506]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"RT @CVP_PDC: NR @RuthHumbel (AG) kämpft darum, dass das AHV-Rentenalter nicht auf 67 Jahren erhöht wird. #AV2020 Live-Debatte: https://t.co…",nr ag kämpfen darum ahv rentenalter jahren erhöhen av2020 live debatte,"{'NR': 0, 'AG': 0.06, 'kämpft': 0, 'darum': 0, 'dass': 0.06, 'das': 0.06, 'AHV-Rentenalter': 0.06, 'nicht': 0.03, 'auf': 0, '67': 0, 'Jahren': 0.07, 'erhöht': 0, 'wird': 0, 'AV2020': 0.36, 'Live-Debatte': 0.56}",positive,"[0.44213477, 0.06089606, 0.49696916]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @JCVPSchweiz: Nachdem wir bereits die Anbindung des Rentenalters an die Lebenserwartung forderte, tut dies nun auch die @YouthEPP: https…",nachdem bereits anbindung rentenalters lebenserwartung fordern tun https,"{'Nachdem': 0.17, 'wir': 0, 'bereits': 0.1, 'die': 1.0, 'Anbindung': 0, 'des': 0, 'Rentenalters': 0.79, 'an': 0, 'Lebenserwartung': 0.13, 'forderte': 0, 'tut': 0, 'dies': 0, 'nun': 0, 'auch': 0.07, 'https': 0.13, '…': 0}",neutral,"[0.90160424, 0.010143932, 0.0882518]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,Die @JCVPSchweiz steht ein für die Jugend u. will das #Rentenalter an die Lebenserwartung koppeln. #NZZ #Rentenreform http://t.co/KJ7EjeRR6F,stehen jugend u rentenalter lebenserwartung koppeln nzz rentenreform,"{'Die': 1.0, 'steht': 0.29, 'ein': 0, 'für': 0.14, 'die': 1.0, 'Jugend': 0.28, 'u.': 0, 'will': 0, 'das': 0, 'Rentenalter': 0.355, 'an': 0, 'Lebenserwartung': 0.18, 'koppeln': 1.0, 'NZZ': 0.11, 'Rentenreform': 0.12000000000000001}",positive,"[0.28418162, 0.015242158, 0.7005762]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"RT @CVP_PDC: Ein zweiwöchiger #Vaterschaftsurlaub ist pragmatisch, finanzierbar und KMU-freundlich. Die CVP-Lösung von zwei Wochen ist ein…",zweiwöchiger vaterschaftsurlaub pragmatisch finanzierbar kmu freundlich cvp lösung zwei wochen,,,,"{'Ein': 0.06, 'zweiwöchiger': 0.065, 'Vaterschaftsurlaub': 0.48, 'ist': 0.07, 'pragmatisch': 0.34, 'finanzierbar': 0.6, 'und': 0.16, 'KMU-freundlich': 0, 'Die': 0.09, 'CVP-Lösung': 0.09, 'von': 0, 'zwei': 0.04, 'Wochen': 0, 'ein': 0, '…': 0}",positive,"[0.0011979962, 0.0012051006, 0.9975969]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @CVP_PDC: Mit dem zweiwöchigen Vaterschaftsurlaub und der Erhöhung der Kinderabzüge wird dank der #CVP die Vereinbarkeit von Beruf &amp; Fam…,zweiwöchigen vaterschaftsurlaub erhöhung kinderabzüge danken cvp vereinbarkeit beruf amp fam,,,,"{'Mit': 1.0, 'dem': 0.14, 'zweiwöchigen': 0, 'Vaterschaftsurlaub': 0.705, 'und': 0.46, 'der': 0.14, 'Erhöhung': 0.83, 'Kinderabzüge': 0, 'wird': 0, 'dank': 0, 'CVP': 0, 'die': 0.14, 'Vereinbarkeit': 0.1, 'von': 0, 'Beruf': 0, 'amp': 0.05, 'Fam': 0.15, '…': 0}",negative,"[0.04024011, 0.6640834, 0.2956765]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,0.85,neutral,RT @CVP_PDC: Der #Vaterschaftsurlaub leistet einen wichtigen Beitrag zur besseren Vereinbarkeit von Beruf &amp; Familie. Sagen wir Ja zu einer…,vaterschaftsurlaub leisten wichtig beitrag gut vereinbarkeit beruf amp familie sagen ja,,,,"{'Der': 0.05, 'Vaterschaftsurlaub': 0.5, 'leistet': 0, 'einen': 0, 'wichtigen': 0.17, 'Beitrag': 0.26, 'zur': 0.045, 'besseren': 0.06, 'Vereinbarkeit': 0.09, 'von': 0, 'Beruf': 0, 'amp': 0.1, 'Familie': 0.09, 'Sagen': 0.04, 'wir': 0, 'Ja': 0, 'zu': 0.04, 'einer': 0.11, '…': 0}",positive,"[0.0013205446, 0.0011709725, 0.9975084]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @CVP_PDC: Vater werden darf nicht länger gleich behandelt werden wie ein Wohnungsumzug! Ein zweiwöchiger #Vaterschaftsurlaub ist ein wic…,vater dürfen lang gleichen behandeln wohnungsumzug zweiwöchiger vaterschaftsurlaub wic,,,,"{'Vater': 0.06, 'werden': 0, 'darf': 0, 'nicht': 0, 'länger': 0.04, 'gleich': 0.04, 'behandelt': 0.09, 'wie': 0, 'ein': 0, 'Wohnungsumzug': 0.11, 'Ein': 0.4, 'zweiwöchiger': 0.315, 'Vaterschaftsurlaub': 0.43, 'ist': 0.35, 'wic': 0.47, '…': 0}",neutral,"[0.60077095, 0.36855263, 0.030676419]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,0.85,neutral,"RT @JCVPSchweiz: Die #JCVP setzt sich aktiv dafür ein, damit wir heute den letzten Vatertag ohne #Vaterschaftsurlaub feiern können! 💪🏼 Der…",jcvp setzen aktiv dafür heute letzt vatertag vaterschaftsurlaub feiern,,,,"{'Die': 0.11, 'JCVP': 0.16, 'setzt': 0, 'sich': 0, 'aktiv': 0, 'dafür': 0, 'ein': 0, 'damit': 0, 'wir': 0, 'heute': 0.11, 'den': 0.11, 'letzten': 0.04, 'Vatertag': 0.06, 'ohne': 0.78, 'Vaterschaftsurlaub': 0.65, 'feiern': 0.09, 'können': 0, 'Der': 0.11, '…': 0}",negative,"[0.07168793, 0.82934374, 0.098968245]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
