answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3430,absa_sentiment_3430,absa_scores_3430,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3476,absa_sentiment_3476,absa_scores_3476,sentiment_tb
50.0,75.0,57.0,0.0,neutral,RT @prime_news_ch: Seit 1. Januar 2021 ist der gesetzliche Vaterschaftsurlaub in Kraft. Doch es gibt mehrere Unklarheiten bei der Umsetzung…,seit januar gesetzliche vaterschaftsurlaub kraft geben mehrer unklarheiten umsetzung,"{'Seit': 0.2, '1.': 0, 'Januar': 0.1, '2021': 0, 'ist': 0, 'der': 0.06, 'gesetzliche': 1.0, 'Vaterschaftsurlaub': 0.975, 'in': 0.06, 'Kraft': 0, 'Doch': 0.23, 'es': 0, 'gibt': 0.13, 'mehrere': 0.15, 'Unklarheiten': 0.33, 'bei': 0, 'Umsetzung': 0.17, '…': 0}",neutral,"[0.6368136, 0.2443963, 0.118790045]",,,,,,,,,,,,,,,,,,,neutral
50.0,25.0,28.0,-0.15,neutral,"RT @lohnabzuegeNein: Jetzt höhere Lohnabzüge verhindern: 
➡️NEIN stimmen zum staatlichen #Vaterschaftsurlaub! https://t.co/HJOj9wZrJf",hoch lohnabzüge verhindern nein stimmen staatlich vaterschaftsurlaub,"{'Jetzt': 0.09, 'höhere': 0.06, 'Lohnabzüge': 0.145, 'verhindern': 0, '️NEIN': 0, 'stimmen': 0, 'zum': 0.19, 'staatlichen': 0.5, 'Vaterschaftsurlaub': 0.65}",positive,"[0.18542239, 0.18159738, 0.6329802]",,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @jsvpbs: Unsere Petition ""konsequente Umsetzung des Asylrechts"". Unterschreibe auch du heute noch: https://t.co/vjlL8USX0Z
#JungeFürdieS…",petition konsequente umsetzung asylrechts unterschreiben heute jungefürdies,,,,"{'Unsere': 0.11, 'Petition': 0.49, 'konsequente': 1.0, 'Umsetzung': 1.0, 'des': 0, 'Asylrechts': 0.24, 'Unterschreibe': 0.24, 'auch': 0, 'du': 0, 'heute': 0.08, 'noch': 0, 'JungeFürdieS': 0, '…': 0}",positive,"[0.024862552, 0.0029076687, 0.97222984]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @jsvpbs: Wir lehnen das Ausländerstimmrecht ab! Die Einbürgerung ist der Weg zum Wahl- und Stimmrecht.
#freiundsicher #Zukunftverteidige…",lehnen ausländerstimmrecht ab einbürgerung wahl stimmrecht freiundsicher zukunftverteidige,,,,,,,"{'Wir': 0.84, 'lehnen': 0, 'das': 0, 'Ausländerstimmrecht': 0.255, 'ab': 0, 'Die': 0.04, 'Einbürgerung': 0.5, 'ist': 0.44, 'der': 0.04, 'Weg': 0.18, 'zum': 0.045, 'Wahl-': 0, 'und': 0.08, 'Stimmrecht': 0.11000000000000001, 'freiundsicher': 0.08, 'Zukunftverteidige': 0.045, '…': 0}",positive,"[0.07148422, 0.033265166, 0.8952507]",,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,neutral,@LisaWitzig55 @Sarah_Cadella Erst kürzlich konnten mit der SV17 in BS Steuersenkungen durchgesetzt werden. Eine Initiative zu lancieren ist sehr aufwändig und teuer und im Moment ist auch das Sammeln erschwert. Deshalb ist jetzt nicht der richtige Zeitpunkt dafür. Aber wir bleiben dran.,erst kürzlich sv17 bs steuersenkungen durchsetzen initiative lancieren aufwändig teuer moment sammeln erschweren deshalb richtige zeitpunkt dafür bleiben dran,,,,,,,,,,"{'Erst': 0, 'kürzlich': 0.19, 'konnten': 0, 'mit': 0, 'der': 0.04, 'SV17': 0.26, 'in': 0.18, 'BS': 0.13, 'Steuersenkungen': 0.675, 'durchgesetzt': 0, 'werden': 0, 'Eine': 0, 'Initiative': 0.3, 'zu': 0.48, 'lancieren': 0, 'ist': 0.04, 'sehr': 0.12, 'aufwändig': 0, 'und': 0.04, 'teuer': 0.09, 'im': 0, 'Moment': 0.05, 'auch': 0, 'das': 0, 'Sammeln': 0, 'erschwert': 0.07, 'Deshalb': 0, 'jetzt': 0.05, 'nicht': 0.03, 'richtige': 0, 'Zeitpunkt': 0.05, 'dafür': 0, 'Aber': 0.05, 'wir': 0, 'bleiben': 0, 'dran': 0}",positive,"[0.3774546, 0.07681761, 0.5457278]",,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"""Die Grundstücksteuer für juristische Personen - die Minimalsteuer lässt die Steuersenkung ins Leere laufen""
Ein kleiner Input zu der letztjährigen Steuersenkung der SV17 von Beatrice Van der Haegen und meiner Wenigkeit 😊. #Steuerrecht #SV17 #Steuersenkung #Minimalsteuer https://t.co/pO5QSwIHxj",grundstücksteuer juristische personen minimalsteuer lässt steuersenkung leer laufen klein input letztjährig steuersenkung sv17 beatrice van haegen wenigkeit steuerrecht sv17 steuersenkung minimalsteuer,,,,,,,,,,"{'Die': 0.44, 'Grundstücksteuer': 0.05, 'für': 0.09, 'juristische': 0.08, 'Personen': 0, 'die': 0.44, 'Minimalsteuer': 0.035, 'lässt': 0, 'Steuersenkung': 0.045, 'ins': 0, 'Leere': 0, 'laufen': 0, 'Ein': 0.08, 'kleiner': 0, 'Input': 0.12, 'zu': 0, 'der': 0.44, 'letztjährigen': 0.03, 'SV17': 0.05, 'von': 0, 'Beatrice': 0.02, 'Van': 0.04, 'Haegen': 0.05, 'und': 0.04, 'meiner': 0, 'Wenigkeit': 0, 'Steuerrecht': 0.045}",negative,"[0.105393484, 0.8383691, 0.056237414]",,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"NEIN zur Verharmlosung der Folgen eines staatlichen Mindestlohnes, 2x NEIN zum kantonalen #Mindestlohn! 
@neinmindestlohn https://t.co/BD39uyIkf8",nein verharmlosung folgen staatlich mindestlohnes 2x nein kantonalen mindestlohn,,,,,,,,,,,,,"{'NEIN': 0.46, 'zur': 0.215, 'Verharmlosung': 0, 'der': 0.22, 'Folgen': 0, 'eines': 0, 'staatlichen': 0.14, 'Mindestlohnes': 0.33499999999999996, '2x': 0.35, 'zum': 0.215, 'kantonalen': 0.31, 'Mindestlohn': 0.33499999999999996}",positive,"[0.22228336, 0.06377063, 0.71394604]",,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @neinmindestlohn: Heute in der BaZ @bazonline. Zwei treffende Leserbriefe von Walter F. Rehm und @DScherrer96 
#neinzulohndiktat #mindes…",heute baz zwei treffend leserbriefe walter f rehm neinzulohndiktat mindes,,,,,,,,,,,,,"{'Heute': 0.15, 'in': 0.05, 'der': 0.05, 'BaZ': 0.09, 'Zwei': 0.4, 'treffende': 0, 'Leserbriefe': 0.14125, 'von': 0.19, 'Walter': 0.09, 'F.': 0, 'Rehm': 0.1, 'und': 0.39, 'neinzulohndiktat': 0.53, 'mindes': 0, '…': 0}",neutral,"[0.8317865, 0.12436979, 0.043843586]",,,,,,,neutral
50.0,25.0,28.0,-0.15,neutral,"Im Streitgespräch mit @bedabaumgartner habe ich ausgeführt, weshalb ein staatlich diktierter Mindestlohn mehr schadet als hilft. Stimme auch du am 13. Juni 2x Nein zum kantonalen #Mindestlohn!
@neinmindestlohn https://t.co/4P2W5a8KyU",streitgespräch ausführen weshalb staatlich diktiert mindestlohn mehr schaden helfen stimme juni 2x nein kantonalen mindestlohn,,,,,,,,,,,,,"{'Im': 0, 'Streitgespräch': 0.4, 'mit': 0.07, 'habe': 0, 'ich': 0.09, 'ausgeführt': 0, 'weshalb': 0, 'ein': 0, 'staatlich': 0.13, 'diktierter': 0.09, 'Mindestlohn': 0.195, 'mehr': 0.05, 'schadet': 0, 'als': 0, 'hilft': 0, 'Stimme': 0, 'auch': 0, 'du': 0, 'am': 0, '13.': 0, 'Juni': 0.31, '2x': 0, 'Nein': 1.0, 'zum': 0.415, 'kantonalen': 0.24}",neutral,"[0.54540277, 0.28474504, 0.16985215]",,,,,,,neutral
100.0,100.0,86.0,0.7,negative,RT @jsvpbs: Die bürgerlichen und liberalen Jungparteien machen sich stark für ein doppeltes Nein zum Mindestlohn. @neinmindestlohn @Sessels…,bürgerlich liberal jungparteien stark doppelt nein mindestlohn,,,,,,,,,,,,,"{'Die': 0.19, 'bürgerlichen': 0, 'und': 0.07, 'liberalen': 0.07, 'Jungparteien': 0.09, 'machen': 0, 'sich': 0, 'stark': 0, 'für': 0, 'ein': 0, 'doppeltes': 0.61, 'Nein': 1.0, 'zum': 0.595, 'Mindestlohn': 0.34, '…': 0}",neutral,"[0.42177346, 0.17897959, 0.3992469]",,,,,,,positive
