answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3417,absa_sentiment_3417,absa_scores_3417,absa_token_weights_3421,absa_sentiment_3421,absa_scores_3421,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3433,absa_sentiment_3433,absa_scores_3433,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3451,absa_sentiment_3451,absa_scores_3451,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,RT @natalieimboden: Motion @gruenebern für bedarfsgerechten Ausbau der #Kinderbetreuung in der Märzsession eingereicht! Bern braucht bezahl…,motion bedarfsgerecht ausbau kinderbetreuung märzsession einreichen bern brauchen bezahl,"{'Motion': 0.12, 'für': 0.09, 'bedarfsgerechten': 0, 'Ausbau': 0.29, 'der': 0.08, 'Kinderbetreuung': 1.0, 'in': 0.08, 'Märzsession': 0.14500000000000002, 'eingereicht': 0.37, 'Bern': 0.09, 'braucht': 0.06, 'bezahl': 0.09, '…': 0}",neutral,"[0.57477486, 0.17090449, 0.25432065]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,Lehrstuhl für die medizinische Nutzung von Cannabis: passt eigentlich gut zu meiner (alten) Forderung nach einem Ausbau der Komplementärmedizin (inkl. Phytotherapie alias Pflanzenheilkunde)! Leider konnte ich das nicht sagen: https://t.co/QqqUFTcJFB @Walter_Stuedeli @nr_mayagraf https://t.co/yTUVRebMA3,lehrstuhl medizinische nutzung cannabis passt eigentlich gut alt forderung ausbau komplementärmedizin inkl phytotherapie alias pflanzenheilkunde leider sagen,,,,"{'Lehrstuhl': 0.03, 'für': 0.02, 'die': 0.02, 'medizinische': 0.01, 'Nutzung': 0.01, 'von': 0, 'Cannabis': 0.04, 'passt': 0.2, 'eigentlich': 0.08, 'gut': 0, 'zu': 0, 'meiner': 0, 'alten': 0.03, 'Forderung': 0, 'nach': 0, 'einem': 0, 'Ausbau': 0.08, 'der': 0.02, 'Komplementärmedizin': 0.030000000000000002, 'inkl.': 0, 'Phytotherapie': 0.06, 'alias': 0.03, 'Pflanzenheilkunde': 0.01, 'Leider': 0.91, 'konnte': 0, 'ich': 0.16, 'das': 0.36, 'nicht': 0, 'sagen': 0.9}",positive,"[0.114060156, 0.058908843, 0.82703096]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @GrueneCH: Nein zur autom. Erhöhung des Rentenalters, Ja zu 70 CHF/Monat mehr AHV - Altersvorsorge 2020 morgen im Nationalrat.

https://…",nein autom erhöhung rentenalters ja chf monat mehr ahv altersvorsorge morgen nationalrat,,,,,,,"{'Nein': 0.33, 'zur': 0.255, 'autom': 0.28, 'Erhöhung': 0, 'des': 0, 'Rentenalters': 0.545, 'Ja': 0, 'zu': 0.44, '70': 0, 'CHF': 0.15, 'Monat': 0.09, 'mehr': 0.14, 'AHV': 0.11, 'Altersvorsorge': 0.095, '2020': 0, 'morgen': 0.17, 'im': 0, 'Nationalrat': 0.11}",positive,"[0.09072397, 0.022612648, 0.8866634]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"RT @RegulaRytz: Nationalratsmehrheit für Frauenrentenalter 65, trotz Lohndiskriminierung von 40% ( 678 Franken pro Monat)!https://t.co/93sf…",nationalratsmehrheit frauenrentenalter trotzen lohndiskriminierung franken pro monat,,,,,,,"{'Nationalratsmehrheit': 0, 'für': 0.2, 'Frauenrentenalter': 0.2225, '65': 0, 'trotz': 0.05, 'Lohndiskriminierung': 0.075, 'von': 0, '40': 0, '678': 0, 'Franken': 0, 'pro': 0, 'Monat': 0.05}",positive,"[0.25744036, 0.020390466, 0.7221692]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,RT @RegulaRytz: Frauen sind die grossen Verlierer/innen der Rentenreform: Höheres Rentenalter und kein Ausgleich von Lohndiskriminierung. Ü…,frauen grossen verlierer innen rentenreform hoch rentenalter ausgleich lohndiskriminierung ü,,,,,,,"{'Frauen': 0.13, 'sind': 0.09, 'die': 0.11, 'grossen': 0, 'Verlierer': 0, 'innen': 0, 'der': 0.11, 'Rentenreform': 0.265, 'Höheres': 1.0, 'Rentenalter': 0.81, 'und': 0.61, 'kein': 0.71, 'Ausgleich': 0.34, 'von': 0, 'Lohndiskriminierung': 0.305, 'Ü': 0, '…': 0}",negative,"[0.0540772, 0.7998177, 0.14610505]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,negative,"RT @claufriedl: Jetzt auch noch die 70.- Fr. Erhöhung und der Frauenbonus weg, nachdem Frauenrentenalter erhöht wurde. Sturzflug der AHV de…",fr erhöhung frauenbonus nachdem frauenrentenalter erhöhen sturzflug ahv de,,,,,,,"{'Jetzt': 0.05, 'auch': 0.05, 'noch': 0, 'die': 0.07, '70.-': 0, 'Fr.': 0, 'Erhöhung': 0.34, 'und': 0.04, 'der': 0.07, 'Frauenbonus': 0.09, 'weg': 0, 'nachdem': 0.26, 'Frauenrentenalter': 0.5675, 'erhöht': 0, 'wurde': 0, 'Sturzflug': 0, 'AHV': 0.08, 'de': 0, '…': 0}",negative,"[0.0422382, 0.9363953, 0.02136649]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,positive,"RT @GrueneCH: Super, @papizeit-Initiative für 20 Tage #Vaterschaftsurlaub wird am 4. Juli eingereicht! Wir werden uns im #parlCH stark dafü…",super initiative tage vaterschaftsurlaub juli einreichen parlch stark dafü,,,,,,,,,,"{'Super': 0, '-Initiative': 0, 'für': 0.06, '20': 0, 'Tage': 0.1, 'Vaterschaftsurlaub': 1.0, 'wird': 0.06, 'am': 0, '4.': 0, 'Juli': 0.12, 'eingereicht': 1.0, 'Wir': 0.07, 'werden': 0.06, 'uns': 0, 'im': 0, 'parlCH': 0.13, 'stark': 0, 'dafü': 0, '…': 0}",positive,"[0.23222257, 0.06300458, 0.70477283]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @jonaskellerzh: Juhu, hurra! Die Initiative für vier Wochen Vaterschaftsurlaub steht! @papizeit #Vaterschaftsurlaub https://t.co/SzKUleT…",juhu hurra initiative vier wochen vaterschaftsurlaub stehen vaterschaftsurlaub,,,,,,,,,,"{'Juhu': 0.14, 'hurra': 0, 'Die': 0.09, 'Initiative': 0.13, 'für': 0.08, 'vier': 0.12, 'Wochen': 0.12, 'Vaterschaftsurlaub': 0.395, 'steht': 0}",positive,"[0.015526982, 0.0021290474, 0.9823439]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @GrueneCH: Initiative für einen #Vaterschaftsurlaub heute lanciert. Unterschreiben! @papizeit https://t.co/PzWHKVUz3Y https://t.co/esxVs…,initiative vaterschaftsurlaub heute lanciert unterschreiben,,,,,,,,,,"{'Initiative': 0.24, 'für': 0.41, 'einen': 0.46, 'Vaterschaftsurlaub': 0.51, 'heute': 0.23, 'lanciert': 0.4, 'Unterschreiben': 0.36}",positive,"[0.06721651, 0.0059313327, 0.92685217]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @nr_mayagraf: Gemeinsame Fürsorge von Beginn an!  #Vaterschaftsurlaub Initiative von https://t.co/iWTqJH0roI mit lanciert! https://t.co/…,gemeinsam fürsorge beginn vaterschaftsurlaub initiative lanciert,,,,,,,,,,"{'Gemeinsame': 0, 'Fürsorge': 0.14, 'von': 0.07, 'Beginn': 0, 'an': 0, 'Vaterschaftsurlaub': 0.97, 'Initiative': 1.0, 'mit': 0.28, 'lanciert': 1.0}",positive,"[0.008765276, 0.0095639145, 0.98167086]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,RT @natalieimboden: Guter Tag für preisgünstigen Wohnungsbau! @bglaettli @Mieterverband Köniz sagt klar Ja zu preisgünstigem Wohnen https:/…,gut tag preisgünstig wohnungsbau köniz sagen klaren ja preisgünstig wohnen https,,,,,,,,,,,,,"{'Guter': 0, 'Tag': 0, 'für': 0.39, 'preisgünstigen': 0.33, 'Wohnungsbau': 1.0, 'Köniz': 0, 'sagt': 0.06, 'klar': 0, 'Ja': 0, 'zu': 0.07, 'preisgünstigem': 0.33, 'Wohnen': 0, 'https': 0.09, ':/': 0, '…': 0}",positive,"[0.00090930035, 0.0009864283, 0.9981042]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
