answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,RT @FDPZG: FDP Kanton Zug sagt JA zur steuerlichen Berücksichtigung der Kinderbetreuungskosten. #kinderbetreuungskosten #fdp #abstimmungen,fdp kanton zug sagen ja steuerlich berücksichtigung kinderbetreuungskosten kinderbetreuungskosten fdp abstimmungen,"{'FDP': 0.43, 'Kanton': 0.06, 'Zug': 0.07, 'sagt': 0.15, 'JA': 0, 'zur': 0.095, 'steuerlichen': 0.15, 'Berücksichtigung': 0.22, 'der': 0.1, 'Kinderbetreuungskosten': 1.0, 'kinderbetreuungskosten': 1.0, 'fdp': 0, 'abstimmungen': 0.41}",positive,"[0.18993673, 0.031135213, 0.77892804]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @AlainS1991: Die #DVFDP hat meinen Antrag klar angenommen und fordert die Entpolitisierung des Rentenalters bis 2030! https://t.co/VIEzN…,dvfdp antrag klaren annehmen fordern entpolitisierung rentenalters,,,,"{'Die': 0.26, 'DVFDP': 0.14, 'hat': 0, 'meinen': 0, 'Antrag': 0.12, 'klar': 0, 'angenommen': 0.07, 'und': 0.04, 'fordert': 0.06, 'die': 0.26, 'Entpolitisierung': 0.49, 'des': 0, 'Rentenalters': 1.0, 'bis': 0, '2030': 0}",positive,"[0.3533815, 0.036461733, 0.6101568]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,RT @lohnabzuegeNein: Auch darum NEIN zum staatlichen #Vaterschaftsurlaub: https://t.co/7TQuqAfhLn,darum nein staatlich vaterschaftsurlaub,,,,,,,"{'Auch': 0.12, 'darum': 0.17, 'NEIN': 0.19, 'zum': 0.16, 'staatlichen': 0.54, 'Vaterschaftsurlaub': 0.62}",positive,"[0.110625476, 0.01103633, 0.8783382]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,RT @lohnabzuegeNein: Die @FDP_Liberalen lehnen den staatlichen #Vaterschaftsurlaub ab! 🥳 Herzlichen Dank @themattmueller_ für deinen engagi…,lehnen staatlich vaterschaftsurlaub ab herzlich danken engagi,,,,,,,"{'Die': 0.54, 'lehnen': 0, 'den': 0.54, 'staatlichen': 0.55, 'Vaterschaftsurlaub': 1.0, 'ab': 0, '🥳': 0, 'Herzlichen': 0, 'Dank': 0, 'für': 0, 'deinen': 0, 'engagi': 0, '…': 0}",negative,"[0.37611, 0.4650235, 0.15886654]",,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,positive,Gutes Argumentarium gegen den Vaterschaftsurlaub! https://t.co/BRF43YKLoB,gutes argumentarium vaterschaftsurlaub,,,,,,,"{'Gutes': 0.62, 'Argumentarium': 0, 'gegen': 1.0, 'den': 0, 'Vaterschaftsurlaub': 0.635}",positive,"[0.07277643, 0.05864122, 0.86858237]",,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @FDPZG: Die FDP Kanton sagt knapp Nein zum Vaterschaftsurlaub. #Vaterschaftsurlaub,fdp kanton sagen knapp nein vaterschaftsurlaub vaterschaftsurlaub,,,,,,,"{'Die': 0.09, 'FDP': 0.08, 'Kanton': 0.12, 'sagt': 0.38, 'knapp': 0, 'Nein': 1.0, 'zum': 0.545, 'Vaterschaftsurlaub': 0.44}",positive,"[0.16868035, 0.010411651, 0.82090795]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,neutral,@retolipp @NZZaS Man beachte die Verhinderungspolitik vieler beim massiven Ausbau vieler Projekte der erneuerbaren Energien sowie die massiv bremsende Bewilligungspraxis für Kleinstkraftwerke (Solardächer z.Bsp). Und dies noch: https://t.co/jUukRjLwHK,beachten verhinderungspolitik beim massiv ausbau projekte erneuerbaren energien sowie massiv bremsend bewilligungspraxis kleinstkraftwerke solardächer z bsp,,,,,,,,,,"{'Man': 0, 'beachte': 0, 'die': 0.13, 'Verhinderungspolitik': 0.12, 'vieler': 0.12, 'beim': 0.13, 'massiven': 0.2, 'Ausbau': 0.17, 'Projekte': 0.11, 'der': 0.13, 'erneuerbaren': 0.1, 'Energien': 0, 'sowie': 0.11, 'massiv': 0, 'bremsende': 0.06, 'Bewilligungspraxis': 0.11000000000000001, 'für': 0.05, 'Kleinstkraftwerke': 0.05, 'Solardächer': 0, 'z.': 0, 'Bsp': 0, 'Und': 0.53, 'dies': 0, 'noch': 0}",positive,"[0.06639231, 0.029312061, 0.9042956]",,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"RT @michelzug: Inhaltlich ist das Parlament in der «Post-Corona-Zeit» angekommen: Themen wie Altersvorsorge, erneuerbare Energien, Kohäsion…",inhaltlich parlament post corona zeit ankommen themen altersvorsorge erneuerbare energien kohäsion,,,,,,,,,,"{'Inhaltlich': 0, 'ist': 0, 'das': 0, 'Parlament': 0.38, 'in': 0.06, 'der': 0.16, '«': 0, 'Post-Corona-Zeit': 0, '»': 0, 'angekommen': 0, 'Themen': 0, 'wie': 0, 'Altersvorsorge': 0, 'erneuerbare': 0, 'Energien': 0, 'Kohäsion': 0, '…': 0}",negative,"[0.008522065, 0.8652084, 0.12626958]",,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,neutral,"@nohillside @LangstrumpfPipo @CCC_CH @swicoDEU @SeverinPflueger @Lukas_Stiefel @Claude_Grosjean @matthias_egli @Simone_Richner @DariusAzarpey @meliracine @ursrhyner @AndreaKuhnSenn Moment, E-Banking galt lange als unsicher und wurde auch verteufelt. Genau wie ihr das jetzt mit E-Voting macht. Das dies technisch ""andersc ist sind wir uns einig. Statt ""anders"" passt wohl auch ""ungereift"". Also: ran an die Weiterentwicklung! 😉",moment e banking gelten lang unsicher verteufeln genau e voting technisch andersc statt passt wohl ungereift ran weiterentwicklung,,,,,,,,,,,,,"{'Moment': 0, 'E-Banking': 0, 'galt': 0, 'lange': 0.05, 'als': 0, 'unsicher': 0, 'und': 0.05, 'wurde': 0, 'auch': 0.06, 'verteufelt': 0.12, 'Genau': 0.26, 'wie': 0, 'ihr': 0, 'das': 0.11, 'jetzt': 0.05, 'mit': 0.19, 'E-Voting': 0, 'macht': 0, 'Das': 0.15, 'dies': 0, 'technisch': 0, 'andersc': 0, 'ist': 0.08, 'sind': 0, 'wir': 0, 'uns': 0, 'einig': 0, 'Statt': 0.05, 'anders': 0.03, 'passt': 0.12, 'wohl': 0, 'ungereift': 0.1, 'Also': 0.06, 'ran': 0, 'an': 0, 'die': 0.15, 'Weiterentwicklung': 0.48}",negative,"[0.27344713, 0.6953681, 0.031184793]",,,,,,,,,,,,,,,,,,,negative
50.0,25.0,28.0,-0.15,neutral,"@LangstrumpfPipo @Simone_Richner @CCC_CH @swicoDEU @SeverinPflueger @Lukas_Stiefel @Claude_Grosjean @matthias_egli @DariusAzarpey @meliracine @ursrhyner @AndreaKuhnSenn @SarahJamieLewis @auslandschweiz @swissabroad Moment, ich sprach immer nur von der Möglichkeit die Stimme Elektronisch abgeben zu können. Egal wie man dies nennt. Wenn die zur Zeit vorhandene Lösung nicht sicher ist, heisst das: Weiterentwicklung. Und nicht: E-Voting verbieten!",moment sprechen immer möglichkeit stimme elektronisch abgeben egal nennen zeit vorhanden lösung sichern heisst weiterentwicklung e voting verbieten,,,,,,,,,,,,,"{'Moment': 0, 'ich': 0.03, 'sprach': 0, 'immer': 0, 'nur': 0.02, 'von': 0, 'der': 0.06, 'Möglichkeit': 0, 'die': 0.06, 'Stimme': 0, 'Elektronisch': 0.09, 'abgeben': 0, 'zu': 0.05, 'können': 0.07, 'Egal': 0.375, 'wie': 0, 'man': 0, 'dies': 0, 'nennt': 0, 'Wenn': 0, 'zur': 0.055, 'Zeit': 0, 'vorhandene': 0, 'Lösung': 0.11, 'nicht': 0.68, 'sicher': 0.15, 'ist': 0.05, 'heisst': 0.05, 'das': 0.05, 'Weiterentwicklung': 0.175, 'Und': 0.15, 'E-Voting': 0, 'verbieten': 1.0}",neutral,"[0.63904566, 0.31527713, 0.045677215]",,,,,,,,,,,,,,,,,,,neutral
