answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3416,absa_sentiment_3416,absa_scores_3416,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
75.0,75.0,71.0,0.2333333333333333,neutral,"Städte sind besonders stark betroffen von der Corona-Krise. Aber die @stadtzuerich hilft schnell und konkret, gerade auch den Schwächsten:z.B. Hilfe für Sans-Papiers, Ausweitung Öffnungszeiten Notschlafstellen, Übernahme Kinderbetreuungskosten, Nothilfe für Kleinstunternehmende. https://t.co/qPHyGQW2jx",städte besonders stark betreffen corona krise helfen schnellen konkret gerade schwach z b hilfe sans papiers ausweitung öffnungszeiten notschlafstellen übernahme kinderbetreuungskosten nothilfe kleinstunternehmende,"{'Städte': 0.06, 'sind': 0.04, 'besonders': 0.16, 'stark': 0, 'betroffen': 0, 'von': 0, 'der': 0.22, 'Corona-Krise': 0, 'Aber': 0.08, 'die': 0.22, 'hilft': 0.18, 'schnell': 0, 'und': 0.05, 'konkret': 0, 'gerade': 0, 'auch': 0, 'den': 0.22, 'Schwächsten': 1.0, 'z.B.': 0, 'Hilfe': 0.21, 'für': 0.06, 'Sans-Papiers': 0, 'Ausweitung': 0.09, 'Öffnungszeiten': 0.05, 'Notschlafstellen': 0, 'Übernahme': 0, 'Kinderbetreuungskosten': 0.19, 'Nothilfe': 0.11499999999999999, 'Kleinstunternehmende': 0}",negative,"[0.1617081, 0.5447358, 0.293556]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"RT @spschweiz: Pilotversuche mit Cannabis sind sinnvoll. Man muss herausfinden, wie sich die kontrollierte Abgabe auf den Konsum, die Gesun…",pilotversuche cannabis sinnvoll herausfinden kontrollieren abgabe konsum gesun,,,,"{'Pilotversuche': 0.3, 'mit': 0.8, 'Cannabis': 1.0, 'sind': 0, 'sinnvoll': 0, 'Man': 0, 'muss': 0.05, 'herausfinden': 0.06, 'wie': 0.06, 'sich': 0, 'die': 0.17, 'kontrollierte': 0.19, 'Abgabe': 0, 'auf': 0, 'den': 0.17, 'Konsum': 0.17, 'Gesun': 0, '…': 0}",neutral,"[0.7298532, 0.00864946, 0.26149732]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @spzuerich: «Wer die Sozialhilfeleistungen kürzt, der treibt die betroffenen Menschen nicht in den Arbeitsmarkt, sondern in die Armut. D…",wer sozialhilfeleistungen kürzen treiben betroffen menschen arbeitsmarkt armut d,,,,,,,"{'«': 0, 'Wer': 0, 'die': 0, 'Sozialhilfeleistungen': 0, 'kürzt': 0, 'der': 0, 'treibt': 0, 'betroffenen': 0, 'Menschen': 0, 'nicht': 0, 'in': 0, 'den': 0, 'Arbeitsmarkt': 0, 'sondern': 0, 'Armut': 0, 'D': 0, '…': 0}",positive,"[0.23689535, 0.053290635, 0.7098141]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"RT @spschweiz: Wir fordern endlich faire und einfache Einbürgerungen 👉 https://t.co/K2axHxeMYN

Darum unterstützen wir das Manifest der @AV…",fordern endlich faire einfach einbürgerungen darum unterstützen manifest,,,,,,,,,,"{'Wir': 0.06, 'fordern': 0, 'endlich': 0, 'faire': 0, 'und': 0.5, 'einfache': 1.0, 'Einbürgerungen': 1.0, 'Darum': 0, 'unterstützen': 0.17, 'wir': 0, 'das': 0.18, 'Manifest': 0, 'der': 0.08, '…': 0}",positive,"[0.0017389081, 0.0013623255, 0.9968988]",,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @s_sommaruga: Nach der Lohngleichheits-Vorlage kommen jetzt auch die Zielwerte für die Chefetagen. Zum Glück sind wir drangeblieben. 
Me…",lohngleichheits vorlage kommen zielwerte chefetagen glück dranbleiben me,,,,,,,,,,,,,"{'Nach': 0, 'der': 0.11, 'Lohngleichheits-Vorlage': 0.9275, 'kommen': 0, 'jetzt': 0.18, 'auch': 0.07, 'die': 0.11, 'Zielwerte': 0.28500000000000003, 'für': 0.08, 'Chefetagen': 0.28, 'Zum': 0.11, 'Glück': 0, 'sind': 0.14, 'wir': 0, 'drangeblieben': 0.11000000000000001, 'Me': 0.06, '…': 0}",positive,"[0.24669078, 0.016652921, 0.7366563]",,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"Wichtiger Erfolg von @seilergraf heute Mittag am #tagdermenschenrechte im @ParlCH: Trotz SVP-Rückkommensantrag erhält ihre Motion ""Stopp aller Kriegsmaterialexporte an die Jemen-Kriegsallianz"" eine Mehrheit, sogar 2 Mal, bravo! 👏💪",wichtig erfolg heute mittag tagdermenschenrechte trotzen svp rückkommensantrag erhalten motion stopp all kriegsmaterialexporte jemen kriegsallianz mehrheit sogar mal bravo,,,,,,,,,,,,,,,,"{'Wichtiger': 0.04, 'Erfolg': 0.08, 'von': 0.02, 'heute': 0, 'Mittag': 0, 'am': 0, 'tagdermenschenrechte': 0, 'im': 0.03, 'Trotz': 0, 'SVP-Rückkommensantrag': 0.1975, 'erhält': 0.56, 'ihre': 0, 'Motion': 0.84, 'Stopp': 1.0, 'aller': 0, 'Kriegsmaterialexporte': 0.5800000000000001, 'an': 0.03, 'die': 0.07, 'Jemen-Kriegsallianz': 0.085, 'eine': 0, 'Mehrheit': 0.17, 'sogar': 0.09, '2': 0, 'Mal': 0, 'bravo': 0.16}",neutral,"[0.6726856, 0.18282813, 0.14448619]",,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,150 Firmen können Rüstungsmaterial exportieren - kein Ruhmesblatt für die Schweiz! Auch die RUAG-Privatisierung zeigt: wir brauchen dringend schärfere Regeln&amp;Kontrollen beim Export von Kriegsmaterial.  Danke @Wochenzeitung für die Transparenz! https://t.co/OdZdSGAlie,firmen rüstungsmaterial exportieren ruhmesblatt schweiz ruag privatisierung zeigen brauchen dringen scharf regeln amp kontrollen beim export kriegsmaterial danke transparenz,,,,,,,,,,,,,,,,"{'150': 0, 'Firmen': 0.08, 'können': 0, 'Rüstungsmaterial': 0.39, 'exportieren': 0.18, 'kein': 0.01, 'Ruhmesblatt': 0.02, 'für': 0.02, 'die': 0.03, 'Schweiz': 0.04, 'Auch': 0.03, 'RUAG-Privatisierung': 0.05, 'zeigt': 0, 'wir': 0, 'brauchen': 0.1, 'dringend': 0.08, 'schärfere': 0, 'Regeln&amp;Kontrollen': 0.215, 'beim': 0.03, 'Export': 0.18, 'von': 0, 'Kriegsmaterial': 0.5900000000000001, 'Danke': 0, 'Transparenz': 0.09}",neutral,"[0.8711705, 0.016144626, 0.112684846]",,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @seilergraf: Ein Grund mehr für einen sofortigen Stopp von Waffenexporten an Saudi-Arabien und gegen jegliche Kriegsmaterialausfuhren in…,grund mehr sofortig stopp waffenexporten saudi arabien jeglich kriegsmaterialausfuhren,,,,,,,,,,,,,,,,"{'Ein': 0, 'Grund': 0, 'mehr': 0.14, 'für': 0.09, 'einen': 0, 'sofortigen': 0, 'Stopp': 0.21, 'von': 0, 'Waffenexporten': 0.08, 'an': 0.08, 'Saudi-Arabien': 0.07, 'und': 0.17, 'gegen': 0.27, 'jegliche': 0.18, 'Kriegsmaterialausfuhren': 0.18, 'in': 0.75, '…': 0}",neutral,"[0.87497735, 0.070400186, 0.05462251]",,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,Wie bitte?! Kampfjet-Hersteller finanzieren Pro-Kampagne für neue Kampfflugzeuge? https://t.co/E0eChGd2h2,bitte kampfjet hersteller finanzieren pro kampagne neue kampfflugzeuge,,,,,,,,,,,,,,,,,,,"{'Wie': 0, 'bitte': 0, 'Kampfjet-Hersteller': 0.07, 'finanzieren': 0.16, 'Pro-Kampagne': 0.245, 'für': 0.35, 'neue': 0.15, 'Kampfflugzeuge': 0}",neutral,"[0.96488047, 0.023692448, 0.011427061]",,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @srfnews: «Es ist kein Nein zur Digitalisierung. Es ist ein Nein zu dieser Art der Digitalisierung, die eine öffentliche Aufgabe an gewi…",nein digitalisierung nein art digitalisierung öffentlich aufgabe gewi,,,,,,,,,,,,,,,,,,,,,,"{'«': 0, 'Es': 0, 'ist': 0, 'kein': 0, 'Nein': 0, 'zur': 0, 'Digitalisierung': 0, 'ein': 0, 'zu': 0, 'dieser': 0, 'Art': 0, 'der': 0, 'die': 0, 'eine': 0, 'öffentliche': 0, 'Aufgabe': 0, 'an': 0, 'gewi': 0, '…': 0}",neutral,"[0.6103283, 0.28149274, 0.108178966]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Ein rascher Abbau der Corona-Schulden würgt die wirtschaftliche Erholung ab. Um gestärkt aus der Krise hervorzugehen und international nicht abgehängt zu werden, braucht es Investitionen in: Gesundheitswesen, Aus- und Weiterbildung, Umweltschutz, Infrastruktur. https://t.co/5R0hNdpwMz",rasch abbau corona schulden würgen wirtschaftlich erholung ab stärken krise hervorgehen international abhängen brauchen investitionen gesundheitswesen weiterbildung umweltschutz infrastruktur,,,,,,,,,,,,,,,,,,,,,,,,,"{'Ein': 0.04, 'rascher': 0, 'Abbau': 0, 'der': 0.03, 'Corona-Schulden': 0.025, 'würgt': 0, 'die': 0.03, 'wirtschaftliche': 0.03, 'Erholung': 0, 'ab': 0, 'Um': 0, 'gestärkt': 0, 'aus': 0, 'Krise': 0.04, 'hervorzugehen': 0.03, 'und': 0.32, 'international': 0, 'nicht': 0.04, 'abgehängt': 0, 'zu': 0.02, 'werden': 0.03, 'braucht': 0, 'es': 0, 'Investitionen': 0.24, 'in': 0.13, 'Gesundheitswesen': 0, 'Aus-': 0, 'Weiterbildung': 0.12, 'Umweltschutz': 0.64, 'Infrastruktur': 1.0}",positive,"[0.003189352, 0.0033270025, 0.9934836]",,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Ein rascher Abbau der Corona-Schulden würgt die wirtschaftliche Erholung ab. Um gestärkt aus der Krise hervorzugehen&amp;international nicht abgehängt zu werden, braucht es Investitionen ins Gesundheitswesen, Bildung, Umweltschutz, Infrastruktur.
https://t.co/wiAWORRMLB 
@spschweiz https://t.co/t1GFYnYAEE",rasch abbau corona schulden würgen wirtschaftlich erholung ab stärken krise hervorgehen amp international abhängen brauchen investitionen gesundheitswesen bildung umweltschutz infrastruktur,,,,,,,,,,,,,,,,,,,,,,,,,"{'Ein': 0.08, 'rascher': 0, 'Abbau': 0, 'der': 0.05, 'Corona-Schulden': 0.05, 'würgt': 0, 'die': 0.05, 'wirtschaftliche': 0.04, 'Erholung': 0, 'ab': 0, 'Um': 0, 'gestärkt': 0, 'aus': 0, 'Krise': 0.09, 'hervorzugehen&amp;international': 0.1, 'nicht': 0.08, 'abgehängt': 0, 'zu': 0.05, 'werden': 0.06, 'braucht': 0, 'es': 0, 'Investitionen': 1.0, 'ins': 0, 'Gesundheitswesen': 0, 'Bildung': 0.17, 'Umweltschutz': 0.26, 'Infrastruktur': 0.18}",positive,"[0.23968582, 0.09257039, 0.6677438]",,,,,,,,,,neutral
100.0,100.0,100.0,0.85,positive,Natürlich braucht es jetzt einen EU-Beitrittsvorstoss in der Sommersession. Weil ein Beitritt die beste Option ist.🇪🇺💪 https://t.co/gX4fOwwvX6,natürlich brauchen eu beitrittsvorstoss sommersession beitreten gut option,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'Natürlich': 0, 'braucht': 0, 'es': 0.53, 'jetzt': 0.12, 'einen': 0, 'EU-Beitrittsvorstoss': 0.08, 'in': 0.05, 'der': 0.14, 'Sommersession': 0.07500000000000001, 'Weil': 1.0, 'ein': 0, 'Beitritt': 0.06, 'die': 0.14, 'beste': 0, 'Option': 0.33, 'ist': 0.53, '🇪': 0, '🇺': 0}",positive,"[0.18246685, 0.0865277, 0.7310055]",,,,,,,positive
75.0,75.0,71.0,0.2333333333333333,neutral,"Der Verhandlungsabbruch beim #Rahmenabkommen ist ein kein guter Entscheid für die #Schweiz und für ein solidarisches und soziales #Europa. Um einen isolationistischen Rückschritt zu verhindern, müssen wir jetzt konkret über einen EU-Beitritt reden.",verhandlungsabbruch beim rahmenabkommen gut entscheid schweiz solidarisch sozial europa isolationistischen rückschritt verhindern müssen konkret eu beitreten reden,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'Der': 0.05, 'Verhandlungsabbruch': 0.06, 'beim': 0.05, 'Rahmenabkommen': 0.045, 'ist': 0.06, 'ein': 0, 'kein': 0, 'guter': 0, 'Entscheid': 0.04, 'für': 0.02, 'die': 0.05, 'Schweiz': 0.07, 'und': 0.02, 'solidarisches': 0.05, 'soziales': 0.02, 'Europa': 0.04, 'Um': 0, 'einen': 0.03, 'isolationistischen': 0, 'Rückschritt': 0, 'zu': 0.21, 'verhindern': 0, 'müssen': 0.605, 'wir': 0, 'jetzt': 1.0, 'konkret': 0, 'über': 0, 'EU-Beitritt': 0.11, 'reden': 0}",negative,"[0.45432782, 0.52820516, 0.017467113]",,,,,,,neutral
100.0,100.0,100.0,1.0,negative,"«Die SVP ist wütend, weil die Städte beweisen, dass die Politik der SP dort funktioniert, wo wir eine Mehrheit haben. Einen ausgebauten öffentlichen Verkehr wollen wir nicht nur in der Stadt, sondern auch auf dem Land. Die SVP aber bekämpft das seit Jahren.» https://t.co/zJ26jMrwGT",svp wüten städte beweisen politik sp funktionieren mehrheit ausgebaut öffentlich verkehr stadt land svp bekämpfen seit jahren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'«': 0, 'Die': 0, 'SVP': 0, 'ist': 0, 'wütend': 0, 'weil': 0, 'die': 0, 'Städte': 0, 'beweisen': 0, 'dass': 0, 'Politik': 0, 'der': 0, 'SP': 0, 'dort': 0, 'funktioniert': 0, 'wo': 0, 'wir': 0, 'eine': 0, 'Mehrheit': 0, 'haben': 0, 'Einen': 0, 'ausgebauten': 0, 'öffentlichen': 0, 'Verkehr': 0, 'wollen': 0, 'nicht': 0, 'nur': 0, 'in': 0, 'Stadt': 0, 'sondern': 0, 'auch': 0, 'auf': 0, 'dem': 0, 'Land': 0, 'aber': 0, 'bekämpft': 0, 'das': 0, 'seit': 0, 'Jahren': 0, '»': 0}",negative,"[0.10838724, 0.83581984, 0.055792864]",,,,positive
50.0,75.0,57.0,0.0,neutral,"Zum Schweizer Föderalismus gehört sowohl die Finanzautonomie wie auch der Finanz- und Lastenausgleich. Das heisst auch, dass gewisse Kosten - z.B. für Landwirtschaftssubventionen, für Ergänzungsleistungen zur AHV, oder für ein Tram in der Agglo - gemeinsam getragen werden.",schweizer föderalismus hören sowohl finanzautonomie finanz lastenausgleich heisst gewiß kosten z b landwirtschaftssubventionen ergänzungsleistungen ahv tram agglo gemeinsam tragen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'Zum': 0.08, 'Schweizer': 0.06, 'Föderalismus': 0.14, 'gehört': 0, 'sowohl': 0, 'die': 0.08, 'Finanzautonomie': 0, 'wie': 0, 'auch': 0.09, 'der': 0.08, 'Finanz-': 0.04, 'und': 0.04, 'Lastenausgleich': 0, 'Das': 0.08, 'heisst': 0, 'dass': 0.15, 'gewisse': 0.26, 'Kosten': 0.63, 'z.B.': 0, 'für': 0.07, 'Landwirtschaftssubventionen': 0.29, 'Ergänzungsleistungen': 0.19, 'zur': 0.08, 'AHV': 0.07, 'oder': 0.13, 'ein': 0, 'Tram': 0.12, 'in': 0.08, 'Agglo': 0, 'gemeinsam': 0, 'getragen': 0, 'werden': 0}",neutral,"[0.74168664, 0.015806668, 0.24250674]",neutral
