answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
100.0,100.0,100.0,1.0,neutral,"RT @AEE_SUISSE: Gut entschieden. Wir brauchen alle erneuerbaren Ressourcen, soll die #Energiewende gelingen. Ohne Holz und Biomasse geht es…",gut entscheiden brauchen all erneuerbaren ressourcen energiewende gelingen holz biomasse gehen,"{'Gut': 0, 'entschieden': 0.13, 'Wir': 0.12, 'brauchen': 0.545, 'alle': 0, 'erneuerbaren': 1.0, 'Ressourcen': 0.98, 'soll': 0, 'die': 0.14, 'Energiewende': 0.31, 'gelingen': 0.18, 'Ohne': 0.09, 'Holz': 0.13, 'und': 0.09, 'Biomasse': 0.18, 'geht': 0, 'es': 0.07, '…': 0}",positive,"[0.010337135, 0.008342914, 0.98132]",,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"2011 wurde beschlossen, die Entwicklungshilfe auf 0.5% des Bruttonationaleinkommens zu erhöhen. Mit der neuen IZA-Botschaft werden es 0.41%. Und heute gibt der Bund den Überschuss von 3 Mrd. bekannt.Die Schweiz könnte sich eine angemessene Entwicklungszusammenarbeit also leisten!",beschließen entwicklungshilfe bruttonationaleinkommens erhöhen neu iza botschaft heute geben bund überschuss mrd bekennen schweiz angemessen entwicklungszusammenarbeit leisten,,,,"{'2011': 0, 'wurde': 0, 'beschlossen': 0.55, 'die': 0.05, 'Entwicklungshilfe': 0.07, 'auf': 0, '0.5': 0, 'des': 0, 'Bruttonationaleinkommens': 0.275, 'zu': 0.45, 'erhöhen': 0, 'Mit': 0.05, 'der': 0.05, 'neuen': 0.09, 'IZA-Botschaft': 0.06, 'werden': 0.03, 'es': 0, '0.41': 0, 'Und': 0.04, 'heute': 0.08, 'gibt': 0, 'Bund': 0, 'den': 0.05, 'Überschuss': 0, 'von': 0, '3': 0, 'Mrd.': 0.06, 'bekannt': 0, 'Die': 0.05, 'Schweiz': 0.04, 'könnte': 0.07, 'sich': 0, 'eine': 0, 'angemessene': 0.04, 'Entwicklungszusammenarbeit': 0.07, 'also': 0, 'leisten': 0.06}",negative,"[0.32293522, 0.4234747, 0.25359002]",,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @sbv: Mit jedem Griff ins Regal können die KonsumentInnen bestimmen, wie die unsere #Landwirtschaft aussieht 💪. Sie passt sich dann auto…",jed griff regal konsumentinnen bestimmen landwirtschaft aussehen passt auto,,,,,,,"{'Mit': 0.04, 'jedem': 0, 'Griff': 0, 'ins': 0, 'Regal': 0, 'können': 0, 'die': 0.03, 'KonsumentInnen': 0.13, 'bestimmen': 0.45, 'wie': 0, 'unsere': 0.17, 'Landwirtschaft': 0.64, 'aussieht': 1.0, 'Sie': 0, 'passt': 0, 'sich': 0, 'dann': 0.1, 'auto': 0, '…': 0}",neutral,"[0.8841875, 0.03085217, 0.08496023]",neutral
75.0,75.0,71.0,0.35,neutral,"Jede #Landwirtschaftspolitik bestimmt das Leben von Bäuerinnen und Bauern – auch ausserhalb der Landesgrenzen. Die Stellschrauben für mehr #Fairness sind bekannt. Man sollte nun daran drehen. @GrueneCH  @SWISSAID 
https://t.co/xg5Qb9qLKT",jed landwirtschaftspolitik bestimmen leben bäuerinnen bauern ausserhalb landesgrenzen stellschrauben mehr fairness bekennen sollen daran drehen,,,,,,,"{'Jede': 1.0, 'Landwirtschaftspolitik': 0.645, 'bestimmt': 0, 'das': 0, 'Leben': 0.21, 'von': 0, 'Bäuerinnen': 0, 'und': 0, 'Bauern': 0.2, '–': 0, 'auch': 0, 'ausserhalb': 0, 'der': 0, 'Landesgrenzen': 0, 'Die': 0, 'Stellschrauben': 0, 'für': 0, 'mehr': 0, 'Fairness': 0, 'sind': 0, 'bekannt': 0, 'Man': 0, 'sollte': 0, 'nun': 0, 'daran': 0, 'drehen': 0}",positive,"[0.0033492653, 0.0013323829, 0.99531835]",positive
0.0,0.0,0.0,-1.0,neutral,"RT @swissinfo_de: Die Landwirtschaft im globalen Süden leidet, wenn Europa nicht über den Kontinent hinausdenkt. Die Stellschrauben für meh…",landwirtschaft global süden leiden europa kontinent hinausdenkt stellschrauben meh,,,,,,,"{'Die': 0.08, 'Landwirtschaft': 0.72, 'im': 0, 'globalen': 0.15, 'Süden': 0.29, 'leidet': 1.0, 'wenn': 0.74, 'Europa': 0.15, 'nicht': 0.12, 'über': 0, 'den': 0.08, 'Kontinent': 0.06, 'hinausdenkt': 0, 'Stellschrauben': 0.135, 'für': 0.08, 'meh': 0.08, '…': 0}",negative,"[0.018249234, 0.7113881, 0.2703627]",negative
50.0,75.0,57.0,0.0,neutral,"Drei Gründe, weshalb am Sonntag ein JA zum #CO2Gesetz für die  #Landwirtschaft der richtige Entscheid ist. Mehr Infos gibt's hier: https://t.co/pFpYCDXThd #CO2GesetzJa https://t.co/RWGPtf7huK",drei gründe weshalb sonntag ja co2gesetz landwirtschaft richtige entscheid mehr infos geben s co2gesetzja,,,,,,,"{'Drei': 0.07, 'Gründe': 0.05, 'weshalb': 0.49, 'am': 0, 'Sonntag': 0.09, 'ein': 0, 'JA': 0, 'zum': 0.09000000000000001, 'CO2Gesetz': 0, 'für': 0.49, 'die': 0.14, 'Landwirtschaft': 1.0, 'der': 0.14, 'richtige': 0.11, 'Entscheid': 0.15, 'ist': 0.02, 'Mehr': 0.04, 'Infos': 0, ""gibt's"": 0.02, 'hier': 0.03, 'CO2GesetzJa': 0}",positive,"[0.29361966, 0.022326894, 0.6840534]",neutral
50.0,75.0,57.0,0.0,neutral,"Ja zum @JaCO2Gesetz  für die Landwirtschaft, das Berggebiet und überhaupt die ganze Schweiz - DANKE @mayagraf_bl @BulliardMarbach @Damian_Mueller_ @PriskaWismer und Heinz Siegenthaler https://t.co/THKkPLwmvP",ja landwirtschaft berggebiet überhaupt ganze schweiz danke heinz siegenthaler,,,,,,,"{'Ja': 0.07, 'zum': 0.07, 'für': 1.0, 'die': 0.07, 'Landwirtschaft': 1.0, 'das': 0, 'Berggebiet': 0.105, 'und': 0.07, 'überhaupt': 0, 'ganze': 0.13, 'Schweiz': 0.12, 'DANKE': 0.32499999999999996, 'Heinz': 0.09, 'Siegenthaler': 0.12}",positive,"[0.0076339683, 0.0023023651, 0.9900636]",neutral
50.0,75.0,57.0,0.0,neutral,RT @LIDnews: Landwirtschaftsböden können als Kohlenstoff-Senken dienen und damit zum Klimaschutz beitragen. Das war eines der Themen der Ta…,landwirtschaftsböden kohlenstoff senken dienen klimaschutz beitragen themen ta,,,,,,,"{'Landwirtschaftsböden': 0.41500000000000004, 'können': 0, 'als': 0.07, 'Kohlenstoff-Senken': 0.07500000000000001, 'dienen': 0.09, 'und': 0.1, 'damit': 0.04, 'zum': 0.045, 'Klimaschutz': 0.08, 'beitragen': 0.1, 'Das': 0.05, 'war': 0, 'eines': 0.05, 'der': 0.05, 'Themen': 0, 'Ta': 0.09, '…': 0}",positive,"[0.17215662, 0.01031501, 0.81752837]",neutral
100.0,100.0,86.0,0.7,neutral,RT @sbv: Die Landwirtschaftskammer ist dem Antrag des Vorstands gefolgt. Damit unterstützt der @sbv das #CO2Gesetz über das die Bevölkerung…,landwirtschaftskammer antrag vorstands folgen unterstützen co2gesetz bevölkerung,,,,,,,"{'Die': 0.03, 'Landwirtschaftskammer': 0.8574999999999999, 'ist': 0, 'dem': 0.03, 'Antrag': 0, 'des': 0, 'Vorstands': 0.35, 'gefolgt': 0, 'Damit': 0.04, 'unterstützt': 0.1, 'der': 0.03, 'das': 0, 'CO2Gesetz': 0, 'über': 0, 'die': 0.03, 'Bevölkerung': 0.13, '…': 0}",positive,"[0.045936294, 0.0033102166, 0.95075345]",positive
75.0,75.0,71.0,0.35,neutral,"@MathiasForster1 @Schneimere @Wochenzeitung @sbv @BauernZeitung1 @GrueneCH @SuisseBio @fiblorg Deshalb muss die Biolandwirtschaft unbedingt gestärkt werden! Dies wird aber mit der TWI nicht passieren, im Gegenteil - wir müssen den Konsum von Biolebensmittel erhöhen (heute nur bei 10%) - dann können mehr Betriebe umstellen, das wäre die nachhaltige Lösung!",deshalb biolandwirtschaft unbedingt stärken twi passieren gegenteil müssen konsum biolebensmittel erhöhen heute mehr betreiben umstellen nachhaltig lösung,,,,,,,"{'Deshalb': 0, 'muss': 0.02, 'die': 0.03, 'Biolandwirtschaft': 0.6, 'unbedingt': 0, 'gestärkt': 0.1, 'werden': 0.02, 'Dies': 0, 'wird': 0.02, 'aber': 0, 'mit': 0.04, 'der': 0.03, 'TWI': 0.1, 'nicht': 0.09, 'passieren': 0.09, 'im': 0, 'Gegenteil': 0, 'wir': 0, 'müssen': 0.02, 'den': 0.03, 'Konsum': 0.07, 'von': 0, 'Biolebensmittel': 0.18, 'erhöhen': 0, 'heute': 0.04, 'nur': 0.01, 'bei': 0, '10': 0, 'dann': 0.02, 'können': 0.01, 'mehr': 0.02, 'Betriebe': 0, 'umstellen': 0, 'das': 0.02, 'wäre': 0.01, 'nachhaltige': 0.08, 'Lösung': 0.05}",positive,"[0.0037560477, 0.0018403301, 0.9944036]",positive
100.0,100.0,100.0,1.0,positive,Biolandwirtschaft ist gut fürs Klima https://t.co/Udpy63hLvp,biolandwirtschaft gut fürs klima,,,,,,,"{'Biolandwirtschaft': 0.765, 'ist': 0.43, 'gut': 0, 'fürs': 0.53, 'Klima': 0.22}",positive,"[0.001369338, 0.00095033855, 0.9976803]",positive
100.0,100.0,86.0,0.7,neutral,"RT @SWISSAID: „Es ist höchste Zeit für einen gerechten Lohn und eine soziale Absicherung 
für Frauen in der Schweizer Landwirtschaft», ford…",hoch zeit gerecht lohn soziale absicherung frauen schweizer landwirtschaft ford,,,,,,,"{'„': 0, 'Es': 0, 'ist': 0, 'höchste': 0, 'Zeit': 0, 'für': 0, 'einen': 0, 'gerechten': 0, 'Lohn': 0, 'und': 0, 'eine': 0, 'soziale': 0, 'Absicherung': 0, 'Frauen': 0, 'in': 0, 'der': 0, 'Schweizer': 0, 'Landwirtschaft': 0, '»': 0, 'ford': 0, '…': 0}",positive,"[0.027848313, 0.008015116, 0.96413654]",positive
