answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3433,absa_sentiment_3433,absa_scores_3433,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"RT @susannehochuli: Der Aargau weiss, wie man zu mehr inländischen Fachkräften kommt: Er sagt ja zum Kinderbetreuungsgesetz! #fb",aargau weiss mehr inländisch fachkräften kommen sagen ja kinderbetreuungsgesetz fb,"{'Der': 0.36, 'Aargau': 0.14, 'weiss': 0, 'wie': 0.04, 'man': 0, 'zu': 0.19, 'mehr': 0.05, 'inländischen': 0.14, 'Fachkräften': 0.095, 'kommt': 0, 'Er': 0, 'sagt': 0.15, 'ja': 0, 'zum': 0.275, 'Kinderbetreuungsgesetz': 1.0, 'fb': 0.09}",positive,"[0.0016280721, 0.0015716566, 0.9968003]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,@bglaettli @wahlforschung0 @GrueneCH @SibelArslanBS @LesVertsSuisses Wie wollen Sie denn ohne höheres Rentenalter zu Geld für höhere Altersrenten kommen?,hoch rentenalter geld hoch altersrenten kommen,,,,"{'Wie': 0, 'wollen': 0.09, 'Sie': 0, 'denn': 0, 'ohne': 1.0, 'höheres': 0.49, 'Rentenalter': 0.705, 'zu': 0.1, 'Geld': 0.11, 'für': 0.21, 'höhere': 0.49, 'Altersrenten': 0.3, 'kommen': 0}",neutral,"[0.6662941, 0.14186943, 0.19183646]",,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @David_Stampfli: Jene, die GEGEN Frauenrentenalter 65 sind, und jene, die FÜR Rentenalter 67 sind, machen dann zusammen eine neue #Rente…",jen frauenrentenalter jen rentenalter zusammen neue rente,,,,"{'Jene': 0.19, 'die': 0, 'GEGEN': 1.0, 'Frauenrentenalter': 0.33499999999999996, '65': 0, 'sind': 0.13, 'und': 0.38, 'jene': 0.19, 'FÜR': 0.24, 'Rentenalter': 0.195, '67': 0, 'machen': 0, 'dann': 0.15, 'zusammen': 0.18, 'eine': 0, 'neue': 0.19, 'Rente': 0, '…': 0}",neutral,"[0.677644, 0.13369963, 0.1886564]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"@TobiasInfortuna Jedenfalls versteht man, worum es geht. Statt Vaterschaftsurlaub steht ja auch nicht ""Änderung des Erwerbsersatzgesetzes (indirekter Gegenvorschlag zur Volksinitiative «Für einen vernünftigen Vaterschaftsurlaub – zum Nutzen der ganzen Familie»)""",jedenfalls verstehen worum gehen statt vaterschaftsurlaub stehen ja änderung erwerbsersatzgesetzes indirekt gegenvorschlag volksinitiative vernünftig vaterschaftsurlaub nutzen ganz familie,,,,,,,"{'Jedenfalls': 0.060000000000000005, 'versteht': 0, 'man': 0, 'worum': 0.05, 'es': 0.25, 'geht': 0, 'Statt': 0.54, 'Vaterschaftsurlaub': 0, 'steht': 0, 'ja': 0, 'auch': 0, 'nicht': 0, 'Änderung': 0, 'des': 0, 'Erwerbsersatzgesetzes': 0.02, 'indirekter': 0.03, 'Gegenvorschlag': 0.03, 'zur': 0.035, 'Volksinitiative': 0.035, '«': 0, 'Für': 0, 'einen': 0, 'vernünftigen': 0, '–': 0, 'zum': 0, 'Nutzen': 0, 'der': 0, 'ganzen': 0, 'Familie': 0, '»': 0}",neutral,"[0.47596624, 0.09537433, 0.42865938]",,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,@moninielsen @ruediloeffel @real_miffy_1985 @emundem164 @nohillside @schmuelein @ChrSchumi @akf3_5 @evppev @bindermichi @Schmieli @maya_bally @MarcelWaldvogel @rote_Fee @AdrianAulbach @indubioproreto @El_Gageli @mcw_bern @adfichter @oe_simon Die EVP setzte sich schon immer gegen eine Ausweitung der Fortpflanzungsmedizin ein. Gegen die Samenspende durch eine Drittperson würde es bei Heterosexuellen genauso eine Mehrheit geben.,evp setzen schon immer ausweitung fortpflanzungsmedizin samenspende drittperson heterosexuellen genauso mehrheit geben,,,,,,,,,,"{'Die': 0.28, 'EVP': 0, 'setzte': 0, 'sich': 0, 'schon': 0, 'immer': 0.41, 'gegen': 0.18, 'eine': 0, 'Ausweitung': 1.0, 'der': 0.28, 'Fortpflanzungsmedizin': 0.305, 'ein': 0, 'Gegen': 0.18, 'die': 0.28, 'Samenspende': 0, 'durch': 0, 'Drittperson': 0.04, 'würde': 0.11, 'es': 0, 'bei': 0, 'Heterosexuellen': 0.11, 'genauso': 0, 'Mehrheit': 0.28, 'geben': 0}",positive,"[0.37426704, 0.11726208, 0.50847095]",,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,positive,"""100% sicher ist das System nur dann, wenn alle Wählenden nicht nur von sich selber, sondern auch von allen anderen sehen, was diese abgestimmt haben.""
Meine Gedanken zu E-Voting: https://t.co/RYtd8fhv7d
#eVoting @eVoteMoratorium
(Leider noch kein Direktlink möglich, kommt bald)",sichern system all wählend selber sehen abstimmen gedanken e voting evoting leider direktlink möglich kommen bald,,,,,,,,,,,,,"{'100': 0, 'sicher': 0.03, 'ist': 0.03, 'das': 0, 'System': 0.03, 'nur': 0.03, 'dann': 0, 'wenn': 0.03, 'alle': 0.02, 'Wählenden': 0.03, 'nicht': 0.03, 'von': 0.05, 'sich': 0, 'selber': 0, 'sondern': 0.05, 'auch': 0.03, 'allen': 0, 'anderen': 0, 'sehen': 0.02, 'was': 0, 'diese': 0, 'abgestimmt': 0.03, 'haben': 0, 'Meine': 0.03, 'Gedanken': 0.05, 'zu': 0, 'E-Voting': 0, 'eVoting': 0.07, 'Leider': 0.05, 'noch': 0, 'kein': 0.04, 'Direktlink': 0.05500000000000001, 'möglich': 0.12, 'kommt': 0, 'bald': 0}",negative,"[0.4465962, 0.50855756, 0.044846244]",,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,@freeheinz @DominicTaeubert @jevp_ch @evppev @LilianStuder @servicecivilCH Die Kampfflugzeuge sind für mich eher Polizei als Militär. Die brauchen wir v.a. in Friedenszeiten wie jetzt.,kampfflugzeuge eher polizei militär brauchen v a friedenszeiten,,,,,,,,,,,,,,,,"{'Die': 0.18, 'Kampfflugzeuge': 0, 'sind': 0.69, 'für': 1.0, 'mich': 0.31, 'eher': 0, 'Polizei': 0.28, 'als': 0, 'Militär': 0.18, 'brauchen': 0.44, 'wir': 0, 'v.a.': 0, 'in': 0.05, 'Friedenszeiten': 0, 'wie': 0, 'jetzt': 0.12}",neutral,"[0.49057758, 0.27205905, 0.23736332]",,,,,,,,,,,,,neutral
50.0,25.0,28.0,-0.15,neutral,"@karpi Heiss das, Olten ist wegen der Digitalisierung vom Aussterben bedroht?",heiss olten wegen digitalisierung aussterben bedrohen,,,,,,,,,,,,,,,,,,,"{'Heiss': 0, 'das': 0.16, 'Olten': 0.14, 'ist': 0.13, 'wegen': 0, 'der': 0, 'Digitalisierung': 0, 'vom': 0, 'Aussterben': 0, 'bedroht': 0.25}",negative,"[0.12341275, 0.84769076, 0.028896522]",,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,@refresh_taste Ich bin sowieso immer noch für den Beitritt der EU zur Schweiz. Aber das geht ja wohl auch nicht.,sowieso immer beitreten eu schweiz gehen ja wohl,,,,,,,,,,,,,,,,,,,,,,"{'Ich': 0.07, 'bin': 0, 'sowieso': 0.07, 'immer': 0, 'noch': 0.06, 'für': 0, 'den': 0.07, 'Beitritt': 0, 'der': 0.07, 'EU': 0.07, 'zur': 0.07, 'Schweiz': 0.08, 'Aber': 0.53, 'das': 0.37, 'geht': 0, 'ja': 0, 'wohl': 0, 'auch': 0, 'nicht': 1.0}",negative,"[0.35482988, 0.5623731, 0.0827971]",,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @Joerg_Niederer: Schweiz ist grösster Empfänger seiner eigenen Entwicklungshilfe. 19,4% fliessen in Asylbereich der CH. #kugemk https://…",schweiz grösster empfänger eigen entwicklungshilfe fliessen asylbereich ch kugemk,,,,,,,,,,,,,,,,,,,,,,,,,"{'Schweiz': 0.08, 'ist': 0.03, 'grösster': 0.03, 'Empfänger': 0.06, 'seiner': 0, 'eigenen': 0.02, 'Entwicklungshilfe': 0.08, '19,4': 0, 'fliessen': 0.04, 'in': 0.04, 'Asylbereich': 0.045, 'der': 0.04, 'CH': 0, 'kugemk': 1.0}",positive,"[0.16527165, 0.055265106, 0.77946323]",,,,neutral
