answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3433,absa_sentiment_3433,absa_scores_3433,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3435,absa_sentiment_3435,absa_scores_3435,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3444,absa_sentiment_3444,absa_scores_3444,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"RT @evppev_be: Für ""Qualität und gleich lange Spiesse in der Kinderbetreuung"". Melanie Beutler-Hohenberger engagiert sich in der Debatte zu…",qualität gleichen lang spiesse kinderbetreuung melanie beutler hohenberger engagieren debatte,"{'Für': 0.21, 'Qualität': 0.14, 'und': 0.1, 'gleich': 0.24, 'lange': 0, 'Spiesse': 0, 'in': 0.17, 'der': 0.2, 'Kinderbetreuung': 0.26, 'Melanie': 0.22, 'Beutler-Hohenberger': 0, 'engagiert': 0.29, 'sich': 0, 'Debatte': 0.8, 'zu': 0, '…': 0}",neutral,"[0.6471785, 0.06868642, 0.28413507]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @ruediloeffel: LESEN!
Bei täglichem #Cannabis-Konsum steigt das #Psychose-Risiko um Faktor 3. Bei #THC-Gehalt über 10% sogar um Faktor 5…",lesen täglich cannabis konsum steigen psychose risiko faktor thc gehalt sogar faktor,,,,"{'LESEN': 0.3, 'Bei': 0, 'täglichem': 1.0, 'Cannabis-Konsum': 0.665, 'steigt': 0.16, 'das': 0, 'Psychose-Risiko': 0.115, 'um': 0.04, 'Faktor': 0.05, '3.': 0, 'THC-Gehalt': 0.06, 'über': 0, '10': 0, 'sogar': 0.04, '5': 0, '…': 0}",neutral,"[0.8740783, 0.039204713, 0.086716965]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,positive,"Passt. Ist ja auch nicht nur ein Cannabis- Versuchsprogramm, sondern auch ein Menschen- Versuchsprogramm. @ruediloeffel @evppev_be @BlauesKreuzBern https://t.co/B8ITgagtsV",passt ja cannabis versuchsprogramm menschen versuchsprogramm,,,,"{'Passt': 0.17, 'Ist': 0, 'ja': 0, 'auch': 0.81, 'nicht': 1.0, 'nur': 0, 'ein': 0, 'Cannabis-': 0, 'Versuchsprogramm': 0.07, 'sondern': 0, 'Menschen-': 0}",positive,"[0.47026804, 0.011647712, 0.5180843]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-0.85,neutral,"Quednow warnt davor, den Cannabiskonsum Jugendlicher grundsätzlich zu verharmlosen via @derbund https://t.co/vAlVCSsrLd",quednow warnen davor cannabiskonsum jugendlich grundsätzlich verharmlosen via,,,,"{'Quednow': 0.62, 'warnt': 1.0, 'davor': 0, 'den': 0, 'Cannabiskonsum': 0.18, 'Jugendlicher': 0, 'grundsätzlich': 0, 'zu': 0, 'verharmlosen': 0.18, 'via': 0.22}",neutral,"[0.8531975, 0.04303924, 0.10376332]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
0.0,0.0,0.0,-1.0,neutral,"RT @EVPStadtBern: ""Die EVP mahnte, zu den Cannabis-Clubs brauche es zwingend flankierende Präventionsmassnahmen und Jugendschutz."" http://t…",evp mahnen cannabis clubs brauche zwingen flankierend präventionsmassnahmen jugendschutz,,,,"{'Die': 0.11, 'EVP': 0, 'mahnte': 0.17, 'zu': 0, 'den': 0.11, 'Cannabis-Clubs': 0, 'brauche': 0, 'es': 0, 'zwingend': 0, 'flankierende': 0, 'Präventionsmassnahmen': 0.21000000000000002, 'und': 0.13, 'Jugendschutz': 0.16}",negative,"[0.40322757, 0.47086263, 0.12590978]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,negative,"Wenn schon gleiches Rentenalter für Mann und Frau, dann auch endlich #Lohngleichheit! #Stimmt! #srfarena",schon gleich rentenalter mann frau endlich lohngleichheit stimmen srfarena,,,,,,,"{'Wenn': 0, 'schon': 0, 'gleiches': 1.0, 'Rentenalter': 0.68, 'für': 0.49, 'Mann': 0, 'und': 0.13, 'Frau': 0, 'dann': 0.19, 'auch': 0, 'endlich': 0, 'Lohngleichheit': 0, 'Stimmt': 0.095, 'srfarena': 0.12}",neutral,"[0.7554252, 0.015317854, 0.2292569]",,,,,,,,,,"{'Wenn': 0, 'schon': 0, 'gleiches': 0.06, 'Rentenalter': 0.09, 'für': 0.04, 'Mann': 0, 'und': 0.05, 'Frau': 0, 'dann': 0.07, 'auch': 0, 'endlich': 0, 'Lohngleichheit': 0, 'Stimmt': 0.365, 'srfarena': 1.0}",positive,"[0.120381005, 0.040247872, 0.83937114]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,positive,"@MarianneStreiff ""Flexibilisierung des Rentenalters ist der richtige Weg."" #genau! #srfarena",flexibilisierung rentenalters richtige genau srfarena,,,,,,,"{'Flexibilisierung': 0, 'des': 0, 'Rentenalters': 0.495, 'ist': 0.53, 'der': 0.22, 'richtige': 0, 'Weg': 0, 'genau': 0.09000000000000001, 'srfarena': 0.13}",positive,"[0.0061284043, 0.0024873281, 0.99138427]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @evppev_be: In der aktuellen Zeitung der EVP BE begründet Grossrat @SteinerHampi sein JA um #Vaterschaftsurlaub. #Abst2020 
https://t.co…",aktuell zeitung evp be begründen grossrat ja vaterschaftsurlaub abst2020,,,,,,,,,,"{'In': 0.04, 'der': 0.05, 'aktuellen': 0.08, 'Zeitung': 0.11, 'EVP': 0, 'BE': 0.06, 'begründet': 0, 'Grossrat': 0.095, 'sein': 0, 'JA': 0, 'um': 0, 'Vaterschaftsurlaub': 0.83, 'Abst2020': 0.29}",positive,"[0.008672625, 0.0021059248, 0.98922145]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,negative,EVP: Ein Kaffee pro Monat für vernünftigen Vaterschaftsurlaub https://t.co/KvvGm0ihib,evp kaffee pro monat vernünftig vaterschaftsurlaub,,,,,,,,,,"{'EVP': 0.34, 'Ein': 0, 'Kaffee': 0.26, 'pro': 0, 'Monat': 0.37, 'für': 1.0, 'vernünftigen': 0, 'Vaterschaftsurlaub': 0.85}",positive,"[0.0011101543, 0.0009897043, 0.9979001]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,RT @evppev: Wichtiger Schritt in Richtung #Vaterschaftsurlaub: Nach SGK-S will nun auch die WBK-N einen Gegenvorschlag zur VI für den Vater…,wichtig schritt richtung vaterschaftsurlaub sgk s wbk n gegenvorschlag vi vater,,,,,,,,,,"{'Wichtiger': 0.18, 'Schritt': 0.11, 'in': 0.06, 'Richtung': 0.22, 'Vaterschaftsurlaub': 0.84, 'Nach': 0.03, 'SGK-S': 0, 'will': 0, 'nun': 0, 'auch': 0.03, 'die': 0.03, 'WBK-N': 0, 'einen': 0.03, 'Gegenvorschlag': 0.075, 'zur': 0.03, 'VI': 0, 'für': 0.03, 'den': 0.03, 'Vater': 0.06, '…': 0}",positive,"[0.13514233, 0.036855616, 0.82800204]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
