answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3438,absa_sentiment_3438,absa_scores_3438,absa_token_weights_3455,absa_sentiment_3455,absa_scores_3455,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
0.0,0.0,0.0,-1.0,negative,"Notiz am Rande: Lonza hat Mühe, Personal in Visp zu finden, weil die Infrastruktur für Kinderbetreuung sowie anspruchsvolle flexible Jobs für Mann UND Frau fehlen... ein Problem auch in der “Ausserschweiz”
https://t.co/hFsNfZLFoa",notiz rande lonza mühen personal visp finden infrastruktur kinderbetreuung sowie anspruchsvolle flexible jobs mann frau fehlen problem ausserschweiz,"{'Notiz': 0.24, 'am': 0, 'Rande': 0, 'Lonza': 0.22, 'hat': 0, 'Mühe': 0, 'Personal': 0, 'in': 0.06, 'Visp': 0.22, 'zu': 0.11, 'finden': 0.5, 'weil': 1.0, 'die': 0.22, 'Infrastruktur': 0.27, 'für': 0.06, 'Kinderbetreuung': 1.0, 'sowie': 0, 'anspruchsvolle': 0.26, 'flexible': 0.1, 'Jobs': 0.09, 'Mann': 0, 'UND': 0.04, 'Frau': 0, 'fehlen': 0, '...': 0, 'ein': 0, 'Problem': 0.14, 'auch': 0.17, 'der': 0.22, '“': 0, 'Ausserschweiz': 0, '”': 0}",negative,"[0.07292803, 0.824088, 0.10298396]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,100.0,1.0,negative,"Kann mir bitte jemand (am liebsten aus der #FDP) erklären was @ThierryBurkart heute beim #StänderatspodiumAG genau unter #Homework für Papis versteht? Als Arbeitgeberin und Mutter glaube ich nicht, dass effizientes Arbeiten und Kinderbetreuung gleichzeitig möglich sein soll.",bitte jemand lieb fdp erklären heute beim ständeratspodiumag genau homework papis verstehen arbeitgeberin mutter glauben effizient arbeiten kinderbetreuung gleichzeitig möglich,"{'Kann': 0.01, 'mir': 0.01, 'bitte': 0, 'jemand': 0.01, 'am': 0, 'liebsten': 0, 'aus': 0, 'der': 0.02, 'FDP': 0.01, 'erklären': 0.01, 'was': 0, 'heute': 0.01, 'beim': 0.04, 'StänderatspodiumAG': 0, 'genau': 0.02, 'unter': 0, 'Homework': 0.01, 'für': 0.02, 'Papis': 0, 'versteht': 0, 'Als': 0, 'Arbeitgeberin': 0.02, 'und': 1.0, 'Mutter': 0.01, 'glaube': 0, 'ich': 0.02, 'nicht': 0, 'dass': 0.12, 'effizientes': 0.6, 'Arbeiten': 0.31, 'Kinderbetreuung': 1.0, 'gleichzeitig': 0, 'möglich': 0.18, 'sein': 0, 'soll': 0}",neutral,"[0.749929, 0.12948951, 0.1205814]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,25.0,57.0,-0.1,negative,"@KarlMller13 @FrommeltRavena @MarionVPfister @CVP_PDC @CVPAargau Vorschriften in einer Paarbeziehung? Unmöglich. Ich will dazu anregen, sich Gedanken zu machen, zu verhandeln, Lösungen zu finden. Mehr als 90% alle Paare wollen sich am Anfang der Beziehung die Verantwortung der Kinderbetreuung teilen. Aber nur 7% machen das auch. Traurig",vorschriften paarbeziehung unmöglich anregen gedanken verhandeln lösungen finden mehr all paare anfang beziehung verantwortung kinderbetreuung teilen traurig,"{'Vorschriften': 0.06, 'in': 0.07, 'einer': 0, 'Paarbeziehung': 0.08, 'Unmöglich': 0.32, 'Ich': 0.07, 'will': 0, 'dazu': 0.06, 'anregen': 0, 'sich': 0, 'Gedanken': 0, 'zu': 0.06, 'machen': 0.15, 'verhandeln': 0.07, 'Lösungen': 0.06, 'finden': 0.03, 'Mehr': 0.07, 'als': 0, '90': 0, 'alle': 0, 'Paare': 0.16, 'wollen': 0.13, 'am': 0, 'Anfang': 0.04, 'der': 0.04, 'Beziehung': 0.08, 'die': 0.04, 'Verantwortung': 0.12, 'Kinderbetreuung': 0.48, 'teilen': 0, 'Aber': 0.12, 'nur': 0.16, '7': 0, 'das': 0.12, 'auch': 0, 'Traurig': 1.0}",neutral,"[0.5724968, 0.36837286, 0.059130356]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,RT @IZMartinez86: Meine Kolumne in der @Handelszeitung diese Woche dreht sich ums #Frauenrentenalter 65 - und warum ich dieses als Ökonomin…,kolumne woche drehen ums frauenrentenalter warum ökonomin,,,,"{'Meine': 0.1, 'Kolumne': 0.24, 'in': 0, 'der': 0, 'diese': 0.14, 'Woche': 0.18, 'dreht': 0, 'sich': 0, 'ums': 0, 'Frauenrentenalter': 0.6275, '65': 0, 'und': 0.27, 'warum': 0.23, 'ich': 0.12, 'dieses': 0.14, 'als': 0.1, 'Ökonomin': 0.23, '…': 0}",positive,"[0.21901883, 0.023444252, 0.75753695]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Mein Leserbrief @NZZaS 
https://t.co/oWPSL7pBDO @tanner_samuel spielt, wie auch die @FDP_Liberalen, im Namen der Gleichberechtigung den Vaterschaftsurlaub gegen die Elternzeit aus. Es braucht aber beides! Urlaub reserviert, die Elternzeit aufteilbar zwischen den Geschlechtern.",leserbrief spielen namen gleichberechtigung vaterschaftsurlaub elternzeit brauchen beide urlaub reservieren elternzeit aufteilbar geschlechtern,,,,,,,"{'Mein': 0.08, 'Leserbrief': 0.0975, 'spielt': 0.27, 'wie': 0, 'auch': 0, 'die': 0.05, 'im': 0, 'Namen': 0, 'der': 0.05, 'Gleichberechtigung': 0, 'den': 0.05, 'Vaterschaftsurlaub': 0.32999999999999996, 'gegen': 1.0, 'Elternzeit': 0.08499999999999999, 'aus': 0, 'Es': 0, 'braucht': 0, 'aber': 0.15, 'beides': 0.15, 'Urlaub': 0, 'reserviert': 0.1, 'aufteilbar': 0, 'zwischen': 0.13, 'Geschlechtern': 0}",neutral,"[0.69510365, 0.037918538, 0.26697788]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Jetzt abstimmen für den Vaterschaftsurlaub
https://t.co/q0vAkKBBz0",abstimmen vaterschaftsurlaub,,,,,,,"{'Jetzt': 0.52, 'abstimmen': 1.0, 'für': 1.0, 'den': 0, 'Vaterschaftsurlaub': 0.545}",positive,"[0.05287782, 0.013905576, 0.93321663]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,negative,"Für einmal gehts eben nicht um die Männer. Nämlich beim Vaterschaftsurlaub! Der ist nämlich für die Mutter-sie braucht Erholung! Schade dass @lukasreimann ICH-bezogen argumentiert.
https://t.co/5JCsfCZOYC",gehts eben männer nämlich beim vaterschaftsurlaub nämlich mutter brauchen erholung schaden beziehen argumentieren,,,,,,,"{'Für': 0.1, 'einmal': 0.14, 'gehts': 0, 'eben': 0, 'nicht': 0.33, 'um': 0.07, 'die': 0.04, 'Männer': 0.28, 'Nämlich': 0.7, 'beim': 0.04, 'Vaterschaftsurlaub': 0.865, 'Der': 0.04, 'ist': 0, 'nämlich': 0.7, 'für': 0.1, 'Mutter-sie': 0, 'braucht': 0.1, 'Erholung': 0, 'Schade': 0, 'dass': 0.04, 'ICH-bezogen': 0, 'argumentiert': 0}",positive,"[0.38639802, 0.121142976, 0.49245903]",,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,100.0,0.7999999999999999,neutral,"Entweder kann die FDP.Die Liberalen Aargau nicht zählen oder einfach sich nicht entscheiden... 😂😂😂 toll, dass der FDPler Yannick Berner sich für den Vaterschaftsurlaub jetzt einsetzt💪💪💪https://t.co/aPazW4dAyx",entweder fdp liberal aargau zählen einfach entscheiden tollen fdpler yannick berner vaterschaftsurlaub einsetzen,,,,,,,"{'Entweder': 0.03, 'kann': 0, 'die': 0.07, 'FDP.Die': 0, 'Liberalen': 0.04, 'Aargau': 0.05, 'nicht': 0, 'zählen': 0, 'oder': 0.02, 'einfach': 0, 'sich': 0, 'entscheiden': 0, '...': 0, 'toll': 0, 'dass': 0.08, 'der': 0.07, 'FDPler': 0.07, 'Yannick': 0.08, 'Berner': 0.08, 'für': 1.0, 'den': 0.07, 'Vaterschaftsurlaub': 0.63, 'jetzt': 0.18, 'einsetzt': 0}",positive,"[0.39663377, 0.01711894, 0.58624727]",,,,,,,,,,,,,,,,,,,,,,,,,positive
75.0,75.0,71.0,0.35,neutral,@PhTschopp @YannickBerner @lohnabzuegeNein @papizeit KMUs sind dem Wettbewerb um Fachkräfte- auch international - ausgesetzt. Das ist eine der grössten Sorgen von uns Arbeitgebern. Mit einem Tag Vaterschaftsurlaub sind wir nicht attraktiv! Und mehr können wir uns nicht leisten - anders als Grosskonzerne. Darum brauchts EO,kmus wettbewerb fachkräfte international aussetzen grössten sorgen arbeitgebern tag vaterschaftsurlaub attraktiv mehr leisten grosskonzerne darum brauchts eo,,,,,,,"{'KMUs': 0.03, 'sind': 0.26, 'dem': 0.025, 'Wettbewerb': 0, 'um': 0, 'Fachkräfte-': 0.015, 'auch': 0.02, 'international': 0, 'ausgesetzt': 0.04, 'Das': 0.02, 'ist': 0.05, 'eine': 0.13, 'der': 0.02, 'grössten': 0.04, 'Sorgen': 0.03, 'von': 0, 'uns': 0.04, 'Arbeitgebern': 0.04, 'Mit': 0.3, 'einem': 0.13, 'Tag': 0, 'Vaterschaftsurlaub': 0.285, 'wir': 0, 'nicht': 1.0, 'attraktiv': 1.0, 'Und': 0.07, 'mehr': 0.06, 'können': 0, 'leisten': 0.06, 'anders': 0, 'als': 0, 'Grosskonzerne': 0, 'Darum': 0, 'brauchts': 0, 'EO': 0.02}",negative,"[0.050249208, 0.90940636, 0.040344454]",,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,@schmidand @YannickBerner Viele grosse Firmen und Konzerne bezahlen jetzt schon bis zu 5 Wochen Vaterschaftsurlaub. Das können sich KMUs nicht leisten und verlieren somit den Kampf um gute Arbeitskräfte.,grosse firmen konzerne bezahlen schon wochen vaterschaftsurlaub kmus leisten verlieren somit kampf gut arbeitskräfte,,,,,,,"{'Viele': 0, 'grosse': 0, 'Firmen': 0.16, 'und': 0.03, 'Konzerne': 0.13, 'bezahlen': 0, 'jetzt': 0, 'schon': 0, 'bis': 0, 'zu': 0.06, '5': 0, 'Wochen': 0.11, 'Vaterschaftsurlaub': 0.76, 'Das': 0.03, 'können': 0, 'sich': 0, 'KMUs': 0.13, 'nicht': 0, 'leisten': 0.06, 'verlieren': 0.04, 'somit': 0, 'den': 0.03, 'Kampf': 0.06, 'um': 0, 'gute': 0, 'Arbeitskräfte': 0}",neutral,"[0.6370408, 0.282846, 0.08011322]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
