answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,Positionspapier verabschiedet für die Legalisierung von Cannabis! #mvjgs #legalizeit @VereinLegalize @jGruene_jVertEs,positionspapier verabschieden legalisierung cannabis mvjgs legalizeit,"{'Positionspapier': 0.395, 'verabschiedet': 0.55, 'für': 0.28, 'die': 0.21, 'Legalisierung': 0.56, 'von': 0, 'Cannabis': 1.0, 'mvjgs': 0.49, 'legalizeit': 0}",positive,"[0.13624342, 0.007337887, 0.85641867]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Wenn man in der #srfarena Cannabis durch Alkohol ersetzen würden, hätten wir morgen dank den Bürgerlichen Prohibition",srfarena cannabis alkohol ersetzen morgen danken bürgerlich prohibition,"{'Wenn': 0, 'man': 0, 'in': 0.11, 'der': 0.03, 'srfarena': 0.16, 'Cannabis': 1.0, 'durch': 0, 'Alkohol': 0.36, 'ersetzen': 0, 'würden': 0.04, 'hätten': 0.05500000000000001, 'wir': 0, 'morgen': 0.13, 'dank': 0.06, 'den': 0.03, 'Bürgerlichen': 0, 'Prohibition': 0.15}",neutral,"[0.9552365, 0.017788885, 0.026974548]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"RT @KarinRykart: Die bürgerlichen Männer im Bundesrat wollen 1 Milliarde für Olympia, aber keinen Vaterschaftsurlaub aus Kostengründen?! #P…",bürgerlich männer bundesrat milliarde olympia vaterschaftsurlaub kostengründen p,,,,"{'Die': 0.04, 'bürgerlichen': 0, 'Männer': 0.1, 'im': 0, 'Bundesrat': 0.045, 'wollen': 0.18, '1': 0, 'Milliarde': 0.18, 'für': 0.28, 'Olympia': 0, 'aber': 0.72, 'keinen': 0, 'Vaterschaftsurlaub': 0.9450000000000001, 'aus': 0, 'Kostengründen': 0.27, 'P': 0.06, '…': 0}",neutral,"[0.67024165, 0.29207632, 0.03768199]",,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,negative,RT @RegulaRytz: #Rechtsrutsch konkret: Einzelne CVP-Nationalräte bringen CVP-Vorschlag für Vaterschaftsurlaub zu Fall. Irgendwie tragisch.…,rechtsrutsch konkret einzelne cvp nationalräte bringen cvp vorschlag vaterschaftsurlaub fall irgendwie tragisch,,,,"{'Rechtsrutsch': 0, 'konkret': 0, 'Einzelne': 0, 'CVP-Nationalräte': 0.14750000000000002, 'bringen': 0.37, 'CVP-Vorschlag': 0.19999999999999998, 'für': 0.27, 'Vaterschaftsurlaub': 0.6599999999999999, 'zu': 0, 'Fall': 0, 'Irgendwie': 0.92, 'tragisch': 1.0, '…': 0}",negative,"[0.029938746, 0.9431338, 0.026927492]",,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,Dübendorfer Stimmbevölkerung sagt klar Nein zur xenophoben und teuren Bürokratievariante der Einbürgerungszuständigkeit von der SVP. @zueriost https://t.co/glEl9TKhrx,dübendorfer stimmbevölkerung sagen klaren nein xenophoben teuer bürokratievariante einbürgerungszuständigkeit svp,,,,,,,"{'Dübendorfer': 0, 'Stimmbevölkerung': 0, 'sagt': 0, 'klar': 0, 'Nein': 0.1, 'zur': 0.135, 'xenophoben': 0, 'und': 0.07, 'teuren': 0.21, 'Bürokratievariante': 0, 'der': 0.2, 'Einbürgerungszuständigkeit': 1.0, 'von': 0, 'SVP': 0}",positive,"[0.3558922, 0.21586025, 0.42824754]",,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,neutral,Jetzt noch Daumen drücken für Ja zur Einbürgerung und Nein zum #NAF #Abst17,daumen drücken ja einbürgerung nein naf abst17,,,,,,,"{'Jetzt': 0.26, 'noch': 0, 'Daumen': 0, 'drücken': 0.15, 'für': 1.0, 'Ja': 0.24, 'zur': 0.15, 'Einbürgerung': 0.99, 'und': 0.24, 'Nein': 0.56, 'zum': 0.15, 'NAF': 0.14, 'Abst17': 0.34}",positive,"[0.0064203762, 0.0013870024, 0.9921927]",,,,,,,,,,,,,,,,,,,negative
100.0,100.0,86.0,0.7,neutral,"RT @JungeGrueneZH: Das junggrüne Fahnenmeer der diesjährigen 1.Mai-Demo.
#lohngleichheit #grenzenlos #plastikfrei #freiesgemüse #noplastic…",junggrüne fahnenmeer diesjährig mai demo lohngleichheit grenzenlos plastikfrei freiesgemüse noplastic,,,,,,,,,,"{'Das': 0.06, 'junggrüne': 0.045, 'Fahnenmeer': 0.045, 'der': 0.06, 'diesjährigen': 0.035, '1.Mai-Demo': 0, 'lohngleichheit': 0.58, 'grenzenlos': 0.47, 'plastikfrei': 0, 'freiesgemüse': 0.12, 'noplastic': 0.14, '…': 0}",positive,"[0.17606299, 0.019033233, 0.80490375]",,,,,,,,,,,,,,,,positive
50.0,25.0,28.0,-0.15,neutral,"RT @DaRoth: #Nationalbank schreibt 9 Mia Verlust. Doof für Kantone, die mit dem Geld normales Budget und Steuersenkungen finanzieren. @Kant…",nationalbank schreiben mia verlust doof kantone geld normal budget steuersenkungen finanzieren,,,,,,,,,,,,,"{'Nationalbank': 0, 'schreibt': 0.41, '9': 0, 'Mia': 0, 'Verlust': 0.17, 'Doof': 1.0, 'für': 0.73, 'Kantone': 0.4, 'die': 0.08, 'mit': 0, 'dem': 0.08499999999999999, 'Geld': 0.12, 'normales': 0.08, 'Budget': 0, 'und': 0.07, 'Steuersenkungen': 0.25, 'finanzieren': 0.13, '…': 0}",neutral,"[0.9367491, 0.043653402, 0.019597461]",,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,".@jGruene_jVertEs beschliessen einstimmig,  mit @GSoASchweiz Initiative gegen Investion in Kriegsmaterial zu lancieren, freue mich! #mvjgs",beschliessen einstimmig initiative investion kriegsmaterial lancieren freuen mvjgs,,,,,,,,,,,,,,,,"{'beschliessen': 0.12, 'einstimmig': 0.15, 'mit': 0, 'Initiative': 0.44, 'gegen': 0.86, 'Investion': 0, 'in': 0.83, 'Kriegsmaterial': 0.8049999999999999, 'zu': 0.07, 'lancieren': 0.26, 'freue': 0.22, 'mich': 0, 'mvjgs': 0.2}",neutral,"[0.5412738, 0.04389129, 0.41483495]",,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"MV der @jGruene_jVertEs geht mit vollen Rängen los, heute werden wir der Investition in Kriegsmaterial den Kampf ansagen! #mvjgs",mv gehen voll rängen los heute investition kriegsmaterial kampf ansagen mvjgs,,,,,,,,,,,,,,,,"{'MV': 0.22, 'der': 0.06, 'geht': 0, 'mit': 0.06, 'vollen': 0.03, 'Rängen': 0.08, 'los': 0.06, 'heute': 0.04, 'werden': 0.04, 'wir': 0, 'Investition': 0.1, 'in': 0.05, 'Kriegsmaterial': 0.14, 'den': 0.06, 'Kampf': 0, 'ansagen': 0, 'mvjgs': 1.0}",positive,"[0.36034128, 0.026159648, 0.61349905]",,,,,,,,,,neutral
