answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
100.0,100.0,86.0,0.7,neutral,"RT @GrueneZuerich: +++BREAKING+++ Bundesgericht legalisiert den Besitz von bis zu 10 Gramm #Cannabis!
https://t.co/NTpitoG53K",breaking bundesgericht legalisieren besitzen gramm cannabis,"{'BREAKING+++': 0, 'Bundesgericht': 0.155, 'legalisiert': 0, 'den': 0.1, 'Besitz': 0.26, 'von': 0, 'bis': 0, 'zu': 0.12, '10': 0, 'Gramm': 0, 'Cannabis': 1.0}",neutral,"[0.74467945, 0.021064145, 0.23425637]",,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @FrickerJonas: Abstimmungsempfehlungen der #Grünen für den 12. Februar. #USR3 #naf #Abst17 #einbürgerung #parlCH https://t.co/RfCI1m95h4,abstimmungsempfehlungen grün februar usr3 naf abst17 einbürgerung parlch,,,,"{'Abstimmungsempfehlungen': 0.05, 'der': 0.03, 'Grünen': 0.02, 'für': 0.04, 'den': 0.03, '12.': 0, 'Februar': 0.03, 'USR3': 0.08, 'naf': 0.08, 'Abst17': 0.46, 'einbürgerung': 1.0, 'parlCH': 0.13}",neutral,"[0.634867, 0.009517511, 0.35561553]",,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,neutral,"RT @turlesque: Island führt eiskalt ein Gesetz ein, um Unternehmen zu büssen, welche die #Lohngleichheit für Frauen missachten. https://t.c…",island führen eiskalt gesetz unternehmen büssen welch lohngleichheit frauen missachten,,,,,,,"{'Island': 0, 'führt': 0, 'eiskalt': 0, 'ein': 0, 'Gesetz': 0.46, 'um': 0.1, 'Unternehmen': 0, 'zu': 0.24, 'büssen': 0.24, 'welche': 0, 'die': 0, 'Lohngleichheit': 0, 'für': 0.15, 'Frauen': 0.13, 'missachten': 1.0}",negative,"[0.2675053, 0.6597939, 0.07270071]",,,,,,,,,,,,,,,,negative
100.0,100.0,100.0,1.0,neutral,"76 Prozent des Stroms aus Schweizer Steckdosen stammten 2020 aus erneuerbaren Energien! Nur noch 20% aus AKW. Stehen die wirklich so häufig still?
https://t.co/ybgBmJlDXe",prozent stroms schweizer steckdosen stammen erneuerbaren energien akw stehen wirklich häufig stillen,,,,,,,,,,"{'76': 0, 'Prozent': 0.06, 'des': 0.05, 'Stroms': 0, 'aus': 0, 'Schweizer': 0.03, 'Steckdosen': 0.02, 'stammten': 0.055, '2020': 0, 'erneuerbaren': 0.06, 'Energien': 0.04, 'Nur': 0, 'noch': 0.18, '20': 0, 'AKW': 0.025, 'Stehen': 0.15, 'die': 0.03, 'wirklich': 0.36, 'so': 0, 'häufig': 0.27, 'still': 0.18}",neutral,"[0.75567067, 0.21151248, 0.032816824]",,,,,,,,,,,,,positive
100.0,100.0,100.0,0.9,neutral,RT @AEE_SUISSE: ⁦@Damian_Mueller_⁩ analysiert richtig: Ohne Stromabkommen wird die Schweiz sicher mehr und schneller erneuerbare Energien a…,analysieren richtig stromabkommen schweiz sichern mehr schnell erneuerbare energien a,,,,,,,,,,"{'\u2066\u2069': 0, 'analysiert': 0, 'richtig': 0, 'Ohne': 0, 'Stromabkommen': 0, 'wird': 0, 'die': 0, 'Schweiz': 0, 'sicher': 0, 'mehr': 0, 'und': 0, 'schneller': 0, 'erneuerbare': 0, 'Energien': 0, 'a': 0, '…': 0}",positive,"[0.030595822, 0.012190107, 0.9572141]",,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Bis 2025 überholen die Erneuerbaren Energien die Kohle, welche seit 1950 der wichtigste Energieträger für die Stromerzeugung war! https://t.co/LxxF9TuMAf",überholen erneuerbaren energien kohle welch seit wichtigste energieträger stromerzeugung,,,,,,,,,,"{'Bis': 0, '2025': 0, 'überholen': 0.58, 'die': 0.1, 'Erneuerbaren': 0, 'Energien': 1.0, 'Kohle': 0, 'welche': 0.08, 'seit': 0.06, '1950': 0, 'der': 0.1, 'wichtigste': 0.055, 'Energieträger': 0.175, 'für': 0.06, 'Stromerzeugung': 0.11, 'war': 0}",positive,"[0.019676717, 0.009494481, 0.9708288]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Gute Vorzeichen für die Photovoltaik im kommenden Jahr. Die Wartelisten werden 2021 komplett abgebaut. Damit kann sich die günstigste Energieform in der Schweiz weiter etablieren.
Können die neuen Erneuerbaren 2021 schon die 10% Stromanteil überschreiten?

https://t.co/9kL2vCXAqD https://t.co/HDM4JFFU72",gut vorzeichen photovoltaik kommend jahr wartelisten komplett abbauen günstig energieform schweiz weit etablieren neu erneuerbaren schon stromanteil überschreiten,,,,,,,,,,"{'Gute': 0, 'Vorzeichen': 0, 'für': 0.02, 'die': 0.05, 'Photovoltaik': 0.04, 'im': 0, 'kommenden': 0.01, 'Jahr': 0.02, 'Die': 0.05, 'Wartelisten': 0.025, 'werden': 0.07, '2021': 0, 'komplett': 0.09, 'abgebaut': 0, 'Damit': 0.03, 'kann': 1.0, 'sich': 0, 'günstigste': 0, 'Energieform': 0.025, 'in': 0.04, 'der': 0.05, 'Schweiz': 0.05, 'weiter': 0, 'etablieren': 0.03, 'Können': 0.05, 'neuen': 0.1, 'Erneuerbaren': 0.4, 'schon': 0, '10': 0, 'Stromanteil': 0.04, 'überschreiten': 0.41}",negative,"[0.12470145, 0.84986556, 0.025433043]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Die Erneuerbaren-Branche wachsen weiter: 11,5 Millionen Arbeitsplätze waren es 2019! IRENA-Jobmonitor: Erneuerbaren-Branche schafft weltweit Arbeitsplätze https://t.co/vmBQBJETbl via @energiezukunft_",erneuerbaren branche wachsen weit millionen arbeitsplätze irena jobmonitor erneuerbaren branche schaffen weltweit arbeitsplätze via,,,,,,,,,,"{'Die': 0.13, 'Erneuerbaren-Branche': 0.405, 'wachsen': 0.14, 'weiter': 0, '11,5': 0, 'Millionen': 0, 'Arbeitsplätze': 0.21, 'waren': 0, 'es': 0, '2019': 0, 'IRENA-Jobmonitor': 0.47, 'schafft': 0.76, 'weltweit': 0.27, 'via': 0.26}",positive,"[0.01819714, 0.0071313484, 0.97467154]",,,,,,,,,,,,,neutral
100.0,100.0,100.0,0.85,neutral,"Ein Jahrzehnt des Wachstums für Erneuerbare. Insbesondere die Photovoltaik und die Windkraft sind innerhalb von nur zehn Jahren für viele Länder die kostengünstigsten Energieversorgungsquellen geworden, unabhängig von ihren ökologischen Vorteilen. https://t.co/g39QSS0DkJ",jahrzehnt wachstums erneuerbare insbesondere photovoltaik windkraft innerhalb zehn jahren länder kostengünstig energieversorgungsquellen unabhängig ökologisch vorteilen,,,,,,,,,,"{'Ein': 0.16, 'Jahrzehnt': 0.54, 'des': 0, 'Wachstums': 0.68, 'für': 0.04, 'Erneuerbare': 0, 'Insbesondere': 0.02, 'die': 0.03, 'Photovoltaik': 0.08, 'und': 0.04, 'Windkraft': 0.02, 'sind': 0, 'innerhalb': 0, 'von': 0, 'nur': 0, 'zehn': 0.03, 'Jahren': 0.05, 'viele': 0, 'Länder': 0.02, 'kostengünstigsten': 0, 'Energieversorgungsquellen': 0.09, 'geworden': 0.06, 'unabhängig': 0, 'ihren': 0, 'ökologischen': 0.02, 'Vorteilen': 0.05}",positive,"[0.00096283, 0.0012799213, 0.99775726]",,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"Der Flächenverbrauch von Eerneuerbare-Energien-Anlagen sorgt in letzter Zeit vermehrt für Diskussionen. Nun hat eine Analyse ergeben, dass für Photovoltaik nur eine sehr begrenzte Landfläche benötigt wird. #Photovoltaik #Klimawahl2019 https://t.co/aWsDargnQj",flächenverbrauch eerneuerbare energien anlagen sorgen letzt zeit vermehren diskussionen analyse ergeben photovoltaik begrenzen landfläche benötigen photovoltaik klimawahl2019,,,,,,,,,,"{'Der': 1.0, 'Flächenverbrauch': 0.175, 'von': 0, 'Eerneuerbare-Energien-Anlagen': 0.2725, 'sorgt': 0, 'in': 0, 'letzter': 0, 'Zeit': 0, 'vermehrt': 0, 'für': 0.02, 'Diskussionen': 0, 'Nun': 0, 'hat': 0, 'eine': 0, 'Analyse': 0, 'ergeben': 0, 'dass': 0.04, 'Photovoltaik': 0.03, 'nur': 0.07, 'sehr': 0.04, 'begrenzte': 0.03, 'Landfläche': 0.03, 'benötigt': 0, 'wird': 0, 'Klimawahl2019': 0.02}",negative,"[0.19036436, 0.7862348, 0.023400871]",,,,,,,,,,,,,positive
