answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3418,absa_sentiment_3418,absa_scores_3418,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,sentiment_tb
50.0,75.0,57.0,0.0,negative,"#Rentenalter auf 65 für Frauen? Da haben Sie jetzt ein Jahr weniger Zeit als Grossmütter, gratis Kinderbetreuung zu leisten! 
#AHV21 #Frauenstreik #Parlament #ahv #nichtmeinnationalrat #nichtmeinständerat",rentenalter frauen jahr wenig zeit grossmütter gratis kinderbetreuung leisten ahv21 frauenstreik parlament ahv nichtmeinnationalrat nichtmeinständerat,"{'Rentenalter': 0.03, 'auf': 0, '65': 0, 'für': 0.02, 'Frauen': 0.04, 'Da': 0, 'haben': 0.055, 'Sie': 0, 'jetzt': 0.03, 'ein': 0, 'Jahr': 0.03, 'weniger': 0, 'Zeit': 0.04, 'als': 0, 'Grossmütter': 0, 'gratis': 0.51, 'Kinderbetreuung': 1.0, 'zu': 0.09, 'leisten': 0, 'AHV21': 0.06, 'Frauenstreik': 0.04, 'Parlament': 0.03, 'ahv': 0, 'nichtmeinnationalrat': 0.04, 'nichtmeinständerat': 0}",positive,"[0.0012067102, 0.0010340575, 0.9977592]","{'Rentenalter': 0.8, 'auf': 0, '65': 0, 'für': 0.18, 'Frauen': 0.03, 'Da': 0, 'haben': 0.05, 'Sie': 0, 'jetzt': 0.07, 'ein': 0, 'Jahr': 0.06, 'weniger': 0, 'Zeit': 0.03, 'als': 0, 'Grossmütter': 0, 'gratis': 0.12, 'Kinderbetreuung': 0.08, 'zu': 0.05, 'leisten': 0, 'AHV21': 0.12, 'Frauenstreik': 0.09, 'Parlament': 0.04, 'ahv': 0, 'nichtmeinnationalrat': 0.04, 'nichtmeinständerat': 0}",neutral,"[0.90900815, 0.049270418, 0.04172142]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"RT @Tamarafuniciell: 650 millionen für Profisport.
65 Millionen für Profikinderbetreuung.
Finde den Fehler.

@EKdM20 @FemmesSPFrauen",millionen profisport millionen profikinderbetreuung finden fehler,"{'650': 0, 'millionen': 0, 'für': 0.21, 'Profisport': 0.56, '65': 0, 'Millionen': 0, 'Profikinderbetreuung': 0, 'Finde': 0.11, 'den': 0.04, 'Fehler': 0}",positive,"[0.0013281972, 0.009137516, 0.9895343]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,negative,"1.5 Milliarden für die #Kinderbetreuung! Ansonsten machen wir das #Bundeshaus zur grössten #KITA der Schweiz! Gell @alain_berset ;)
Siehe auch unser neues Video ""Neues Virus - Alte Übel""
https://t.co/DaHT9BfPHH https://t.co/SxZ1FtDw4I",milliarden kinderbetreuung ansonsten bundeshaus grössten kita schweiz gell siehe neu video neu virus alt übel,"{'1.5': 0, 'Milliarden': 0, 'für': 0.54, 'die': 0.07, 'Kinderbetreuung': 1.0, 'Ansonsten': 0.37, 'machen': 0, 'wir': 0, 'das': 0, 'Bundeshaus': 0.13, 'zur': 0.07, 'grössten': 0, 'KITA': 0.06, 'der': 0.07, 'Schweiz': 0.04, 'Gell': 0, 'Siehe': 0, 'auch': 0.03, 'unser': 0.07, 'neues': 0.05, 'Video': 0.08, 'Neues': 0.05, 'Virus': 0.04, 'Alte': 0, 'Übel': 0}",positive,"[0.0289076, 0.022603856, 0.94848853]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,negative,"#Rentenalter auf 65 für Frauen? Da haben Sie jetzt ein Jahr weniger Zeit als Grossmütter, gratis Kinderbetreuung zu leisten! 
#AHV21 #Frauenstreik #Parlament #ahv #nichtmeinnationalrat #nichtmeinständerat",rentenalter frauen jahr wenig zeit grossmütter gratis kinderbetreuung leisten ahv21 frauenstreik parlament ahv nichtmeinnationalrat nichtmeinständerat,"{'Rentenalter': 0.03, 'auf': 0, '65': 0, 'für': 0.02, 'Frauen': 0.04, 'Da': 0, 'haben': 0.055, 'Sie': 0, 'jetzt': 0.03, 'ein': 0, 'Jahr': 0.03, 'weniger': 0, 'Zeit': 0.04, 'als': 0, 'Grossmütter': 0, 'gratis': 0.51, 'Kinderbetreuung': 1.0, 'zu': 0.09, 'leisten': 0, 'AHV21': 0.06, 'Frauenstreik': 0.04, 'Parlament': 0.03, 'ahv': 0, 'nichtmeinnationalrat': 0.04, 'nichtmeinständerat': 0}",positive,"[0.0012067102, 0.0010340575, 0.9977592]","{'Rentenalter': 0.8, 'auf': 0, '65': 0, 'für': 0.18, 'Frauen': 0.03, 'Da': 0, 'haben': 0.05, 'Sie': 0, 'jetzt': 0.07, 'ein': 0, 'Jahr': 0.06, 'weniger': 0, 'Zeit': 0.03, 'als': 0, 'Grossmütter': 0, 'gratis': 0.12, 'Kinderbetreuung': 0.08, 'zu': 0.05, 'leisten': 0, 'AHV21': 0.12, 'Frauenstreik': 0.09, 'Parlament': 0.04, 'ahv': 0, 'nichtmeinnationalrat': 0.04, 'nichtmeinständerat': 0}",neutral,"[0.90900815, 0.049270418, 0.04172142]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,negative,"#rentenalter mit 66? Typisch #jungsinnfrei wir von der DLSSLP fordern eine #Jugendrente bis 45 und Altersrente ab 46. finanziert durch Leute die seit Geburt Rentner*innen sind: all die faulen Superreichen, die ihr sinnloses Leben auf den Golfplätzen verbringen @Jungfreisinnige",rentenalter typisch jungsinnfrei dlsslp fordern jugendrente altersrente ab finanzieren leute seit geburt rentner innen all faul superreichen sinnlos leben golfplätzen verbringen,,,,"{'rentenalter': 0.43, 'mit': 0, '66': 0, 'Typisch': 0, 'jungsinnfrei': 0, 'wir': 0, 'von': 0.04, 'der': 0.03, 'DLSSLP': 0.16, 'fordern': 0.14, 'eine': 0, 'Jugendrente': 0.035, 'bis': 0, '45': 0, 'und': 0.04, 'Altersrente': 0.435, 'ab': 0, '46.': 0, 'finanziert': 0.08, 'durch': 0, 'Leute': 0.02, 'die': 0.03, 'seit': 0.03, 'Geburt': 0.02, 'Rentner*innen': 0, 'sind': 0, 'all': 0.03, 'faulen': 0, 'Superreichen': 0.015, 'ihr': 0, 'sinnloses': 0, 'Leben': 0, 'auf': 0.02, 'den': 0.03, 'Golfplätzen': 0.035, 'verbringen': 0.03}",neutral,"[0.9163412, 0.042064138, 0.04159475]",,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,#abst20 #Abstimmungssonntag #Kampfjets #vaterschaftsurlaub #jagdgesetz #Kinderabzuege #bgi #dlsslp https://t.co/oc1gklFt4k,abst20 abstimmungssonntag kampfjets vaterschaftsurlaub jagdgesetz kinderabzuege bgi dlsslp,,,,,,,"{'abst20': 0.18, 'Abstimmungssonntag': 0.155, 'Kampfjets': 0.27, 'vaterschaftsurlaub': 0.985, 'jagdgesetz': 0.10500000000000001, 'Kinderabzuege': 0.11, 'bgi': 0.08, 'dlsslp': 0.16}",neutral,"[0.7537801, 0.027183969, 0.21903586]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"Du darfst am 27. September abstimmen und hast keine Ahnung, worum es bei den fünf Vorlagen geht? Wir helfen Dir! Heute der fünfte und letzte Teil: #Vaterschaftsurlaub #dlsslp #Abst20 https://t.co/vcbNZewl6k",dürfen september abstimmen ahnung worum fünf vorlagen gehen helfen heute fünfte letzte teil vaterschaftsurlaub dlsslp abst20,,,,,,,"{'Du': 0, 'darfst': 0, 'am': 0, '27.': 0, 'September': 0.04, 'abstimmen': 0.09, 'und': 0.14, 'hast': 0, 'keine': 0, 'Ahnung': 0.03, 'worum': 0.03, 'es': 0, 'bei': 0, 'den': 0.12, 'fünf': 0.04, 'Vorlagen': 0, 'geht': 0, 'Wir': 0.04, 'helfen': 0.08, 'Dir': 0.06, 'Heute': 0.23, 'der': 0.12, 'fünfte': 0.15, 'letzte': 0.13, 'Teil': 0.45, 'Vaterschaftsurlaub': 0.73, 'dlsslp': 0.27, 'Abst20': 0.21}",positive,"[0.055624772, 0.005362633, 0.9390126]",,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Verschwörungstheorie à la #Qanons... aber diese ist wahr! 
#papizeit #vaterschaftsurlaub #dlsslp https://t.co/N8AnXL8Epn",verschwörungstheorie à la qanons wahren papizeit vaterschaftsurlaub dlsslp,,,,,,,"{'Verschwörungstheorie': 0.07500000000000001, 'à': 0, 'la': 0, 'Qanons': 0.13, '...': 0, 'aber': 0.07, 'diese': 0.07, 'ist': 0.07, 'wahr': 0.08, 'papizeit': 0, 'vaterschaftsurlaub': 1.0, 'dlsslp': 0.62}",positive,"[0.16732919, 0.014271906, 0.81839895]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"RT @ChristophGoste1: @lohnabzuegeNein Vielen Dank! Ich hatte das Pech, dass ich zwei Wochen #Vaterschaftsurlaub hatte und mein Pensum reduz…",danken pech zwei wochen vaterschaftsurlaub pensum reduz,,,,,,,"{'Vielen': 0.03, 'Dank': 0.06, 'Ich': 0.04, 'hatte': 0.17, 'das': 0.07, 'Pech': 0, 'dass': 0.07, 'ich': 0.04, 'zwei': 0.07, 'Wochen': 0.15, 'Vaterschaftsurlaub': 0.72, 'und': 0.24, 'mein': 0.08, 'Pensum': 0, 'reduz': 0, '…': 0}",negative,"[0.122929044, 0.8442789, 0.03279199]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"An das Anti-#Vaterschaftsurlaub Komitee @lohnabzuegeNein 
Wenn ihr wirklich zurück ins Mittelalter wollt, dann seid wenigstens mit euren Slogans ehrlich.. wir hätten da einen Vorschlag: 
#elternurlaub #elternzeit https://t.co/P04hiW7Hkz",anti vaterschaftsurlaub komitee wirklich zurück mittelalter wenigstens slogans ehrlich vorschlag elternurlaub elternzeit,,,,,,,"{'An': 0, 'das': 0, 'Anti-#Vaterschaftsurlaub': 0.4325, 'Komitee': 0.62, 'Wenn': 0, 'ihr': 0, 'wirklich': 0.06, 'zurück': 0.09, 'ins': 0, 'Mittelalter': 0.09, 'wollt': 0.08, 'dann': 0, 'seid': 0, 'wenigstens': 0.1, 'mit': 0.06, 'euren': 0, 'Slogans': 0.32, 'ehrlich': 0, '..': 0, 'wir': 0, 'hätten': 0.07, 'da': 0, 'einen': 0.05, 'Vorschlag': 0, 'elternurlaub': 0.11499999999999999, 'elternzeit': 0.11499999999999999}",positive,"[0.08709863, 0.03211841, 0.88078296]",,,,,,,,,,,,,,,,,,,,,,,,,positive
