answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3415,absa_sentiment_3415,absa_scores_3415,absa_token_weights_3417,absa_sentiment_3417,absa_scores_3417,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3433,absa_sentiment_3433,absa_scores_3433,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3473,absa_sentiment_3473,absa_scores_3473,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"RT @zeitonline: Gerade in der Phase, in der sich das Gehirn junger Menschen noch entwickelt, können #Drogen, wie #Cannabis, das Risiko noch…",gerade phase gehirn jung menschen entwickeln drogen cannabis risiko,"{'Gerade': 0, 'in': 0.02, 'der': 0.09, 'Phase': 0.04, 'sich': 0, 'das': 0, 'Gehirn': 0.11, 'junger': 0, 'Menschen': 0.04, 'noch': 0.18, 'entwickelt': 0, 'können': 0, 'Drogen': 0.22, 'wie': 0, 'Cannabis': 1.0, 'Risiko': 0.1, '…': 0}",neutral,"[0.8517775, 0.04158839, 0.10663412]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"@zollingersven @fdp_zh @FDP_Liberalen Rentenaltererhöhung für Frauen und UWS-Senkung sind urlinke Anliegen und BR Couchepin ist Marxist! Wisst ihr noch, wovon ihr redet? #fdpfail",rentenaltererhöhung frauen uws senkung urlinke anliegen br couchepin marxist wisst wovon reden fdpfail,,,,"{'Rentenaltererhöhung': 0.79, 'für': 0.46, 'Frauen': 0.29, 'und': 0.1, 'UWS-Senkung': 0.35, 'sind': 0.03, 'urlinke': 0.08, 'Anliegen': 0, 'BR': 0.05, 'Couchepin': 0.19, 'ist': 0.09, 'Marxist': 0.14, 'Wisst': 0.04, 'ihr': 0, 'noch': 0.05, 'wovon': 0.055, 'redet': 0, 'fdpfail': 0.16}",neutral,"[0.5921664, 0.2132633, 0.1945703]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"@phil_liberal @PhTschopp @TomCBerger Richtung stimmt doch! UWS tiefer, Frauenrentenalter rauf. Grundlagen stimmen.",richtung stimmen uws tief frauenrentenalter rauf grundlagen stimmen,,,,"{'Richtung': 0.25, 'stimmt': 0.18, 'doch': 0, 'UWS': 0.23, 'tiefer': 0, 'Frauenrentenalter': 0.685, 'rauf': 0, 'Grundlagen': 0.42, 'stimmen': 0}",positive,"[0.039049048, 0.009619135, 0.9513318]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @TheDudeLebovski: .@Tamarafuniciell fordert Rentenalter 57 für Frauen. Wie das mit der Gleichberechtigung funktioniert, hat sie noch nic…",fordern rentenalter frauen gleichberechtigung funktionieren nic,,,,"{'fordert': 0.31, 'Rentenalter': 0.715, '57': 0, 'für': 0.39, 'Frauen': 0.28, 'Wie': 0, 'das': 0.1, 'mit': 0.06, 'der': 0, 'Gleichberechtigung': 0, 'funktioniert': 0, 'hat': 0, 'sie': 0.2, 'noch': 0, 'nic': 0, '…': 0}",neutral,"[0.775046, 0.025501361, 0.19945256]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"@meierelias Aber ich wollte doch ein Bier 😭. 
Zweiter und letzter Versuch, dann zahl ichs selber:
Vortrag gegen Vaterschaftsurlaub",bier zweit letzt versuch zahl ichs selber vortrag vaterschaftsurlaub,,,,,,,"{'Aber': 0.07, 'ich': 0.06, 'wollte': 0.13, 'doch': 0, 'ein': 0, 'Bier': 0.14, 'Zweiter': 0.05, 'und': 0.05, 'letzter': 0.06, 'Versuch': 0.11, 'dann': 0.07, 'zahl': 0, 'ichs': 0.095, 'selber': 0.21, 'Vortrag': 0, 'gegen': 1.0, 'Vaterschaftsurlaub': 0.495}",neutral,"[0.67046785, 0.13547844, 0.19405377]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,0.7999999999999999,neutral,"@klinglergeorg @Thurnheer_Th Wir bewilligen 6 Milliarden, niemand redet von 10 Mia. für den Vaterschaftsurlaub über 30 Jahre.
V.a. muss gemäss Verfassung der Luftraum geschützt werden. Die Bedrohungsszenarien sind real und man muss ihnen begegnen können, egal 1% oder 10% Wahrscheinlichkeit",bewilligen milliarden niemand reden mia vaterschaftsurlaub jahre v a gemäss verfassung luftraum schützen bedrohungsszenarien real begegnen egal wahrscheinlichkeit,,,,,,,"{'Wir': 0.07, 'bewilligen': 0, '6': 0, 'Milliarden': 0, 'niemand': 0.13, 'redet': 0, 'von': 0, '10': 0, 'Mia': 0, 'für': 1.0, 'den': 0.02, 'Vaterschaftsurlaub': 0.835, 'über': 0.11, '30': 0, 'Jahre': 0.26, 'V.a': 0, 'muss': 0.01, 'gemäss': 0.015, 'Verfassung': 0.04, 'der': 0.02, 'Luftraum': 0.05, 'geschützt': 0.03, 'werden': 0, 'Die': 0.02, 'Bedrohungsszenarien': 0.045, 'sind': 0.02, 'real': 0.04, 'und': 0.01, 'man': 0, 'ihnen': 0.02, 'begegnen': 0.01, 'können': 0.01, 'egal': 0, '1': 0, 'oder': 0.01, 'Wahrscheinlichkeit': 0.02}",neutral,"[0.62500006, 0.2732899, 0.101710044]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"@rolnam Nein. Ich sage, es beides. Wenn Du aber die Kosten der nächsten 30 Jahre für die #Kampfets anbringst, musst du auch die für den #Vaterschaftsurlaub anbringen. Der kostet den Steuerzahler dann knapp 10 Milliarden - und es wird wohl kaum bei 2 Wochen bleiben 😉",nein sage beide kosten nächst jahre kampfets anbringen musst vaterschaftsurlaub anbringen kosten steuerzahler knapp milliarden wohl kaum wochen bleiben,,,,,,,"{'Nein': 0.02, 'Ich': 0.02, 'sage': 0, 'es': 0.02, 'beides': 0.02, 'Wenn': 0, 'Du': 0, 'aber': 0.04, 'die': 0.04, 'Kosten': 0.06, 'der': 0.04, 'nächsten': 0.01, '30': 0, 'Jahre': 0.05, 'für': 0.19, 'Kampfets': 0, 'anbringst': 0, 'musst': 0.04, 'du': 0, 'auch': 0.06, 'den': 0.04, 'Vaterschaftsurlaub': 1.0, 'anbringen': 0, 'Der': 0.04, 'kostet': 0.06, 'Steuerzahler': 0.1, 'dann': 0.08, 'knapp': 0, '10': 0, 'Milliarden': 0, 'und': 0.04, 'wird': 0.04, 'wohl': 0, 'kaum': 0, 'bei': 0.02, '2': 0, 'Wochen': 0.06, 'bleiben': 0}",negative,"[0.37906253, 0.497172, 0.12376548]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"@freeapophis @Damian_Mueller_ @lohnabzuegeNein Hört doch mal mit den 24 Milliarden aus. Das ist gestreckt über die ganze Laufzeit, knapp 30 Jahre. So gerechnet macht der Vaterschaftsurlaub auch bald mal 10 Milliarden - und das sind nur zwei Wochen pro Jahr.",hören mal milliarden strecken ganze laufzeit knapp jahre rechnen vaterschaftsurlaub bald mal milliarden zwei wochen pro jahr,,,,,,,"{'Hört': 0, 'doch': 0, 'mal': 0, 'mit': 0, 'den': 0.04, '24': 0, 'Milliarden': 0, 'aus': 0, 'Das': 0.04, 'ist': 0.06, 'gestreckt': 0.05, 'über': 0.03, 'die': 0.04, 'ganze': 0, 'Laufzeit': 0, 'knapp': 0, '30': 0, 'Jahre': 0.15, 'So': 0, 'gerechnet': 0, 'macht': 0, 'der': 0.04, 'Vaterschaftsurlaub': 0.655, 'auch': 0, 'bald': 0, '10': 0, 'und': 0.16, 'das': 0.16, 'sind': 0, 'nur': 0.15, 'zwei': 0.04, 'Wochen': 0.12, 'pro': 0, 'Jahr': 0.09}",negative,"[0.09957097, 0.80420035, 0.09622874]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,neutral,"@FlavienGousset @LewinLempert Elternzeit: Ein erster Schritt dahin wurde gemacht mit dem Vaterschaftsurlaub

Umweltschutz: CO2-Gesetz kurz vor dem Durchbruch, Problem ist meist nicht Finanzierung, sondern Verbote

1:12 &amp; Mindestlohn v. 4000 Fr.: Hätte nur den Kleinsten geschadet 

1/2",elternzeit erst schritt dahin vaterschaftsurlaub umweltschutz co2 gesetz kurz durchbruch problem meist finanzierung verbote amp mindestlohn v fr klein schaden,,,,,,,"{'Elternzeit': 0.39999999999999997, 'Ein': 0.3, 'erster': 0.25, 'Schritt': 0.91, 'dahin': 0, 'wurde': 0.03, 'gemacht': 0, 'mit': 1.0, 'dem': 0.02, 'Vaterschaftsurlaub': 0.75, 'Umweltschutz': 0.125, 'CO2-Gesetz': 0.115, 'kurz': 0, 'vor': 0.04, 'Durchbruch': 0.02, 'Problem': 0.07, 'ist': 0.02, 'meist': 0, 'nicht': 0.01, 'Finanzierung': 0.02, 'sondern': 0.03, 'Verbote': 0, '1:12': 0, 'amp': 0.03, 'Mindestlohn': 0.02, 'v.': 0, '4000': 0, 'Fr.': 0, 'Hätte': 0, 'nur': 0.03, 'den': 0.02, 'Kleinsten': 0, 'geschadet': 0.04, '1': 0, '2': 0}",positive,"[0.3722888, 0.031021394, 0.5966898]",,,,,,,,,,,,,,,,"{'Elternzeit': 0.025, 'Ein': 0.01, 'erster': 0.02, 'Schritt': 0.05, 'dahin': 0, 'wurde': 0.69, 'gemacht': 0, 'mit': 0.03, 'dem': 0.13, 'Vaterschaftsurlaub': 0.02, 'Umweltschutz': 0.015, 'CO2-Gesetz': 0.03, 'kurz': 0, 'vor': 0.03, 'Durchbruch': 0.02, 'Problem': 0.07, 'ist': 0.08, 'meist': 0, 'nicht': 0.03, 'Finanzierung': 0.03, 'sondern': 0.06, 'Verbote': 0, '1:12': 0, 'amp': 0.02, 'Mindestlohn': 0.315, 'v.': 0, '4000': 0, 'Fr.': 0, 'Hätte': 0, 'nur': 1.0, 'den': 0.13, 'Kleinsten': 0, 'geschadet': 0.62, '1': 0, '2': 0}",negative,"[0.39720324, 0.5101983, 0.09259844]",,,,,,,,,,,,,"{'Elternzeit': 0.565, 'Ein': 0.13, 'erster': 0.14, 'Schritt': 0.23, 'dahin': 0, 'wurde': 0.04, 'gemacht': 0, 'mit': 0.35, 'dem': 0.03, 'Vaterschaftsurlaub': 1.0, 'Umweltschutz': 0.61, 'CO2-Gesetz': 0.25, 'kurz': 0, 'vor': 0.06, 'Durchbruch': 0.09, 'Problem': 0.06, 'ist': 0.04, 'meist': 0, 'nicht': 0.02, 'Finanzierung': 0.15, 'sondern': 0.04, 'Verbote': 0, '1:12': 0, 'amp': 0.08, 'Mindestlohn': 0.055, 'v.': 0, '4000': 0, 'Fr.': 0, 'Hätte': 0, 'nur': 0.03, 'den': 0.03, 'Kleinsten': 0, 'geschadet': 0.08, '1': 0, '2': 0}",positive,"[0.24478292, 0.11481567, 0.64040136]",,,,,,,,,,,,,negative
0.0,0.0,14.0,-0.6666666666666666,negative,"@narimoldi @Alpenschaf @l_nyffenegger @LXEvans @NielsGebraad @lohnabzuegeNein @Patrick_Eugster @AlainS1991 @susanne_brunner @DianaGutjahr1 @GBindschedler @MBourgeoisFDP @phil_liberal @ChristianImark @fgrueter KMU können den Vaterschaftsurlaub nicht stemmen? Wegen der Abgaben von 0.06% mehr oder wegen des Ausfalls des Mitarbeiters? Erste ist lächerlich, beim Zweiten könnten Arbeitnehmer auch nicht mehr krank werden oder in den WK gehen. Sorry, dann stimmt beim KMU aber sonst was nicht.",kmu vaterschaftsurlaub stemmen wegen abgaben mehr wegen ausfalls mitarbeiters erste lächerlich beim zweit arbeitnehmer mehr kranken wk gehen sorry stimmen beim kmu,,,,,,,"{'KMU': 0, 'können': 0, 'den': 0.05, 'Vaterschaftsurlaub': 0.715, 'nicht': 0, 'stemmen': 0, 'Wegen': 0.07, 'der': 0.05, 'Abgaben': 0, 'von': 0, '0.06': 0, 'mehr': 0.05, 'oder': 0.08, 'wegen': 0.07, 'des': 0, 'Ausfalls': 0, 'Mitarbeiters': 0.09, 'Erste': 0.54, 'ist': 0.06, 'lächerlich': 1.0, 'beim': 0.05, 'Zweiten': 0.12, 'könnten': 0.16, 'Arbeitnehmer': 0, 'auch': 0, 'krank': 0, 'werden': 0, 'in': 0, 'WK': 0, 'gehen': 0, 'Sorry': 0.21, 'dann': 0.08, 'stimmt': 0, 'aber': 0.1, 'sonst': 0, 'was': 0}",negative,"[0.20119478, 0.71892947, 0.07987568]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
