answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3474,absa_sentiment_3474,absa_scores_3474,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"@michuchristen @FDP_Liberalen @RentenreformJa Rentenalter 67 ist derzeit illusorisch. Falls bis 2030 ältere Arbeitnehmer besser Chancen auf dem Arbeitsmarkt haben, kann man darüber reden",rentenalter derzeit illusorisch falls alt arbeitnehmer gut chancen arbeitsmarkt darüber reden,"{'Rentenalter': 0.555, '67': 0, 'ist': 0.64, 'derzeit': 1.0, 'illusorisch': 1.0, 'Falls': 0, 'bis': 0, '2030': 0, 'ältere': 0.12, 'Arbeitnehmer': 0.1, 'besser': 0.09, 'Chancen': 0, 'auf': 0, 'dem': 0.08, 'Arbeitsmarkt': 0.05, 'haben': 0.11, 'kann': 0.09, 'man': 0, 'darüber': 0.11000000000000001, 'reden': 0}",neutral,"[0.94037503, 0.02383451, 0.03579041]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,Der Plan-B zur #AV2020 der @FDP_Liberalen funktioniert nicht ohne eine Rentenaltererhöhung - darum @RentenreformJa #srfarena,plan b av2020 funktionieren rentenaltererhöhung darum srfarena,"{'Der': 0, 'Plan-B': 0, 'zur': 0, 'AV2020': 0.19, 'der': 0, 'funktioniert': 0, 'nicht': 1.0, 'ohne': 0.87, 'eine': 0, 'Rentenaltererhöhung': 0.3625, 'darum': 0, 'srfarena': 0.11}",negative,"[0.09003385, 0.59466034, 0.31530583]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,Die @papizeit ist überfällig darum JA zum #Vaterschaftsurlaub. https://t.co/n0zEVf3LF6,überfällig darum ja vaterschaftsurlaub,,,,"{'Die': 0, 'ist': 0.09, 'überfällig': 0.36, 'darum': 0, 'JA': 0, 'zum': 0.74, 'Vaterschaftsurlaub': 0.58}",positive,"[0.0029365984, 0.0011585405, 0.99590486]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"RT @TheDudeLebovski: Suche für meine SA ein Unternehmen mit freiwilligen #Vaterschaftsurlaub, welches mir Auskunft gibt über folgende (Teil…",suche sa unternehmen freiwillig vaterschaftsurlaub welch auskunft geben folgend teil,,,,"{'Suche': 0, 'für': 0.1, 'meine': 0.15, 'SA': 0, 'ein': 0, 'Unternehmen': 0.22, 'mit': 0.42, 'freiwilligen': 0, 'Vaterschaftsurlaub': 0.72, 'welches': 0.36, 'mir': 0.08, 'Auskunft': 0.17, 'gibt': 0, 'über': 0, 'folgende': 0.11, 'Teil': 0.12, '…': 0}",positive,"[0.3008584, 0.024180066, 0.6749615]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @MullerAltermatt: Heute eingereicht: 44 Schachteln mit 107'160 Unterschriften für 20 Tage Vaterschaftsurlaub. Es ist Zeit für die @papiz…,heute einreichen schachteln unterschriften tage vaterschaftsurlaub zeit,,,,"{'Heute': 0.18, 'eingereicht': 0.46, '44': 0, 'Schachteln': 0.14, 'mit': 0.11, ""107'160"": 0, 'Unterschriften': 0.17, 'für': 0.96, '20': 0, 'Tage': 0.33, 'Vaterschaftsurlaub': 0.42000000000000004, 'Es': 0, 'ist': 0, 'Zeit': 0.56, 'die': 0, '…': 0}",neutral,"[0.76772165, 0.0050106803, 0.2272677]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"@BinderMarianne @CVP_PDC @FDP_Liberalen ... wie beispielsweise bei der Verschärfung des Einbürgerungsgesetzes:
https://t.co/E1ZENjXjP2 #GRAG",beispielsweise verschärfung einbürgerungsgesetzes grag,,,,,,,"{'...': 0, 'wie': 0, 'beispielsweise': 0, 'bei': 0, 'der': 0.21, 'Verschärfung': 0.38, 'des': 0, 'Einbürgerungsgesetzes': 1.0, 'GRAG': 0.29}",positive,"[0.10797103, 0.011038602, 0.8809904]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,14.0,-0.7,negative,RT @AndreasVitis: SVP versenkt verschärftes Einbürgerungsgesetz. Sind ihre Wähler damit einverstanden?? #GRAG,svp versenken verschärft einbürgerungsgesetz wähler einverstanden grag,,,,,,,"{'SVP': 0, 'versenkt': 0, 'verschärftes': 0.58, 'Einbürgerungsgesetz': 1.0, 'Sind': 0, 'ihre': 0, 'Wähler': 0.3, 'damit': 0, 'einverstanden': 0.2, 'GRAG': 0.15}",positive,"[0.070307106, 0.006135752, 0.92355716]",,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,RT @CVP_PDC: Für die #CVP ist #Lohngleichheit ein gesellschaftspolitisches Muss &amp; sollte selbstverständlich sein. Sie hat das Gleichstellun…,cvp lohngleichheit gesellschaftspolitisches amp sollen selbstverständlich gleichstellun,,,,,,,,,,"{'Für': 0.11, 'die': 0.56, 'CVP': 0.09, 'ist': 0.26, 'Lohngleichheit': 0, 'ein': 0, 'gesellschaftspolitisches': 0, 'Muss': 0.15, 'amp': 0.08, 'sollte': 0.31, 'selbstverständlich': 0, 'sein': 0, 'Sie': 0.89, 'hat': 0, 'das': 0, 'Gleichstellun': 1.0, '…': 0}",positive,"[0.030816551, 0.01114242, 0.958041]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,@CVPAargau @kantonaargau mit 69:61 Stimmen im #GRAG wird das E-Voting-Projekt weitergeführt.,stimmen grag e voting projekt weiterführen,,,,,,,,,,,,,"{'mit': 1.0, '69:61': 0, 'Stimmen': 0, 'im': 0, 'GRAG': 0.1, 'wird': 0.3, 'das': 0, 'E-Voting-Projekt': 0, 'weitergeführt': 1.0}",neutral,"[0.5694701, 0.04394933, 0.38658056]",,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,#DGCVPCH ein klares Verdickt: Die Delegierten der #CVP sagen NEIN zur Initiative gegen die Kriegsmaterial-Finanzierung. https://t.co/5Zw3QLSxPU,dgcvpch klar verdickt delegieren cvp sagen nein initiative kriegsmaterial finanzierung,,,,,,,,,,,,,,,,"{'DGCVPCH': 0.12, 'ein': 0, 'klares': 0.05, 'Verdickt': 0, 'Die': 0.47, 'Delegierten': 0.17, 'der': 0.47, 'CVP': 0.1, 'sagen': 0.265, 'NEIN': 0.41, 'zur': 0.39, 'Initiative': 1.0, 'gegen': 1.0, 'die': 0.47, 'Kriegsmaterial-Finanzierung': 0.55}",neutral,"[0.8635306, 0.023417374, 0.113052]",,,,,,,,,,,,,,,,,,,positive
