answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3417,absa_sentiment_3417,absa_scores_3417,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
0.0,0.0,0.0,-1.0,neutral,"Krankes System: Wohnungsbau ohne Nachfrage, dann Bevölkerungswachstum ankurbeln um Leerwohnungen besetzen zu können https://t.co/AoyqS93wfN",krank system wohnungsbau nachfragen bevölkerungswachstum ankurbeln leerwohnungen besetzen,"{'Krankes': 1.0, 'System': 0.95, 'Wohnungsbau': 0.72, 'ohne': 0.75, 'Nachfrage': 0.14, 'dann': 0.47, 'Bevölkerungswachstum': 0.085, 'ankurbeln': 0, 'um': 0, 'Leerwohnungen': 0.07500000000000001, 'besetzen': 0.06, 'zu': 0.07, 'können': 0.07}",positive,"[0.2534472, 0.10975068, 0.63680214]",,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"Erneuerbare Energien: Ja gerne, aber nicht um jeden Preis und ohne Kahlschlag bei Natur und Landschaft! https://t.co/UQH07UnCrR",erneuerbare energien ja gerne jed preis kahlschlag natur landschaft,,,,"{'Erneuerbare': 0.58, 'Energien': 0.43, 'Ja': 0.04, 'gerne': 0, 'aber': 0.14, 'nicht': 0.14, 'um': 0, 'jeden': 0, 'Preis': 0.11, 'und': 0.04, 'ohne': 0.12, 'Kahlschlag': 0, 'bei': 0.07, 'Natur': 0.04, 'Landschaft': 0.07}",positive,"[0.18277933, 0.05198491, 0.7652358]",,,,,,,neutral
50.0,75.0,71.0,0.15,neutral,"@FischernewsC ""Dort hat Lukas Reimann (...) das Versprechen abgegeben, sich – wie bereits in der vergangenen zwölf Jahren – auch weiterhin für den Natur-, Tier- und Umweltschutz zu engagieren, (...)""

Ähm, ja. Die politische Realität ist leider eine gänzlich andere. https://t.co/WBjN7y14FU",lukas reimann versprechen abgeben bereits vergangen zwölf jahren weiterhin natur tier umweltschutz engagieren ähm ja politische realität leider gänzlich,,,,,,,"{'Dort': 0.04, 'hat': 0, 'Lukas': 0.05, 'Reimann': 0.06, '...': 0, 'das': 0, 'Versprechen': 0.1, 'abgegeben': 0, 'sich': 0, '–': 0, 'wie': 0, 'bereits': 0, 'in': 0, 'der': 0, 'vergangenen': 0, 'zwölf': 0, 'Jahren': 0, 'auch': 0, 'weiterhin': 0, 'für': 0, 'den': 0, 'Natur-': 0, 'Tier-': 0, 'und': 0, 'Umweltschutz': 0, 'zu': 0, 'engagieren': 0, 'Ähm': 0, 'ja': 0, 'Die': 0, 'politische': 0, 'Realität': 0, 'ist': 0, 'leider': 0, 'eine': 0, 'gänzlich': 0, 'andere': 0}",positive,"[0.11337555, 0.1006182, 0.7860063]",,,,neutral
100.0,100.0,100.0,1.0,neutral,RT @luethithomas: Kleine Naturschützer auf Achse: Eine neue Pro-Natura-Gruppe will für den Umweltschutz sensibilisieren https://t.co/Iv5Ddy…,kleine naturschützer achse neue pro natura gruppe umweltschutz sensibilisieren,,,,,,,"{'Kleine': 0, 'Naturschützer': 0.51, 'auf': 0.05, 'Achse': 0, 'Eine': 0, 'neue': 0.12, 'Pro-Natura-Gruppe': 0.185, 'will': 0, 'für': 0, 'den': 0.06, 'Umweltschutz': 0.97, 'sensibilisieren': 0.545}",positive,"[0.009201562, 0.0020593586, 0.98873913]",,,,positive
0.0,0.0,0.0,-1.0,neutral,"RT @Kilian_Baumann: ""Der Bund greift massiv in die Landwirtschaft ein, warum sollte ausgerechnet eines der drängendsten Probleme der Landwi…",bund greifen massiv landwirtschaft warum sollen ausrechnen drängend probleme landwi,,,,,,,,,,"{'Der': 0.09, 'Bund': 0, 'greift': 0, 'massiv': 0, 'in': 0.27, 'die': 0.09, 'Landwirtschaft': 0.09, 'ein': 0.19, 'warum': 1.0, 'sollte': 1.0, 'ausgerechnet': 0.1, 'eines': 0.19, 'der': 0.09, 'drängendsten': 0.1, 'Probleme': 0.41, 'Landwi': 0, '…': 0}",positive,"[0.07323382, 0.07575772, 0.8510084]",negative
50.0,75.0,71.0,0.15,neutral,"@luzischutz @JagdgesetzNein @talvi04 @pronaturach @WWF_Schweiz @SVS_BirdLife @WolfSchweiz @spschweiz @GrueneCH @evppev @grunliberale Dass die Erhebungsmethode unziverlässig ist, ist eine Unterstellung, die die extrem landwirtschaftsnahen Autoren wohl vehement bestreiten würden. Immerhin betrug die Stichprobe gut 40% des gesömmerten Schafbestandes! Und: Es sind die einzigen fundierten Zahlen, die vorliegen.",erhebungsmethode unziverlässig unterstellung extrem landwirtschaftsnahen autoren wohl vehement bestreiten immerhin betragen stichprobe gut gesömmerten schafbestandes einzig fundieren zahlen vorliegen,,,,,,,,,,"{'Dass': 0.02, 'die': 0.04, 'Erhebungsmethode': 0.1, 'unziverlässig': 0.13, 'ist': 0.03, 'eine': 0, 'Unterstellung': 0, 'extrem': 1.0, 'landwirtschaftsnahen': 0, 'Autoren': 0.15, 'wohl': 0.04, 'vehement': 0, 'bestreiten': 0.15, 'würden': 0.14, 'Immerhin': 0.035, 'betrug': 0, 'Stichprobe': 0.07, 'gut': 0, '40': 0, 'des': 0, 'gesömmerten': 0, 'Schafbestandes': 0, 'Und': 0.03, 'Es': 0.03, 'sind': 0.02, 'einzigen': 0, 'fundierten': 0, 'Zahlen': 0, 'vorliegen': 0.02}",positive,"[0.3982713, 0.04130126, 0.5604274]",neutral
50.0,75.0,57.0,0.0,neutral,"@AnthroBlogger @OsteopathieE @LittleBinF Und Kupfer ist auch in der bio-organischen Landwirtschaft verbreitet, die auf naturwissenschaftlichen Prinzipien gründet.",kupfer bio organisch landwirtschaft verbreiten naturwissenschaftlichen prinzipien gründen,,,,,,,,,,"{'Und': 0.08, 'Kupfer': 0.2, 'ist': 0.07, 'auch': 0.04, 'in': 0.14, 'der': 0, 'bio-organischen': 0, 'Landwirtschaft': 1.0, 'verbreitet': 0, 'die': 0, 'auf': 0.05, 'naturwissenschaftlichen': 0.26, 'Prinzipien': 0.16, 'gründet': 0}",positive,"[0.0031294196, 0.0012013379, 0.99566925]",neutral
50.0,75.0,57.0,0.0,negative,RT @StettlerRoger: Homöopathie in der Landwirtschaft. 😂 Wie Steuergelder in der Schweiz sinnlos verbraten werden und in „komischen“ Kanälen…,homöopathie landwirtschaft steuergelder schweiz sinnlos verbraten komisch kanälen,,,,,,,,,,"{'Homöopathie': 0.39, 'in': 0.11, 'der': 0, 'Landwirtschaft': 0.48, 'Wie': 0, 'Steuergelder': 0.69, 'Schweiz': 0.34, 'sinnlos': 0, 'verbraten': 0, 'werden': 0, 'und': 0.16, '„': 0, 'komischen': 0, '“': 0, 'Kanälen': 0, '…': 0}",neutral,"[0.44481638, 0.14467108, 0.41051254]",neutral
100.0,100.0,100.0,1.0,positive,"@Swissdream97 @AyeRaffael @sbv @RegulaRytz @GrueneCH Stimmt, Absatzprobleme und Preissenkungen gibts ja bei der konventionellen Landwirtschaft nicht. Dort ist sprichwörtlich alles in Butter und alle Bauern sind glücklich.",stimmen absatzprobleme preissenkungen gibts ja konventionell landwirtschaft sprichwörtlich butter all bauern glücklich,,,,,,,,,,"{'Stimmt': 0.06, 'Absatzprobleme': 0.435, 'und': 0.05, 'Preissenkungen': 0.05, 'gibts': 0.07, 'ja': 0.05, 'bei': 0, 'der': 0, 'konventionellen': 0.12, 'Landwirtschaft': 1.0, 'nicht': 0, 'Dort': 0.07, 'ist': 0.06, 'sprichwörtlich': 0.09, 'alles': 0.05, 'in': 0.03, 'Butter': 0.05, 'alle': 0, 'Bauern': 0.04, 'sind': 0.04, 'glücklich': 0.17}",positive,"[0.0046676327, 0.0016350122, 0.99369735]",positive
50.0,75.0,57.0,0.0,neutral,@Agroscope Das Bild zeigt allerdings das landwirtschaftliche Bildungszentrum Wallierhof in Riedholz...,bild zeigen allerdings landwirtschaftliche bildungszentrum wallierhof riedholz,,,,,,,,,,"{'Das': 0.25, 'Bild': 0, 'zeigt': 0, 'allerdings': 0, 'das': 0, 'landwirtschaftliche': 0.17, 'Bildungszentrum': 0.11, 'Wallierhof': 0.2, 'in': 0.1, 'Riedholz': 0.12, '...': 0}",neutral,"[0.68764776, 0.009757705, 0.30259457]",neutral
