answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3417,absa_sentiment_3417,absa_scores_3417,absa_token_weights_3419,absa_sentiment_3419,absa_scores_3419,absa_token_weights_3421,absa_sentiment_3421,absa_scores_3421,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3437,absa_sentiment_3437,absa_scores_3437,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3455,absa_sentiment_3455,absa_scores_3455,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3471,absa_sentiment_3471,absa_scores_3471,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
100.0,100.0,100.0,1.0,neutral,"@SandroBrotz @redder66 ""Wie viel Trump steckt in der Schweizer Politik""...? 🤦🏻‍♂️

Und was kommt nächste Woche: Eine Jubiläumssendungs zu Blochers 80. Geburtstag?! 

Wo bleiben relevante Themen wie #Elternzeit? Kosten #Klimakrise? Entlastung externe #Kinderbetreuung? 

Come on! Das können Sie besser!",trump stecken schweizer politik kommen nächst woche jubiläumssendungs blochers geburtstag bleiben relevante themen elternzeit kosten klimakrise entlastung externe kinderbetreuung come on gut,"{'Wie': 0, 'viel': 0, 'Trump': 0.03, 'steckt': 0, 'in': 0.02, 'der': 0, 'Schweizer': 0.02, 'Politik': 0, '...': 0, '🤦': 0, '\u200d️': 0, 'Und': 0, 'was': 0, 'kommt': 0, 'nächste': 0, 'Woche': 0, 'Eine': 0, 'Jubiläumssendungs': 0, 'zu': 0, 'Blochers': 0, '80.': 0, 'Geburtstag': 0, 'Wo': 0, 'bleiben': 0, 'relevante': 0, 'Themen': 0, 'wie': 0, 'Elternzeit': 0, 'Kosten': 0, 'Klimakrise': 0, 'Entlastung': 0, 'externe': 0, 'Kinderbetreuung': 0, 'Come': 0, 'on': 0, 'Das': 0, 'können': 0, 'Sie': 0, 'besser': 0}",neutral,"[0.5013076, 0.03666216, 0.46203023]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,negative,"@SandroBrotz Vorschläge für eine nächste Sendung:
- Nach dem Ja zum #Vaterschaftsurlaub: Wann kommt die #Elternzeit?
- Bekämpfung der #Klimakrise: Wie werden die Kosten  verteilt?
- Nach dem Nein zum #Kinderabzug: wie sieht eine echte Entlastung bei der externen Kinderbetreuung aus?
#srfarena",vorschläge nächst sendung ja vaterschaftsurlaub wann kommen elternzeit bekämpfung klimakrise kosten verteilen nein kinderabzug sehen echte entlastung extern kinderbetreuung srfarena,"{'Vorschläge': 0, 'für': 0.01, 'eine': 0, 'nächste': 0.03, 'Sendung': 0.05, 'Nach': 0.41, 'dem': 0.22999999999999998, 'Ja': 0, 'zum': 0.22999999999999998, 'Vaterschaftsurlaub': 0.03, 'Wann': 0.1, 'kommt': 0.24, 'die': 0.05, 'Elternzeit': 0.045, 'Bekämpfung': 0, 'der': 0.05, 'Klimakrise': 0.035, 'Wie': 0, 'werden': 0, 'Kosten': 0.04, 'verteilt': 0.05, 'Nein': 0.03, 'Kinderabzug': 0.08, 'wie': 0.02, 'sieht': 0, 'echte': 0.1, 'Entlastung': 0, 'bei': 0, 'externen': 1.0, 'Kinderbetreuung': 1.0, 'aus': 0, 'srfarena': 0.24}",neutral,"[0.59659654, 0.03389176, 0.36951166]",,,,"{'Vorschläge': 0, 'für': 0.04, 'eine': 0, 'nächste': 0.05, 'Sendung': 0.23, 'Nach': 0.01, 'dem': 0.025, 'Ja': 0, 'zum': 0.025, 'Vaterschaftsurlaub': 0.05, 'Wann': 0.01, 'kommt': 0.02, 'die': 0.04, 'Elternzeit': 0.07, 'Bekämpfung': 0, 'der': 0.04, 'Klimakrise': 0.07500000000000001, 'Wie': 0, 'werden': 0, 'Kosten': 0.04, 'verteilt': 0.05, 'Nein': 0.02, 'Kinderabzug': 0.08, 'wie': 0.03, 'sieht': 0, 'echte': 0.01, 'Entlastung': 0, 'bei': 0, 'externen': 0.04, 'Kinderbetreuung': 0.1, 'aus': 0, 'srfarena': 0.18}",neutral,"[0.6605336, 0.039350167, 0.3001162]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,"Zwei Wochen Vaterschaftsurlaub sind das Minimum, damit wir Männer endlich mehr Verantwortung bei der Kinderbetreuung übernehmen können.

#srfarena #abst20 #Vaterschaftsurlaub @papizeit",zwei wochen vaterschaftsurlaub minimum männer endlich mehr verantwortung kinderbetreuung übernehmen srfarena abst20 vaterschaftsurlaub,"{'Zwei': 0.03, 'Wochen': 0.04, 'Vaterschaftsurlaub': 0.055, 'sind': 0.03, 'das': 0.05, 'Minimum': 0.08, 'damit': 0, 'wir': 0, 'Männer': 0.05, 'endlich': 0, 'mehr': 0.18, 'Verantwortung': 0.84, 'bei': 0, 'der': 0.04, 'Kinderbetreuung': 1.0, 'übernehmen': 0.33, 'können': 0, 'srfarena': 0.07, 'abst20': 0.05}",neutral,"[0.8491317, 0.061577294, 0.08929091]",,,,"{'Zwei': 0.07, 'Wochen': 0.13, 'Vaterschaftsurlaub': 0.61, 'sind': 0.15, 'das': 0.07, 'Minimum': 0.1, 'damit': 0, 'wir': 0, 'Männer': 0.14, 'endlich': 0, 'mehr': 0.06, 'Verantwortung': 0.15, 'bei': 0, 'der': 0.07, 'Kinderbetreuung': 0.37, 'übernehmen': 0.08, 'können': 0, 'srfarena': 0.27, 'abst20': 0.26}",neutral,"[0.80136824, 0.033242512, 0.16538927]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,0.85,neutral,"@pascalkmatten Es wäre kein Problem die Vereinbarkeit von Familie und Beruf besser zu vereinbaren: Kitas stärker subventionieren, längere Elternzeit einführen, Steuergutschriften statt Steuerabzüge für die externe Kinderbetreuung, etc.",problem vereinbarkeit familie beruf gut vereinbaren kitas stark subventionieren lang elternzeit einfahren steuergutschriften statt steuerabzüge externe kinderbetreuung etc,"{'Es': 0, 'wäre': 0.01, 'kein': 0, 'Problem': 0.02, 'die': 0, 'Vereinbarkeit': 0, 'von': 0, 'Familie': 0.05, 'und': 0.02, 'Beruf': 0, 'besser': 0.02, 'zu': 0.03, 'vereinbaren': 0, 'Kitas': 0, 'stärker': 0, 'subventionieren': 0.1, 'längere': 0.05, 'Elternzeit': 0.065, 'einführen': 0.06, 'Steuergutschriften': 0.08499999999999999, 'statt': 0.05, 'Steuerabzüge': 0.15, 'für': 0.36, 'externe': 1.0, 'Kinderbetreuung': 1.0, 'etc.': 0}",neutral,"[0.8399999, 0.054559555, 0.10544051]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"In genau einem Monat stimmen wir ab: Ja zum #Vaterschaftsurlaub!

#abst20 #elternzeit #papizeit #kinderbetreuung @papizeit @spschweiz @TravailsuisseCH https://t.co/9XC879MHmG",genau monat stimmen ab ja vaterschaftsurlaub abst20 elternzeit papizeit kinderbetreuung,"{'In': 0.02, 'genau': 0, 'einem': 0.02, 'Monat': 0.03, 'stimmen': 0, 'wir': 0, 'ab': 0, 'Ja': 0, 'zum': 0.03, 'Vaterschaftsurlaub': 0.03, 'abst20': 0.15, 'elternzeit': 0.03, 'papizeit': 0, 'kinderbetreuung': 1.0}",neutral,"[0.6678946, 0.047590774, 0.28451458]",,,,"{'In': 0.05, 'genau': 0, 'einem': 0.05, 'Monat': 0.1, 'stimmen': 0, 'wir': 0, 'ab': 0, 'Ja': 0, 'zum': 0.49, 'Vaterschaftsurlaub': 1.0, 'abst20': 0.2, 'elternzeit': 1.0, 'papizeit': 0, 'kinderbetreuung': 0.11}",positive,"[0.0016263915, 0.0012496114, 0.997124]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,@jsch87 Natürlich muss er. Kinderbetreuung ist Service Public. Genau wie die Schule.,natürlich kinderbetreuung service public genau schule,"{'Natürlich': 0, 'muss': 0.09, 'er': 0.4, 'Kinderbetreuung': 0.72, 'ist': 0.4, 'Service': 1.0, 'Public': 1.0, 'Genau': 0, 'wie': 0, 'die': 0, 'Schule': 0.35}",positive,"[0.0030405864, 0.0013267562, 0.9956326]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
25.0,25.0,28.0,-0.35,neutral,"Aus lauter Angst davor, dass die Kinder ihre Grosseltern anstecken könnten, wurden die Schulen erst jetzt geschlossen.

Die Corona-Krise zeigt gerade auf, wie wenig ausgebaut die familienergänzende Kinderbetreuung in der Schweiz ist.

#srfarena #COVID19ch #COVID19BE #Covid_19",laut angst davor kinder grosseltern anstecken schulen erst schließen corona krise zeigen gerade wenig ausbauen familienergänzende kinderbetreuung schweiz srfarena covid19ch covid19be covid_19,"{'Aus': 0.02, 'lauter': 0, 'Angst': 0, 'davor': 0, 'dass': 0.04, 'die': 0.09, 'Kinder': 0.15, 'ihre': 0.04, 'Grosseltern': 0.07, 'anstecken': 0.06, 'könnten': 0.03, 'wurden': 0, 'Schulen': 0.08, 'erst': 0, 'jetzt': 0.03, 'geschlossen': 0.08, 'Die': 0.09, 'Corona-Krise': 0, 'zeigt': 0, 'gerade': 0.14, 'auf': 0, 'wie': 0.91, 'wenig': 1.0, 'ausgebaut': 0, 'familienergänzende': 0.08, 'Kinderbetreuung': 1.0, 'in': 0.12, 'der': 0.09, 'Schweiz': 0.11, 'ist': 0.17, 'srfarena': 0.09, 'COVID19ch': 0.11, 'COVID19BE': 0.12, 'Covid_19': 0}",negative,"[0.0156564, 0.9669438, 0.017399834]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,100.0,0.85,neutral,"Wird Hans Stöckli aufgrund dieser fehlenden Stimmen nicht wiedergewählt, dann würde stattdessen einfach der SVP-Mann Werner Salzmann gewählt. Salzmann ist gegen Lohngleichheit, gegen eine echte Elternzeit und gegen den Ausbau der familienergänzenden Kinderbetreuung. (2/3)",hans stöckli aufgrund fehlend stimmen wiedergewählt stattdessen einfach svp mann werner salzmann wählen salzmann lohngleichheit echte elternzeit ausbau familienergänzenden kinderbetreuung,"{'Wird': 0, 'Hans': 0.04, 'Stöckli': 0, 'aufgrund': 0.42, 'dieser': 0.02, 'fehlenden': 0, 'Stimmen': 0, 'nicht': 0.02, 'wiedergewählt': 0, 'dann': 0.03, 'würde': 0.03, 'stattdessen': 0.22, 'einfach': 0, 'der': 0.09, 'SVP-Mann': 0, 'Werner': 0.09, 'Salzmann': 0.08, 'gewählt': 0, 'ist': 0.1, 'gegen': 0.66, 'Lohngleichheit': 0.07500000000000001, 'eine': 0, 'echte': 0.05, 'Elternzeit': 0.185, 'und': 0.09, 'den': 0.09, 'Ausbau': 1.0, 'familienergänzenden': 0.16, 'Kinderbetreuung': 1.0, '2': 0, '3': 0}",negative,"[0.36490658, 0.50732666, 0.12776679]",,,,,,,,,,,,,,,,"{'Wird': 0, 'Hans': 0.06, 'Stöckli': 0, 'aufgrund': 0.08, 'dieser': 0.04, 'fehlenden': 0, 'Stimmen': 0, 'nicht': 0.04, 'wiedergewählt': 0, 'dann': 0.07, 'würde': 0.06, 'stattdessen': 0.06, 'einfach': 0, 'der': 0.07, 'SVP-Mann': 0, 'Werner': 0.07, 'Salzmann': 0.4, 'gewählt': 0, 'ist': 0.78, 'gegen': 0.48, 'Lohngleichheit': 0.9299999999999999, 'eine': 0, 'echte': 0.13, 'Elternzeit': 0.145, 'und': 0.14, 'den': 0.07, 'Ausbau': 0.22, 'familienergänzenden': 0.06, 'Kinderbetreuung': 0.13, '2': 0, '3': 0}",neutral,"[0.3999282, 0.2671781, 0.33289364]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.6,neutral,"@Michael_Koepfli @TomCBerger @ChristaMarkwald @glp_BE @fdp_bern Danke für die ehrlich Antwort. Umweltschutz ist der GLP offenbar nicht so wichtig, aber Hauptsache weniger Lohnschutz (FLAM) und Erhöhung des Rentenalters.",danke ehrlich antwort umweltschutz glp offenbaren wichtig hauptsache wenig lohnschutz flam erhöhung rentenalters,,,,"{'Danke': 0, 'für': 0.06, 'die': 0.28, 'ehrlich': 0, 'Antwort': 0, 'Umweltschutz': 0.26, 'ist': 0.41, 'der': 0.28, 'GLP': 0.08, 'offenbar': 0.09, 'nicht': 0.12, 'so': 0, 'wichtig': 0.1, 'aber': 0.1, 'Hauptsache': 0.33, 'weniger': 0, 'Lohnschutz': 0.47500000000000003, 'FLAM': 0.17, 'und': 0.47, 'Erhöhung': 1.0, 'des': 0, 'Rentenalters': 0.625}",positive,"[0.02554497, 0.035573345, 0.93888164]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'Danke': 0, 'für': 0.06, 'die': 0.02, 'ehrlich': 0, 'Antwort': 0, 'Umweltschutz': 0.12, 'ist': 0.05, 'der': 0.02, 'GLP': 0.23, 'offenbar': 0.56, 'nicht': 1.0, 'so': 0, 'wichtig': 1.0, 'aber': 0.45, 'Hauptsache': 0.055, 'weniger': 0, 'Lohnschutz': 0.025, 'FLAM': 0.04, 'und': 0.04, 'Erhöhung': 0.05, 'des': 0, 'Rentenalters': 0.02}",negative,"[0.01586109, 0.9590508, 0.025088135]",,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Jene, die uns bis 70 arbeiten lassen wollen, und jene, die keinen über 50 einstellen, das sind dieselben, oder?! 🤔

#srfarena #wahlch19 #rentenalter",jen arbeiten lassen jen einstellen srfarena wahlch19 rentenalter,,,,"{'Jene': 0.04, 'die': 0.04, 'uns': 0.05, 'bis': 0, '70': 0, 'arbeiten': 0.05, 'lassen': 0, 'wollen': 0.05, 'und': 0.08, 'jene': 0.04, 'keinen': 0, 'über': 0.06, '50': 0, 'einstellen': 0.07, 'das': 0, 'sind': 0.11, 'dieselben': 0.12, 'oder': 0, '🤔': 0, 'srfarena': 0, 'wahlch19': 0, 'rentenalter': 0}",positive,"[0.4257819, 0.012357623, 0.56186044]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"Es ist ziemlich perfid, das Rentenalter zu erhöhen, wenn man genau weiss, dass schon heute ältere Arbeitslose keinen Job mehr finden.

#srfarena #wahlch19 #rentenalter",ziemlich perfid rentenalter erhöhen genau weiss schon heute alt arbeitslos job mehr finden srfarena wahlch19 rentenalter,,,,"{'Es': 0.12, 'ist': 0.12, 'ziemlich': 0.21, 'perfid': 0.91, 'das': 0.08, 'Rentenalter': 0.10500000000000001, 'zu': 0.59, 'erhöhen': 1.0, 'wenn': 0, 'man': 0, 'genau': 0, 'weiss': 0, 'dass': 0.08, 'schon': 0, 'heute': 0, 'ältere': 0.08, 'Arbeitslose': 0.16, 'keinen': 0, 'Job': 0.15, 'mehr': 0, 'finden': 0.11, 'srfarena': 0.1, 'wahlch19': 0.14, 'rentenalter': 0.10500000000000001}",positive,"[0.026911702, 0.0055181347, 0.9675702]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
75.0,75.0,86.0,0.4666666666666666,neutral,"RT @spschweiz: Während die Rechten von GLP bis SVP das Rentenalter erhöhen wollen, sorgen wir uns dafür, dass Menschen über 55 überhaupt no…",recht glp svp rentenalter erhöhen sorgen dafür menschen überhaupt no,,,,"{'Während': 0.27, 'die': 0.49, 'Rechten': 0.32, 'von': 0.11, 'GLP': 0.13, 'bis': 0, 'SVP': 0, 'das': 0.07, 'Rentenalter': 0.705, 'erhöhen': 0, 'wollen': 0.53, 'sorgen': 0.41, 'wir': 0, 'uns': 0, 'dafür': 0, 'dass': 0.07, 'Menschen': 0.07, 'über': 0.07, '55': 0, 'überhaupt': 0, 'no': 0, '…': 0}",positive,"[0.36134055, 0.117445685, 0.52121377]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
75.0,75.0,71.0,0.2333333333333333,neutral,"Zum Dank dafür, dass Frauen weniger #Lohn erhalten und damit weniger Pension, soll auch noch ihr #Rentenalter erhöht werden?!

Kommt nicht in Frage! Jetzt die Petition gegen eine Erhöhung des Frauenrentenalters unterzeichnen!

#WahlCH19

https://t.co/ljLu2a5MYN",danken dafür frauen wenig lohn erhalten wenig pension rentenalter erhöhen kommen fragen petition erhöhung frauenrentenalters unterzeichnen wahlch19,,,,"{'Zum': 0.04, 'Dank': 0, 'dafür': 0, 'dass': 0.02, 'Frauen': 0.03, 'weniger': 0, 'Lohn': 0, 'erhalten': 0.07, 'und': 0.04, 'damit': 0, 'Pension': 0.15, 'soll': 0, 'auch': 0.7, 'noch': 0, 'ihr': 0, 'Rentenalter': 0.055, 'erhöht': 0, 'werden': 0, 'Kommt': 0, 'nicht': 0, 'in': 0, 'Frage': 0, 'Jetzt': 0.03, 'die': 0.04, 'Petition': 0.08, 'gegen': 0.07, 'eine': 0, 'Erhöhung': 0, 'des': 0, 'Frauenrentenalters': 0.055, 'unterzeichnen': 0.04, 'WahlCH19': 0}",negative,"[0.16871288, 0.80260235, 0.028684694]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"@BoderMuller Sie möchten also das Rentenalter für Männer senken und das Militär abschaffen? 

Ok! Ich bin dabei! 😊",mögen rentenalter männer senken militär abschaffen ok dabei,,,,"{'Sie': 0, 'möchten': 0, 'also': 0, 'das': 0, 'Rentenalter': 0.69, 'für': 0.37, 'Männer': 0.25, 'senken': 0, 'und': 0.63, 'Militär': 0.34, 'abschaffen': 0, 'Ok': 0.29, 'Ich': 0, 'bin': 0, 'dabei': 0}",neutral,"[0.5814146, 0.20354877, 0.21503666]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
