answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3417,absa_sentiment_3417,absa_scores_3417,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3444,absa_sentiment_3444,absa_scores_3444,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3476,absa_sentiment_3476,absa_scores_3476,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"RT @susanne_brunner: Kinderbetreuungszeit von Vätern zu finanzieren, ist keine Staatsaufgabe. Das zeigt sich darin, dass dem staatl. #Vater…",kinderbetreuungszeit vätern finanzieren staatsaufgabe zeigen darin staatl vater,"{'Kinderbetreuungszeit': 1.0, 'von': 0, 'Vätern': 0.21, 'zu': 0, 'finanzieren': 0, 'ist': 0.28, 'keine': 0, 'Staatsaufgabe': 0.12, 'Das': 0.04, 'zeigt': 0, 'sich': 0, 'darin': 0.065, 'dass': 0.03, 'dem': 0.04, 'staatl': 0.12, 'Vater': 0.05, '…': 0}",neutral,"[0.8538801, 0.10286574, 0.043254156]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,neutral,"Grösste Wirtschaftskrise seit dem 2. Weltkrieg. Es ist falsch, für staatlich verordnete Kinderbetreuungszeit von Vätern eine Sozialversicherung einzurichten. Sozialversicherungen wurden eingeführt, um finanziellen Nöten und Risiken abzufedern und nicht um ""Zeit"" zu finanzieren. https://t.co/uOwBimntzY",grösste wirtschaftskrise seit weltkrieg falsch staatlich verordnen kinderbetreuungszeit vätern sozialversicherung einrichten sozialversicherungen einführen finanziell nöten risiken abfedern zeit finanzieren,"{'Grösste': 0, 'Wirtschaftskrise': 0.23, 'seit': 0.12, 'dem': 0.09, '2.': 0, 'Weltkrieg': 0.060000000000000005, 'Es': 0.54, 'ist': 0.54, 'falsch': 0.09, 'für': 0.05, 'staatlich': 0.05, 'verordnete': 0, 'Kinderbetreuungszeit': 0.41000000000000003, 'von': 0, 'Vätern': 0.06, 'eine': 0, 'Sozialversicherung': 0.145, 'einzurichten': 0.42500000000000004, 'Sozialversicherungen': 0.145, 'wurden': 0, 'eingeführt': 0.1, 'um': 0, 'finanziellen': 0.05, 'Nöten': 0, 'und': 0.04, 'Risiken': 0.04, 'abzufedern': 0.05, 'nicht': 0.09, 'Zeit': 0.05, 'zu': 0.09, 'finanzieren': 0.05}",negative,"[0.029655103, 0.9575305, 0.012814273]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"Ich befürworte die Stossrichtung, das Rentenalter anzugleichen – das ist dringend notwendig, sogar überfällig. Vergessen wir insbesondere die Jungen nicht. Deshalb bin ich neu auch im Unterstützungskomitee der Renteninitiative. @tagblatt_ch @RentenVI @Jungfreisinnige @jungesvp https://t.co/d9pv5BmMOU",befürworten stossrichtung rentenalter angleichen dringen notwendig sogar überfällig vergessen insbesondere jung deshalb neu unterstützungskomitee renteninitiative,,,,"{'Ich': 0.02, 'befürworte': 0, 'die': 0, 'Stossrichtung': 0, 'das': 0, 'Rentenalter': 0.475, 'anzugleichen': 0.04, '–': 0, 'ist': 0, 'dringend': 0, 'notwendig': 0, 'sogar': 0, 'überfällig': 0, 'Vergessen': 0, 'wir': 0, 'insbesondere': 0, 'Jungen': 0, 'nicht': 0, 'Deshalb': 0, 'bin': 0, 'ich': 0, 'neu': 0, 'auch': 0, 'im': 0, 'Unterstützungskomitee': 0, 'der': 0, 'Renteninitiative': 0}",positive,"[0.010226265, 0.0017824838, 0.9879913]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,negative,"Überbrückungsrente eingeführt = Sozialstaat wird ausgebaut. Ein neues Sozialwerk ist entstanden - und das obwohl die bestehenden Sozialwerke nicht saniert sind!! Wie unverantwortlich?! Zudem diskutieren wir bald über die Erhöhung des Rentenalters. Sorry, ist das nicht paradox?! https://t.co/wsh6fK5DPg",überbrückungsrente einführen sozialstaat ausbauen neu sozialwerk entstehen obwohl bestehend sozialwerke sanieren unverantwortlich zudem diskutieren bald erhöhung rentenalters sorry paradox,,,,"{'Überbrückungsrente': 0.07, 'eingeführt': 0.04, 'Sozialstaat': 0.05500000000000001, 'wird': 0.08, 'ausgebaut': 0.05, 'Ein': 0.05, 'neues': 0.07, 'Sozialwerk': 0.06, 'ist': 0.02, 'entstanden': 0, 'und': 0, 'das': 0.05, 'obwohl': 0, 'die': 0.35, 'bestehenden': 0.05, 'Sozialwerke': 0, 'nicht': 0.03, 'saniert': 0.06, 'sind': 0, 'Wie': 0, 'unverantwortlich': 0.21, 'Zudem': 0, 'diskutieren': 0, 'wir': 0, 'bald': 0, 'über': 0, 'Erhöhung': 0, 'des': 0, 'Rentenalters': 0.6950000000000001, 'Sorry': 0.08, 'paradox': 0.13}",positive,"[0.42491734, 0.027664674, 0.547418]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,100.0,0.7999999999999999,neutral,"Babyboomer werden zu Rentenboomer - Fachkräfte im Arbeitsprozess halten! Wir beschäftigen Personen im Rentenalter. In Anbetracht des Fachkräftemangels für uns enorm wichtig. Potenzial besser auszunutzen, indem wir finanziell entlasten! 
https://t.co/vCu5FKPC58 @tagblatt_ch",babyboomer rentenboomer fachkräfte arbeitsprozess halten beschäftigen personen rentenalter anbetracht fachkräftemangels enorm wichtig potenzial gut ausnutzen finanziell entlasten,,,,"{'Babyboomer': 0.06, 'werden': 0, 'zu': 0.07, 'Rentenboomer': 0.1, 'Fachkräfte': 0.125, 'im': 0, 'Arbeitsprozess': 0.12, 'halten': 0.32, 'Wir': 0.7, 'beschäftigen': 0, 'Personen': 0, 'Rentenalter': 0.6, 'In': 0.05, 'Anbetracht': 0, 'des': 0, 'Fachkräftemangels': 0.13, 'für': 0.04, 'uns': 0.05, 'enorm': 0, 'wichtig': 0.22, 'Potenzial': 0.07, 'besser': 0.06, 'auszunutzen': 0.060000000000000005, 'indem': 0.04, 'wir': 0, 'finanziell': 0, 'entlasten': 0}",positive,"[0.13136174, 0.011251239, 0.85738707]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,RT @Avenir_Suisse: Länger als andere leben und das #Rentenalter auf tiefstem Niveau halten? Geht nicht. https://t.co/ijl4sL0uR3 https://t.c…,lang leben rentenalter tief niveau halten gehen,,,,"{'Länger': 0.08, 'als': 0, 'andere': 0.06, 'leben': 0, 'und': 0.04, 'das': 0, 'Rentenalter': 0.16999999999999998, 'auf': 0, 'tiefstem': 0, 'Niveau': 0.05, 'halten': 0.17, 'Geht': 0, 'nicht': 1.0}",negative,"[0.10411183, 0.8247737, 0.07111445]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,20 Minuten - Bundesrat will Rentenalter 65 für Frauen - News http://t.co/DKtd9qE65r via @20min,minuten bundesrat rentenalter frauen news via,,,,"{'20': 0, 'Minuten': 0.4, 'Bundesrat': 0.5650000000000001, 'will': 0, 'Rentenalter': 0.64, '65': 0, 'für': 0.25, 'Frauen': 0.2, 'News': 0.32, 'via': 0.18}",neutral,"[0.58847487, 0.023480704, 0.38804442]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @Dede71Mueller: 5 Franken für eine #Zeitung (Jahresabo 1'800.- Fr. !) 
Das sei ja nur einen Kaffee 😉

Beim #Vaterschaftsurlaub hats scho…",franken zeitung jahresabo fr ja kaffee beim vaterschaftsurlaub hats scho,,,,,,,"{'5': 0, 'Franken': 0, 'für': 0.03, 'eine': 0, 'Zeitung': 0.05, 'Jahresabo': 0.045, ""1'800.-"": 0, 'Fr.': 0, 'Das': 0, 'sei': 0, 'ja': 0, 'nur': 0, 'einen': 0.07, 'Kaffee': 0.16, 'Beim': 0, 'Vaterschaftsurlaub': 0.33, 'hats': 0, 'scho': 0.12, '…': 0}",neutral,"[0.7374846, 0.19542171, 0.067093715]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"Wo jetzt die gleichlangen Spiesse für KMUs sein sollen, wenn Konzerne ihren Vaterschaftsurlaub aufstocken, ist mir ehrlich gesagt noch immer schleierhaft. Eines ist klar. Wir - und *hallo* NICHT der Staat! - bezahlen die Grosszügigkeit.@BernerZeitung @bazonline @susanne_brunner https://t.co/MWXBwjrL4V",gleichlangen spiesse kmus sollen konzerne vaterschaftsurlaub aufstocken ehrlich sagen immer schleierhaft klaren hallo staat bezahlen grosszügigkeit,,,,,,,"{'Wo': 0.08, 'jetzt': 0, 'die': 0.31, 'gleichlangen': 0.31, 'Spiesse': 0.12, 'für': 1.0, 'KMUs': 0.12, 'sein': 0, 'sollen': 0.05, 'wenn': 0, 'Konzerne': 0.14, 'ihren': 0, 'Vaterschaftsurlaub': 0.195, 'aufstocken': 0, 'ist': 0.13, 'mir': 0.02, 'ehrlich': 0, 'gesagt': 0, 'noch': 0.04, 'immer': 0, 'schleierhaft': 0, 'Eines': 0.07, 'klar': 0.12, 'Wir': 0.29, 'und': 0.17, 'hallo': 0, 'NICHT': 0.22, 'der': 0.31, 'Staat': 0.27, 'bezahlen': 1.0, 'Grosszügigkeit': 0.38}",neutral,"[0.73123467, 0.19269708, 0.07606823]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"RT @lohnabzuegeNein: Das Schweizer Stimmvolk hat den staatlichen  #Vaterschaftsurlaub an der Urne bestätigt. 9 Kantone sagten NEIN: TG, AI,…",schweizer stimmvolk staatlich vaterschaftsurlaub urne bestätigen kantone sagen nein tg ai,,,,,,,"{'Das': 0.12, 'Schweizer': 0.07, 'Stimmvolk': 0.17, 'hat': 0, 'den': 0.12, 'staatlichen': 0.42, 'Vaterschaftsurlaub': 0.85, 'an': 0, 'der': 0.12, 'Urne': 0.33, 'bestätigt': 0.74, '9': 0, 'Kantone': 0.12, 'sagten': 0.1, 'NEIN': 0.05, 'TG': 0.08, 'AI': 0.12, '…': 0}",neutral,"[0.91954046, 0.03276367, 0.04769594]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
