answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"RT @jevp_ch: Anpassung des Rentenalters an Lebenserwartung ist notwendig, aber auch eine Flexibilisierung muss her. Dafür braucht es eine b…",anpassung rentenalters lebenserwartung notwendig flexibilisierung her dafür brauchen b,"{'Anpassung': 1.0, 'des': 0, 'Rentenalters': 0.8, 'an': 0, 'Lebenserwartung': 0.375, 'ist': 0.11, 'notwendig': 0.67, 'aber': 0.15, 'auch': 0.1, 'eine': 0, 'Flexibilisierung': 0.52, 'muss': 0.75, 'her': 0, 'Dafür': 0, 'braucht': 0, 'es': 0.11, 'b': 0.08, '…': 0}",neutral,"[0.4901376, 0.066528454, 0.44333395]",,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"@EmanuelSeemann @wanner_fabio @Tobias_Voegeli @jungesvp @JCVPSchweiz @jglpCH @jevp_ch @JBDP_CH Ist klar. So wie ich das verstehe, wäre aber mit dieser VI auch diese Branche von einer Rentenalterserhöhung betroffen. Wäre schliesslich mit der BV übergeordnetes Recht.",klaren verstehen vi branche rentenalterserhöhung betreffen schliesslich bv übergeordnet recht,"{'Ist': 0.1, 'klar': 0.07, 'So': 0, 'wie': 0, 'ich': 0.04, 'das': 0, 'verstehe': 0.08, 'wäre': 0.14, 'aber': 0, 'mit': 0.09, 'dieser': 0.1, 'VI': 0, 'auch': 0.35, 'diese': 0.1, 'Branche': 0, 'von': 0, 'einer': 0, 'Rentenalterserhöhung': 0.9075, 'betroffen': 0, 'Wäre': 0.14, 'schliesslich': 0.29000000000000004, 'der': 0.12, 'BV': 0.19, 'übergeordnetes': 0, 'Recht': 0.31}",negative,"[0.10051083, 0.49180904, 0.40768006]",,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"@wanner_fabio @Tobias_Voegeli @jungesvp @JCVPSchweiz @jglpCH @jevp_ch @JBDP_CH Sehr gerne. Aber dann richtig mit im Boot, auch mit unseren Anliegen, wie Flexibilisierung des Rentenalters und Berücksichtigung von Branchenunterschieden wie im Bau etc.",gerne richtig boot anliegen flexibilisierung rentenalters berücksichtigung branchenunterschieden bau etc,"{'Sehr': 0, 'gerne': 0, 'Aber': 0.05, 'dann': 0.05, 'richtig': 0, 'mit': 0.04, 'im': 0, 'Boot': 0, 'auch': 0.05, 'unseren': 0.05, 'Anliegen': 0, 'wie': 0, 'Flexibilisierung': 0, 'des': 0, 'Rentenalters': 1.0, 'und': 0.12, 'Berücksichtigung': 0, 'von': 0, 'Branchenunterschieden': 0.185, 'Bau': 0, 'etc.': 0}",positive,"[0.012379403, 0.0030936482, 0.984527]",,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,.@srfnews weshalb fehlt die JA-Parole der @evppev zum #Vaterschaftsurlaub? Nach welchen Kriterien werden Parteien hier aufgeführt? https://t.co/qrwSXj89JL https://t.co/z6eNNHGfHQ,weshalb fehlen ja parole vaterschaftsurlaub welch kriterien parteien aufführen,,,,"{'weshalb': 0.57, 'fehlt': 0.15, 'die': 0.09, 'JA-Parole': 0, 'der': 0.09, 'zum': 0.075, 'Vaterschaftsurlaub': 0.55, 'Nach': 0.06, 'welchen': 0.12, 'Kriterien': 0.16, 'werden': 0, 'Parteien': 0.14, 'hier': 0.08, 'aufgeführt': 0.21}",neutral,"[0.70052034, 0.09824303, 0.20123665]",,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"Die @Jungfreisinnige|n argumentieren mit der Elternzeit gegen den #Vaterschaftsurlaub. Lasst euch nicht verarschen: der JF will nur die 14 Wochen der Mutter auf beide Eltern aufteilen.
Wer eine echte #Elternzeit möchte sagt JA zur @papizeit!",n argumentieren elternzeit vaterschaftsurlaub lasst verarschen jf wochen mutter beid eltern aufteilen wer echte elternzeit mögen sagen ja,,,,"{'Die': 0.05, '|n': 0, 'argumentieren': 0.25, 'mit': 0.16, 'der': 0.05, 'Elternzeit': 0.08, 'gegen': 0.76, 'den': 0.05, 'Vaterschaftsurlaub': 0.05, 'Lasst': 0, 'euch': 0.03, 'nicht': 0, 'verarschen': 0, 'JF': 0.13, 'will': 0, 'nur': 0.03, 'die': 0.05, '14': 0, 'Wochen': 0.05, 'Mutter': 0.07, 'auf': 0, 'beide': 0.04, 'Eltern': 0.1, 'aufteilen': 0.09, 'Wer': 0, 'eine': 0, 'echte': 0.04, 'möchte': 0, 'sagt': 0, 'JA': 0, 'zur': 0.04}",neutral,"[0.59228045, 0.2171339, 0.19058566]",,,,,,,,,,,,,,,,positive
75.0,75.0,71.0,0.2333333333333333,negative,RT @MFrauchigerSVP: «E-Voting klingt zwar toll und fortschrittlich. Doch die Gefahren dahinter bedrohen den Kern unserer wertvollen direkte…,e voting klingen tollen fortschrittlich gefahren dahinter bedrohen kern wertvoll direkt,,,,,,,"{'«': 0, 'E-Voting': 0, 'klingt': 0, 'zwar': 0, 'toll': 0, 'und': 0, 'fortschrittlich': 0, 'Doch': 0, 'die': 0, 'Gefahren': 0, 'dahinter': 0, 'bedrohen': 0, 'den': 0, 'Kern': 0, 'unserer': 0, 'wertvollen': 0, 'direkte': 0, '…': 0}",negative,"[0.087019086, 0.7294661, 0.18351488]",,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"RT @Julia_Kueng: Interessant: ""Kein Einfluss auf den globalen Kriegsmaterial-Markt"" scheint laut Tamedia-Umfrage das überzeugendste Argumen…",interessant einfluss global kriegsmaterial markt scheinen laut tamedia umfrage überzeugend argumen,,,,,,,,,,"{'Interessant': 0.18, 'Kein': 0.16, 'Einfluss': 0, 'auf': 0.09, 'den': 0.17, 'globalen': 0.2, 'Kriegsmaterial-Markt': 0.1275, 'scheint': 0.22, 'laut': 0.355, 'Tamedia-Umfrage': 0.28, 'das': 0, 'überzeugendste': 0.725, 'Argumen': 1.0, '…': 0}",neutral,"[0.47963554, 0.10674497, 0.4136195]",,,,,,,,,,positive
0.0,0.0,14.0,-0.7,negative,@coop_ch in Oerlikon: im ganzen Laden kein Personal zu sehen. Mein Prof. wartet immer noch auf die Stichproben-Kontrolle um seine Buttermilk zu kaufen... 😬 #Digitalisierung #StudiLife,oerlikon ganz laden personal sehen prof warten immer stichproben kontrolle buttermilk kaufen digitalisierung studilife,,,,,,,,,,,,,"{'in': 0.02, 'Oerlikon': 0.13, 'im': 0, 'ganzen': 0, 'Laden': 0, 'kein': 0.1, 'Personal': 0, 'zu': 0.06, 'sehen': 0, 'Mein': 0.04, 'Prof.': 0, 'wartet': 0.1, 'immer': 0, 'noch': 0.1, 'auf': 0, 'die': 0.05, 'Stichproben-Kontrolle': 0.08, 'um': 0, 'seine': 0.15, 'Buttermilk': 0.15, 'kaufen': 0.095, '...': 0, 'Digitalisierung': 0.96, 'StudiLife': 0.35}",positive,"[0.38515848, 0.008348628, 0.60649294]",,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"Wir sind bereit für den Abstimmungskampf! (endlich!)
Für Menschenrechte und Umweltschutz auch im Ausland 💪
#KoVi @jevp_ch https://t.co/0dh0rArvm7",bereiten abstimmungskampf endlich menschenrechte umweltschutz ausland kovi,,,,,,,,,,,,,,,,"{'Wir': 0.05, 'sind': 0.04, 'bereit': 0.06, 'für': 0.55, 'den': 0.06, 'Abstimmungskampf': 0.12, 'endlich': 0.06, 'Für': 0.55, 'Menschenrechte': 0.445, 'und': 1.0, 'Umweltschutz': 0.85, 'auch': 0.51, 'im': 0, 'Ausland': 0.5, 'KoVi': 0.06}",positive,"[0.0051250677, 0.002859009, 0.99201596]",,,,neutral
100.0,100.0,100.0,1.0,neutral,"«Dominic Täubert führt den wertvollen Umweltschutz der EVP weiter. Deshalb empfehle ich ihn für den Nationalrat.» -Ruedi Aeschbacher, alt-National- und Stadtrat
Sehr gerne würde ich die Nach-nach-nachfolge von unserem ""Schwellen-Ruedi"" antreten😃 https://t.co/0kuHS5G7V6",dominic täubert führen wertvoll umweltschutz evp weit deshalb empfehlen nationalrat ruedi aeschbacher alt national stadtrat gerne nachfolgen schwellen ruedi antreten,,,,,,,,,,,,,,,,"{'«': 0, 'Dominic': 0, 'Täubert': 0, 'führt': 0, 'den': 0, 'wertvollen': 0, 'Umweltschutz': 0, 'der': 0, 'EVP': 0, 'weiter': 0, 'Deshalb': 0, 'empfehle': 0, 'ich': 0, 'ihn': 0, 'für': 0, 'Nationalrat': 0, '»': 0, '-Ruedi': 0, 'Aeschbacher': 0, 'alt-National-': 0, 'und': 0, 'Stadtrat': 0, 'Sehr': 0, 'gerne': 0, 'würde': 0, 'die': 0, 'Nach-nach-nachfolge': 0, 'von': 0, 'unserem': 0, 'Schwellen-Ruedi': 0, 'antreten': 0}",positive,"[0.0005242471, 0.0012750296, 0.99820065]",,,,positive
