answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"RT @FDP_Luzern: Weniger #Bürokratie, mehr #Digitalisierung: Kantonsrat Philipp Bucher fordert den Regierungsrat auf, Freiräume zu schaffen…",wenig bürokratie mehr digitalisierung kantonsrat philipp bucher fordern regierungsrat freiräume schaffen,"{'Weniger': 0, 'Bürokratie': 0.11, 'mehr': 0.59, 'Digitalisierung': 0, 'Kantonsrat': 0.085, 'Philipp': 0.07, 'Bucher': 0.08, 'fordert': 0.12, 'den': 0.04, 'Regierungsrat': 0.04, 'auf': 0.06, 'Freiräume': 0, 'zu': 0.05, 'schaffen': 0.04, '…': 0}",positive,"[0.33249602, 0.04439989, 0.6231041]",neutral
100.0,100.0,86.0,0.7,neutral,"RT @Damian_Mueller_: Und gleichzeitig fördern wir die #Digitalisierung - setzen endlich um, was schon lange gefordert wurde und machen bei…",gleichzeitig fördern digitalisierung setzen endlich schon lang fordern,"{'Und': 0.06, 'gleichzeitig': 0, 'fördern': 0, 'wir': 0, 'die': 0.03, 'Digitalisierung': 0, 'setzen': 0, 'endlich': 0.05, 'um': 0, 'was': 0, 'schon': 0, 'lange': 0.05, 'gefordert': 0.06, 'wurde': 0, 'und': 0.06, 'machen': 0, 'bei': 0.05, '…': 0}",neutral,"[0.6036874, 0.025717618, 0.37059507]",positive
50.0,75.0,57.0,0.0,neutral,"#WahlCH19
Es gibt sie doch: Politiker, die sich Gedanken machen über die langfristige Zukunft der Schweiz
Nachhaltige Lösungen für #Digitalisierung, #Umwelt, #Klima und #Infrastruktur
Dr. Martin Huber, 2x auf Ihre Liste. 
https://t.co/NS5KDv5OJw",wahlch19 geben politiker gedanken langfristig zukunft schweiz nachhaltig lösungen digitalisierung umwelt klima infrastruktur dr martin huber 2x liste,"{'WahlCH19': 0, 'Es': 0, 'gibt': 0.02, 'sie': 0, 'doch': 0, 'Politiker': 0, 'die': 0, 'sich': 0, 'Gedanken': 0, 'machen': 0.02, 'über': 0, 'langfristige': 0.025, 'Zukunft': 0.07, 'der': 0, 'Schweiz': 0.03, 'Nachhaltige': 0.08, 'Lösungen': 0.17, 'für': 0.31, 'Digitalisierung': 0, 'Umwelt': 0.13, 'Klima': 0.1, 'und': 0.08, 'Infrastruktur': 0.09, 'Dr.': 0, 'Martin': 0.04, 'Huber': 0.05, '2x': 0.11, 'auf': 0.04, 'Ihre': 0.05, 'Liste': 0}",positive,"[0.23241182, 0.037077926, 0.73051023]",neutral
100.0,100.0,100.0,1.0,positive,"Wieso nicht gleich das Original? #FDP ist die beste Wahl für Digitalisierung, Wirtschaft und Umwelt
https://t.co/3euswUOpNs
https://t.co/NS5KDv5OJw https://t.co/ei8Ek24ZgZ",wieso gleichen original fdp gut wahl digitalisierung wirtschaft umwelt,"{'Wieso': 0, 'nicht': 0.09, 'gleich': 0, 'das': 0, 'Original': 0.09, 'FDP': 0.22, 'ist': 0.37, 'die': 0.08, 'beste': 0, 'Wahl': 1.0, 'für': 0.28, 'Digitalisierung': 0, 'Wirtschaft': 0.14, 'und': 0.09, 'Umwelt': 0.2}",positive,"[0.0024220874, 0.0013719135, 0.9962059]",positive
50.0,75.0,57.0,0.0,neutral,RT @LuzernerZeitung: In den kommenden sieben Jahren verschwinden bei der Suva 170 Arbeitsplätze. Im Bereich Digitalisierung sollen neue Job…,kommend sieben jahren verschwinden suva arbeitsplätze bereich digitalisierung sollen neue job,"{'In': 0.09, 'den': 0.07, 'kommenden': 0, 'sieben': 0.03, 'Jahren': 0.07, 'verschwinden': 0.18, 'bei': 0.04, 'der': 0.07, 'Suva': 0.07, '170': 0, 'Arbeitsplätze': 0.4, 'Im': 0, 'Bereich': 0.27, 'Digitalisierung': 0, 'sollen': 1.0, 'neue': 0.22, 'Job': 0, '…': 0}",neutral,"[0.6343662, 0.09687328, 0.2687605]",neutral
50.0,75.0,57.0,0.0,neutral,"Martin Huber Rang 4 im Kanton Luzern. Digitalisierungskompetenz ins Bundeshaus.
Am 20. Oktober, Martin Huber 2x auf Ihre Liste. Danke!
#WahlenCH19 #Luzern #Digitalisierung https://t.co/mOK1kizK5z",martin huber rang kanton luzern digitalisierungskompetenz bundeshaus oktober martin huber 2x liste danke wahlench19 luzern digitalisierung,"{'Martin': 0.06, 'Huber': 0.08, 'Rang': 0, '4': 0, 'im': 0, 'Kanton': 0.11, 'Luzern': 0, 'Digitalisierungskompetenz': 0.56, 'ins': 0, 'Bundeshaus': 0, 'Am': 0, '20.': 0, 'Oktober': 0.04, '2x': 0, 'auf': 0.02, 'Ihre': 0.06, 'Liste': 0, 'Danke': 0.085, 'WahlenCH19': 0.13, 'Digitalisierung': 0}",positive,"[0.10787292, 0.025678797, 0.86644834]",neutral
50.0,75.0,57.0,0.0,neutral,"Computerworld über die Parldigi Champions:
 https://t.co/HVZs0JEE3k
#Digitalisierung #DigitaleTransformation #Wahlen2019",computerworld parldigi champions digitalisierung digitaletransformation wahlen2019,"{'Computerworld': 0.2, 'über': 0, 'die': 0.09, 'Parldigi': 0.16, 'Champions': 0.15, 'Digitalisierung': 0, 'DigitaleTransformation': 0, 'Wahlen2019': 0}",positive,"[0.08452962, 0.005269701, 0.9102007]",neutral
100.0,100.0,86.0,0.7,neutral,"Stolz, einer der 35 Digitalisierungs-Champions zu sein.
Danke für Ihre Unterstützung am 20. Oktober, damit ich 30 Jahre Pionierarbeit in der Digitalisierung ins Parlament bringen kann. https://t.co/mLKagSMQIH
#Digitalisierung #FDP #Umwelt #Klimaschutz https://t.co/YI4UOgqQ3B",stolz digitalisierungs champions danke unterstützung oktober jahre pionierarbeit digitalisierung parlament bringen digitalisierung fdp umwelt klimaschutz,"{'Stolz': 0, 'einer': 0.12, 'der': 0.11, '35': 0, 'Digitalisierungs-Champions': 0.525, 'zu': 0.05, 'sein': 0, 'Danke': 0.04, 'für': 0.03, 'Ihre': 0.04, 'Unterstützung': 0.08, 'am': 0, '20.': 0, 'Oktober': 0.03, 'damit': 0.030000000000000002, 'ich': 0.02, '30': 0, 'Jahre': 0.02, 'Pionierarbeit': 0.025, 'in': 0.01, 'Digitalisierung': 1.0, 'ins': 0, 'Parlament': 0.06, 'bringen': 0.02, 'kann': 0.01, 'FDP': 0.03, 'Umwelt': 0.02, 'Klimaschutz': 0.03}",positive,"[0.0017852813, 0.0011752017, 0.9970395]",positive
100.0,100.0,100.0,1.0,neutral,"Sie haben die Wahl: verantwortungsvolle Champions der Digitalisierung oder #cvpfail!
Dr. Martin Huber ist Parldigi Champion, Wahlempfehlung der Parlamentarischen Gruppe Digitale Nachhaltigkeit
https://t.co/NS5KDv5OJw https://t.co/CEAcXk9Gez",wahl verantwortungsvoll champions digitalisierung cvpfail dr martin huber parldigi champion wahlempfehlung parlamentarisch gruppe digitale nachhaltigkeit,"{'Sie': 0, 'haben': 0.03, 'die': 0.19, 'Wahl': 0.06, 'verantwortungsvolle': 0.19, 'Champions': 0.1, 'der': 0.19, 'Digitalisierung': 0, 'oder': 0.07, 'cvpfail': 0.18, 'Dr.': 0, 'Martin': 0.04, 'Huber': 0.08, 'ist': 0.1, 'Parldigi': 0.22, 'Champion': 0.17, 'Wahlempfehlung': 0.185, 'Parlamentarischen': 0.23, 'Gruppe': 0.19, 'Digitale': 0.82, 'Nachhaltigkeit': 1.0}",positive,"[0.03705542, 0.03369895, 0.92924565]",positive
0.0,0.0,14.0,-0.7,neutral,"Das ganze #Entlebuch ist voll von meinen #FDP Plakaten. Danke allen Helfern und Landbesitzern!
Danke allen, die mich am 20. Oktober 1x oder 2x auf ihre Liste schreiben.
Für Profis in der #Digitalisierung, keine #cvpfail ""digital naives"" https://t.co/jOp6uv6wcm",ganze entlebuch voll fdp plakaten danke helfern landbesitzern danke oktober 1x 2x liste schreiben profis digitalisierung cvpfail digital naiv,"{'Das': 0.04, 'ganze': 0.07, 'Entlebuch': 0.09, 'ist': 0.03, 'voll': 0, 'von': 0, 'meinen': 0, 'FDP': 0.05, 'Plakaten': 0.04, 'Danke': 0, 'allen': 0, 'Helfern': 0.08, 'und': 0.05, 'Landbesitzern': 0.03, 'die': 0.04, 'mich': 0.05, 'am': 0, '20.': 0, 'Oktober': 0.04, '1x': 0, 'oder': 0.08, '2x': 0, 'auf': 0.03, 'ihre': 0.08, 'Liste': 0, 'schreiben': 0.09, 'Für': 0.47, 'Profis': 0.3, 'in': 0.23, 'der': 0.04, 'Digitalisierung': 0, 'keine': 0, 'cvpfail': 1.0, 'digital': 0.52, 'naives': 0}",positive,"[0.21363494, 0.12672788, 0.65963715]",negative
