answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3417,absa_sentiment_3417,absa_scores_3417,absa_token_weights_3419,absa_sentiment_3419,absa_scores_3419,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3444,absa_sentiment_3444,absa_scores_3444,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3458,absa_sentiment_3458,absa_scores_3458,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"RT @minlimarti: Good News! Der Bund soll vorwärts machen bei der Kinderbetreuung, für #Vereinbarkeit von Beruf und Familie, zahlbare Kitapl…",good news bund vorwärts kinderbetreuung vereinbarkeit beruf familie zahlbare kitapl,"{'Good': 0.03, 'News': 0.08, 'Der': 0.1, 'Bund': 0, 'soll': 0, 'vorwärts': 0.19, 'machen': 0, 'bei': 0, 'der': 0.1, 'Kinderbetreuung': 1.0, 'für': 0.54, 'Vereinbarkeit': 0.08, 'von': 0, 'Beruf': 0, 'und': 0.11, 'Familie': 0.02, 'zahlbare': 0.22, 'Kitapl': 0, '…': 0}",positive,"[0.11701783, 0.09198412, 0.79099804]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"RT @spschweiz: Es ist erfreulich, dass die WBK-N vorschlägt, die Anstossfinanzierung des Bundes zur familienergänzenden Kinderbetreuung in…",erfreulich wbk n vorschlagen anstossfinanzierung bundes familienergänzenden kinderbetreuung,"{'Es': 0.03, 'ist': 0.03, 'erfreulich': 0, 'dass': 0.24, 'die': 0.09, 'WBK-N': 0, 'vorschlägt': 0, 'Anstossfinanzierung': 0, 'des': 0, 'Bundes': 0.12, 'zur': 0.09, 'familienergänzenden': 0.68, 'Kinderbetreuung': 1.0, 'in': 0.3, '…': 0}",neutral,"[0.9120102, 0.020489909, 0.067499794]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @Tamarafuniciell: Die familienergänzende Kinderbetreuung muss ein Service public werden wie die Volksschule. Unterschreibe jetzt unsere…,familienergänzende kinderbetreuung service public volksschule unterschreiben,"{'Die': 0, 'familienergänzende': 0.1, 'Kinderbetreuung': 0.35, 'muss': 0, 'ein': 0, 'Service': 0.16, 'public': 0.17, 'werden': 0, 'wie': 0, 'die': 0, 'Volksschule': 0.145, 'Unterschreibe': 1.0, 'jetzt': 0.99, 'unsere': 1.0, '…': 0}",positive,"[0.42636546, 0.030932289, 0.5427022]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"Kinderbetreuung darf kein Business sein! Es ist eine gesamtgesellschaftliche Aufgabe, die das Wohl des Kindes über alles stellen muss. Danke @RepublikMagazin für diesen schockierenden Artikel über https://t.co/BHk9WP1quo https://t.co/RwwrshCuXV",kinderbetreuung dürfen business gesamtgesellschaftliche aufgabe wohl kindes stellen danke schockierenden artikel,"{'Kinderbetreuung': 0.97, 'darf': 0, 'kein': 0, 'Business': 0.62, 'sein': 0, 'Es': 0.12, 'ist': 0.12, 'eine': 0, 'gesamtgesellschaftliche': 0, 'Aufgabe': 0.1, 'die': 0.02, 'das': 0.03, 'Wohl': 0, 'des': 0, 'Kindes': 0.02, 'über': 0, 'alles': 0, 'stellen': 0.02, 'muss': 0, 'Danke': 0, 'für': 0.04, 'diesen': 0.02, 'schockierenden': 0.05, 'Artikel': 0.04}",negative,"[0.094469175, 0.59823954, 0.30729127]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0799999999999999,positive,@pbruegger @enussbi @spschweiz Es wäre noch schön wenn in diesem Z’hang nicht immer der „wer-bezahlt-das-alles?!-Reflex“ kommen würde. Angehörigen-Pflege&amp;Kinderbetreuung wird schon bezahlt - meist privat. Frage ist ob sich Wirtschaft&amp;Staat mehr an Kosten beteiligen. Zum volkswirtschaftlichen Nutzen von ALLEN!,schön z hang immer wer bezahlen reflex kommen angehörig pflegen amp kinderbetreuung schon bezahlen meist privat fragen wirtschaft amptaat mehr kosten beteiligen volkswirtschaftlich nutzen,"{'Es': 0.04, 'wäre': 0.02, 'noch': 0.04, 'schön': 0.04, 'wenn': 0.03, 'in': 0.02, 'diesem': 0.02, 'Z': 0, '’': 0, 'hang': 0, 'nicht': 0, 'immer': 0, 'der': 0, '„': 0, 'wer-bezahlt-das-alles?!-Reflex': 0, '“': 0, 'kommen': 0, 'würde': 0, 'Angehörigen-Pflege&amp;Kinderbetreuung': 0, 'wird': 0, 'schon': 0, 'bezahlt': 0, 'meist': 0, 'privat': 0, 'Frage': 0, 'ist': 0, 'ob': 0, 'sich': 0, 'Wirtschaft&amptaat': 0, 'mehr': 0, 'an': 0, 'Kosten': 0, 'beteiligen': 0, 'Zum': 0, 'volkswirtschaftlichen': 0, 'Nutzen': 0, 'von': 0, 'ALLEN': 0}",neutral,"[0.7931103, 0.11181058, 0.095079064]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,@FDP_Liberalen will Kinderbetreuung entbürokratisieren.Was heisst das? Weniger Hygiene- und Sicherheitsvorschriften? https://t.co/owr17GIJpO,kinderbetreuung entbürokratisiere heisst wenig hygiene sicherheitsvorschriften,"{'will': 0, 'Kinderbetreuung': 0.76, 'entbürokratisieren': 0, 'Was': 0, 'heisst': 0, 'das': 0.11, 'Weniger': 0, 'Hygiene-': 0, 'und': 0.04, 'Sicherheitsvorschriften': 0.1}",negative,"[0.085654266, 0.8125672, 0.10177859]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Breaking! Nach SGK-N spricht sich auch Gesundheitskommission des Ständerats klar für eine Aufhebung des Cannabis-Verbots aus. Anbau, Produktion, Handel und Konsum sollen umfassend neu geregelt werden. Jetzt machen wir uns an die Gesetzgebungsarbeiten @suchtpolitik @LorenzHess",breaking sgk n sprechen gesundheitskommission ständerats klaren aufhebung cannabis verbots anbau produktion handel konsum sollen umfassen neu regeln gesetzgebungsarbeiten,,,,"{'Breaking': 0.07, 'Nach': 0.04, 'SGK-N': 0, 'spricht': 0, 'sich': 0, 'auch': 0.11, 'Gesundheitskommission': 0.12, 'des': 0, 'Ständerats': 0.11750000000000001, 'klar': 0, 'für': 0, 'eine': 0, 'Aufhebung': 0, 'Cannabis-Verbots': 0.89, 'aus': 0, 'Anbau': 0.13, 'Produktion': 0.11, 'Handel': 0.11, 'und': 0.04, 'Konsum': 0.1, 'sollen': 0, 'umfassend': 0, 'neu': 0, 'geregelt': 0, 'werden': 0, 'Jetzt': 0.07, 'machen': 0, 'wir': 0, 'uns': 0, 'an': 0, 'die': 0.04, 'Gesetzgebungsarbeiten': 0.145}",neutral,"[0.84261924, 0.052394528, 0.10498633]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.6999999999999998,neutral,Sinneswandel in der Gesellschaft zum Thema Cannabis. 2/3 befürwortet Legalisierung. Die Vorteile einer Aufhebung der Prohibition mit gleichzeitig starkem Jugendschutz überwiegen. Auch SGK-N hat unlängst Entkriminalisierung befürwortet. https://t.co/SaoeyVyWqw,sinneswandel gesellschaft thema cannabis befürworten legalisierung vorteile aufhebung prohibition gleichzeitig stark jugendschutz überwiegen sgk n unlängst entkriminalisierung befürworten,,,,"{'Sinneswandel': 0.1725, 'in': 0.06, 'der': 0.06, 'Gesellschaft': 0.29, 'zum': 0.06, 'Thema': 0, 'Cannabis': 1.0, '2': 0, '3': 0, 'befürwortet': 0, 'Legalisierung': 0.61, 'Die': 0.06, 'Vorteile': 0, 'einer': 0, 'Aufhebung': 0, 'Prohibition': 0.2, 'mit': 0.04, 'gleichzeitig': 0, 'starkem': 0.04, 'Jugendschutz': 0.0925, 'überwiegen': 0, 'Auch': 0.02, 'SGK-N': 0, 'hat': 0, 'unlängst': 0.02, 'Entkriminalisierung': 0.28}",positive,"[0.30785963, 0.017602498, 0.6745379]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,Erwacht die einst progressive Drogenpolitik aus Dornröschenschlaf? Gesundheitskommission des Nationalrats hat mit 13:11 Stimmen der pa.Iv. von #heinzsiegenthaler @BDPSchweiz für Cannabislegalisierung und gleichzeitige Regulierung des Marktes gestimmt. @Suchtpolitik @spschweiz,erwachen progressive drogenpolitik dornröschenschlaf gesundheitskommission nationalrats stimmen pa iv heinzsiegenthaler cannabislegalisierung gleichzeitige regulierung marktes stimmen,,,,"{'Erwacht': 0, 'die': 0.08, 'einst': 0.06, 'progressive': 0.08, 'Drogenpolitik': 0.085, 'aus': 0, 'Dornröschenschlaf': 0, 'Gesundheitskommission': 0.13, 'des': 0.03, 'Nationalrats': 0.125, 'hat': 0, 'mit': 0, '13:11': 0, 'Stimmen': 0, 'der': 0.08, 'pa': 0.22, 'Iv': 0.11, 'von': 0.03, 'heinzsiegenthaler': 1.0, 'für': 0.88, 'Cannabislegalisierung': 0.365, 'und': 0.2, 'gleichzeitige': 0.19, 'Regulierung': 0.27, 'Marktes': 0.1, 'gestimmt': 0}",neutral,"[0.8730325, 0.017578935, 0.10938849]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,Die einst pionierhafte Drogenpolitik erwacht endlich wieder aus dem Dornröschenschlaf. Das @ParlCH hat gestern auch auf Druck der @spschweiz die Möglichkeit für Cannabis-Pilotprojekte beschlossen. Warum das wichtig ist: via @nau_live https://t.co/lgypzWDpSF,pionierhafte drogenpolitik erwachen endlich dornröschenschlaf gestern druck möglichkeit cannabis pilotprojekte beschließen warum wichtig via,,,,"{'Die': 0.05, 'einst': 0.03, 'pionierhafte': 0.06, 'Drogenpolitik': 0.07, 'erwacht': 0, 'endlich': 0, 'wieder': 0, 'aus': 0, 'dem': 0.05, 'Dornröschenschlaf': 0, 'Das': 0.05, 'hat': 0, 'gestern': 0.06, 'auch': 0, 'auf': 0, 'Druck': 0.09, 'der': 0.05, 'die': 0.05, 'Möglichkeit': 0, 'für': 0.05, 'Cannabis-Pilotprojekte': 0.115, 'beschlossen': 0.1, 'Warum': 0.31, 'das': 0.04, 'wichtig': 0.35, 'ist': 0.12, 'via': 1.0}",positive,"[0.34633163, 0.017395606, 0.6362727]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
