answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3433,absa_sentiment_3433,absa_scores_3433,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,sentiment_tb
100.0,100.0,100.0,1.0,positive,"RT @claudianaegeli: Word @o_kuehni word. Das Beste, was ich zum Thema #Feminismus und dem Wert von Kinderbetreuung seit Langem gelesen habe…",word word gut thema feminismus wert kinderbetreuung seit lang lesen,"{'Word': 0.14, 'word': 0.14, 'Das': 0.45, 'Beste': 0.27, 'was': 0, 'ich': 0.06, 'zum': 0.45, 'Thema': 0, 'Feminismus': 0.19, 'und': 0.47, 'dem': 0.45, 'Wert': 0, 'von': 0, 'Kinderbetreuung': 1.0, 'seit': 0, 'Langem': 0.1, 'gelesen': 0.43, 'habe': 0.08, '…': 0}",positive,"[0.00066344824, 0.0012922643, 0.99804425]",,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,"RT @4Senna: Arbeiten und #Kinderbetreuung unter einem Dach? Ja! Das soll es bald geben, dank den Frauen von #Tadah: Sie sind auf der letzte…",arbeiten kinderbetreuung dach ja bald geben danken frauen tadah letzte,"{'Arbeiten': 0.12, 'und': 0.18, 'Kinderbetreuung': 0.6, 'unter': 1.0, 'einem': 0.37, 'Dach': 1.0, 'Ja': 0.18, 'Das': 0.02, 'soll': 0, 'es': 0, 'bald': 0, 'geben': 0, 'dank': 0.025, 'den': 0.02, 'Frauen': 0.02, 'von': 0.02, 'Tadah': 0.03, 'Sie': 0, 'sind': 0.02, 'auf': 0.02, 'der': 0.02, 'letzte': 0.02, '…': 0}",neutral,"[0.8373371, 0.017237933, 0.14542498]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @SchmidFederer: Der BR lehnt den #Vaterschaftsurlaub ab. Er misst dem ""Ausbau familienergänzender Kinderbetreuungsangebote prioritäre Be…",br lehnen vaterschaftsurlaub ab misst ausbau familienergänzender kinderbetreuungsangebote prioritäre be,"{'Der': 0.07, 'BR': 0.02, 'lehnt': 0.07, 'den': 0.07, 'Vaterschaftsurlaub': 0.04, 'ab': 0, 'Er': 0, 'misst': 0.06, 'dem': 0.07, 'Ausbau': 0.25, 'familienergänzender': 0.62, 'Kinderbetreuungsangebote': 1.0, 'prioritäre': 0.15, 'Be': 0, '…': 0}",positive,"[0.0013265198, 0.0018459792, 0.9968274]",,,,"{'Der': 0.06, 'BR': 0.23, 'lehnt': 0.67, 'den': 0.06, 'Vaterschaftsurlaub': 0.64, 'ab': 0, 'Er': 0, 'misst': 0.21, 'dem': 0.06, 'Ausbau': 0.15, 'familienergänzender': 0.1, 'Kinderbetreuungsangebote': 0.1, 'prioritäre': 0.08, 'Be': 0, '…': 0}",positive,"[0.002182246, 0.0021701516, 0.9956476]",,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,RT @IZMartinez86: Meine Kolumne in der @Handelszeitung diese Woche dreht sich ums #Frauenrentenalter 65 - und warum ich dieses als Ökonomin…,kolumne woche drehen ums frauenrentenalter warum ökonomin,,,,"{'Meine': 0.1, 'Kolumne': 0.24, 'in': 0, 'der': 0, 'diese': 0.14, 'Woche': 0.18, 'dreht': 0, 'sich': 0, 'ums': 0, 'Frauenrentenalter': 0.6275, '65': 0, 'und': 0.27, 'warum': 0.23, 'ich': 0.12, 'dieses': 0.14, 'als': 0.1, 'Ökonomin': 0.23, '…': 0}",positive,"[0.21901883, 0.023444252, 0.75753695]",,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"Mit der Weigerung, die Ungleichbehandlung der Männer im Rentenalter oder bei der Militärdienstpflicht zu beseitigen, wird ein System aufrechterhalten, dessen grosse Verlierer die Frauen sind. Konsequente Gleichstellung wäre eine Win-Win-Situation. https://t.co/7gP0MgQ15a",weigerung ungleichbehandlung männer rentenalter militärdienstpflicht beseitigen system aufrechterhalte grosse verlierer frauen konsequente gleichstellung win win situation,,,,"{'Mit': 0.18, 'der': 0.09, 'Weigerung': 0.25, 'die': 0.09, 'Ungleichbehandlung': 0.81, 'Männer': 0.22, 'im': 0, 'Rentenalter': 0.505, 'oder': 0.2, 'bei': 0, 'Militärdienstpflicht': 0.16, 'zu': 0.14, 'beseitigen': 0, 'wird': 0, 'ein': 0, 'System': 0.14, 'aufrechterhalten': 0, 'dessen': 0, 'grosse': 0, 'Verlierer': 0, 'Frauen': 0.14, 'sind': 0.07, 'Konsequente': 0.09, 'Gleichstellung': 1.0, 'wäre': 0.03, 'eine': 0, 'Win-Win-Situation': 0}",negative,"[0.19711035, 0.4252798, 0.3776099]",,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @Tim_Guettinger: Zukunftsfähiger wäre Rentenalter 67 für beide. Die @jglp_ag  setzt sich für eine umfassende Gleichberechtigung in allen…,zukunftsfähiger rentenalter beid setzen umfassend gleichberechtigung,,,,"{'Zukunftsfähiger': 0.22, 'wäre': 0.39, 'Rentenalter': 0.6, '67': 0, 'für': 0.1, 'beide': 0.1, 'Die': 0, 'setzt': 0, 'sich': 0, 'eine': 0, 'umfassende': 0.1, 'Gleichberechtigung': 0, 'in': 0.05, 'allen': 0, '…': 0}",positive,"[0.22230601, 0.044268705, 0.73342526]",,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,RT @NZZaS: «Nur mit einer Rentenaltererhöhung ist die Altersvorsorge nicht reformiert. Es braucht gleichzeitig auch Reformen in den Struktu…,rentenaltererhöhung altersvorsorge reformieren brauchen gleichzeitig reformen struktu,,,,"{'«': 0, 'Nur': 0, 'mit': 0, 'einer': 0, 'Rentenaltererhöhung': 0, 'ist': 0, 'die': 0, 'Altersvorsorge': 0, 'nicht': 0, 'reformiert': 0, 'Es': 0, 'braucht': 0, 'gleichzeitig': 0, 'auch': 0, 'Reformen': 0, 'in': 0, 'den': 0, 'Struktu': 0, '…': 0}",positive,"[0.13282707, 0.089682, 0.777491]",,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"Das Rentenalter muss erhöht werden, um die AHV langfristig zu sichern! Gleichzeitig müssen wir aber unser Verständnis von Arbeit überdenken. Wenn wir länger arbeiten, müssen wir unseren Ressourcen auch Sorge tragen. #burnout  #WorkLifeBalance #Teilzeit https://t.co/MRWtqK5dm8",rentenalter erhöhen ahv langfristig sichern gleichzeitig müssen verständnis arbeit überdenken lang arbeiten müssen ressourcen sorge tragen burnout worklifebalance teilzeit,,,,"{'Das': 0.02, 'Rentenalter': 0.835, 'muss': 0.01, 'erhöht': 0, 'werden': 0, 'um': 0, 'die': 0.02, 'AHV': 0.05, 'langfristig': 0.035, 'zu': 0.01, 'sichern': 0.01, 'Gleichzeitig': 0, 'müssen': 0.015, 'wir': 0, 'aber': 0, 'unser': 0.03, 'Verständnis': 0.04, 'von': 0, 'Arbeit': 0.02, 'überdenken': 0.04, 'Wenn': 0, 'länger': 0.02, 'arbeiten': 0.02, 'unseren': 0.03, 'Ressourcen': 0.02, 'auch': 0.03, 'Sorge': 0, 'tragen': 0, 'burnout': 0.03, 'WorkLifeBalance': 0.05, 'Teilzeit': 0.015}",negative,"[0.013242234, 0.97278184, 0.013975913]",,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"RT @rudolf_mohler: Das #Rentenalter ist in Bundesbern religiöse Tabuzone. Immerhin wagt es nun der ehemalige Chefökonom des Bundes, den Got…",rentenalter bundesbern religiös tabuzone immerhin wagen ehemalig chefökonom bundes got,,,,"{'Das': 0.05, 'Rentenalter': 0.9099999999999999, 'ist': 0.6, 'in': 0.14, 'Bundesbern': 0.14500000000000002, 'religiöse': 0.16, 'Tabuzone': 0, 'Immerhin': 0.07, 'wagt': 0.16, 'es': 0.6, 'nun': 0, 'der': 0.05, 'ehemalige': 0.09, 'Chefökonom': 0.135, 'des': 0, 'Bundes': 0.07, 'den': 0.05, 'Got': 0, '…': 0}",negative,"[0.2990478, 0.61574644, 0.085205756]",,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"RT @NZZ: ➡ Höheres AHV-Referenzalter für Frauen
➡ Flexibilisierung des Rentenalters
➡ Anreize für eine längere Erwerbstätigkeit
➡ Höhere Me…",hoch ahv referenzalter frauen flexibilisierung rentenalters anreize lang erwerbstätigkeit hoch me,,,,"{'Höheres': 0.05, 'AHV-Referenzalter': 0, 'für': 0.19, 'Frauen': 0.13, 'Flexibilisierung': 0, 'des': 0, 'Rentenalters': 0.09, 'Anreize': 0.09, 'eine': 0, 'längere': 0.04, 'Erwerbstätigkeit': 0, 'Höhere': 0.05, 'Me': 0.09, '…': 0}",positive,"[0.25781348, 0.09839666, 0.6437898]",,,,,,,,,,,,,,,,,,,,,,positive
