answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3451,absa_sentiment_3451,absa_scores_3451,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
100.0,100.0,100.0,1.0,neutral,"Mein Statement zu Kinderbetreuung, Lohngleichheit und weitere Bedingungen für eine gute Aufgabenteilung in Familien. https://t.co/ahJOFxD8P8",statement kinderbetreuung lohngleichheit weit bedingungen gut aufgabenteilung familien,"{'Mein': 0.16, 'Statement': 0.45, 'zu': 0, 'Kinderbetreuung': 1.0, 'Lohngleichheit': 0.385, 'und': 0.39, 'weitere': 0, 'Bedingungen': 0.2, 'für': 0.2, 'eine': 0, 'gute': 0, 'Aufgabenteilung': 0, 'in': 0.08, 'Familien': 0}",positive,"[0.008340824, 0.004673171, 0.986986]",,,,"{'Mein': 0.17, 'Statement': 0.53, 'zu': 0, 'Kinderbetreuung': 0.5, 'Lohngleichheit': 0.865, 'und': 0.58, 'weitere': 0, 'Bedingungen': 0.3, 'für': 0.25, 'eine': 0, 'gute': 0, 'Aufgabenteilung': 0, 'in': 0.11, 'Familien': 0}",positive,"[0.0013044941, 0.0010270994, 0.9976683]",,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Die Schweiz ist europaweit das einzige Land, das weder den #Vaterschaftsurlaub noch den  #Elternurlaub kennt. 
https://t.co/GebPmS1QcK",schweiz europaweit einzig land weder vaterschaftsurlaub elternurlaub kennen,,,,"{'Die': 0.05, 'Schweiz': 0.1, 'ist': 0.05, 'europaweit': 0.13, 'das': 0.21, 'einzige': 0.1, 'Land': 0, 'weder': 0.56, 'den': 0.05, 'Vaterschaftsurlaub': 0.26, 'noch': 0, 'Elternurlaub': 0.22, 'kennt': 0}",positive,"[0.35317874, 0.042610835, 0.60421044]",,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"Mein Statement zu Kinderbetreuung, Lohngleichheit und weitere Bedingungen für eine gute Aufgabenteilung in Familien. https://t.co/ahJOFxD8P8",statement kinderbetreuung lohngleichheit weit bedingungen gut aufgabenteilung familien,"{'Mein': 0.16, 'Statement': 0.45, 'zu': 0, 'Kinderbetreuung': 1.0, 'Lohngleichheit': 0.385, 'und': 0.39, 'weitere': 0, 'Bedingungen': 0.2, 'für': 0.2, 'eine': 0, 'gute': 0, 'Aufgabenteilung': 0, 'in': 0.08, 'Familien': 0}",positive,"[0.008340824, 0.004673171, 0.986986]",,,,"{'Mein': 0.17, 'Statement': 0.53, 'zu': 0, 'Kinderbetreuung': 0.5, 'Lohngleichheit': 0.865, 'und': 0.58, 'weitere': 0, 'Bedingungen': 0.3, 'für': 0.25, 'eine': 0, 'gute': 0, 'Aufgabenteilung': 0, 'in': 0.11, 'Familien': 0}",positive,"[0.0013044941, 0.0010270994, 0.9976683]",,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,"Steuersenkungen sind in der bürgerlichen Parlamentsmehrheit populär. Sie wollen in Etappen die Stempelsteuer abschaffen. Nachdem nun zur Etappe 1 das Referendum steht, machen sie bei Etappe 2 einen Rückzieher. Einsicht? Nicht wirklich.
https://t.co/YjGWrvtp7w",steuersenkungen bürgerlich parlamentsmehrheit populär etappen stempelsteuer abschaffen nachdem etappe referendum stehen etappe rückzieher einsicht wirklich,,,,,,,,,,"{'Steuersenkungen': 0.67, 'sind': 0.02, 'in': 0.01, 'der': 0.02, 'bürgerlichen': 0, 'Parlamentsmehrheit': 0.09, 'populär': 1.0, 'Sie': 0, 'wollen': 0.14, 'Etappen': 0.03, 'die': 0.02, 'Stempelsteuer': 0, 'abschaffen': 0.07, 'Nachdem': 0, 'nun': 0, 'zur': 0.025, 'Etappe': 0.02, '1': 0, 'das': 0.02, 'Referendum': 0.04, 'steht': 0, 'machen': 0, 'sie': 0, 'bei': 0, '2': 0, 'einen': 0, 'Rückzieher': 0, 'Einsicht': 0.03, 'Nicht': 0.06, 'wirklich': 0.03}",positive,"[0.0030328422, 0.001208809, 0.99575835]",,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,#Bauernverband #Solothurn: Es gibt keinen flächensparenden Autobahnausbau auf 6 Spuren. Entweder  Landverlust oder die bisherige Autobahnbreite. Wollt ihr den Bär waschen ohne sein Fell nass zu machen? https://t.co/I7m4W9dlfE,bauernverband solothurn geben flächensparenden autobahnausbau spuren entweder landverlust bisherig autobahnbreite bär waschen fell nass,,,,,,,,,,,,,"{'Bauernverband': 0, 'Solothurn': 0.04, 'Es': 0.08, 'gibt': 0, 'keinen': 0, 'flächensparenden': 0, 'Autobahnausbau': 0.03, 'auf': 0, '6': 0, 'Spuren': 0, 'Entweder': 0.08, 'Landverlust': 0.03, 'oder': 0.05, 'die': 0.06, 'bisherige': 0.03, 'Autobahnbreite': 0.03, 'Wollt': 0.21, 'ihr': 0, 'den': 0.06, 'Bär': 0, 'waschen': 0.07500000000000001, 'ohne': 0.13, 'sein': 0, 'Fell': 0, 'nass': 0.12, 'zu': 0.08, 'machen': 1.0}",negative,"[0.1895021, 0.7950139, 0.015484066]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Guy Parmelin zählt wohl jeden Schraubenhersteller zu den Kriegsmaterialproduzenten, so kommt er auf 3000 Firmen. Aber damit verlässt er den Boden des Faktischen. @kriegsgeschaeft ://www.tagesanzeiger.ch/die-mysterioese-zahl-des-bundesrats-342611806829",guy parmelin zählen wohl jed schraubenhersteller kriegsmaterialproduzenten kommen firmen verlässt boden faktisch,,,,,,,,,,,,,,,,"{'Guy': 0.14, 'Parmelin': 0.15, 'zählt': 0.68, 'wohl': 0, 'jeden': 0.53, 'Schraubenhersteller': 0.35, 'zu': 0.14, 'den': 0.04, 'Kriegsmaterialproduzenten': 0.7424999999999999, 'so': 0.24, 'kommt': 0.1, 'er': 0, 'auf': 0, '3000': 0, 'Firmen': 0.16, 'Aber': 0.08, 'damit': 0.14, 'verlässt': 0.1, 'Boden': 0, 'des': 0, 'Faktischen': 0.07, ':/': 0}",neutral,"[0.9684987, 0.009393262, 0.022108097]",,,,,,,,,,neutral
50.0,25.0,28.0,-0.1333333333333333,neutral,"Julia Küng von den @jungegruene_ch und Lewin Lempert von der @GSoASchweiz haben die besseren Argumente als die hilflosen Rechtfertiger von fragwürdigen Investitionen in die Produktion von Kriegsmaterial.
https://t.co/n8HWCa9fHT",julia küng lewin lempert gut argumente hilflos rechtfertiger fragwürdig investitionen produktion kriegsmaterial,,,,,,,,,,,,,,,,"{'Julia': 0.08, 'Küng': 0, 'von': 0, 'den': 0.22, 'und': 0.07, 'Lewin': 0.09, 'Lempert': 0.1, 'der': 0.22, 'haben': 0.11, 'die': 0.22, 'besseren': 0.08, 'Argumente': 0.14, 'als': 0, 'hilflosen': 0.39, 'Rechtfertiger': 0, 'fragwürdigen': 1.0, 'Investitionen': 1.0, 'in': 0.43, 'Produktion': 0.31, 'Kriegsmaterial': 0.5349999999999999}",neutral,"[0.7398848, 0.1134241, 0.1466911]",,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,Finanzierung von Kriegsmaterialproduktionen: Ich will das nicht! Auch nicht mit meinen Pensionskassengeldern. Das schaffen die Anleger. Aber wir müssen sie dazu verpflichten! https://t.co/U40VzOdBRq,finanzierung kriegsmaterialproduktionen pensionskassengeldern schaffen anleger müssen verpflichten,,,,,,,,,,,,,,,,"{'Finanzierung': 0.64, 'von': 0, 'Kriegsmaterialproduktionen': 0.445, 'Ich': 0.58, 'will': 0, 'das': 0.06, 'nicht': 0.17, 'Auch': 0, 'mit': 0.06, 'meinen': 0, 'Pensionskassengeldern': 0, 'Das': 0, 'schaffen': 0, 'die': 0, 'Anleger': 0.12, 'Aber': 0.08, 'wir': 0, 'müssen': 0.045, 'sie': 0, 'dazu': 0.03, 'verpflichten': 0}",negative,"[0.39248756, 0.5069542, 0.100558184]",,,,,,,,,,positive
50.0,25.0,28.0,-0.15,neutral,"Es ist an der Zeit, dass der #Bauernverband realisiert: In uns Grünen hat er die besten Verbündeten, wenn es darum geht, einer Vorstellung von Freihandel ohne Tier-, Menschen- und Umweltschutz kraftvoll entgegenzuhalten. #mercosur https://t.co/hU6y8LeNsL",zeit bauernverband realisieren grün gut verbünden darum gehen vorstellung freihandel tier menschen umweltschutz kraftvoll entgegenhalten mercosur,,,,,,,,,,,,,,,,,,,"{'Es': 0.01, 'ist': 0.01, 'an': 0, 'der': 0.05, 'Zeit': 0.01, 'dass': 0, 'Bauernverband': 0.015, 'realisiert': 0, 'In': 0.01, 'uns': 0, 'Grünen': 0.01, 'hat': 0, 'er': 0.01, 'die': 0.05, 'besten': 0.07, 'Verbündeten': 0.06, 'wenn': 0, 'es': 0.01, 'darum': 0, 'geht': 0, 'einer': 0, 'Vorstellung': 0, 'von': 0, 'Freihandel': 0.25, 'ohne': 1.0, 'Tier-': 0, 'Menschen-': 0, 'und': 0.13, 'Umweltschutz': 1.0, 'kraftvoll': 0, 'entgegenzuhalten': 0.12, 'mercosur': 0.05}",positive,"[0.39090115, 0.1364869, 0.47261202]",,,,,,,neutral
100.0,100.0,100.0,1.0,negative,"Das genügt nicht, lieber Bundesrat! Die heute veröffentlichte Klimastrategie ist viel zu zahm und zaghaft. Bitte nehmt endlich die Finanzbranche und den Flugverkehr in die Pflicht! Der Klimaplan der GRÜNEN @GrueneCH zeigt wie. #zusammenfürsklima🌍",genügen lieb bundesrat heute veröffentlichen klimastrategie zahm zaghaft bitte nehmen endlich finanzbranche flugverkehr pflicht klimaplan grün zeigen zusammenfürsklima,,,,,,,,,,,,,,,,,,,,,,"{'Das': 0.26, 'genügt': 0.02, 'nicht': 0.03, 'lieber': 0, 'Bundesrat': 0.03, 'Die': 0.26, 'heute': 0.05, 'veröffentlichte': 0.09, 'Klimastrategie': 0.11000000000000001, 'ist': 0.06, 'viel': 0, 'zu': 0, 'zahm': 0.05, 'und': 0.04, 'zaghaft': 0.07, 'Bitte': 0, 'nehmt': 0.04, 'endlich': 0, 'die': 0.26, 'Finanzbranche': 0.045, 'den': 0.26, 'Flugverkehr': 0, 'in': 0, 'Pflicht': 0, 'Der': 0.26, 'Klimaplan': 0.26, 'der': 0.26, 'GRÜNEN': 0, 'zeigt': 0, 'wie': 0.57, 'zusammenfürsklima': 0.3575}",negative,"[0.14932397, 0.7095248, 0.1411512]",,,,positive
