answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3460,absa_sentiment_3460,absa_scores_3460,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3470,absa_sentiment_3470,absa_scores_3470,absa_token_weights_3476,absa_sentiment_3476,absa_scores_3476,sentiment_tb
100.0,100.0,86.0,0.7,neutral,"Beim #Vaterschaftsurlaub von Geschenk reden und gleichzeitig den Kinderabzug-Bschiss befürworten, der den reichsten Familien im Land ohne Bedarf noch Wirkung 370 Millionen zuschanzt. Kannst du dir nicht ausdenken.  #abst20 https://t.co/wsKQqPhiaH",beim vaterschaftsurlaub geschenk reden gleichzeitig kinderabzug bschiss befürworten reich familien land bedarf wirkung millionen zuschanzen ausdenken abst20,"{'Beim': 0.05, 'Vaterschaftsurlaub': 1.0, 'von': 0, 'Geschenk': 0, 'reden': 0, 'und': 0.15, 'gleichzeitig': 0, 'den': 0.03, 'Kinderabzug-Bschiss': 0, 'befürworten': 0, 'der': 0.03, 'reichsten': 0.03, 'Familien': 0, 'im': 0, 'Land': 0, 'ohne': 0.02, 'Bedarf': 0, 'noch': 0, 'Wirkung': 0, '370': 0, 'Millionen': 0, 'zuschanzt': 0, 'Kannst': 0.05, 'du': 0, 'dir': 0.04, 'nicht': 0, 'ausdenken': 0, 'abst20': 0.07}",neutral,"[0.86881375, 0.03214251, 0.09904374]",,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"@papizeit schlägt vor: 20 Tage Vaterschaftsurlaub. 
Gegenentwurf aus dem Parlament: 10 Tage Vaterschaftsurlaub.
Bundesrat heute: nä-ä, gar nix gibt's. 

hä was? #Vaterschaftsurlaub https://t.co/tQ2whc8lAO",schlagen tage vaterschaftsurlaub gegenentwurf parlament tage vaterschaftsurlaub bundesrat heute nä ä gar nix geben s hä vaterschaftsurlaub,"{'schlägt': 0, 'vor': 0, '20': 0, 'Tage': 0.04, 'Vaterschaftsurlaub': 0.245, 'Gegenentwurf': 0, 'aus': 0, 'dem': 0, 'Parlament': 0.15, '10': 0, 'Bundesrat': 0.08, 'heute': 0.03, 'nä-ä': 0, 'gar': 0, 'nix': 0, ""gibt's"": 0.03, 'hä': 0, 'was': 0}",neutral,"[0.76510924, 0.19018075, 0.044710007]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,25.0,28.0,-0.15,neutral,"Die, die das Einbürgerungsverfahren so kostspielig, anspruchsvoll und willkürlich gestalten wollen wie nur möglich und die, die bei der Forderung nach dem ""Stimmrecht für alle"" sagen, man müsse sich halt einfach einbürgern lassen, das sind dieselben, oder?",einbürgerungsverfahren kostspielig anspruchsvoll willkürlich gestalten möglich forderung stimmrecht all sagen müssen halt einfach einbürgern lassen,,,,"{'Die': 0.05, 'die': 0.05, 'das': 0.03, 'Einbürgerungsverfahren': 0.7, 'so': 0, 'kostspielig': 0, 'anspruchsvoll': 0, 'und': 0.27, 'willkürlich': 0, 'gestalten': 0, 'wollen': 0.09, 'wie': 0, 'nur': 0, 'möglich': 0.29, 'bei': 0, 'der': 0.05, 'Forderung': 0, 'nach': 0, 'dem': 0.045, 'Stimmrecht': 0.045, 'für': 0.04, 'alle': 0.08, 'sagen': 0.05500000000000001, 'man': 0, 'müsse': 0, 'sich': 0, 'halt': 0, 'einfach': 0, 'einbürgern': 0, 'lassen': 0, 'sind': 0.04, 'dieselben': 0.07, 'oder': 0}",negative,"[0.020353427, 0.942865, 0.036781542]",,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.675,negative,Ich kann gar nicht in Worte fassen wie wütend mich das macht. Können wir bitte mal aufhören mit diesem absolut willkürlichen Einbürgerungsverfahren? https://t.co/lHDjWn20NK,gar worte fassen wüten bitte mal aufhören absolut willkürlich einbürgerungsverfahren,,,,"{'Ich': 0.03, 'kann': 0.09, 'gar': 0, 'nicht': 0, 'in': 0, 'Worte': 0.06, 'fassen': 0, 'wie': 0.05, 'wütend': 0, 'mich': 0.04, 'das': 0.03, 'macht': 0, 'Können': 0, 'wir': 0, 'bitte': 0, 'mal': 0, 'aufhören': 0.32, 'mit': 0, 'diesem': 0.39, 'absolut': 0.38, 'willkürlichen': 1.0, 'Einbürgerungsverfahren': 0.73}",negative,"[0.0072606658, 0.9770686, 0.015670763]",,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"Die Stimmbevölkerung macht heute ganz klar, dass sie keine Steuersenkungen für die reichsten Menschen im Land will. Auch dann nicht, wenn sie unter dem Deckmantel der Familienpolitik daherkommen. Grosse Freude &amp; viel Dankbarkeit. #CHvote",stimmbevölkerung heute ganz klaren steuersenkungen reich menschen land deckmantel familienpolitik daherkommen grosse freude amp dankbarkeit chvote,,,,,,,"{'Die': 0.02, 'Stimmbevölkerung': 0, 'macht': 0, 'heute': 0.06, 'ganz': 0, 'klar': 0.22, 'dass': 0.2, 'sie': 0, 'keine': 0, 'Steuersenkungen': 0.615, 'für': 0.22, 'die': 0.02, 'reichsten': 0.14, 'Menschen': 0.08, 'im': 0, 'Land': 0, 'will': 0, 'Auch': 0, 'dann': 0, 'nicht': 0.22, 'wenn': 0.04, 'unter': 0.03, 'dem': 0.02, 'Deckmantel': 0, 'der': 0.02, 'Familienpolitik': 0.03, 'daherkommen': 0.03, 'Grosse': 0, 'Freude': 0.1, 'amp': 0.02, 'viel': 0, 'Dankbarkeit': 0.16, 'CHvote': 0.05}",negative,"[0.066919506, 0.88174224, 0.05133835]",,,,,,,,,,,,,,,,positive
75.0,75.0,71.0,0.35,neutral,"""Eine Steuersenkung, die proportional wirkt – je mehr Sie verdienen, desto stärker werden Sie unterstützt – kann man mir nicht unter dem Titel Familienpolitik verkaufen."" 

@ChristianLevrat bringt es in der @AargauerZeitung auf den Punkt. #Abst20

https://t.co/I0Cb8IcjG8",steuersenkung proportional wirken je mehr verdienen desto stark unterstützen titel familienpolitik verkaufen bringen punkt abst20,,,,,,,"{'Eine': 0, 'Steuersenkung': 0.62, 'die': 0.04, 'proportional': 0, 'wirkt': 0.85, '–': 0, 'je': 0, 'mehr': 0, 'Sie': 0, 'verdienen': 0, 'desto': 0, 'stärker': 0, 'werden': 0, 'unterstützt': 0, 'kann': 0, 'man': 0, 'mir': 0, 'nicht': 0, 'unter': 0, 'dem': 0, 'Titel': 0, 'Familienpolitik': 0, 'verkaufen': 0, 'bringt': 0, 'es': 0, 'in': 0, 'der': 0, 'auf': 0, 'den': 0, 'Punkt': 0, 'Abst20': 0}",positive,"[0.033090714, 0.009980078, 0.9569292]",,,,,,,,,,,,,,,,positive
0.0,0.0,0.0,-1.0,negative,"Elternzeit? Nicht finanzierbar!

Umweltschutz? Wer soll denn das bezahlen?

1:12? Mindestlohn? KoVI? Ihr habt noch nie einen Bleistift verkauft!

Neue Kampfjets? Lass mal 24 Milliarden raushauen.

Das Parlament braucht Hilfe bei der Prioritätensetzung --&gt;

https://t.co/FVaXiOSAvR",elternzeit finanzierbar umweltschutz wer bezahlen mindestlohn kovi nie bleistift verkaufen neue kampfjets lass mal milliarden raushauen parlament brauchen hilfe prioritätensetzung gt,,,,,,,,,,"{'Elternzeit': 0.045, 'Nicht': 0.07, 'finanzierbar': 0.07, 'Umweltschutz': 0.1, 'Wer': 0.54, 'soll': 0, 'denn': 0, 'das': 0.09, 'bezahlen': 0.08, '1:12': 0, 'Mindestlohn': 0.895, 'KoVI': 0.12, 'Ihr': 0, 'habt': 0.05, 'noch': 0, 'nie': 0, 'einen': 0.02, 'Bleistift': 0.06, 'verkauft': 0.03, 'Neue': 0.03, 'Kampfjets': 0.025, 'Lass': 0, 'mal': 0, '24': 0, 'Milliarden': 0, 'raushauen': 0, 'Das': 0, 'Parlament': 0.1, 'braucht': 0.08, 'Hilfe': 0.05, 'bei': 0, 'der': 0, 'Prioritätensetzung': 0.04, '--&gt': 0}",neutral,"[0.91150355, 0.05874591, 0.029750578]",,,,"{'Elternzeit': 0.6, 'Nicht': 1.0, 'finanzierbar': 0.97, 'Umweltschutz': 0.3, 'Wer': 0.08, 'soll': 0, 'denn': 0, 'das': 0.06, 'bezahlen': 0.03, '1:12': 0, 'Mindestlohn': 0.03, 'KoVI': 0.03, 'Ihr': 0, 'habt': 0.02, 'noch': 0, 'nie': 0, 'einen': 0.02, 'Bleistift': 0.04, 'verkauft': 0.02, 'Neue': 0.02, 'Kampfjets': 0.015, 'Lass': 0, 'mal': 0, '24': 0, 'Milliarden': 0, 'raushauen': 0, 'Das': 0, 'Parlament': 0.04, 'braucht': 0.05, 'Hilfe': 0.04, 'bei': 0, 'der': 0, 'Prioritätensetzung': 0.035, '--&gt': 0}",negative,"[0.31578258, 0.43636903, 0.24784839]",,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"Das Bundesarchiv hat gerade angerufen, gewisse Dokumente aus den 70ern wollen ihre Argumente zurück. Als «Vorbereitung» auf die heutige #srfarena zu @stimmrecht_16: die Argumentationslinien der Gegner einer Stimmrechtsalterssenkung in den 70er-Jahren. 1/11",bundesarchiv gerade anrufen gewiß dokumente 70ern argumente zurück vorbereitung heutige srfarena argumentationslinien gegner stimmrechtsalterssenkung 70er jahren,,,,,,,,,,,,,"{'Das': 0.09, 'Bundesarchiv': 0, 'hat': 0, 'gerade': 0.01, 'angerufen': 0.04, 'gewisse': 0.03, 'Dokumente': 0.06, 'aus': 0, 'den': 0, '70ern': 0, 'wollen': 0.03, 'ihre': 0.03, 'Argumente': 0.11, 'zurück': 0.05, 'Als': 0, '«': 0, 'Vorbereitung': 0, '»': 0, 'auf': 0, 'die': 0, 'heutige': 0, 'srfarena': 0, 'zu': 0, 'Argumentationslinien': 0, 'der': 0, 'Gegner': 0, 'einer': 0, 'Stimmrechtsalterssenkung': 0, 'in': 0, '70er-Jahren': 0, '1': 0, '11': 0}",positive,"[0.21857311, 0.32443222, 0.45699462]",,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,negative,"Elternzeit? Nicht finanzierbar!

Umweltschutz? Wer soll denn das bezahlen?

1:12? Mindestlohn? KoVI? Ihr habt noch nie einen Bleistift verkauft!

Neue Kampfjets? Lass mal 24 Milliarden raushauen.

Das Parlament braucht Hilfe bei der Prioritätensetzung --&gt;

https://t.co/FVaXiOSAvR",elternzeit finanzierbar umweltschutz wer bezahlen mindestlohn kovi nie bleistift verkaufen neue kampfjets lass mal milliarden raushauen parlament brauchen hilfe prioritätensetzung gt,,,,,,,,,,"{'Elternzeit': 0.045, 'Nicht': 0.07, 'finanzierbar': 0.07, 'Umweltschutz': 0.1, 'Wer': 0.54, 'soll': 0, 'denn': 0, 'das': 0.09, 'bezahlen': 0.08, '1:12': 0, 'Mindestlohn': 0.895, 'KoVI': 0.12, 'Ihr': 0, 'habt': 0.05, 'noch': 0, 'nie': 0, 'einen': 0.02, 'Bleistift': 0.06, 'verkauft': 0.03, 'Neue': 0.03, 'Kampfjets': 0.025, 'Lass': 0, 'mal': 0, '24': 0, 'Milliarden': 0, 'raushauen': 0, 'Das': 0, 'Parlament': 0.1, 'braucht': 0.08, 'Hilfe': 0.05, 'bei': 0, 'der': 0, 'Prioritätensetzung': 0.04, '--&gt': 0}",neutral,"[0.91150355, 0.05874591, 0.029750578]",,,,"{'Elternzeit': 0.6, 'Nicht': 1.0, 'finanzierbar': 0.97, 'Umweltschutz': 0.3, 'Wer': 0.08, 'soll': 0, 'denn': 0, 'das': 0.06, 'bezahlen': 0.03, '1:12': 0, 'Mindestlohn': 0.03, 'KoVI': 0.03, 'Ihr': 0, 'habt': 0.02, 'noch': 0, 'nie': 0, 'einen': 0.02, 'Bleistift': 0.04, 'verkauft': 0.02, 'Neue': 0.02, 'Kampfjets': 0.015, 'Lass': 0, 'mal': 0, '24': 0, 'Milliarden': 0, 'raushauen': 0, 'Das': 0, 'Parlament': 0.04, 'braucht': 0.05, 'Hilfe': 0.04, 'bei': 0, 'der': 0, 'Prioritätensetzung': 0.035, '--&gt': 0}",negative,"[0.31578258, 0.43636903, 0.24784839]",,,,,,,negative
100.0,100.0,100.0,0.85,neutral,"@nohillside @rote_Fee @konzern_vi Wie kommen Sie denn darauf? Wir werden – so hoffe ich zuversichtlich – als Gemeinschaft beschliessen, dass Unternehmen, die bei uns ihren Sitz haben wollen, sich an Menschenrechte und Umweltstandards zu halten haben. Das hat nichts mit ""Richter für andere Länder spielen"" zu tun.",kommen darauf hoffen zuversichtlich gemeinschaft beschliessen unternehmen sitzen menschenrechte umweltstandards halten richter länder spielen tun,,,,,,,,,,,,,,,,,,,"{'Wie': 0.03, 'kommen': 0, 'Sie': 0, 'denn': 0, 'darauf': 0, 'Wir': 0.02, 'werden': 0.05, '–': 0, 'so': 0, 'hoffe': 0, 'ich': 0, 'zuversichtlich': 0, 'als': 0, 'Gemeinschaft': 0, 'beschliessen': 0, 'dass': 0, 'Unternehmen': 0, 'die': 0, 'bei': 0, 'uns': 0, 'ihren': 0, 'Sitz': 0, 'haben': 0, 'wollen': 0, 'sich': 0, 'an': 0, 'Menschenrechte': 0, 'und': 0, 'Umweltstandards': 0, 'zu': 0, 'halten': 0, 'Das': 0, 'hat': 0, 'nichts': 0, 'mit': 0, 'Richter': 0, 'für': 0, 'andere': 0, 'Länder': 0, 'spielen': 0, 'tun': 0}",neutral,"[0.56707, 0.02403036, 0.40889955]",,,,positive
