answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
0.0,0.0,0.0,-1.0,neutral,RT @StefanSchmid78: 2 Wochen Vaterschaftsurlaub: Eine Belastung für die Wirtschaft oder zwingend nötiger gesellschaftlicher Fortschritt? Im…,wochen vaterschaftsurlaub belastung wirtschaft zwingen nötig gesellschaftlich fortschritt,"{'2': 0, 'Wochen': 0.24, 'Vaterschaftsurlaub': 0.33999999999999997, 'Eine': 0, 'Belastung': 0, 'für': 0.41, 'die': 0.39, 'Wirtschaft': 0, 'oder': 0.7, 'zwingend': 0.38, 'nötiger': 0, 'gesellschaftlicher': 0.2, 'Fortschritt': 0.52, 'Im': 0, '…': 0}",neutral,"[0.532952, 0.4143909, 0.052657112]",,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,100.0,0.9,neutral,"RT @RegulaRytz: Der Bundesrat verspricht bei jeder Steuersenkung für Konzerne &amp; Vermögende ""höhere Steuereinnahmen aufgrund von dynamischen…",bundesrat versprechen jed steuersenkung konzerne amp vermögend hoch steuereinnahmen aufgrund dynamisch,,,,"{'Der': 0.14, 'Bundesrat': 0.15500000000000003, 'verspricht': 0.7, 'bei': 0, 'jeder': 0, 'Steuersenkung': 0.53, 'für': 0.33, 'Konzerne': 0.18, 'amp': 0.08, 'Vermögende': 0.15, 'höhere': 0.16, 'Steuereinnahmen': 0.06, 'aufgrund': 0, 'von': 0, 'dynamischen': 0.1, '…': 0}",positive,"[0.21731834, 0.011696721, 0.7709849]",,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"Der Ständerat hat der Abschaffung der Stempelsteuer (EA) zugestimmt. Kostenpunkt: -250 Mio pro Jahr.
Gleichzeitig diskutieren wir über die Abschaffung der Industriezölle (-500 Mio / Jahr) und der Verrechnungssteuer (-190 Mio / Jahr). Das ist #Steuersenkung mit #Salamitaktik.",ständerat abschaffung stempelsteuer ea zustimmen kostenpunkt mio pro jahr gleichzeitig diskutieren abschaffung industriezölle mio jahr verrechnungssteuer mio jahr steuersenkung salamitaktik,,,,"{'Der': 0.56, 'Ständerat': 0.14, 'hat': 0, 'der': 0.56, 'Abschaffung': 1.0, 'Stempelsteuer': 0, 'EA': 0, 'zugestimmt': 0, 'Kostenpunkt': 0.11499999999999999, '-250': 0, 'Mio': 0, 'pro': 0, 'Jahr': 0.07, 'Gleichzeitig': 0, 'diskutieren': 0, 'wir': 0, 'über': 0, 'die': 0.56, 'Industriezölle': 0, '-500': 0, 'und': 0.52, 'Verrechnungssteuer': 0.26, '-190': 0, 'Das': 0.56, 'ist': 0.14, 'Steuersenkung': 0.11, 'mit': 0.12, 'Salamitaktik': 0}",neutral,"[0.86380446, 0.11261732, 0.023578273]",,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"Heute um 13.10 Uhr auf SRF1 diskutiere ich mit Renato Tami, ⁦@VanessaMeury1⁩ und Markus Somm bei ⁦@retobrennwald⁩ über die Chancen der #ErneuerbareEnergie für eine sichere &amp; grüne Stromversorgung 

⁦@GrueneCH⁩ ⁦⁦@energiestiftung⁩ https://t.co/HXtyAEvDe7",heute uhr srf1 diskutieren renato tami markus somm chancen erneuerbareenergie sicher amp grüne stromversorgung,,,,,,,"{'Heute': 0.07, 'um': 0.11, '13.10': 0, 'Uhr': 0, 'auf': 0.05, 'SRF1': 0.19, 'diskutiere': 0, 'ich': 0.05, 'mit': 0.07, 'Renato': 0.11, 'Tami': 0.07, '\u2066\u2069': 0, 'und': 0, 'Markus': 0, 'Somm': 0, 'bei': 0, 'über': 0, 'die': 0, 'Chancen': 0, 'der': 0, 'ErneuerbareEnergie': 0, 'für': 0, 'eine': 0, 'sichere': 0, 'amp': 0, 'grüne': 0, 'Stromversorgung': 0, '\u2066\u2066\u2069': 0}",positive,"[0.046005443, 0.013221747, 0.94077283]",,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,"RT @BrunoVanoni1: Herzliche Gratulation an die @gruene_sg und weiterhin viel Elan und erneuerbare Energie im Kanton - und im Nationalrat, @…",herzlich gratulation weiterhin elan erneuerbare energie kanton nationalrat,,,,,,,"{'Herzliche': 0, 'Gratulation': 0.24, 'an': 0, 'die': 0.02, 'und': 0.05, 'weiterhin': 0, 'viel': 0.09, 'Elan': 0, 'erneuerbare': 1.0, 'Energie': 0.17, 'im': 0, 'Kanton': 0.02, 'Nationalrat': 0.025, '…': 0}",positive,"[0.00095296296, 0.0011553346, 0.9978917]",,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @GrueneCH: Unsere Pensionskassen sollen kein Geld in Firmen investieren, die Kriegsmaterial herstellen. Jetzt JA stimmen und teilen! 👇🏼…",pensionskassen sollen geld firmen investieren kriegsmaterial herstellen ja stimmen teilen,,,,,,,,,,"{'Unsere': 0.06, 'Pensionskassen': 0.19, 'sollen': 0.1, 'kein': 0, 'Geld': 0.23, 'in': 0.18, 'Firmen': 0.56, 'investieren': 0.28, 'die': 0, 'Kriegsmaterial': 0.985, 'herstellen': 0, 'Jetzt': 0.06, 'JA': 0.06, 'stimmen': 0, 'und': 0.06, 'teilen': 0, '…': 0}",neutral,"[0.77343965, 0.010885254, 0.21567507]",,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,negative,RT @GrueneCH: Heute berät das Parlament die Beschaffung neuer Kampfflugzeuge. Wir GRÜNE finden: Was für eine absurde Prioritätensetzung! 6…,heute beraten parlament beschaffung neu kampfflugzeuge grüne finden absurd prioritätensetzung,,,,,,,,,,,,,"{'Heute': 0.3, 'berät': 0, 'das': 0, 'Parlament': 0.09, 'die': 0.06, 'Beschaffung': 0.1, 'neuer': 0, 'Kampfflugzeuge': 0, 'Wir': 0.12, 'GRÜNE': 0, 'finden': 0, 'Was': 0, 'für': 0, 'eine': 0, 'absurde': 0.35, 'Prioritätensetzung': 0.18, '6': 0, '…': 0}",neutral,"[0.9338489, 0.033350457, 0.03280057]",,,,,,,,,,negative
100.0,100.0,100.0,1.0,neutral,"Mit gezielten Investitionen im Bereich Klimaschutz, Care-Gesellschaft und Digitalisierung gelingt ein #GreenRecovery nach der Krise. 

Wie das geht? Hier 14 Massnahmen im Detail: https://t.co/tbpLka71RD

@GrueneCH @bglaettli @RegulaRytz @smichaudgigon https://t.co/oFIzEYM7PM",gezielt investitionen bereich klimaschutz care gesellschaft digitalisierung gelingen greenrecovery krise gehen massnahmen detail,,,,,,,,,,,,,,,,"{'Mit': 0.08, 'gezielten': 0.06, 'Investitionen': 0.04, 'im': 0, 'Bereich': 0.04, 'Klimaschutz': 0.03, 'Care-Gesellschaft': 0.03, 'und': 0.06, 'Digitalisierung': 0, 'gelingt': 0, 'ein': 0, 'GreenRecovery': 0.12, 'nach': 0.04, 'der': 0.03, 'Krise': 0.04, 'Wie': 0, 'das': 0, 'geht': 0, 'Hier': 0.61, '14': 0, 'Massnahmen': 1.0, 'Detail': 0.74}",positive,"[0.28803724, 0.017411416, 0.69455135]",,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Der digitale Pass gehört nicht in die Hände von Konzernen!

#eidgesetz #eidgesetznein #datenschutz #Abst21 #servicepublic #digitalisierunggestalten

@GrueneCH  @e_id_referendum @digiges_ch https://t.co/SD2VM7bXJm",digitale pass hören hände konzernen eidgesetz eidgesetznein datenschutz abst21 servicepublic digitalisierunggestalten,,,,,,,,,,,,,,,,"{'Der': 0.04, 'digitale': 1.0, 'Pass': 0, 'gehört': 0, 'nicht': 0.74, 'in': 0.14, 'die': 0.04, 'Hände': 0.11, 'von': 0, 'Konzernen': 0.19, 'eidgesetz': 0, 'eidgesetznein': 0, 'datenschutz': 0, 'Abst21': 0.06, 'servicepublic': 0.07, 'digitalisierunggestalten': 0}",negative,"[0.008422139, 0.978978, 0.0125998445]",,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Für einen bewussten und nachhaltigen Umgang mit der Digitalisierung braucht es Massnahmen, damit wir alle vom Fortschritt profitieren. Darum am 20. Oktober: #franziskarysernachbern

#WahlCH19 #Digitalisierung #HaltungZeigen @gruene_sg @GrueneCHdigital https://t.co/TEdMnInNud",bewussten nachhaltig umgang digitalisierung brauchen massnahmen all fortschritt profitieren darum oktober franziskarysernachbern wahlch19 digitalisierung haltungzeigen,,,,,,,,,,,,,,,,"{'Für': 0, 'einen': 0.08, 'bewussten': 0.08, 'und': 0.05, 'nachhaltigen': 0.32, 'Umgang': 0, 'mit': 0, 'der': 0, 'Digitalisierung': 0, 'braucht': 0, 'es': 0, 'Massnahmen': 0.11, 'damit': 0.08, 'wir': 0, 'alle': 0, 'vom': 0.07, 'Fortschritt': 0.17, 'profitieren': 0.08, 'Darum': 0, 'am': 0, '20.': 0, 'Oktober': 0.78, 'franziskarysernachbern': 0.36, 'WahlCH19': 0, 'HaltungZeigen': 0}",positive,"[0.02087294, 0.003306227, 0.9758209]",,,,,,,neutral
