answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,Entlich ein Schritt in die richtige Richtung: das Rentenalter muss an die Lebenserwartung angepasst werden. ⁦@NEIN_zum_STAF⁩  https://t.co/JR7fq1wYcc,entlich schritt richtige richtung rentenalter lebenserwartung angepasst,"{'Entlich': 0, 'ein': 0, 'Schritt': 0.19, 'in': 0.05, 'die': 0.49, 'richtige': 0.12, 'Richtung': 0.18, 'das': 0, 'Rentenalter': 0.475, 'muss': 0.24, 'an': 0, 'Lebenserwartung': 0.195, 'angepasst': 0, 'werden': 0, '\u2066\u2069': 0}",negative,"[0.2941567, 0.4498755, 0.25596777]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"@Konfuzius_Plato @muusaebaer @CR_Schmid Ich teile ihre Ansicht nicht, das heutige Finanzierungsmodell basiert auf ca 15-20 Jahre Rentenauszahlung, passt man das Rentenalter an die Lebenserwartung an, gibt es keine Finanzierungslücke.",teile ansicht heutige finanzierungsmodell basieren ca jahre rentenauszahlung passt rentenalter lebenserwartung geben finanzierungslücke,"{'Ich': 0.03, 'teile': 0.05, 'ihre': 0, 'Ansicht': 0, 'nicht': 0.03, 'das': 0, 'heutige': 0, 'Finanzierungsmodell': 0.12, 'basiert': 0.06, 'auf': 0.03, 'ca': 0, '15': 0, '20': 0, 'Jahre': 0.06, 'Rentenauszahlung': 0.16, 'passt': 0, 'man': 0, 'Rentenalter': 0.59, 'an': 0, 'die': 0.33, 'Lebenserwartung': 0.13, 'gibt': 0, 'es': 0.07, 'keine': 0, 'Finanzierungslücke': 0.13}",neutral,"[0.91509366, 0.026930772, 0.057975464]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"@muusaebaer @CR_Schmid Ja jene Generation zahlt für eine andere, das möchte ich auch behalten. Das Problem ist dass das Finanzierungsmodell nicht an der Lebenserwartung angepasst ist. Somit müssen zwingend das Rentenalter hinaufgeschraubt werden !",ja jen generation zahlen mögen behalten problem finanzierungsmodell lebenserwartung angepasst somit müssen zwingen rentenalter hinaufgeschraubt,"{'Ja': 0, 'jene': 0, 'Generation': 0.07, 'zahlt': 0.06, 'für': 0.03, 'eine': 0, 'andere': 0, 'das': 0.24, 'möchte': 0, 'ich': 0.02, 'auch': 0, 'behalten': 0.045, 'Das': 0.19, 'Problem': 0.09, 'ist': 0.05, 'dass': 0.24, 'Finanzierungsmodell': 0.085, 'nicht': 0.12, 'an': 0, 'der': 0.19, 'Lebenserwartung': 0.11499999999999999, 'angepasst': 0, 'Somit': 0, 'müssen': 0.06, 'zwingend': 0.34, 'Rentenalter': 0.6799999999999999, 'hinaufgeschraubt': 0, 'werden': 0}",negative,"[0.01491976, 0.9738955, 0.011184716]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,@ChristianLevrat @Pietro_Imhof @spschweiz Ich bin als Junge sehr gespannt was es für Lösungen geben wird... Das Rentenalter muss an der Lebenserwartung gekoppelt sein. Es ist zu einfach nur die Jungen an die Kasse zu beten: sie werden ja schon die Kosten für die Klimaerwärmung tragen müssen.,junge spannen lösungen geben rentenalter lebenserwartung koppeln einfach jung kasse beten ja schon kosten klimaerwärmung tragen müssen,"{'Ich': 0.05, 'bin': 0, 'als': 0.11, 'Junge': 0, 'sehr': 0.04, 'gespannt': 0, 'was': 0, 'es': 0.07, 'für': 0, 'Lösungen': 0.08, 'geben': 0, 'wird': 0.06, '...': 0, 'Das': 0.04, 'Rentenalter': 0.94, 'muss': 0.04, 'an': 0, 'der': 0.04, 'Lebenserwartung': 0.11, 'gekoppelt': 0, 'sein': 0, 'Es': 0.07, 'ist': 0.07, 'zu': 0.04, 'einfach': 0, 'nur': 0, 'die': 0.04, 'Jungen': 0, 'Kasse': 0, 'beten': 0.25, 'sie': 0, 'werden': 0.06, 'ja': 0, 'schon': 0, 'Kosten': 0.04, 'Klimaerwärmung': 0.060000000000000005, 'tragen': 0, 'müssen': 0.05}",neutral,"[0.5200443, 0.30052078, 0.17943485]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,RT @JupiterKallisto: Eine Kopplung des Rentenalters an die erhöhte Lebenswerwartung muss kommen - aber dann muss auch die Integration der A…,kopplung rentenalters erhöhen lebenswerwartung kommen integration a,"{'Eine': 0, 'Kopplung': 0.14, 'des': 0, 'Rentenalters': 0.115, 'an': 0, 'die': 0.26, 'erhöhte': 0.07, 'Lebenswerwartung': 0.1, 'muss': 0.09, 'kommen': 0.07, 'aber': 0.24, 'dann': 0.22, 'auch': 0, 'Integration': 0.49, 'der': 0.26, 'A': 0.5, '…': 0}",positive,"[0.12834597, 0.022000238, 0.8496538]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @KaelinIrene: Ein kleiner Schritt, aber immerhin in die richtige Richtung! Wir wollen mehr! 4 Wochen #Vaterschaftsurlaub sind das absolu…",klein schritt immerhin richtige richtung mehr wochen vaterschaftsurlaub absolu,,,,"{'Ein': 0.04, 'kleiner': 0, 'Schritt': 0.13, 'aber': 0.06, 'immerhin': 0, 'in': 0.03, 'die': 0.12, 'richtige': 0.03, 'Richtung': 0.06, 'Wir': 0.04, 'wollen': 0.06, 'mehr': 0.05, '4': 0, 'Wochen': 0.32, 'Vaterschaftsurlaub': 0.58, 'sind': 0.21, 'das': 0, 'absolu': 0.27, '…': 0}",negative,"[0.017224219, 0.9329825, 0.049793288]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,positive,"@kanton_bern @Christian_Ruiz_ @casimirvonarx @eviallemann Klingt super ! Mit dem reduziertem Aufwand steht ja eine Steuersenkung nichts mehr im Wege, oder ? 🙊",klingen super reduziert aufwinden stehen ja steuersenkung mehr wege,,,,,,,"{'Klingt': 0.19, 'super': 0, 'Mit': 0.07, 'dem': 0.06, 'reduziertem': 0.06, 'Aufwand': 0, 'steht': 0.08, 'ja': 0, 'eine': 0, 'Steuersenkung': 0.2, 'nichts': 0.24, 'mehr': 0, 'im': 0, 'Wege': 0, 'oder': 0}",neutral,"[0.84692025, 0.034139432, 0.118940234]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,@TomCBerger Ich dachte das Minimum war beim Steuersenkungspostulat von @MoeLindgren erreicht worden? Kann man es in diesem Fall noch toppen ?!,denken minimum beim steuersenkungspostulat erreichen fall toppen,,,,,,,"{'Ich': 0.21, 'dachte': 0.33, 'das': 0, 'Minimum': 0.31, 'war': 0, 'beim': 0.28, 'Steuersenkungspostulat': 0.495, 'von': 0, 'erreicht': 0, 'worden': 0, 'Kann': 0.55, 'man': 0, 'es': 0, 'in': 0.12, 'diesem': 0.15, 'Fall': 0, 'noch': 0, 'toppen': 0.34}",neutral,"[0.86881864, 0.0143045075, 0.11687687]",,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,14.0,-0.7,neutral,RT @Juerg_Grossen: Für die Förderung erneuerbarer Energien und der Energieeffizienz müssen unnötige gesetzliche Hürden abgebaut werden. Mei…,förderung erneuerbarer energien energieeffizienz müssen unnötig gesetzliche hürden abbauen mei,,,,,,,,,,"{'Für': 0, 'die': 0, 'Förderung': 0, 'erneuerbarer': 1.0, 'Energien': 0.38, 'und': 0.22, 'der': 0, 'Energieeffizienz': 0.29000000000000004, 'müssen': 0.44, 'unnötige': 0.28, 'gesetzliche': 0, 'Hürden': 0, 'abgebaut': 0, 'werden': 0, 'Mei': 0, '…': 0}",positive,"[0.0048109954, 0.0043069483, 0.99088204]",,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,negative,RT @zac1967: Es braucht im Zusammenhang mit E-Voting nicht einmal tatsächlich zu Manipulationen zu kommen. Gerüchte und Verweise auf die kl…,brauchen zusammenhang e voting tatsächlich manipulationen kommen gerüchte verweise kl,,,,,,,,,,,,,"{'Es': 0, 'braucht': 0, 'im': 0, 'Zusammenhang': 0, 'mit': 0.07, 'E-Voting': 0, 'nicht': 0.06, 'einmal': 0, 'tatsächlich': 0, 'zu': 0.27, 'Manipulationen': 0, 'kommen': 0, 'Gerüchte': 0.6, 'und': 0.21, 'Verweise': 0.61, 'auf': 0, 'die': 0.38, 'kl': 0, '…': 0}",positive,"[0.31501824, 0.078567624, 0.60641414]",,,,,,,,,,,,,,,,neutral
