answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"Die Wasserkraft zählt bei der Energiestiftung anscheinend nicht zur sauberen Energie. Erneuerbare Schweiz 64 %, Deutschland 40 %. https://t.co/btMXCjk290",wasserkraft zählen energiestiftung anscheinen sauber energie erneuerbare schweiz deutschland,"{'Die': 0.07, 'Wasserkraft': 0.31, 'zählt': 0, 'bei': 0, 'der': 0.07, 'Energiestiftung': 0.145, 'anscheinend': 0.71, 'nicht': 1.0, 'zur': 0.07, 'sauberen': 0.35, 'Energie': 0.05, 'Erneuerbare': 0.38, 'Schweiz': 0.1, '64': 0, 'Deutschland': 0.1, '40': 0}",negative,"[0.366366, 0.41084245, 0.22279158]",,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"Klares Bekenntnis der Gemeinde #Goms zur Sicherheit:
83% JA zum Jagdgesetz
66% JA zu neuen Kampfflugzeugen👏👏👏👍",klar bekenntnis gemeinden goms sicherheit ja jagdgesetz ja neu kampfflugzeugen,,,,"{'Klares': 0.04, 'Bekenntnis': 0, 'der': 0.1, 'Gemeinde': 0.28, 'Goms': 0.14, 'zur': 0.25, 'Sicherheit': 0.28, '83': 0, 'JA': 0, 'zum': 0.25, 'Jagdgesetz': 0.255, '66': 0, 'zu': 0.4, 'neuen': 0.43, 'Kampfflugzeugen': 0}",positive,"[0.010014371, 0.003566507, 0.98641914]",,,,,,,positive
0.0,0.0,14.0,-0.7,neutral,"@danica_dzl Die Mitte hat bisher Lösungen gesucht, keine Verbote. Die Bürokratie wird die Steuern auffressen und der Umweltschutz hat das Nachsehen. Wohin gehen übrigens all die Verbrennungsmotoren? Wie bisher in den Export? Greenwashing Swiss Made 🤮",mitte bisher lösungen suchen verbote bürokratie steuern auffressen umweltschutz nachsehen wohin gehen übrigens all verbrennungsmotoren bisher export greenwashing swiss made,,,,,,,"{'Die': 0.15, 'Mitte': 0.04, 'hat': 0, 'bisher': 0, 'Lösungen': 0.04, 'gesucht': 0, 'keine': 0, 'Verbote': 0, 'Bürokratie': 0.04, 'wird': 0.11, 'die': 0.15, 'Steuern': 0, 'auffressen': 0, 'und': 0.05, 'der': 0.15, 'Umweltschutz': 0, 'das': 0, 'Nachsehen': 0, 'Wohin': 1.0, 'gehen': 0, 'übrigens': 0.10500000000000001, 'all': 0.06, 'Verbrennungsmotoren': 0.0575, 'Wie': 0.31, 'in': 0.19, 'den': 0.15, 'Export': 0.25, 'Greenwashing': 0.93, 'Swiss': 0.36, 'Made': 0.48, '🤮': 0}",neutral,"[0.5702966, 0.35084754, 0.07885586]",,,,negative
50.0,75.0,57.0,0.0,positive,"Super toller Beitrag, Gratuliere👏👏Weder Bildungsminister noch Bauernverbände bemühen sich, unsere Landwirtschaft den Schülern und der Bevölkerung näher zu bringen. Genau dieses mangelnde Verständnis führt zum Stadt - Land - Graben. Leider😧 https://t.co/cPgtjN3zvm",super toll beitrag gratuliereweder bildungsminister bauernverbände bemühen landwirtschaft schülern bevölkerung nähern bringen genau mangelnd verständnis führen stadt land graben leider,,,,,,,,,,"{'Super': 0.08, 'toller': 0.1, 'Beitrag': 0.05, 'GratuliereWeder': 0.135, 'Bildungsminister': 0.045, 'noch': 0, 'Bauernverbände': 0.04, 'bemühen': 0, 'sich': 0, 'unsere': 0.06, 'Landwirtschaft': 0.08, 'den': 0.08, 'Schülern': 0.04, 'und': 0.03, 'der': 0.08, 'Bevölkerung': 0.04, 'näher': 0.06, 'zu': 0.05, 'bringen': 0.06, 'Genau': 0, 'dieses': 0.12, 'mangelnde': 0.325, 'Verständnis': 0.1, 'führt': 0.09, 'zum': 0.065, 'Stadt': 0, 'Land': 0, 'Graben': 0, 'Leider': 1.0}",positive,"[0.026559731, 0.33677617, 0.6366641]",neutral
100.0,100.0,100.0,0.9,neutral,"@Juerg_Grossen @FDP_Liberalen @Mitte_Centre @Trinkwasser_ch Nur weiter mit #Agrarreform Am besten die Landwirtschaft direkt abschaffen und weitere #Freihandelsabkommen. Das Ausland produziert ja viel Umweltfreundlicher, hält #Menschenrechte &amp; #Tierschutz ein, lässt keine #Korruption zu und die Transportwege sind sowas von grün🤢🤢🤢",weit agrarreform gut landwirtschaft direkt abschaffen weit freihandelsabkommen ausland produzieren ja umweltfreundlich halten menschenrechte amp tierschutz lässt korruption transportwege sowas grün,,,,,,,,,,"{'Nur': 0, 'weiter': 0.09, 'mit': 0.04, 'Agrarreform': 0, 'Am': 0, 'besten': 0.1, 'die': 0.02, 'Landwirtschaft': 0.49, 'direkt': 0, 'abschaffen': 1.0, 'und': 0.01, 'weitere': 0.09, 'Freihandelsabkommen': 0, 'Das': 0.02, 'Ausland': 0, 'produziert': 0, 'ja': 0.01, 'viel': 0, 'Umweltfreundlicher': 0.02, 'hält': 0.02, 'Menschenrechte': 0.02, 'amp': 0.02, 'Tierschutz': 0.02, 'ein': 0, 'lässt': 0, 'keine': 0, 'Korruption': 0.03, 'zu': 0.17, 'Transportwege': 0.02, 'sind': 0.01, 'sowas': 0, 'von': 0, 'grün': 0, '🤢': 0}",positive,"[0.3924478, 0.07617915, 0.5313731]",positive
100.0,100.0,100.0,1.0,neutral,@frau_johann z.b. die Angestellten im Bauhaupt- und Nebengewerbe oder der Landwirtschaft. Letztere müssen nicht einmal auf Ferien verzichten....gab es auch vor #COVID19 keine und sind trotzdem glücklich😋,z b angestellt bauhaupt nebengewerbe landwirtschaft letzter müssen ferien verzichten geben covid19 trotzdem glücklich,,,,,,,,,,"{'z.b.': 0, 'die': 0.03, 'Angestellten': 0.21, 'im': 0, 'Bauhaupt-': 0, 'und': 0.01, 'Nebengewerbe': 0.15, 'oder': 0.49, 'der': 0.03, 'Landwirtschaft': 1.0, 'Letztere': 0.06, 'müssen': 0.02, 'nicht': 0, 'einmal': 0, 'auf': 0, 'Ferien': 0.03, 'verzichten': 0, '....': 0, 'gab': 0, 'es': 0, 'auch': 0, 'vor': 0.02, 'COVID19': 0.06, 'keine': 0, 'sind': 0.03, 'trotzdem': 0, 'glücklich': 0.19}",neutral,"[0.835973, 0.014178657, 0.14984833]",positive
50.0,75.0,57.0,0.0,neutral,@energiegezwits1 @MullerAltermatt Gewerbe und Landwirtschaft? Längere Heizperiode über 1000 m.ü.Meer? ÖV-Angebot?,gewerbe landwirtschaft lang heizperiode m ü meer öv angebot,,,,,,,,,,"{'Gewerbe': 0, 'und': 0.25, 'Landwirtschaft': 0.19, 'Längere': 0.21, 'Heizperiode': 0.07, 'über': 0.09, '1000': 0, 'm.ü': 0, 'Meer': 0, 'ÖV-Angebot': 0.3975}",neutral,"[0.9816202, 0.01339797, 0.004981875]",neutral
50.0,75.0,57.0,0.0,neutral,Die Links-Grünen Totengräber der Landwirtschaft und unserer Lebensgrundlage fordern Respekt???? 😤😤90 % der Nutztierhalter leben mit und für die Natur und ihre Tiere. 10% sehen es als gutbezalten Job dank staatlichen Subventionen. In der Regel links-grüne Aussteiger..... https://t.co/WDWmIKq3gN,links grün totengräber landwirtschaft lebensgrundlage fordern respekt nutztierhalter leben natur tiere sehen gutbezalten job danken staatlich subventionen regel links grüne aussteiger,,,,,,,,,,"{'Die': 0.12, 'Links-Grünen': 0.12, 'Totengräber': 0, 'der': 0.12, 'Landwirtschaft': 0.12, 'und': 0.04, 'unserer': 0.06, 'Lebensgrundlage': 0.04, 'fordern': 0.16, 'Respekt': 0.08, '90': 0, 'Nutztierhalter': 0.05, 'leben': 0, 'mit': 0.02, 'für': 0.03, 'die': 0.12, 'Natur': 0.04, 'ihre': 0, 'Tiere': 0.04, '10': 0, 'sehen': 0.07, 'es': 0, 'als': 0.03, 'gutbezalten': 0, 'Job': 0.05, 'dank': 0.07, 'staatlichen': 0, 'Subventionen': 0.07, 'In': 0, 'Regel': 0, 'links-grüne': 0, 'Aussteiger': 0.43, '.....': 0}",neutral,"[0.5115717, 0.041570496, 0.44685778]",neutral
50.0,75.0,57.0,0.0,neutral,Auszug der Antwort (2012) des Europarat an das BAFU aufgrund der Annahme Motion Fournier zum Austritt aus der Berner Konvention: Wolf auf Kosten der Landwirtschaft in den Bergregionen! https://t.co/GAOVgUrGuq,auszug antwort europarat bafu aufgrund annahme motion fournier austreten berner konvention wolf kosten landwirtschaft bergregionen,,,,,,,,,,"{'Auszug': 0, 'der': 0.08, 'Antwort': 0, '2012': 0, 'des': 0.11, 'Europarat': 0.17, 'an': 0, 'das': 0, 'BAFU': 0, 'aufgrund': 0.52, 'Annahme': 0, 'Motion': 0.11, 'Fournier': 0.09, 'zum': 0.08, 'Austritt': 0, 'aus': 0, 'Berner': 0, 'Konvention': 0.11, 'Wolf': 0.39, 'auf': 0.04, 'Kosten': 0, 'Landwirtschaft': 0.78, 'in': 0.21, 'den': 0.08, 'Bergregionen': 0.175}",positive,"[0.22541973, 0.054613944, 0.7199663]",neutral
50.0,25.0,57.0,-0.075,negative,Keine Ahnung von Landwirtschaft und Herdenschutz und ein solch schwachsinniges Plakt twittern?? Jeder Nutztierhalter verliert Tiere aufgrund von Krankheit etc. egal ob Berg oder Tal! Selbstverständlich sind sie eingeladen einen Zaun zu erstellen welcher vor Wölfen schützen soll. https://t.co/8HgnFd2i6I,ahnung landwirtschaft herdenschutz solch schwachsinnig plakt twittern jed nutztierhalter verlieren tiere aufgrund krankheit etc egal berg tal selbstverständlich einladen zaun erstellen welch wölfen schützen,,,,,,,,,,"{'Keine': 0, 'Ahnung': 0.31, 'von': 0, 'Landwirtschaft': 1.0, 'und': 0.64, 'Herdenschutz': 0, 'ein': 0, 'solch': 0.36, 'schwachsinniges': 0, 'Plakt': 0, 'twittern': 0.38, 'Jeder': 0, 'Nutztierhalter': 0.04, 'verliert': 0.06, 'Tiere': 0.03, 'aufgrund': 0.01, 'Krankheit': 0.02, 'etc.': 0, 'egal': 0.2, 'ob': 0, 'Berg': 0, 'oder': 0.03, 'Tal': 0, 'Selbstverständlich': 0.02, 'sind': 0.02, 'sie': 0, 'eingeladen': 0.03, 'einen': 0.03, 'Zaun': 0, 'zu': 0.02, 'erstellen': 0.04, 'welcher': 0.04, 'vor': 0, 'Wölfen': 0.03, 'schützen': 0.86, 'soll': 0}",positive,"[0.44229877, 0.049433816, 0.50826746]",neutral
