answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
100.0,100.0,86.0,0.7,neutral,"RT @beatflach: Statt dem ursprünglichen Ziel: Arbeit soll sich lohnen und Familien steuerlich bei den Kinderbetreuungskosten zu entlasten,…",statt ursprünglich ziel arbeit lohnen familien steuerlich kinderbetreuungskosten entlasten,"{'Statt': 0.055, 'dem': 0.1, 'ursprünglichen': 0.11, 'Ziel': 0, 'Arbeit': 0.15, 'soll': 0, 'sich': 0, 'lohnen': 0, 'und': 0.11, 'Familien': 0, 'steuerlich': 0.36, 'bei': 0, 'den': 0.1, 'Kinderbetreuungskosten': 1.0, 'zu': 0, 'entlasten': 0, '…': 0}",negative,"[0.39961836, 0.42133018, 0.17905143]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,"RT @yvonne_hiller: https://t.co/AR4hDeC0V5 erfolgreiche #Petition zum Thema #Kinderbetreuung in #Wettingen - nun erwarten wir, dass die Gem…",erfolgreich petition thema kinderbetreuung wettingen erwarten gem,"{'erfolgreiche': 0.1, 'Petition': 0.3, 'zum': 0.1, 'Thema': 0, 'Kinderbetreuung': 1.0, 'in': 0.29, 'Wettingen': 0.29, 'nun': 0, 'erwarten': 0.11, 'wir': 0, 'dass': 0, 'die': 0.1, 'Gem': 0.19, '…': 0}",positive,"[0.028769493, 0.009436055, 0.9617945]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"RT @beatflach: Gemeinsam mit den @jglpCH habe ich den Vorstoss ""#Cannabis legalisieren und Steuersubstrat zugunsten der AHV/IV generieren""…",gemeinsam vorstoss cannabis legalisieren steuersubstrat zugunsten ahv iv generieren,,,,"{'Gemeinsam': 0.06, 'mit': 0.03, 'den': 0.07, 'habe': 0, 'ich': 0.06, 'Vorstoss': 0, 'Cannabis': 1.0, 'legalisieren': 0.59, 'und': 0.39, 'Steuersubstrat': 0, 'zugunsten': 0.045, 'der': 0.07, 'AHV': 0.08, 'IV': 0.07, 'generieren': 0.27, '…': 0}",neutral,"[0.9720282, 0.010522331, 0.017449498]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,Mehr Geld für Rentner statt für junge Väter. Rentenalter 67? Zusatzleistungen? http://t.co/ADKLjR2KpI via @tagesanzeiger,mehr geld rentner statt junge väter rentenalter zusatzleistungen via,,,,,,,"{'Mehr': 0.13, 'Geld': 0.1, 'für': 0.09, 'Rentner': 0, 'statt': 0, 'junge': 0, 'Väter': 0.06, 'Rentenalter': 0.42500000000000004, '67': 0, 'Zusatzleistungen': 0.635, 'via': 0.46}",neutral,"[0.76282775, 0.020197656, 0.21697462]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,Stadt Zürich erhöht das Rentenalter auf 64 Jahre: http://t.co/Tl7iyqoD,stadt zürich erhöhen rentenalter jahre,,,,,,,"{'Stadt': 0.34, 'Zürich': 0, 'erhöht': 0, 'das': 0, 'Rentenalter': 0.43999999999999995, 'auf': 0, '64': 0, 'Jahre': 0.2}",positive,"[0.18753657, 0.013338434, 0.799125]",,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,Die erste Unterschrift für die Volksinitiative für einen Vaterschaftsurlaub ist geschaft! @papizeit https://t.co/7jByyoavtY,erste unterschrift volksinitiative vaterschaftsurlaub geschaft,,,,,,,,,,"{'Die': 0.13, 'erste': 0.28, 'Unterschrift': 0.37, 'für': 0.19, 'die': 0.13, 'Volksinitiative': 0.22999999999999998, 'einen': 0, 'Vaterschaftsurlaub': 0.735, 'ist': 0.62, 'geschaft': 0}",positive,"[0.0046295607, 0.0013050899, 0.9940653]",,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,negative,"RT @nadia_koch: Es ist sehr schade, wie hier die Generationen gegen einander ausgespielt werden. Der Vaterschaftsurlaub muss sein. https://…",schaden generationen einander ausspielen vaterschaftsurlaub,,,,,,,,,,"{'Es': 0, 'ist': 0, 'sehr': 0, 'schade': 0, 'wie': 0.08, 'hier': 0.08, 'die': 0.06, 'Generationen': 0.09, 'gegen': 0.12, 'einander': 0.04, 'ausgespielt': 0.1, 'werden': 0, 'Der': 0.06, 'Vaterschaftsurlaub': 0.925, 'muss': 0, 'sein': 0}",positive,"[0.11765687, 0.3270056, 0.55533755]",,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"Man stelle sich vor, bei jedem Wohnungswechsel beginnt alles von Vorne. #srfarena #Einbürgerung. https://t.co/n54HOLPPmN",stelle jed wohnungswechsel beginnen vorne srfarena einbürgerung,,,,,,,,,,,,,"{'Man': 0, 'stelle': 0, 'sich': 0, 'vor': 0, 'bei': 0, 'jedem': 0, 'Wohnungswechsel': 0, 'beginnt': 0, 'alles': 0.06, 'von': 0.05, 'Vorne': 0, 'srfarena': 0.62, 'Einbürgerung': 0.87}",positive,"[0.006946802, 0.0018897904, 0.9911634]",,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,Beeindruckende Leistung Deutschland! Der Anteil der erneuerbaren Stromproduktion im Jahr 2020 übersteigt 50%. Wer hätte das vor 10 Jahren für möglich gehalten? #Energiewende https://t.co/N2otxIdWHy,beeindruckend leistung deutschland anteil erneuerbaren stromproduktion jahr übersteigen wer jahren möglich halten energiewende,,,,,,,,,,,,,,,,"{'Beeindruckende': 1.0, 'Leistung': 0, 'Deutschland': 0.71, 'Der': 0.13, 'Anteil': 0, 'der': 0.13, 'erneuerbaren': 0.31, 'Stromproduktion': 0.115, 'im': 0, 'Jahr': 0, '2020': 0, 'übersteigt': 0, '50': 0, 'Wer': 0.08, 'hätte': 0, 'das': 0.06, 'vor': 0, '10': 0, 'Jahren': 0.07, 'für': 0, 'möglich': 0.05, 'gehalten': 0, 'Energiewende': 0.095}",positive,"[0.18835671, 0.08215957, 0.72948366]",,,,,,,,,,,,,,,,positive
75.0,75.0,71.0,0.35,neutral,"Baden wird Klimafreundlicher. 100% erneuerbarer Strom, höhere Vergütung von PV Strom, weniger Lichtemmissionen und Mindestanteil von 20% Biogas. Danke an @sp_bezirk_baden @BadenGrune &amp; @BadenTeam für die Zusammenarbeit. So kommen wir weiter. #Energiewende https://t.co/Pp8ZHbZm45",baden klimafreundlicher erneuerbarer strom hoch vergütung pv strom wenig lichtemmissionen mindestanteil biogas danke amp zusammenarbeit kommen weit energiewende,,,,,,,,,,,,,,,,"{'Baden': 0.04, 'wird': 0, 'Klimafreundlicher': 0, '100': 0, 'erneuerbarer': 0.39, 'Strom': 0, 'höhere': 0.07, 'Vergütung': 0, 'von': 0, 'PV': 0.03, 'weniger': 0, 'Lichtemmissionen': 0.015, 'und': 0.03, 'Mindestanteil': 0.02, '20': 0, 'Biogas': 0.04, 'Danke': 0, 'an': 0, 'amp': 0.02, 'für': 0.01, 'die': 0.02, 'Zusammenarbeit': 0.02, 'So': 0, 'kommen': 0, 'wir': 0, 'weiter': 0, 'Energiewende': 0.015}",positive,"[0.0019882487, 0.00142589, 0.99658585]",,,,,,,,,,,,,,,,positive
