answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
0.0,0.0,0.0,-1.0,neutral,"RT @beatflach: Die #FDP hat heut die Vorlage für einen #Vaterschaftsurlaub auch mit der Begründung abgelehnt, es brauche eine Elternzeit. A…",fdp heut vorlage vaterschaftsurlaub begründung ablehnen brauche elternzeit a,"{'Die': 0.05, 'FDP': 0.27, 'hat': 0, 'heut': 0.1, 'die': 0.05, 'Vorlage': 0, 'für': 0.32, 'einen': 0.06, 'Vaterschaftsurlaub': 0.09, 'auch': 0, 'mit': 0, 'der': 0.05, 'Begründung': 0, 'abgelehnt': 0, 'es': 0, 'brauche': 0, 'eine': 0, 'Elternzeit': 0.095, 'A': 0.06, '…': 0}",neutral,"[0.46110746, 0.45131367, 0.08757889]",,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,Innovativer Vorstoss aus der JGLP-Denkfabrik: Strom-Bojen im Rhein. Nur mit verschiedenen erneuerbaren Energiequellen kann die Energiewende nachhaltig gelingen! @jglp_sg @ThomasKuster12 @jglpCH https://t.co/bxZo82rPqX,innovativ vorstoss jglp denkfabrik strom bojen rhein verschieden erneuerbaren energiequellen energiewende nachhaltig gelingen,,,,"{'Innovativer': 0.15, 'Vorstoss': 0, 'aus': 0, 'der': 0.12, 'JGLP-Denkfabrik': 0.0325, 'Strom-Bojen': 0.04, 'im': 0, 'Rhein': 0, 'Nur': 0, 'mit': 0.4, 'verschiedenen': 0, 'erneuerbaren': 1.0, 'Energiequellen': 0.38, 'kann': 0.15, 'die': 0.12, 'Energiewende': 0.135, 'nachhaltig': 0, 'gelingen': 0.24}",neutral,"[0.56422853, 0.03231338, 0.40345803]",,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @ThomasKuster12: Ich persönlich habe mich entschieden, als #Zivi bei einer Umweltschutzorganisation Dienst zu leisten. Damit sich #Armee…",persönlich entscheiden zivi umweltschutzorganisation dienen leisten armee,,,,,,,"{'Ich': 0.05, 'persönlich': 0.08, 'habe': 0, 'mich': 0, 'entschieden': 0.07, 'als': 0.12, 'Zivi': 0, 'bei': 0, 'einer': 0, 'Umweltschutzorganisation': 0.835, 'Dienst': 0, 'zu': 0.04, 'leisten': 0, 'Damit': 0.04, 'sich': 0, 'Armee': 0.24, '…': 0}",neutral,"[0.8404191, 0.014531717, 0.1450491]",,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @andibisig: Die Diskussion über das Tierleid ist noch nicht beendet, sagte Andreas Bisig (GLP): ""Auch durch landwirtschaftliche Maschine…",diskussion tierleid beenden sagen andreas bisig glp landwirtschaftliche maschine,,,,,,,,,,"{'Die': 0.08, 'Diskussion': 0.37, 'über': 0.08, 'das': 0, 'Tierleid': 0, 'ist': 0.1, 'noch': 0, 'nicht': 0.05, 'beendet': 0, 'sagte': 0.21, 'Andreas': 0.12, 'Bisig': 0, 'GLP': 0.14, '):': 0, 'Auch': 1.0, 'durch': 1.0, 'landwirtschaftliche': 0.57, 'Maschine': 0, '…': 0}",neutral,"[0.96478003, 0.008288561, 0.026931359]",neutral
0.0,0.0,0.0,-0.9,negative,"RT @jglp_sg: Jährlich verenden in der Schweiz tausende Rehkitze qualvoll, indem sie durch landwirtschaftliche Maschinen tödlich verletzt we…",jährlich verenden schweiz tausende rehkitze qualvoll landwirtschaftliche maschinen tödlich verletzen we,,,,,,,,,,"{'Jährlich': 0, 'verenden': 0.11, 'in': 0.09, 'der': 0, 'Schweiz': 0.36, 'tausende': 0.13, 'Rehkitze': 0, 'qualvoll': 0, 'indem': 0.38, 'sie': 0, 'durch': 0, 'landwirtschaftliche': 1.0, 'Maschinen': 1.0, 'tödlich': 0, 'verletzt': 0.54, 'we': 0, '…': 0}",positive,"[0.14106406, 0.35316113, 0.50577486]",negative
0.0,0.0,0.0,-1.0,neutral,"@marcel_baur Das war bei unserem Landwirtschaftspodium seine Antwort auf die Frage, wer für die massive Gewässerverschmutzung verantwortlich sei, deshalb das LOL 😉",landwirtschaftspodium antwort fragen wer massiv gewässerverschmutzung verantwortlich deshalb lol,,,,,,,,,,"{'Das': 0.08, 'war': 0, 'bei': 0.13, 'unserem': 0.11, 'Landwirtschaftspodium': 0.94, 'seine': 0.33, 'Antwort': 0, 'auf': 0, 'die': 0.08, 'Frage': 0, 'wer': 1.0, 'für': 0.15, 'massive': 0.43, 'Gewässerverschmutzung': 0.14500000000000002, 'verantwortlich': 0.33, 'sei': 0, 'deshalb': 0.15, 'das': 0.18, 'LOL': 0.16}",negative,"[0.37939748, 0.60726917, 0.013333392]",negative
100.0,100.0,100.0,0.85,neutral,RT @andibisig: Eine intensive Landwirtschaft mit hohem Pestizideinsatz ist nicht mehr tragbar. Bei Messungen an 14 Bächen stellte der @kant…,intensive landwirtschaft hoch pestizideinsatz mehr tragbar messungen bächen stellen,,,,,,,,,,"{'Eine': 0, 'intensive': 1.0, 'Landwirtschaft': 1.0, 'mit': 0.31, 'hohem': 0.16, 'Pestizideinsatz': 0.12, 'ist': 0.48, 'nicht': 0, 'mehr': 0, 'tragbar': 0, 'Bei': 0, 'Messungen': 0.21, 'an': 0, '14': 0, 'Bächen': 0.1, 'stellte': 0, 'der': 0.06, '…': 0}",negative,"[0.03971618, 0.82132363, 0.13896021]",positive
50.0,75.0,57.0,0.0,neutral,"@w6tribut @grunliberale @StopPalmoel @GrueneCH @FDP_Liberalen Ökologische Landwirtschaft ginge auch bei uns anders...Das FhA kann für Indonesien auch eine Chance bieten, sich vom Palmöl losgelöst eine wirtschaftliche und ökologische Zukunft aufzubauen. Partnerschaften bieten Chancen.",ökologisch landwirtschaft gehen fha indonesien chance bieten palmöl loslösen wirtschaftlich ökologisch zukunft aufbauen partnerschaften bieten chancen,,,,,,,,,,"{'Ökologische': 0.07, 'Landwirtschaft': 0.93, 'ginge': 0.61, 'auch': 0.15, 'bei': 0, 'uns': 0.22, 'anders': 1.0, '...': 0, 'Das': 0.11, 'FhA': 0.09, 'kann': 0.21, 'für': 1.0, 'Indonesien': 0.11, 'eine': 0, 'Chance': 0, 'bieten': 0.13, 'sich': 0, 'vom': 0.08499999999999999, 'Palmöl': 0.05, 'losgelöst': 0, 'wirtschaftliche': 0.08, 'und': 0.06, 'ökologische': 0.07, 'Zukunft': 0.07, 'aufzubauen': 0.09, 'Partnerschaften': 0.21, 'Chancen': 0.19}",positive,"[0.23544799, 0.014999087, 0.7495529]",neutral
50.0,75.0,57.0,0.0,negative,"RT @andrin_monstein: Klares Fazit der UNO: Um die Biodiversität steht es schlecht, unsere Landwirtschaft ist zu einem grossen Teil mitveran…",klar fazit uno biodiversität stehen schlecht landwirtschaft grossen teil mitveran,,,,,,,,,,"{'Klares': 0.11, 'Fazit': 0.19, 'der': 0.08, 'UNO': 0, 'Um': 0, 'die': 0.08, 'Biodiversität': 1.0, 'steht': 0, 'es': 0.18, 'schlecht': 1.0, 'unsere': 0.26, 'Landwirtschaft': 0.77, 'ist': 0.18, 'zu': 0, 'einem': 0, 'grossen': 0, 'Teil': 0, 'mitveran': 0, '…': 0}",positive,"[0.15896542, 0.40423197, 0.43680266]",neutral
50.0,75.0,57.0,0.0,neutral,"RT @grunliberale: «Wir haben ökologische Ziele, aber wir geben trotzdem so viel Geld im Widerspruch dazu aus, gerade in der Landwirtschaft.…",ökologisch ziele geben trotzdem geld widerspruch gerade landwirtschaft,,,,,,,,,,"{'«': 0, 'Wir': 0, 'haben': 0, 'ökologische': 0, 'Ziele': 0, 'aber': 0, 'wir': 0, 'geben': 0, 'trotzdem': 0, 'so': 0, 'viel': 0, 'Geld': 0, 'im': 0, 'Widerspruch': 0, 'dazu': 0, 'aus': 0, 'gerade': 0, 'in': 0, 'der': 0, 'Landwirtschaft': 0, '…': 0}",positive,"[0.059105147, 0.0052646515, 0.9356302]",neutral
