answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,sentiment_tb
50.0,75.0,57.0,0.0,neutral,Am 5.Juni Stimme ich 2 mal Ja zum neuen Kinderbetreuungsgesetz! #abst16 https://t.co/4tGf21S5tw,juni stimme mal ja neu kinderbetreuungsgesetz abst16,"{'Am': 0, '5.Juni': 0, 'Stimme': 0, 'ich': 0.04, '2': 0, 'mal': 0, 'Ja': 0, 'zum': 0.17, 'neuen': 0.2, 'Kinderbetreuungsgesetz': 1.0, 'abst16': 0.17}",positive,"[0.4290728, 0.062781885, 0.50814533]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,neutral,RT @JUSOAargau: Mit einem offenen Brief gegen Stigmatisierung von Cannabis! Killias irrt mit seiner Studie!  https://t.co/HRSlwZO22n https:…,offen brief stigmatisierung cannabis killias irren studie https,,,,"{'Mit': 0.1, 'einem': 0, 'offenen': 0.08, 'Brief': 0, 'gegen': 0.19, 'Stigmatisierung': 0.17, 'von': 0, 'Cannabis': 0.29, 'Killias': 0.28, 'irrt': 0.18, 'mit': 0.1, 'seiner': 0.13, 'Studie': 0.3, 'https': 1.0, '…': 0}",positive,"[0.33614162, 0.034167863, 0.62969047]",,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,RT @dani_graf: Heute startet #Initiative für 4 Wochen #Vaterschaftsurlaub! Jetzt online unterschreiben https://t.co/aDvTUVuj1D https://t.co…,heute starten initiative wochen vaterschaftsurlaub online unterschreiben,,,,,,,"{'Heute': 0.11, 'startet': 0, 'Initiative': 0.18, 'für': 0.17, '4': 0, 'Wochen': 0.32, 'Vaterschaftsurlaub': 0.67, 'Jetzt': 0.12, 'online': 0.33, 'unterschreiben': 0.21}",neutral,"[0.6914676, 0.17439625, 0.13413617]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @JUSOAargau: Wir wollen etwas gegen die Willkür bei den Einbürgerungsverfahren tun und haben deshalb https://t.co/P9dwXE0nw4 gestartet.…,willkür einbürgerungsverfahren tun deshalb starten,,,,,,,,,,"{'Wir': 0.03, 'wollen': 0.22, 'etwas': 0.86, 'gegen': 1.0, 'die': 0.11, 'Willkür': 1.0, 'bei': 0, 'den': 0.11, 'Einbürgerungsverfahren': 0.32, 'tun': 0.295, 'und': 0.08, 'haben': 0.1, 'deshalb': 0, 'gestartet': 0.1, '…': 0}",neutral,"[0.8310048, 0.059022516, 0.10997261]",,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"RT @SP_Aargau: Da sagen wir doch: Gratulation zur Einbürgerung und ganz herzllich Willkommen bei @spschweiz, liebe Funda! https://t.co/75vx…",sagen gratulation einbürgerung ganz herzllich willkommen lieb funda,,,,,,,,,,"{'Da': 0, 'sagen': 0.175, 'wir': 0, 'doch': 0, 'Gratulation': 1.0, 'zur': 0.13, 'Einbürgerung': 1.0, 'und': 0.17, 'ganz': 0, 'herzllich': 0, 'Willkommen': 0.18, 'bei': 0, 'liebe': 0, 'Funda': 0}",positive,"[0.0018179512, 0.0011739255, 0.99700814]",,,,,,,,,,,,,,,,,,,positive
25.0,0.0,14.0,-0.575,neutral,"RT @viktorgiacobbo: Beunruhigend! Der Herrgott hat die Kantone, die die erleichterte Einbürgerung ablehnten, mit einem Erdbeben bestraft! T…",beunruhigen herrgott kantone erleichtern einbürgerung ablehnen erdbeben bestrafen t,,,,,,,,,,"{'Beunruhigend': 0, 'Der': 0.32, 'Herrgott': 0.085, 'hat': 0, 'die': 0.32, 'Kantone': 0.18, 'erleichterte': 0, 'Einbürgerung': 1.0, 'ablehnten': 0, 'mit': 0.13, 'einem': 0, 'Erdbeben': 0.21, 'bestraft': 0, 'T': 0.04, '…': 0}",negative,"[0.065213546, 0.86083525, 0.073951244]",,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,2015 und 2016 treten weitere Steuersenkungen in Kraft und wir stimmen am 8.4 über das Sparpaket ab. Bravo Aargau!  http://t.co/Qz4L2yk31D,treten weit steuersenkungen kraft stimmen sparpaket ab bravo aargau,,,,,,,,,,,,,"{'2015': 0, 'und': 0.36, '2016': 0, 'treten': 0, 'weitere': 1.0, 'Steuersenkungen': 0.715, 'in': 0.23, 'Kraft': 0, 'wir': 0, 'stimmen': 0, 'am': 0, '8.4': 0, 'über': 0, 'das': 0, 'Sparpaket': 0.09, 'ab': 0, 'Bravo': 0.46, 'Aargau': 0.15}",positive,"[0.2042643, 0.0074933167, 0.7882424]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,dank dem franzunterricht kann ich für #mindestlohn auf französisch argumentieren. #schulediesichlohnt,danken franzunterricht mindestlohn französisch argumentieren schulediesichlohnt,,,,,,,,,,,,,,,,"{'dank': 0.135, 'dem': 0.14500000000000002, 'franzunterricht': 0.27, 'kann': 0.29, 'ich': 0.13, 'für': 0.84, 'mindestlohn': 0.725, 'auf': 0, 'französisch': 0.32, 'argumentieren': 0.7, 'schulediesichlohnt': 0}",neutral,"[0.8125817, 0.027656239, 0.15976208]",,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"RT @GSoASchweiz: Schweizer Panzer in den Händen von Terroristen! Mit Kriegsmaterialexporten werden Terroristen unterstützt!
 https://t.co/M…",schweizer panzer händen terroristen kriegsmaterialexporten terroristen unterstützen,,,,,,,,,,,,,,,,,,,"{'Schweizer': 0.06, 'Panzer': 0, 'in': 0.05, 'den': 0.04, 'Händen': 0.05, 'von': 0, 'Terroristen': 0.27, 'Mit': 0.22, 'Kriegsmaterialexporten': 0.3625, 'werden': 0, 'unterstützt': 0}",positive,"[0.3839429, 0.040201668, 0.57585543]",,,,,,,,,,positive
100.0,100.0,86.0,0.7,negative,"RT @JoelLiamBuehler: Levrat: ""Ich glaube nicht, dass CDU-Rezepte aus den 50ern (soziale Marktwirtschaft) die Lösung für Probleme des 21. Ja…",levrat glauben cdu rezepte 50ern soziale marktwirtschaft lösung probleme ja,,,,,,,,,,,,,,,,,,,,,,"{'Levrat': 0.1, 'Ich': 0.03, 'glaube': 0, 'nicht': 0, 'dass': 0.07, 'CDU-Rezepte': 0.175, 'aus': 0, 'den': 0.06, '50ern': 0, 'soziale': 1.0, 'Marktwirtschaft': 0.845, 'die': 0.06, 'Lösung': 0.11, 'für': 0, 'Probleme': 0.09, 'des': 0.08, '21.': 0, 'Ja': 0, '…': 0}",positive,"[0.43739185, 0.035561617, 0.52704656]",,,,,,,positive
