answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
100.0,100.0,86.0,0.7,neutral,"@evppev_be Für die EVP war es immer schon richtig und wichtig, erst zum Zeitpunkt bedürfnisorientiert über allfällige Steuersenkungen zu entscheiden und nicht auf Vorrat, siehe mein Votum in der letzten Session @BernerZeitung https://t.co/REkPfqQW5S",evp immer schon richtig wichtig erst zeitpunkt bedürfnisorientiert allfällige steuersenkungen entscheiden vorrat siehe votum letzt session,"{'Für': 0.06, 'die': 0.05, 'EVP': 0, 'war': 0, 'es': 0, 'immer': 0.09, 'schon': 0, 'richtig': 0, 'und': 0.3, 'wichtig': 0.13, 'erst': 0, 'zum': 0.095, 'Zeitpunkt': 0.2, 'bedürfnisorientiert': 0, 'über': 0, 'allfällige': 1.0, 'Steuersenkungen': 0.72, 'zu': 0.14, 'entscheiden': 0, 'nicht': 0.39, 'auf': 0.58, 'Vorrat': 0, 'siehe': 0, 'mein': 0.06, 'Votum': 0.09, 'in': 0.05, 'der': 0.05, 'letzten': 0.08, 'Session': 0.14}",neutral,"[0.9653134, 0.011166733, 0.02351997]",,,,,,,,,,positive
100.0,100.0,100.0,0.85,neutral,"Nein zur Steuersenkung als Folge der fehlenden Kompromissbereitschaft im  Grossen Rat.  Ein finanzpolitischer  Scherbenhaufen. Anstelle gegenfinanzierte Senkungen mit Augenmass ein Frontalkurs, welcher niemanden weiterbringt. Weitsichtige Vorschläge der EVP waren nicht gefragt... https://t.co/0MSQmFeTZV",nein steuersenkung folgen fehlend kompromissbereitschaft grossen rat finanzpolitischer scherbenhaufen anstellen gegenfinanzierte senkungen augenmass frontalkurs welch niemand weiterbringen weitsichtig vorschläge evp fragen,"{'Nein': 1.0, 'zur': 0.045000000000000005, 'Steuersenkung': 0.73, 'als': 0.25, 'Folge': 0, 'der': 0.07, 'fehlenden': 0, 'Kompromissbereitschaft': 0.0775, 'im': 0, 'Grossen': 0, 'Rat': 0, 'Ein': 0.02, 'finanzpolitischer': 0, 'Scherbenhaufen': 0.01, 'Anstelle': 0.02, 'gegenfinanzierte': 0, 'Senkungen': 0, 'mit': 0.02, 'Augenmass': 0.01625, 'ein': 0, 'Frontalkurs': 0.03, 'welcher': 0, 'niemanden': 0, 'weiterbringt': 0.02, 'Weitsichtige': 0, 'Vorschläge': 0.07, 'EVP': 0, 'waren': 0, 'nicht': 0.02, 'gefragt': 0.02, '...': 0}",negative,"[0.18292294, 0.5325215, 0.28455546]",,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Plan A der EVP war, Verzicht auf schädliche Sparmassnahmen, weniger weitgehende Steuersenkungen, welche auch den mittleren Unternehmen zugute kommen. Die Idee wäre seit Herbst 2017 auf dem Tisch zu diskutieren.... https://t.co/mWofvhrscK",plan a evp verzicht schädliche sparmassnahmen wenig weitgehende steuersenkungen welch mittler unternehmen zugute kommen idee seit herbst tisch diskutieren,"{'Plan': 0.06, 'A': 0.04, 'der': 0.03, 'EVP': 0, 'war': 0, 'Verzicht': 0, 'auf': 0.02, 'schädliche': 0.1, 'Sparmassnahmen': 0.12, 'weniger': 0, 'weitgehende': 1.0, 'Steuersenkungen': 0.24, 'welche': 0.1, 'auch': 0.08, 'den': 0.03, 'mittleren': 0, 'Unternehmen': 0, 'zugute': 0.12, 'kommen': 0, 'Die': 0.03, 'Idee': 0, 'wäre': 0, 'seit': 0.03, 'Herbst': 0, '2017': 0, 'dem': 0.1, 'Tisch': 0.02, 'zu': 0.17, 'diskutieren': 0, '....': 0}",positive,"[0.07523393, 0.06378971, 0.86097634]",,,,,,,,,,neutral
100.0,100.0,100.0,0.85,neutral,Nein zur Steuersenkung als Folge der fehlenden Kompromissbereitschaft im Grossen Rat. Da waren doch noch sinnvolle Vorschläge der EVP  - kommen wir darauf zurück und beseitigen den finanzpolitischen Scherbenhaufen.,nein steuersenkung folgen fehlend kompromissbereitschaft grossen rat sinnvoll vorschläge evp kommen darauf zurück beseitigen finanzpolitischen scherbenhaufen,"{'Nein': 1.0, 'zur': 0.034999999999999996, 'Steuersenkung': 0.585, 'als': 0.2, 'Folge': 0, 'der': 0.06, 'fehlenden': 0, 'Kompromissbereitschaft': 0.0775, 'im': 0, 'Grossen': 0, 'Rat': 0, 'Da': 0, 'waren': 0, 'doch': 0, 'noch': 0.05, 'sinnvolle': 0, 'Vorschläge': 0.09, 'EVP': 0, 'kommen': 0.02, 'wir': 0, 'darauf': 0, 'zurück': 0.02, 'und': 0.02, 'beseitigen': 0, 'den': 0.06, 'finanzpolitischen': 0, 'Scherbenhaufen': 0.03}",neutral,"[0.42997342, 0.31104872, 0.25897783]",,,,,,,,,,positive
100.0,100.0,86.0,0.7,negative,"Ja, die konzeptionellen Fragen müssen gelöst werden - aber ich bin mir nicht sicher, ob dies das richtige Projekt ist um mit der Steuersenkung zu kombinieren... https://t.co/VVckxjbyv2",ja konzeptionell fragen müssen lösen sichern richtige projekt steuersenkung kombinieren,"{'Ja': 0, 'die': 0.3, 'konzeptionellen': 0.02, 'Fragen': 0.05, 'müssen': 0.22, 'gelöst': 0, 'werden': 0, 'aber': 0.03, 'ich': 0.01, 'bin': 0, 'mir': 0, 'nicht': 0.09, 'sicher': 0, 'ob': 0, 'dies': 0, 'das': 0, 'richtige': 0.06, 'Projekt': 0.31, 'ist': 0.03, 'um': 0, 'mit': 1.0, 'der': 0.3, 'Steuersenkung': 0.54, 'zu': 0.22, 'kombinieren': 1.0, '...': 0}",neutral,"[0.9764565, 0.020892402, 0.0026510444]",,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,könnte fast von mir sein....darum nur finanzierbare Steuersenkungen..... https://t.co/HDtozVj0F1,fast darum finanzierbare steuersenkungen,"{'könnte': 0.1, 'fast': 0, 'von': 0, 'mir': 0, 'sein': 0, '....': 0, 'darum': 0.28, 'nur': 1.0, 'finanzierbare': 0, 'Steuersenkungen': 0.565, '.....': 0}",positive,"[0.00065779156, 0.0013081891, 0.99803406]",,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"@kanton_bern Hidden Champions sind meist Mittlere oder Kleine Unternehmen. Wenn wir uns schon Steuersenkungen bei juristischen Personen leisten können, so auch bei diesen und nicht nur bei den gewinnstärksten",hidden champions meist mittler kleine unternehmen schon steuersenkungen juristisch personen leisten gewinnstärksten,"{'Hidden': 0.29, 'Champions': 0.24, 'sind': 0.3, 'meist': 0.05, 'Mittlere': 0.06, 'oder': 0.31, 'Kleine': 0.08, 'Unternehmen': 0, 'Wenn': 0, 'wir': 0, 'uns': 0, 'schon': 0, 'Steuersenkungen': 0.33999999999999997, 'bei': 0, 'juristischen': 0.18, 'Personen': 0, 'leisten': 0.96, 'können': 0, 'so': 0.61, 'auch': 0.17, 'diesen': 0, 'und': 0.1, 'nicht': 0.09, 'nur': 0, 'den': 0.05, 'gewinnstärksten': 0.065}",positive,"[0.16213427, 0.04087561, 0.79699016]",,,,,,,,,,neutral
100.0,100.0,100.0,0.85,neutral,"@derbund @adschmid Und die Mitte: Die differenziert und beurteilt sachlich darum: das SVP-Ding Steueranlagesenkung geblockt, das FDP-Ding sofort Steuersenkungen für natürliche Personen geblockt, einge schädliche Sparmassnahmen mit Hilfe der EVP nicht vollzogen. Von Ding durchziehen keine Rede....",mitte differenzieren beurteilen sachlich darum svp ding steueranlagesenkung geblockt fdp ding sofort steuersenkungen natürlich personen geblockt einge schädliche sparmassnahmen hilfe evp vollziehen ding durchziehen rede,"{'Und': 0.02, 'die': 0.04, 'Mitte': 0.14, 'Die': 0.04, 'differenziert': 0.03, 'und': 0.02, 'beurteilt': 0.04, 'sachlich': 0, 'darum': 0.03, 'das': 0, 'SVP-Ding': 0, 'Steueranlagesenkung': 0.16999999999999998, 'geblockt': 1.0, 'FDP-Ding': 0, 'sofort': 0.47, 'Steuersenkungen': 0.65, 'für': 0.3, 'natürliche': 0.1, 'Personen': 0.04, 'einge': 0, 'schädliche': 0.1, 'Sparmassnahmen': 0.09, 'mit': 0.08, 'Hilfe': 0.11, 'der': 0.04, 'EVP': 0, 'nicht': 0.14, 'vollzogen': 0, 'Von': 0, 'Ding': 0.07, 'durchziehen': 0.09, 'keine': 0, 'Rede': 0, '....': 0}",negative,"[0.015319075, 0.9646917, 0.019989181]",,,,,,,,,,positive
0.0,0.0,0.0,-1.0,neutral,RT @ruediloeffel: Namens der EVP legt @Hans_Kipfer die Gründe der Ablehnung des durch nicht finanzierte Steuersenkungen negativen Finanzpla…,namens evp legen gründe ablehnung finanzieren steuersenkungen negativ finanzpla,"{'Namens': 0, 'der': 0.7, 'EVP': 0, 'legt': 0, 'die': 0.7, 'Gründe': 0.42, 'Ablehnung': 1.0, 'des': 0, 'durch': 0, 'nicht': 0, 'finanzierte': 0, 'Steuersenkungen': 0.635, 'negativen': 0.82, 'Finanzpla': 0.33, '…': 0}",negative,"[0.004747298, 0.88672686, 0.10852589]",,,,,,,,,,negative
100.0,100.0,100.0,1.0,neutral,"«Die EVP will die Steuersenkungen so weit mittragen, wie sie finanziert sind.» https://t.co/CUQfY6WC7P via @derbund https://t.co/Wpz02KMqDP",evp steuersenkungen weit mittragen finanzieren via,"{'«': 0, 'Die': 0, 'EVP': 0, 'will': 0, 'die': 0, 'Steuersenkungen': 0, 'so': 0, 'weit': 0, 'mittragen': 0, 'wie': 0, 'sie': 0, 'finanziert': 0, 'sind': 0, '»': 0, 'via': 0}",positive,"[0.027882399, 0.006259536, 0.9658581]",,,,,,,,,,positive
75.0,75.0,86.0,0.4666666666666666,negative,"Optimierung Prozesse und Abläufe in der Verwaltung ist wichtig, das habe ich in meiner Motion schon vor längerer Zeit gefordert. Verzicht auf sozial schädliche Teile des Entlastungspaketes heisst für mich ganz klar weniger Steuersenkungen. https://t.co/56F4DOurn0 @BernerZeitung",optimierung prozesse abläufe verwaltung wichtig motion schon lang zeit fordern verzicht sozial schädliche teile entlastungspaketes heisst ganz klaren wenig steuersenkungen,"{'Optimierung': 0.05, 'Prozesse': 0.02, 'und': 0.02, 'Abläufe': 0.02, 'in': 0.02, 'der': 0.05, 'Verwaltung': 0.03, 'ist': 0.02, 'wichtig': 0.03, 'das': 0.03, 'habe': 0, 'ich': 0.01, 'meiner': 0, 'Motion': 0.02, 'schon': 0, 'vor': 0, 'längerer': 0, 'Zeit': 0.01, 'gefordert': 0, 'Verzicht': 0, 'auf': 0, 'sozial': 0, 'schädliche': 0.27, 'Teile': 0.09, 'des': 0, 'Entlastungspaketes': 0.07, 'heisst': 0.02, 'für': 0.06, 'mich': 0.05, 'ganz': 0, 'klar': 0, 'weniger': 1.0, 'Steuersenkungen': 0.49}",negative,"[0.15446481, 0.77679217, 0.06874311]",,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,"Die Vorschläge der Mittekandidaten zu Kantonsentwicklung, Finanzen und Digitalisierung stehen im Kontrast zu Extremforderungen von Links und Rechts. Eine echte Wahl ist möglich. #BernbrauchtdieMitte #WahlBE18 @Michael_Koepfli https://t.co/CwH4ruOvtl",vorschläge mittekandidaten kantonsentwicklung finanzen digitalisierung stehen kontrast extremforderungen links rechts echte wahl möglich bernbrauchtdiemitte wahlbe18,,,,"{'Die': 0.01, 'Vorschläge': 0.16, 'der': 0.01, 'Mittekandidaten': 0, 'zu': 0.09, 'Kantonsentwicklung': 0.06, 'Finanzen': 0, 'und': 0.05, 'Digitalisierung': 0, 'stehen': 0.22, 'im': 0, 'Kontrast': 0.18, 'Extremforderungen': 0.07, 'von': 0.03, 'Links': 0, 'Rechts': 0.01, 'Eine': 0, 'echte': 0.01, 'Wahl': 0.03, 'ist': 0.01, 'möglich': 0.02, 'BernbrauchtdieMitte': 0.02375, 'WahlBE18': 0}",positive,"[0.06551859, 0.051258758, 0.8832227]",,,,,,,positive
100.0,100.0,100.0,1.0,neutral,vernünftige Mitte mit ausgebautem Umweltschutz (Sorge zur Schöpfung) - passt doch für die aktuellen Fragen! https://t.co/yuCFAV4ili,vernünftig mitte ausgebaut umweltschutz sorge schöpfung passt aktuell fragen,,,,,,,"{'vernünftige': 0, 'Mitte': 0, 'mit': 0.68, 'ausgebautem': 0, 'Umweltschutz': 0.86, 'Sorge': 0, 'zur': 0.07, 'Schöpfung': 0.08, 'passt': 0.15, 'doch': 0, 'für': 0.08, 'die': 0.07, 'aktuellen': 0.08, 'Fragen': 0.07}",positive,"[0.0006878635, 0.0010745655, 0.9982376]",,,,positive
50.0,25.0,28.0,-0.1333333333333333,neutral,wir brauchen eine gesellschaftsdienlich gesteuerte Raumplanung und nicht eine markwirtschaftlich gesteuerte - gerade Tourismus und Landwirtschaft leben von einer gesunden Natur.... https://t.co/XVXHVjk1PC,brauchen gesellschaftsdienlich gesteuert raumplanung markwirtschaftlich gesteuert gerade tourismus landwirtschaft leben gesund natur,,,,,,,,,,"{'wir': 0, 'brauchen': 0.13, 'eine': 0.03, 'gesellschaftsdienlich': 0, 'gesteuerte': 0, 'Raumplanung': 0.09, 'und': 0.4, 'nicht': 0.11, 'markwirtschaftlich': 0.11, 'gerade': 0, 'Tourismus': 0.28, 'Landwirtschaft': 0.75, 'leben': 0, 'von': 0.58, 'einer': 0.03, 'gesunden': 1.0, 'Natur': 0.52, '....': 0}",positive,"[0.009454624, 0.0024674565, 0.98807794]",neutral
