answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,sentiment_tb
100.0,100.0,100.0,0.85,neutral,"Rentenalter 64/65: Schweizerische Weicheier versus japanische Alters-Ironmen. Top Beitrag von SRF! Unbedingt in einer ruhigen Minute ganz anhören. In Japan lernte eine 87-jährige noch den Beruf als Fitnesstrainerin. Die machen es uns vor. Arbeit bis 80.

https://t.co/thK803YVFT",rentenalter schweizerische weicheier versus japanische alters ironmen top beitrag srf unbedingt ruhig minute ganz anhören japan lernen jährige beruf fitnesstrainerin arbeit,"{'Rentenalter': 0.37, '64': 0, '65': 0, 'Schweizerische': 0.38, 'Weicheier': 0.32, 'versus': 0.81, 'japanische': 0.12, 'Alters-Ironmen': 0, 'Top': 0.76, 'Beitrag': 0.17, 'von': 0.17, 'SRF': 0.09, 'Unbedingt': 0, 'in': 0.05, 'einer': 0, 'ruhigen': 0, 'Minute': 0.07, 'ganz': 0, 'anhören': 0.1, 'In': 0.05, 'Japan': 0.05, 'lernte': 0, 'eine': 0, '87-jährige': 0.025, 'noch': 0.03, 'den': 0, 'Beruf': 0, 'als': 0.02, 'Fitnesstrainerin': 0.02, 'Die': 0, 'machen': 0, 'es': 0, 'uns': 0.03, 'vor': 0, 'Arbeit': 0.03, 'bis': 0, '80.': 0}",positive,"[0.3770968, 0.037816465, 0.58508676]",,,,positive
100.0,100.0,86.0,0.7,neutral,@RentenVI Alt BSV-Direktor: wir leben 16 Jahre länger wie 1948 (AHV-Einführung). 65-16=49 heutiges Rentenalter relativ gesehen! AHV in 13 Jahren Konkurs (BSV). Darum Rentenalter sozial und wirtschaftlich verträglich erhöhen! Unterschreibt Renteninitiative https://t.co/FTIhivDsbm,alt bsv direktor leben jahre lang ahv einführung heutig rentenalter relativ sehen ahv jahren konkurs bsv darum rentenalter sozial wirtschaftlich verträglich erhöhen unterschreiben renteninitiative,"{'Alt': 0, 'BSV-Direktor': 0.060000000000000005, 'wir': 0, 'leben': 0, '16': 0, 'Jahre': 0.04, 'länger': 0.03, 'wie': 0, '1948': 0, 'AHV-Einführung': 0.07500000000000001, '65': 0, '16=49': 0, 'heutiges': 0, 'Rentenalter': 0.04, 'relativ': 1.0, 'gesehen': 0, 'AHV': 0.1, 'in': 0.02, '13': 0, 'Jahren': 0.04, 'Konkurs': 0, 'BSV': 0.07, 'Darum': 0.13, 'sozial': 0, 'und': 0.04, 'wirtschaftlich': 0.07, 'verträglich': 0, 'erhöhen': 0, 'Unterschreibt': 0, 'Renteninitiative': 0.055}",positive,"[0.18198222, 0.031059388, 0.7869584]",,,,positive
100.0,100.0,86.0,0.7,neutral,Alt BSV-Direktor: wir leben 16 Jahre länger wie 1948 (AHV-Einführung). 65-16=49 heutiges Rentenalter relativ gesehen! AHV in 13 Jahren Konkurs (BSV). Darum Rentenalter sozial und wirtschaftlich verträglich erhöhen! Unterschreibt Renteninitiative https://t.co/FTIhivDsbm,alt bsv direktor leben jahre lang ahv einführung heutig rentenalter relativ sehen ahv jahren konkurs bsv darum rentenalter sozial wirtschaftlich verträglich erhöhen unterschreiben renteninitiative,"{'Alt': 0, 'BSV-Direktor': 0.060000000000000005, 'wir': 0, 'leben': 0, '16': 0, 'Jahre': 0.04, 'länger': 0.03, 'wie': 0, '1948': 0, 'AHV-Einführung': 0.07500000000000001, '65': 0, '16=49': 0, 'heutiges': 0, 'Rentenalter': 0.04, 'relativ': 1.0, 'gesehen': 0, 'AHV': 0.1, 'in': 0.02, '13': 0, 'Jahren': 0.04, 'Konkurs': 0, 'BSV': 0.07, 'Darum': 0.13, 'sozial': 0, 'und': 0.04, 'wirtschaftlich': 0.07, 'verträglich': 0, 'erhöhen': 0, 'Unterschreibt': 0, 'Renteninitiative': 0.055}",positive,"[0.18198222, 0.031059388, 0.7869584]",,,,positive
100.0,100.0,86.0,0.7,neutral,@andrisilbi_ @RentenVI @JfStadtZH Alt BSV-Direktor: wir leben 16 Jahre länger wie 1948 (AHV-Einführung). 65-16=49 heutiges Rentenalter relativ gesehen! AHV in 13 Jahren Konkurs (BSV). Darum Rentenalter sozial und wirtschaftlich verträglich erhöhen! Unterschreibt Renteninitiative https://t.co/FTIhivDsbm,alt bsv direktor leben jahre lang ahv einführung heutig rentenalter relativ sehen ahv jahren konkurs bsv darum rentenalter sozial wirtschaftlich verträglich erhöhen unterschreiben renteninitiative,"{'Alt': 0, 'BSV-Direktor': 0.060000000000000005, 'wir': 0, 'leben': 0, '16': 0, 'Jahre': 0.04, 'länger': 0.03, 'wie': 0, '1948': 0, 'AHV-Einführung': 0.07500000000000001, '65': 0, '16=49': 0, 'heutiges': 0, 'Rentenalter': 0.04, 'relativ': 1.0, 'gesehen': 0, 'AHV': 0.1, 'in': 0.02, '13': 0, 'Jahren': 0.04, 'Konkurs': 0, 'BSV': 0.07, 'Darum': 0.13, 'sozial': 0, 'und': 0.04, 'wirtschaftlich': 0.07, 'verträglich': 0, 'erhöhen': 0, 'Unterschreibt': 0, 'Renteninitiative': 0.055}",positive,"[0.18198222, 0.031059388, 0.7869584]",,,,positive
100.0,100.0,86.0,0.7,neutral,@T_von_Allmen Alt BSV-Direktor: wir leben 16 Jahre länger wie 1948 (AHV-Einführung). 65-16=49 heutiges Rentenalter relativ gesehen! AHV in 13 Jahren Konkurs (BSV). Darum Rentenalter sozial und wirtschaftlich verträglich erhöhen! Unterschreibt Renteninitiative https://t.co/FTIhivDsbm,alt bsv direktor leben jahre lang ahv einführung heutig rentenalter relativ sehen ahv jahren konkurs bsv darum rentenalter sozial wirtschaftlich verträglich erhöhen unterschreiben renteninitiative,"{'Alt': 0, 'BSV-Direktor': 0.060000000000000005, 'wir': 0, 'leben': 0, '16': 0, 'Jahre': 0.04, 'länger': 0.03, 'wie': 0, '1948': 0, 'AHV-Einführung': 0.07500000000000001, '65': 0, '16=49': 0, 'heutiges': 0, 'Rentenalter': 0.04, 'relativ': 1.0, 'gesehen': 0, 'AHV': 0.1, 'in': 0.02, '13': 0, 'Jahren': 0.04, 'Konkurs': 0, 'BSV': 0.07, 'Darum': 0.13, 'sozial': 0, 'und': 0.04, 'wirtschaftlich': 0.07, 'verträglich': 0, 'erhöhen': 0, 'Unterschreibt': 0, 'Renteninitiative': 0.055}",positive,"[0.18198222, 0.031059388, 0.7869584]",,,,positive
100.0,100.0,86.0,0.7,neutral,@andrisilbi_ Alt BSV-Direktor: wir leben 16 Jahre länger wie 1948 (AHV-Einführung). 65-16=49 heutiges Rentenalter relativ gesehen! AHV in 13 Jahren Konkurs (BSV). Darum Rentenalter sozial und wirtschaftlich verträglich erhöhen! Unterschreibt Renteninitiative https://t.co/FTIhivDsbm,alt bsv direktor leben jahre lang ahv einführung heutig rentenalter relativ sehen ahv jahren konkurs bsv darum rentenalter sozial wirtschaftlich verträglich erhöhen unterschreiben renteninitiative,"{'Alt': 0, 'BSV-Direktor': 0.060000000000000005, 'wir': 0, 'leben': 0, '16': 0, 'Jahre': 0.04, 'länger': 0.03, 'wie': 0, '1948': 0, 'AHV-Einführung': 0.07500000000000001, '65': 0, '16=49': 0, 'heutiges': 0, 'Rentenalter': 0.04, 'relativ': 1.0, 'gesehen': 0, 'AHV': 0.1, 'in': 0.02, '13': 0, 'Jahren': 0.04, 'Konkurs': 0, 'BSV': 0.07, 'Darum': 0.13, 'sozial': 0, 'und': 0.04, 'wirtschaftlich': 0.07, 'verträglich': 0, 'erhöhen': 0, 'Unterschreibt': 0, 'Renteninitiative': 0.055}",positive,"[0.18198222, 0.031059388, 0.7869584]",,,,positive
100.0,100.0,86.0,0.7,neutral,@laura_bircher Alt BSV-Direktor: wir leben 16 Jahre länger wie 1948 (AHV-Einführung). 65-16=49 heutiges Rentenalter relativ gesehen! AHV in 13 Jahren Konkurs (BSV). Darum Rentenalter sozial und wirtschaftlich verträglich erhöhen! Unterschreibt Renteninitiative https://t.co/FTIhivDsbm,alt bsv direktor leben jahre lang ahv einführung heutig rentenalter relativ sehen ahv jahren konkurs bsv darum rentenalter sozial wirtschaftlich verträglich erhöhen unterschreiben renteninitiative,"{'Alt': 0, 'BSV-Direktor': 0.060000000000000005, 'wir': 0, 'leben': 0, '16': 0, 'Jahre': 0.04, 'länger': 0.03, 'wie': 0, '1948': 0, 'AHV-Einführung': 0.07500000000000001, '65': 0, '16=49': 0, 'heutiges': 0, 'Rentenalter': 0.04, 'relativ': 1.0, 'gesehen': 0, 'AHV': 0.1, 'in': 0.02, '13': 0, 'Jahren': 0.04, 'Konkurs': 0, 'BSV': 0.07, 'Darum': 0.13, 'sozial': 0, 'und': 0.04, 'wirtschaftlich': 0.07, 'verträglich': 0, 'erhöhen': 0, 'Unterschreibt': 0, 'Renteninitiative': 0.055}",positive,"[0.18198222, 0.031059388, 0.7869584]",,,,positive
100.0,100.0,86.0,0.7,neutral,@RentenVI @larsguggisberg @Jungfreisinnige @SVPch Alt BSV-Direktor: wir leben 16 Jahre länger wie 1948 (AHV-Einführung). 65-16=49 heutiges Rentenalter relativ gesehen! AHV in 13 Jahren Konkurs (BSV). Darum Rentenalter sozial und wirtschaftlich verträglich erhöhen! Unterschreibt Renteninitiative https://t.co/FTIhivDsbm,alt bsv direktor leben jahre lang ahv einführung heutig rentenalter relativ sehen ahv jahren konkurs bsv darum rentenalter sozial wirtschaftlich verträglich erhöhen unterschreiben renteninitiative,"{'Alt': 0, 'BSV-Direktor': 0.060000000000000005, 'wir': 0, 'leben': 0, '16': 0, 'Jahre': 0.04, 'länger': 0.03, 'wie': 0, '1948': 0, 'AHV-Einführung': 0.07500000000000001, '65': 0, '16=49': 0, 'heutiges': 0, 'Rentenalter': 0.04, 'relativ': 1.0, 'gesehen': 0, 'AHV': 0.1, 'in': 0.02, '13': 0, 'Jahren': 0.04, 'Konkurs': 0, 'BSV': 0.07, 'Darum': 0.13, 'sozial': 0, 'und': 0.04, 'wirtschaftlich': 0.07, 'verträglich': 0, 'erhöhen': 0, 'Unterschreibt': 0, 'Renteninitiative': 0.055}",positive,"[0.18198222, 0.031059388, 0.7869584]",,,,positive
100.0,100.0,86.0,0.7,neutral,@JFAargau @RentenVI @Jungfreisinnige Alt BSV-Direktor: wir leben 16 Jahre länger wie 1948 (AHV-Einführung). 65-16=49 heutiges Rentenalter relativ gesehen! AHV in 13 Jahren Konkurs (BSV). Darum Rentenalter sozial und wirtschaftlich verträglich erhöhen! Unterschreibt Renteninitiative https://t.co/FTIhivDsbm,alt bsv direktor leben jahre lang ahv einführung heutig rentenalter relativ sehen ahv jahren konkurs bsv darum rentenalter sozial wirtschaftlich verträglich erhöhen unterschreiben renteninitiative,"{'Alt': 0, 'BSV-Direktor': 0.060000000000000005, 'wir': 0, 'leben': 0, '16': 0, 'Jahre': 0.04, 'länger': 0.03, 'wie': 0, '1948': 0, 'AHV-Einführung': 0.07500000000000001, '65': 0, '16=49': 0, 'heutiges': 0, 'Rentenalter': 0.04, 'relativ': 1.0, 'gesehen': 0, 'AHV': 0.1, 'in': 0.02, '13': 0, 'Jahren': 0.04, 'Konkurs': 0, 'BSV': 0.07, 'Darum': 0.13, 'sozial': 0, 'und': 0.04, 'wirtschaftlich': 0.07, 'verträglich': 0, 'erhöhen': 0, 'Unterschreibt': 0, 'Renteninitiative': 0.055}",positive,"[0.18198222, 0.031059388, 0.7869584]",,,,positive
100.0,100.0,86.0,0.7,neutral,@LuisDeplazes @Jungfreisinnige Alt BSV-Direktor: wir leben 16 Jahre länger wie 1948 (AHV-Einführung). 65-16=49 heutiges Rentenalter relativ gesehen! AHV in 13 Jahren Konkurs (BSV). Darum Rentenalter sozial und wirtschaftlich verträglich erhöhen! Unterschreibt Renteninitiative https://t.co/FTIhivDsbm,alt bsv direktor leben jahre lang ahv einführung heutig rentenalter relativ sehen ahv jahren konkurs bsv darum rentenalter sozial wirtschaftlich verträglich erhöhen unterschreiben renteninitiative,"{'Alt': 0, 'BSV-Direktor': 0.060000000000000005, 'wir': 0, 'leben': 0, '16': 0, 'Jahre': 0.04, 'länger': 0.03, 'wie': 0, '1948': 0, 'AHV-Einführung': 0.07500000000000001, '65': 0, '16=49': 0, 'heutiges': 0, 'Rentenalter': 0.04, 'relativ': 1.0, 'gesehen': 0, 'AHV': 0.1, 'in': 0.02, '13': 0, 'Jahren': 0.04, 'Konkurs': 0, 'BSV': 0.07, 'Darum': 0.13, 'sozial': 0, 'und': 0.04, 'wirtschaftlich': 0.07, 'verträglich': 0, 'erhöhen': 0, 'Unterschreibt': 0, 'Renteninitiative': 0.055}",positive,"[0.18198222, 0.031059388, 0.7869584]",,,,positive
