answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3417,absa_sentiment_3417,absa_scores_3417,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3444,absa_sentiment_3444,absa_scores_3444,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3458,absa_sentiment_3458,absa_scores_3458,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
100.0,100.0,86.0,0.7,negative,"Nein, @raphaelabirrer wir ergreifen nicht das Referendum gegen höhere Abzüge für externe Kinderbetreuung, sondern gegen Erhöhung allgemeine Kinderabzüge 350Mio. Giesskannen-Steuersubventionen ohne Sinn und Zweck. «Hier wird Geld verschleudert!» https://t.co/YpzRVMIDnz",nein ergreifen referendum hoch abzüge externe kinderbetreuung erhöhung allgemein kinderabzüge 350mio giesskannen steuersubventionen sinn zweck geld verschleudern,"{'Nein': 0.03, 'wir': 0, 'ergreifen': 0, 'nicht': 0.05, 'das': 0, 'Referendum': 0.16, 'gegen': 0.06, 'höhere': 0.21, 'Abzüge': 0, 'für': 0.4, 'externe': 1.0, 'Kinderbetreuung': 1.0, 'sondern': 0.08, 'Erhöhung': 0, 'allgemeine': 0.05, 'Kinderabzüge': 0, '350Mio': 0, 'Giesskannen-Steuersubventionen': 0.06375, 'ohne': 0.03, 'Sinn': 0, 'und': 0, 'Zweck': 0.03, '«': 0, 'Hier': 0, 'wird': 0, 'Geld': 0, 'verschleudert': 0, '»': 0}",neutral,"[0.85978127, 0.059986394, 0.080232345]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
25.0,25.0,28.0,-0.2333333333333333,neutral,"@LaeriPatrizia @Zalando Das ist so wie der elitäre #Feminismus der #Grünliberalen: Man ist für mehr staatliche Finanzierung der Kinderbetreuung für obere Mittelstandsfrauen, aber gegen mehr Prämienverbilligung von denen vor allem Frauen in präkären Verhältnissen profitieren würden 2/2",elitäre feminismus grünliberalen mehr staatliche finanzierung kinderbetreuung obere mittelstandsfrauen mehr prämienverbilligung frauen präkären verhältnissen profitieren,"{'Das': 0.01, 'ist': 0, 'so': 0, 'wie': 0, 'der': 0.01, 'elitäre': 0.02, 'Feminismus': 0.02, 'Grünliberalen': 0.01, 'Man': 0, 'für': 0.22, 'mehr': 0.05, 'staatliche': 0.28, 'Finanzierung': 0, 'Kinderbetreuung': 1.0, 'obere': 0.04, 'Mittelstandsfrauen': 0.0175, 'aber': 0.07, 'gegen': 0.08, 'Prämienverbilligung': 0.03, 'von': 0.03, 'denen': 0, 'vor': 0, 'allem': 0, 'Frauen': 0.01, 'in': 0.01, 'präkären': 0, 'Verhältnissen': 0.01, 'profitieren': 0.07, 'würden': 0.04}",neutral,"[0.7027942, 0.21639985, 0.08080596]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,neutral,"Wer hat gegen das Konkubinatsverbot, das de facto Homo-Verbot,  Abtreibungsverbot, Cannabis verbot, die ""Rasenbetretenverboten"" -Mentalität usw und für die Befreiung von Existenzängsten gekämpft? Herr @renzfabian01 die Freiheit, das sind wir, schon immer. https://t.co/VEkTxNRR41",wer konkubinatsverbot de facto homo verbieten abtreibungsverbot cannabis verbieten rasenbetretenverboten mentalität usw befreiung existenzängsten kämpfen herr freiheit schon immer,,,,"{'Wer': 0.02, 'hat': 0, 'gegen': 0.06, 'das': 0.03, 'Konkubinatsverbot': 0, 'de': 0.03, 'facto': 0.04, 'Homo-Verbot': 0, 'Abtreibungsverbot': 0.15, 'Cannabis': 1.0, 'verbot': 0.1, 'die': 0.05, 'Rasenbetretenverboten': 0, '-Mentalität': 0, 'usw': 0.04, 'und': 0.07, 'für': 0.1, 'Befreiung': 0.07, 'von': 0.03, 'Existenzängsten': 0, 'gekämpft': 0.08, 'Herr': 0, 'Freiheit': 0.09, 'sind': 0, 'wir': 0, 'schon': 0, 'immer': 0.04}",neutral,"[0.6596671, 0.17736381, 0.16296914]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"Zulassung für Pilotprojekte für die kontrollierte Cannabis-Abgabe verabschiedet und damit das getan, was man schon in den 70er-Jahren hätte tun sollen. Willkommen im 21 Jahrhundert #parlCH (also alle ausser der #SVP und einigen illiberalen #FDP, #CVP) von wegen #Freiheit",zulassung pilotprojekte kontrollieren cannabis abgabe verabschieden tun schon 70er jahren tun sollen willkommen jahrhundert parlch all ausser svp illiberalen fdp cvp wegen freiheit,,,,"{'Zulassung': 0, 'für': 0.45, 'Pilotprojekte': 0.32499999999999996, 'die': 0.04, 'kontrollierte': 1.0, 'Cannabis-Abgabe': 0.67, 'verabschiedet': 0, 'und': 0.04, 'damit': 0.045, 'das': 0, 'getan': 0, 'was': 0, 'man': 0, 'schon': 0, 'in': 0.05, 'den': 0.04, '70er-Jahren': 0.09, 'hätte': 0, 'tun': 0.04, 'sollen': 0.05, 'Willkommen': 0.08, 'im': 0, 'Jahrhundert': 0.04, 'parlCH': 0.08, 'also': 0, 'alle': 0.03, 'ausser': 0, 'der': 0.04, 'SVP': 0, 'einigen': 0.04, 'illiberalen': 0, 'FDP': 0.05, 'CVP': 0.04, 'von': 0, 'wegen': 0.03, 'Freiheit': 0.18}",neutral,"[0.47833544, 0.11987657, 0.40178803]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,neutral,"Die gleichen Pseudolibertären der FDP, die "" Freiheit fùrs Internet"" forderten, haben die Möglichkeit für Cannabis-Legalisierungs-Pilotprojete ABGELEHNT! Ich glaub mich streift ein Bus! #parlCH #Freiheitsbegriff überdenken tut Not.",gleich pseudolibertären fdp freiheit fùrs internet fordern möglichkeit cannabis legalisierungs pilotprojete ablehnen glaub streifen bus parlch freiheitsbegriff überdenken tun not,,,,"{'Die': 0.05, 'gleichen': 0.16, 'Pseudolibertären': 0, 'der': 0.05, 'FDP': 0.12, 'die': 0.05, 'Freiheit': 0.09, 'fùrs': 0, 'Internet': 0.12, 'forderten': 0.41, 'haben': 1.0, 'Möglichkeit': 0.9, 'für': 0.3, 'Cannabis-Legalisierungs-Pilotprojete': 0.2775, 'ABGELEHNT': 0, 'Ich': 0.07, 'glaub': 0, 'mich': 0.08, 'streift': 0, 'ein': 0, 'Bus': 0.09, 'parlCH': 0.07, 'Freiheitsbegriff': 0.095, 'überdenken': 0, 'tut': 0, 'Not': 0}",neutral,"[0.49314746, 0.17577022, 0.33108225]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,86.0,0.7,neutral,"@cedricwermuth Was da fehlt ist ""die Begrenzung der Bezugsdauer auf das vorzeitige Rentenalter"". WAK sagt: Beginn Überbrückungsleistung: ab 62, Ende: Vorzeitiges Pensionsalter - bei Frauen 62. Ups. Damit sind Frauen ausgeschlossen. So sorgfältig machen die ihren Job (nicht) #politleben",fehlen begrenzung bezugsdauer vorzeitige rentenalter wak sagen beginn überbrückungsleistung ab ende vorzeitiges pensionsalter frauen ups frauen ausschließen sorgfältig job politleben,,,,,,,"{'Was': 0, 'da': 0, 'fehlt': 0.095, 'ist': 0.1, 'die': 0.31, 'Begrenzung': 1.0, 'der': 0.31, 'Bezugsdauer': 0.68, 'auf': 0, 'das': 0, 'vorzeitige': 0, 'Rentenalter': 0.02, 'WAK': 0.04, 'sagt': 0.04, 'Beginn': 0, 'Überbrückungsleistung': 0.07, 'ab': 0, 'Ende': 0.01, 'Vorzeitiges': 0, 'Pensionsalter': 0.02, 'bei': 0, 'Frauen': 0.02, '62.': 0, 'Ups': 0, 'Damit': 1.0, 'sind': 0, 'ausgeschlossen': 0, 'So': 0.01, 'sorgfältig': 0, 'machen': 0.01, 'ihren': 0, 'Job': 0.03, 'nicht': 0.01, 'politleben': 0}",neutral,"[0.48501602, 0.07837453, 0.43660942]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,71.0,0.1333333333333333,negative,"@stefanrueegger @sergegnos @operationlibero @marionnasch @GrueneZuerich @spzuerich @bglaettli @minlimarti Ehm, ich weiss jetzt nicht genau, was ich in diesem Thread will, ich kämpfe an vorderster Front für den Lohnschutz, gegen höheres Rentenalter und werde und will auch nicht von OL unterstützt werden (und finde die WahlAktion anmassend)",ehm weiss genau thread kämpfe vorder front lohnschutz hoch rentenalter ol unterstützen finden wahlaktion anmassend,,,,,,,"{'Ehm': 0, 'ich': 0.06, 'weiss': 0, 'jetzt': 0, 'nicht': 0.11, 'genau': 0.06, 'was': 0, 'in': 0.03, 'diesem': 0.02, 'Thread': 0.06, 'will': 0.05, 'kämpfe': 0, 'an': 0, 'vorderster': 0, 'Front': 0.09, 'für': 0.11, 'den': 0.06, 'Lohnschutz': 0.19, 'gegen': 1.0, 'höheres': 1.0, 'Rentenalter': 0.8049999999999999, 'und': 0.03, 'werde': 0, 'auch': 0, 'von': 0, 'OL': 0.05, 'unterstützt': 0, 'werden': 0.05, 'finde': 0.05, 'die': 0.06, 'WahlAktion': 0.14, 'anmassend': 0}",neutral,"[0.62228537, 0.21509285, 0.16262178]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"@ruediloeffel @glp_bern @Tobias_Voegeli Vor allem: eine Frauenrentenaltererhöhung um ein Jahr bringt „nur“ 1,3 Mrd. Ist also deutlich weniger als die 2 Mrd. durch die #STAF von wegen „nicht nichts“. #srfarena",frauenrentenaltererhöhung jahr bringen mrd deutlich wenig mrd staf wegen srfarena,,,,,,,"{'Vor': 0.43, 'allem': 0, 'eine': 0.09, 'Frauenrentenaltererhöhung': 0.4675, 'um': 0, 'ein': 0.09, 'Jahr': 0.19, 'bringt': 0.5, '„': 0, 'nur': 0, '“': 0, '1,3': 0, 'Mrd.': 0, 'Ist': 0, 'also': 0, 'deutlich': 0, 'weniger': 0, 'als': 0, 'die': 0, 'durch': 0, 'STAF': 0, 'von': 0, 'wegen': 0, 'nicht': 0, 'nichts': 0, 'srfarena': 0}",positive,"[0.22742347, 0.3500812, 0.42249528]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"@Pietro_Imhof Ich werde mich für eine Flexibilisierung des Rentenalters einsetzen: Jeder nach den eigenen Möglichkeiten. Auf Papierli- Referenzalter, solang 55 jährige ausrangiert werden und effektives Rentenalter massiv tiefer liegt, können wir getrost verzichten.",flexibilisierung rentenalters einsetzen jed eigen möglichkeiten papierli referenzalter solang jährige ausrangieren effektiv rentenalter massiv tief liegen getrost verzichten,,,,,,,"{'Ich': 0.11, 'werde': 0, 'mich': 0, 'für': 0, 'eine': 0, 'Flexibilisierung': 0, 'des': 0, 'Rentenalters': 0.065, 'einsetzen': 0, 'Jeder': 0.16, 'nach': 0, 'den': 0.06, 'eigenen': 0.03, 'Möglichkeiten': 0, 'Auf': 0, 'Papierli-': 0, 'Referenzalter': 0, 'solang': 0.05, 'jährige': 0.02, 'ausrangiert': 0.04, 'werden': 0.22, 'und': 0.02, 'effektives': 0.08, 'Rentenalter': 0.065, 'massiv': 0, 'tiefer': 0, 'liegt': 0, 'können': 0, 'wir': 0, 'getrost': 0.06, 'verzichten': 0}",positive,"[0.065464325, 0.01783643, 0.9166993]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,Echte Innovation im Wohnungsbau? Seit über 100 Jahren nur bei den gemeinnützigen Wohngenossenschaften. Gratuliere zu #100JahreWohngenossenschaftenZürich https://t.co/Ho5HdDIsF6,echte innovation wohnungsbau seit jahren gemeinnützig wohngenossenschaften gratulieren 100jahrewohngenossenschaftenzürich,,,,,,,,,,"{'Echte': 0.13, 'Innovation': 0.18, 'im': 0, 'Wohnungsbau': 0.63, 'Seit': 0, 'über': 0.04, 'Jahren': 0.25, 'nur': 0.08, 'bei': 0, 'den': 0.13, 'gemeinnützigen': 0, 'Wohngenossenschaften': 0.47, 'Gratuliere': 1.0, 'zu': 0, '100JahreWohngenossenschaftenZürich': 0.21390625000000002}",positive,"[0.028439056, 0.008213701, 0.9633472]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
