answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3433,absa_sentiment_3433,absa_scores_3433,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3474,absa_sentiment_3474,absa_scores_3474,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
0.0,0.0,0.0,-1.0,neutral,"2xNein zu den Vorlagen über die familienergänzende Kinderbetreuung. Es ist falsch, alle Gemeinden über den... https://t.co/MAJynXZa1C",2xnein vorlagen familienergänzende kinderbetreuung falsch all gemeinden,"{'2xNein': 0, 'zu': 0.05, 'den': 0.08, 'Vorlagen': 0.29, 'über': 0, 'die': 0.08, 'familienergänzende': 0.66, 'Kinderbetreuung': 1.0, 'Es': 0.05, 'ist': 0.05, 'falsch': 0, 'alle': 0, 'Gemeinden': 0, '...': 0}",neutral,"[0.64861387, 0.14497133, 0.20641483]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
0.0,0.0,0.0,-1.0,negative,2x NEIN zu den Kinderbetreuungsvorlagen! Vielerorts sind in den letzten Jahren Angebote entstanden. Dieser Zwang... https://t.co/TxNMt9kbjh,2x nein kinderbetreuungsvorlagen vielerorts letzt jahren angebote entstehen zwingen,"{'2x': 0.32, 'NEIN': 0.14, 'zu': 0.11, 'den': 0.15, 'Kinderbetreuungsvorlagen': 0.165, 'Vielerorts': 0.05500000000000001, 'sind': 0, 'in': 0.03, 'letzten': 0, 'Jahren': 0.04, 'Angebote': 0.21, 'entstanden': 0, 'Dieser': 0.58, 'Zwang': 0, '...': 0}",positive,"[0.0016750599, 0.0015580261, 0.9967669]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,100.0,1.0,positive,Da gibt es nichts hinzuzufügen. Besser könnte ich es nicht auf den Punkt bringen. Genau deshalb sage ich NEIN zum Vaterschaftsurlaub. https://t.co/SrpdxcmAKD,geben hinzufügen gut punkt bringen genau deshalb sage nein vaterschaftsurlaub,,,,"{'Da': 0, 'gibt': 0, 'es': 0.03, 'nichts': 0.11, 'hinzuzufügen': 0.34, 'Besser': 0.05, 'könnte': 0, 'ich': 0.18, 'nicht': 0, 'auf': 0, 'den': 0.04, 'Punkt': 0.05, 'bringen': 0, 'Genau': 0.18, 'deshalb': 0, 'sage': 0, 'NEIN': 1.0, 'zum': 0.34, 'Vaterschaftsurlaub': 0.515}",positive,"[0.20989963, 0.017382871, 0.7727176]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,Am 14. Juni liegt's in unseren Händen: 1x JA zur Verfassungsbestimmung zur Fortpflanzungsmedizin und... http://t.co/aigkfGcpiU,juni liegen s händen 1x ja verfassungsbestimmung fortpflanzungsmedizin,,,,,,,"{'Am': 0, '14.': 0, 'Juni': 0.08, ""liegt's"": 0.18, 'in': 0.09, 'unseren': 0.1, 'Händen': 0.12, '1x': 0.53, 'JA': 1.0, 'zur': 0.265, 'Verfassungsbestimmung': 0.655, 'Fortpflanzungsmedizin': 0.715, 'und': 1.0, '...': 0}",positive,"[0.0066070873, 0.0014537227, 0.99193925]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"@pkuehni @Blickch @ChristianDorer @AargauerZeitung @rocwint @NZZ @LuziBernet @tagesanzeiger @feusl @srfnews @Juerg_Grossen Etwa so wie alle erneuerbaren Energien? Du weichst aus, antworte auf meine Frage: Unterstützt ihr trotz CO2 neue Gaskombikraftwerke? So steht es in der ES 2050! Ich halte mich an die wissenschaftlichen Grundlagen und physikalischen Gesetzmässigkeiten.",etwa all erneuerbaren energien weichen antworten fragen unterstützen trotzen co2 neue gaskombikraftwerke stehen halte wissenschaftlich grundlagen physikalisch gesetzmässigkeiten,,,,,,,,,,"{'Etwa': 0, 'so': 0, 'wie': 0, 'alle': 0, 'erneuerbaren': 0.57, 'Energien': 0.25, 'Du': 0, 'weichst': 0, 'aus': 0, 'antworte': 0.1, 'auf': 0, 'meine': 0.05, 'Frage': 0, 'Unterstützt': 0, 'ihr': 0, 'trotz': 0.02, 'CO2': 0.04, 'neue': 0.05, 'Gaskombikraftwerke': 0.025, 'So': 0, 'steht': 0, 'es': 0.03, 'in': 0.02, 'der': 0.02, 'ES': 0.03, 'Ich': 0.03, 'halte': 0, 'mich': 0, 'an': 0, 'die': 0.02, 'wissenschaftlichen': 0.03, 'Grundlagen': 0, 'und': 0.02, 'physikalischen': 0.02, 'Gesetzmässigkeiten': 0}",positive,"[0.36383078, 0.01715738, 0.61901194]",,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,"@BernhardGuhl Wieso behauptest du dann immer, nur bei einem Ja gäbe es mehr erneuerbare Energien? Das Gesetz braucht es dazu nicht.",wieso behaupten immer ja geben mehr erneuerbare energien gesetz brauchen,,,,,,,,,,"{'Wieso': 0, 'behauptest': 0.16, 'du': 0, 'dann': 0.04, 'immer': 0.09, 'nur': 0.21, 'bei': 0, 'einem': 0, 'Ja': 0, 'gäbe': 0.19, 'es': 0, 'mehr': 1.0, 'erneuerbare': 1.0, 'Energien': 0.45, 'Das': 0.05, 'Gesetz': 0.19, 'braucht': 0, 'dazu': 0, 'nicht': 0.06}",neutral,"[0.7423149, 0.20978415, 0.04790096]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Frage ist nicht Kernenergie ja/nein, nicht erneuerbare Energien ja/nein, sondern WIE wir in die Energiezukunft angehen. Markt statt Staat! https://t.co/cNSDVC89D9",fragen kernenergie ja nein erneuerbare energien ja nein energiezukunft angehen markt statt staat,,,,,,,,,,"{'Frage': 0, 'ist': 0.23, 'nicht': 1.0, 'Kernenergie': 0.08, 'ja': 0, 'nein': 0.25, 'erneuerbare': 1.0, 'Energien': 0.46, 'sondern': 0.55, 'WIE': 0.4, 'wir': 0, 'in': 0, 'die': 0.07, 'Energiezukunft': 0.04, 'angehen': 0.09, 'Markt': 0.04, 'statt': 0.060000000000000005, 'Staat': 0.04}",neutral,"[0.9075339, 0.03484265, 0.057623487]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"@Munsterma Prognos, Energieperspektiven..., 2012. zeigt, dass CH im Winter unter grösstem Ausbau von Erneuerbaren zu wenig Strom produziert.",prognos energieperspektiven zeigen ch winter grösstem ausbau erneuerbaren wenig strom produzieren,,,,,,,,,,"{'Prognos': 0, 'Energieperspektiven': 0, '...': 0, '2012.': 0, 'zeigt': 0, 'dass': 0.11, 'CH': 0.04, 'im': 0, 'Winter': 0.13, 'unter': 0, 'grösstem': 0, 'Ausbau': 1.0, 'von': 0, 'Erneuerbaren': 0.55, 'zu': 0, 'wenig': 0.08, 'Strom': 0, 'produziert': 0}",negative,"[0.029537339, 0.4863101, 0.4841526]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Habe mich heute für E-Voting eingesetzt, weil für mich die Beteiligung an unserer Demokratie eine Herzensangelegenheit ist! https://t.co/nZIOLV4Rwm",heute e voting einsetzen beteiligung demokratie herzensangelegenheit,,,,,,,,,,,,,"{'Habe': 0, 'mich': 0.09, 'heute': 0.95, 'für': 0.09, 'E-Voting': 0, 'eingesetzt': 0, 'weil': 0.42, 'die': 0.11, 'Beteiligung': 0.37, 'an': 0.11, 'unserer': 0.24, 'Demokratie': 0.61, 'eine': 0, 'Herzensangelegenheit': 0.15375, 'ist': 0.26}",neutral,"[0.8040611, 0.0923632, 0.103575654]",,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,RT @Titus_Meier: #GRAG mit 69:61 Stimmen unterstützt der Grosse Rat die Fortführung und Ausweitung von E-Voting https://t.co/XEAlsYY8Vw,grag stimmen unterstützen grosse rat fortführung ausweitung e voting,,,,,,,,,,,,,"{'GRAG': 0.1, 'mit': 0.08, '69:61': 0, 'Stimmen': 0, 'unterstützt': 1.0, 'der': 0.26, 'Grosse': 0, 'Rat': 0, 'die': 0.26, 'Fortführung': 0.29, 'und': 0.13, 'Ausweitung': 0.27, 'von': 0, 'E-Voting': 0}",positive,"[0.19273426, 0.02239815, 0.7848676]",,,,,,,,,,,,,,,,,,,positive
