answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3444,absa_sentiment_3444,absa_scores_3444,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3473,absa_sentiment_3473,absa_scores_3473,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
0.0,0.0,0.0,-1.0,negative,RT @BaGysi: Schockierender Bericht des Kassensturz - Kündigung nach Longcovid. Inakzeptabel. Kündigungsschutz in der Schweiz massiv mangelh…,schockierender bericht kassensturz kündigung longcovid inakzeptabel kündigungsschutz schweiz massiv mangelh,"{'Schockierender': 0.09, 'Bericht': 0, 'des': 0, 'Kassensturz': 0.07500000000000001, 'Kündigung': 0, 'nach': 0.06, 'Longcovid': 0.13, 'Inakzeptabel': 0.12, 'Kündigungsschutz': 0.435, 'in': 0.14, 'der': 0.06, 'Schweiz': 0.33, 'massiv': 0, 'mangelh': 0, '…': 0}",positive,"[0.0025153316, 0.40315935, 0.5943253]",,,,,,,,,,,,,,,,,,,negative
75.0,100.0,86.0,0.5,positive,"@EKZenergie @bolli3097 Stimmt, Sie @EKZenergie produzieren immer mehr Strom aus erneuerbaren Quellen, nicht nur in der 🇨🇭Schweiz, sondern auch im 🇪🇺Ausland, toll! https://t.co/8t0X7FxWes",stimmen produzieren immer mehr strom erneuerbaren quellen schweiz ausland tollen,,,,"{'Stimmt': 0, 'Sie': 0, 'produzieren': 0, 'immer': 0, 'mehr': 0.21, 'Strom': 0, 'aus': 0, 'erneuerbaren': 1.0, 'Quellen': 0.87, 'nicht': 0.09, 'nur': 0.12, 'in': 0.16, 'der': 0, '🇨': 0, '🇭': 0, 'Schweiz': 0, 'sondern': 0, 'auch': 0, 'im': 0, '🇪': 0, '🇺': 0, 'Ausland': 0, 'toll': 0}",positive,"[0.024400989, 0.0073050796, 0.9682939]",,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,0.925,negative,"An alle, die auch mal eine gute Nachricht sehen wollen: 🇺🇸US-Top-Universität #Stanford wird schon 2022 AUSSCHLIESSLICH, also zu 100%, mit erneuerbarer (Solar-)Energie❤️betrieben🙂, wann folgen🇪🇺EU-+🇨🇭CH-Top-Unis nach🤔!? #KlimakriseISTjetzt #Klimaschutz ▶️https://t.co/X4nBDLfeD1",all mal gut nachricht sehen us top universität stanford schon ausschliesslich erneuerbarer solar energie betrieben wann folgen eu ch top unis klimakriseistjetzt klimaschutz,,,,"{'An': 0, 'alle': 0.02, 'die': 0, 'auch': 0, 'mal': 0, 'eine': 0, 'gute': 0, 'Nachricht': 0.03, 'sehen': 0.01, 'wollen': 0, '🇺': 0, '🇸': 0, 'US-Top-Universität': 0, 'Stanford': 0, 'wird': 0, 'schon': 0, 'AUSSCHLIESSLICH': 0, 'also': 0, 'zu': 0, 'mit': 0, 'erneuerbarer': 0, 'Solar-)Energie️betrieben': 0, 'wann': 0, 'folgen': 0, '🇪': 0, 'EU-+': 0, '🇨': 0, '🇭': 0, 'CH-Top-Unis': 0, 'nach': 0, '🤔': 0, 'KlimakriseISTjetzt': 0, 'Klimaschutz': 0, '▶': 0, '️': 0}",positive,"[0.1541102, 0.0145244, 0.83136535]",,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,"Wenigstens hat bei uns im Kanton Zürich das kantonale Elektrizitätswerk @EKZenergie die Zeichen der Zeit erkannt👇+setzt auf #renewableenergy, bravo❤️, gut gemacht🙂! #erneuerbareenergie #energiewende #energiezukunft #solaranlagen #windkraft #Klimanotstand https://t.co/OStRzDmqRO",wenigstens kanton zürich kantonale elektrizitätswerk zeichen zeit erkennen setzen renewableenergy bravo gut erneuerbareenergie energiewende energiezukunft solaranlagen windkraft klimanotstand,,,,"{'Wenigstens': 0.08, 'hat': 0, 'bei': 0.05, 'uns': 0, 'im': 0, 'Kanton': 0.05, 'Zürich': 0, 'das': 0, 'kantonale': 0.12, 'Elektrizitätswerk': 0.24, 'die': 0.08, 'Zeichen': 0, 'der': 0.08, 'Zeit': 0, 'erkannt+setzt': 0.06, 'auf': 0.06, 'renewableenergy': 0.23, 'bravo️': 0, 'gut': 0, 'gemacht': 0, 'erneuerbareenergie': 0.135, 'energiewende': 0.17, 'energiezukunft': 0.14, 'solaranlagen': 0.135, 'windkraft': 0.24, 'Klimanotstand': 1.0}",positive,"[0.014758551, 0.0037330193, 0.98150843]",,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @rehsche: Skeptiker bezüglich #Klimakrise und #Erneuerbaren Energien kommen nicht umhin, diese Grafik zur Kenntnis zu nehmen: #Solarener…",skeptiker bezüglich klimakrise erneuerbaren energien kommen umhin grafik kenntnis nehmen solarener,,,,"{'Skeptiker': 0.3, 'bezüglich': 0.08, 'Klimakrise': 0.13, 'und': 0.22, 'Erneuerbaren': 0, 'Energien': 0.11, 'kommen': 0, 'nicht': 0, 'umhin': 0, 'diese': 0.28, 'Grafik': 0.18, 'zur': 0, 'Kenntnis': 0, 'zu': 0, 'nehmen': 0, 'Solarener': 0, '…': 0}",positive,"[0.24057798, 0.09504612, 0.6643759]",,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"@Peter_Nater @PunisherPierre Was soll am urliberalen Verursacherprinzip, also Kostenwahrheit im marktwirtschaftlichen Sinn, denn nicht effizient sein? Jetzt ist die 'Gouvernante' 😉 aber auf Ihre Antwort gespannt!",urliberalen verursacherprinzip kostenwahrheit marktwirtschaftlichen sinn effizient gouvernante antwort spannen,,,,,,,"{'Was': 0, 'soll': 0, 'am': 0, 'urliberalen': 0, 'Verursacherprinzip': 0.08, 'also': 0, 'Kostenwahrheit': 0.3, 'im': 0, 'marktwirtschaftlichen': 0.73, 'Sinn': 0, 'denn': 0, 'nicht': 0, 'effizient': 0, 'sein': 0, 'Jetzt': 0.05, 'ist': 0.03, 'die': 0.05, 'Gouvernante': 0.06, 'aber': 0, 'auf': 0, 'Ihre': 0.03, 'Antwort': 0, 'gespannt': 0}",positive,"[0.3059956, 0.025393305, 0.66861117]",,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,negative,"RT @lange_tobias_hh: Wir haben Unterfinanzierung/Defizite bei:
- Schulen
- Digitalisierung
- Pflege
- Infrastruktur
- Schienennetz
- Energi…",unterfinanzierung defizite schulen digitalisierung pflegen infrastruktur schienennetz energi,,,,,,,,,,"{'Wir': 0.17, 'haben': 0.3, 'Unterfinanzierung': 1.0, 'Defizite': 0.54, 'bei': 0, 'Schulen': 0.06, 'Digitalisierung': 0.63, 'Pflege': 0.09, 'Infrastruktur': 0.09, 'Schienennetz': 0.060000000000000005, 'Energi': 0, '…': 0}",positive,"[0.025076043, 0.3582371, 0.6166868]",,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"@AskASwiss @CR_Schmid @S_Manser_Egli @wahlforschung0 @cedricwermuth @meyer_mattea @RegulaRytz @GrueneCH Ja, bis+mit #DorisLeuthard war der Kurs der damaligen #CVP (heute #Mitte) #liberal-sozial (bspw. paukte #KurtFurgler als #CVP-Justizminister Recht auf Abtreibung (sog. Fristenlösung) durch+#CVP verantwortete sogar den Umweltschutzartikel in der🇨🇭Verfassung (!), lang ist's her😢.",ja dorisleuthard kurs damalig cvp heute mitte liberal sozial bspw pauken kurtfurgler cvp justizminister recht abtreibung sog fristenlösung cvp verantworten sogar umweltschutzartikel verfassung langen s her,,,,,,,,,,,,,"{'Ja': 0, 'bis+mit': 0.0175, 'DorisLeuthard': 0.06, 'war': 0, 'der': 0.22, 'Kurs': 0.02, 'damaligen': 0.01, 'CVP': 0.07, 'heute': 0.01, 'Mitte': 0, 'liberal-sozial': 0, 'bspw.': 0, 'paukte': 0, 'KurtFurgler': 0.1, 'als': 0.03, 'CVP-Justizminister': 0, 'Recht': 0, 'auf': 0, 'Abtreibung': 0.05, 'sog.': 0, 'Fristenlösung': 0.045, 'durch+#CVP': 0.05, 'verantwortete': 0.15, 'sogar': 0.09, 'den': 0.22, 'Umweltschutzartikel': 0.63, 'in': 0.37, '🇨': 0, '🇭': 0, 'Verfassung': 0, 'lang': 0, ""ist's"": 0, 'her': 0}",neutral,"[0.6468002, 0.23489313, 0.11830666]",,,,,,,neutral
100.0,100.0,100.0,0.85,neutral,"@Duonna_Antonia @rolnam Twitter-Problem kenne ich, wenn ich an grosser Transaktion mit langen Vertragstexten arbeite, schweife ich auch manchmal hierher als Pause. Fanny war zeitgebunden Teil der Tiroler ""geistigen Landesverteidigung"" gg. Hitler-DE+hatte es schwer nach 1938. Freue mich auf Deine Bücher!",twitter problem kennen grosser transaktion lang vertragstexten arbeiten schweife manchmal hierher pause fanny zeitgebunden teil tiroler geistig landesverteidigung gg hitler de schwer freuen bücher,,,,,,,,,,,,,,,,"{'Twitter-Problem': 0, 'kenne': 0.01, 'ich': 0.02, 'wenn': 0, 'an': 0, 'grosser': 0, 'Transaktion': 0.06, 'mit': 0.02, 'langen': 0.02, 'Vertragstexten': 0.08, 'arbeite': 0, 'schweife': 0.05, 'auch': 0, 'manchmal': 0.02, 'hierher': 0.02, 'als': 0.02, 'Pause': 0, 'Fanny': 0.06, 'war': 0, 'zeitgebunden': 0, 'Teil': 0.12, 'der': 0.18, 'Tiroler': 0, 'geistigen': 1.0, 'Landesverteidigung': 0.87, 'gg': 0, 'Hitler-DE+hatte': 0.05, 'es': 0, 'schwer': 0, 'nach': 0.02, '1938.': 0, 'Freue': 0, 'mich': 0, 'auf': 0.02, 'Deine': 0.03, 'Bücher': 0.09}",positive,"[0.15987596, 0.11610479, 0.72401917]",,,,positive
0.0,0.0,14.0,-0.7,neutral,"Vor über 40 Jahren, sagte #Klimawissenschaft voraus, dass durch menschgemachte #Klimakrise weite Teile der wesentlichsten landwirtschaftlichen Produktionsflächen der🌎Welt🌍zu Wüsten vertrocknen würden🙄. Wir können es uns NICHT leisten, nichts dagegen zu tun, packen wir's an🙂! https://t.co/t8RZmyKtC1",jahren sagen klimawissenschaft voraus menschgemachte klimakrise weit teile wesentlich landwirtschaftlich produktionsflächen derweltzu wüst vertrocknen leisten dagegen tun packen s,,,,,,,,,,,,,,,,,,,"{'Vor': 0, 'über': 0.05, 'Jahren': 0.06, 'sagte': 0, 'Klimawissenschaft': 0.035, 'voraus': 0, 'dass': 0.07, 'durch': 0, 'menschgemachte': 0, 'Klimakrise': 0.045, 'weite': 0, 'Teile': 0.04, 'der': 0.02, 'wesentlichsten': 0.045, 'landwirtschaftlichen': 0.14, 'Produktionsflächen': 0.035, 'derWeltzu': 0, 'Wüsten': 0.07, 'vertrocknen': 0, 'würden': 0.06, 'Wir': 0.09, 'können': 0, 'es': 0, 'uns': 0, 'NICHT': 0, 'leisten': 0.1, 'nichts': 0.11, 'dagegen': 0.02, 'zu': 0.02, 'tun': 0.03, 'packen': 0, 'wir': 0, ""'s"": 0, 'an': 0}",positive,"[0.11766947, 0.044526584, 0.8378039]",negative
