answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"RT @PascalPfister: Kinderbetreuung ist essentiell für unsere Gesellschaft, also soll sie auch gesamtgesellschaftlich organisiert und solida…",kinderbetreuung essentiell gesellschaft gesamtgesellschaftlich organisieren solida,"{'Kinderbetreuung': 1.0, 'ist': 0.41, 'essentiell': 1.0, 'für': 0.08, 'unsere': 0.13, 'Gesellschaft': 0.07, 'also': 0.11, 'soll': 0, 'sie': 0, 'auch': 0.11, 'gesamtgesellschaftlich': 0.044375000000000005, 'organisiert': 0.13, 'und': 0.05, 'solida': 0.08, '…': 0}",positive,"[0.0012584027, 0.0012117242, 0.9975299]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Spannend: Alle Kandidatinnen der ""Liste SVP - Neue Heimat Schweiz"" der @svpbasel sind für einen Mindestlohn und gegen eine Erhöhung des Rentenalters.🤔 #WahlCH19",spannen all kandidatinnen liste svp neue heimat schweiz mindestlohn erhöhung rentenalters wahlch19,,,,"{'Spannend': 0.07, 'Alle': 0.04, 'Kandidatinnen': 0.24, 'der': 0.2, 'Liste': 0, 'SVP': 0, 'Neue': 0.07, 'Heimat': 0, 'Schweiz': 0.07, 'sind': 0.12, 'für': 0, 'einen': 0.17, 'Mindestlohn': 0.28, 'und': 0.22, 'gegen': 0.73, 'eine': 0, 'Erhöhung': 1.0, 'des': 0, 'Rentenalters': 0.885, '🤔': 0, 'WahlCH19': 0}",negative,"[0.41051346, 0.5000643, 0.08942224]",,,,,,,,,,"{'Spannend': 0.22, 'Alle': 0.22, 'Kandidatinnen': 0.44, 'der': 0.12, 'Liste': 0, 'SVP': 0, 'Neue': 0.08, 'Heimat': 0, 'Schweiz': 0.19, 'sind': 0.81, 'für': 0, 'einen': 0.38, 'Mindestlohn': 0.665, 'und': 0.51, 'gegen': 0.63, 'eine': 0, 'Erhöhung': 0.25, 'des': 0, 'Rentenalters': 0.15000000000000002, '🤔': 0, 'WahlCH19': 0}",positive,"[0.21962555, 0.011601554, 0.76877284]",,,,,,,,,,neutral
75.0,100.0,86.0,0.5666666666666667,negative,"RT @SamiraMarti: Lieber @SandroBrotz / #srfarena: Bei SIEBEN Gästen lediglich EINE Frau einzuladen, geht gar nicht. Wenn‘s ums Rentenalter…",lieb srfarena sieben gästen lediglich frau einladen gehen gar s ums rentenalter,,,,"{'Lieber': 0.05, 'srfarena': 0.09, 'Bei': 0, 'SIEBEN': 0.06, 'Gästen': 0.13, 'lediglich': 0.04, 'EINE': 0.05, 'Frau': 0, 'einzuladen': 0.24, 'geht': 0, 'gar': 0, 'nicht': 0.07, 'Wenn': 0.21, '‘': 0, 's': 0, 'ums': 0, 'Rentenalter': 0, '…': 0}",neutral,"[0.7704656, 0.0058003035, 0.2237341]",,,,,,,,,,,,,,,,,,,,,,positive
75.0,75.0,71.0,0.3333333333333333,negative,RT @JusoSchweiz: Der Bundesrat ignoriert die Stimmbevölkerung und möchte das Frauenrentenalter auf 65 erhöhen. Wir sagen: Finger weg vom Re…,bundesrat ignorieren stimmbevölkerung mögen frauenrentenalter erhöhen sagen finger re,,,,"{'Der': 0.08, 'Bundesrat': 0.175, 'ignoriert': 0, 'die': 0.08, 'Stimmbevölkerung': 0, 'und': 0.17, 'möchte': 0.41000000000000003, 'das': 0, 'Frauenrentenalter': 0.44499999999999995, 'auf': 0, 'erhöhen': 1.0, 'Wir': 0.05, 'sagen': 0.48, 'Finger': 0, 'weg': 0, 'vom': 0.065, 'Re': 0.04, '…': 0}",neutral,"[0.4485359, 0.22176988, 0.32969427]",,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,"RT @NataschaWey: Auswandern, auf Kinder verzichten oder reich heiraten! Tolle Tipps für Frauen zu #Rentenalter65 von @20min! https://t.co/8…",auswandern kinder verzichten reichen heiraten toll tipps frauen rentenalter65,,,,"{'Auswandern': 0.1, 'auf': 0, 'Kinder': 0.04, 'verzichten': 0, 'oder': 0.05, 'reich': 0, 'heiraten': 0, 'Tolle': 0.15, 'Tipps': 0.19, 'für': 0.11, 'Frauen': 0.17, 'zu': 0, 'Rentenalter65': 0, 'von': 0}",negative,"[0.27921087, 0.4608054, 0.25998366]",,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Bürgergemeinden sind im 21. Jahrhundert völlig überholt. Wir brauchen dringend ein anderes Einbürgerungsverfahren!
https://t.co/JZ0RmOh5zD",bürgergemeinden jahrhundert völlig überholen brauchen dringen einbürgerungsverfahren,,,,,,,"{'Bürgergemeinden': 0.07, 'sind': 0.1, 'im': 0, '21.': 0, 'Jahrhundert': 0.08, 'völlig': 0, 'überholt': 0, 'Wir': 0.22, 'brauchen': 1.0, 'dringend': 0.52, 'ein': 0, 'anderes': 0, 'Einbürgerungsverfahren': 0.71}",positive,"[0.029299699, 0.011694, 0.95900625]",,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @JoelLiamBuehler: Kaum zu glauben. Nationales Verfahren zur Einbürgerung, Abschaffung der feudalen Bürgergemeinden. Sofort.
https://t.co…",kaum glauben national verfahren einbürgerung abschaffung feudal bürgergemeinden sofort,,,,,,,"{'Kaum': 0, 'zu': 0.09, 'glauben': 0.19, 'Nationales': 1.0, 'Verfahren': 0, 'zur': 0.09, 'Einbürgerung': 0.99, 'Abschaffung': 0.44, 'der': 0, 'feudalen': 0.21, 'Bürgergemeinden': 0.325, 'Sofort': 0.37}",positive,"[0.004531862, 0.0017016231, 0.99376655]",,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,negative,"RT @JusoSchweiz: Die Einbürgerungs-Verhöre gehören abgeschafft. Wer in der Schweiz zu Hause ist, soll auch mitbestimmen können! https://t.c…",einbürgerungs verhöre gehören abschaffen wer schweiz hause mitbestimmen,,,,,,,"{'Die': 0.11, 'Einbürgerungs-Verhöre': 0.185, 'gehören': 0, 'abgeschafft': 0.47, 'Wer': 0.07, 'in': 0.05, 'der': 0.11, 'Schweiz': 0.2, 'zu': 0, 'Hause': 0.06, 'ist': 0.05, 'soll': 0, 'auch': 0.52, 'mitbestimmen': 0, 'können': 0.13}",positive,"[0.2325838, 0.363946, 0.40347025]",,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @sp_bl: Die @sp_bl fasst einstimmig die Ja-Parole für die #erleichterteEinbürgerung für AusländerInnen der 3. Generation. #abst17,fasst einstimmig ja parole erleichterteeinbürgerung ausländerinnen generation abst17,,,,,,,"{'Die': 0.08, 'fasst': 0, 'einstimmig': 0, 'die': 0.08, 'Ja-Parole': 0, 'für': 0.14, 'erleichterteEinbürgerung': 0.325, 'AusländerInnen': 0.22, 'der': 0.08, '3.': 0, 'Generation': 0.1, 'abst17': 0.31}",positive,"[0.0046117636, 0.0015558299, 0.99383235]",,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,@JoelLiamBuehler @jfblliberal Damit meinte ich definitiv nur die Abstimmungsparole zur erleichterten Einbürgerung!,definitiv abstimmungsparole erleichtern einbürgerung,,,,,,,"{'Damit': 0, 'meinte': 0.16, 'ich': 0.05, 'definitiv': 0, 'nur': 0.17, 'die': 0.19, 'Abstimmungsparole': 0.44999999999999996, 'zur': 0.19, 'erleichterten': 0, 'Einbürgerung': 1.0}",positive,"[0.026904745, 0.018920733, 0.9541745]",,,,,,,,,,,,,,,,,,,positive
