answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3474,absa_sentiment_3474,absa_scores_3474,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"@kuenzler @narimoldi @StettlerRoger @minlimarti @init7 @watson_news Wieso nennt man das eigentlich #Vaterschaftsurlaub oder #Papizeit? Eigentlich ist das #Elterndienst oder #Kinderbetreuungszeit.
Sagt ein Papi.

Es heisst ja auch nicht #Militärurlaub oder #Zivilzeit",wieso nennen eigentlich vaterschaftsurlaub papizeit eigentlich elterndienst kinderbetreuungszeit sagen papi heisst ja militärurlaub zivilzeit,"{'Wieso': 0, 'nennt': 0, 'man': 0, 'das': 0, 'eigentlich': 0.09, 'Vaterschaftsurlaub': 0.06, 'oder': 0.06, 'Papizeit': 0.060000000000000005, 'Eigentlich': 0.09, 'ist': 0.21, 'Elterndienst': 0.135, 'Kinderbetreuungszeit': 0.525, 'Sagt': 0.22, 'ein': 0, 'Papi': 0.16, 'Es': 0.21, 'heisst': 0.16, 'ja': 0, 'auch': 0, 'nicht': 0, 'Militärurlaub': 0.09, 'Zivilzeit': 0.060000000000000005}",neutral,"[0.8466648, 0.13601278, 0.017322436]",,,,,,,"{'Wieso': 0, 'nennt': 0, 'man': 0, 'das': 0, 'eigentlich': 0.05, 'Vaterschaftsurlaub': 1.0, 'oder': 0.19, 'Papizeit': 0.1, 'Eigentlich': 0.05, 'ist': 0.08, 'Elterndienst': 0.03, 'Kinderbetreuungszeit': 0.11000000000000001, 'Sagt': 0.18, 'ein': 0, 'Papi': 0.06, 'Es': 0.08, 'heisst': 0.095, 'ja': 0, 'auch': 0, 'nicht': 0, 'Militärurlaub': 0.585, 'Zivilzeit': 0.175}",neutral,"[0.8653532, 0.1096656, 0.024981221]",,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,negative,"Ich verstehe nicht, wieso alle über #Vaterschaftsurlaub diskutieren, wenn es eher ein #Vaterschaftsdienst ist.
Dito #Elternzeit, die doch eine #Kinderbetreuungszeit ist.
#KeineFerien #KeineErholung
Passt doch mal das Wording an liebe @NZZ @20min @tagesanzeiger @Blickch",verstehen wieso all vaterschaftsurlaub diskutieren eher vaterschaftsdienst dito elternzeit kinderbetreuungszeit keineferien keineerholung passt mal wording lieb,"{'Ich': 0.04, 'verstehe': 0.07, 'nicht': 0, 'wieso': 0, 'alle': 0.06, 'über': 0, 'Vaterschaftsurlaub': 0.16, 'diskutieren': 0, 'wenn': 0, 'es': 0.06, 'eher': 0, 'ein': 0, 'Vaterschaftsdienst': 0.09, 'ist': 0.06, 'Dito': 0, 'Elternzeit': 0.15000000000000002, 'die': 0.21, 'doch': 0, 'eine': 0, 'Kinderbetreuungszeit': 0.39499999999999996, 'KeineFerien': 0.2, 'KeineErholung': 0.2, 'Passt': 0, 'mal': 0, 'das': 0, 'Wording': 0.99, 'an': 0, 'liebe': 1.0}",positive,"[0.3141988, 0.10296593, 0.58283526]",,,,,,,"{'Ich': 0.05, 'verstehe': 0.14, 'nicht': 0, 'wieso': 0, 'alle': 0.17, 'über': 0, 'Vaterschaftsurlaub': 0.03, 'diskutieren': 0, 'wenn': 0, 'es': 0.02, 'eher': 0, 'ein': 0, 'Vaterschaftsdienst': 0.1, 'ist': 0.02, 'Dito': 0, 'Elternzeit': 0.035, 'die': 0.03, 'doch': 0, 'eine': 0, 'Kinderbetreuungszeit': 0.05, 'KeineFerien': 0.03, 'KeineErholung': 0.03, 'Passt': 0, 'mal': 0, 'das': 0, 'Wording': 0.04, 'an': 0, 'liebe': 0.06}",positive,"[0.31706238, 0.29014584, 0.3927918]",,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @Piratenpartei: Anzahl der Todesfälle in Deutschland durch:

🍺 ca. 75.000

🚬 ca. 125.000

💊 ca. 1.000

🥦 0

#IAmCannabis #LegalizeIt #PI…",anzahl todesfälle deutschland ca ca ca iamcannabis legalizeit pi,,,,"{'Anzahl': 0, 'der': 0, 'Todesfälle': 0.12, 'in': 0.03, 'Deutschland': 0.06, 'durch': 0, 'ca.': 0, '75.000': 0, '125.000': 0, '1.000': 0, '🥦': 0, 'IAmCannabis': 0, 'LegalizeIt': 0, 'PI': 0, '…': 0}",neutral,"[0.89255834, 0.07796489, 0.029476715]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @LangstrumpfPipo: @kathrinbertschy Cannabis-Pilotversuche? #LegalizeIt https://t.co/bs6R355e2T,cannabis pilotversuche legalizeit,,,,"{'Cannabis-Pilotversuche': 0.6725, 'LegalizeIt': 0.78}",neutral,"[0.9824587, 0.0038502445, 0.013691012]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @ppaargau: Die Piratenpartei nimmt auch während #WahlCH19 an Vernehmlassung zur Änderung #Betäububgsmittelgesetz #Cannabis #CBD #THC tei…,piratenpartei nehmen wahlch19 vernehmlassung änderung betäububgsmittelgesetz cannabis cbd thc tei,,,,"{'Die': 0.3, 'Piratenpartei': 0.24000000000000002, 'nimmt': 0.05, 'auch': 0.07, 'während': 0, 'WahlCH19': 0, 'an': 0, 'Vernehmlassung': 0.18, 'zur': 0.25, 'Änderung': 0, 'Betäububgsmittelgesetz': 0.605, 'Cannabis': 1.0, 'CBD': 0.57, 'THC': 0.35, 'tei': 0, '…': 0}",neutral,"[0.90982544, 0.013884424, 0.076290056]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
25.0,25.0,28.0,-0.3333333333333333,negative,"Muss man wirklich kiffen oder darf man auch einen Kuchen backen oder Tee kochen? 
Weniger Schlagzeile wäre manchmal mehr... 
@ppsde #cannabis https://t.co/EOzkQln7Xb",wirklich kiffen dürfen kuchen backen tee kochen wenig schlagzeile manchmal mehr cannabis,,,,"{'Muss': 0, 'man': 0, 'wirklich': 0.06, 'kiffen': 0.05, 'oder': 0.07, 'darf': 0, 'auch': 0, 'einen': 0.03, 'Kuchen': 0.06, 'backen': 0.07, 'Tee': 0, 'kochen': 0, 'Weniger': 0, 'Schlagzeile': 0.32, 'wäre': 0.1, 'manchmal': 0.09, 'mehr': 0.27, '...': 0, 'cannabis': 1.0}",positive,"[0.21259049, 0.021627916, 0.76578164]",,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"@haeslii_f @AlainS1991 @alain_berset @BAG_OFSP_UFSP Wahrscheinlich wegen dem Schweizer Volk, siehe https://t.co/QuHg5bditA

Ähnlich unverständliche Entscheide gabs auch beim #Cannabis oder sogar mehrfach beim #Frauenstimmrecht 

#SoTicktDieSchweiz",wahrscheinlich wegen schweizer volk siehe ähnlich unverständliche entscheide gabs beim cannabis sogar mehrfach beim frauenstimmrecht soticktdieschweiz,,,,"{'Wahrscheinlich': 0.03, 'wegen': 0.02, 'dem': 0.03, 'Schweizer': 0.05, 'Volk': 0.05, 'siehe': 0, 'Ähnlich': 0, 'unverständliche': 0.22, 'Entscheide': 0, 'gabs': 0.04, 'auch': 0, 'beim': 0.03, 'Cannabis': 1.0, 'oder': 0.28, 'sogar': 0.11, 'mehrfach': 0, 'Frauenstimmrecht': 0, 'SoTicktDieSchweiz': 0}",neutral,"[0.5748941, 0.40405017, 0.021055777]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"RT @rudolf_mohler: Statt Deals zu schliessen, muss über ein höheres #Rentenalter geredet werden – für Frauen und Männer. https://t.co/2CCN4…",statt deals schliessen hoch rentenalter reden frauen männer,,,,,,,"{'Statt': 0.14, 'Deals': 0.13, 'zu': 0.19, 'schliessen': 0, 'muss': 0.19, 'über': 0, 'ein': 0, 'höheres': 0.25, 'Rentenalter': 0.42, 'geredet': 0, 'werden': 0, '–': 0, 'für': 0, 'Frauen': 0, 'und': 0, 'Männer': 0}",neutral,"[0.7279854, 0.019187571, 0.2528271]",,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"@kuenzler @narimoldi @StettlerRoger @minlimarti @init7 @watson_news Wieso nennt man das eigentlich #Vaterschaftsurlaub oder #Papizeit? Eigentlich ist das #Elterndienst oder #Kinderbetreuungszeit.
Sagt ein Papi.

Es heisst ja auch nicht #Militärurlaub oder #Zivilzeit",wieso nennen eigentlich vaterschaftsurlaub papizeit eigentlich elterndienst kinderbetreuungszeit sagen papi heisst ja militärurlaub zivilzeit,"{'Wieso': 0, 'nennt': 0, 'man': 0, 'das': 0, 'eigentlich': 0.09, 'Vaterschaftsurlaub': 0.06, 'oder': 0.06, 'Papizeit': 0.060000000000000005, 'Eigentlich': 0.09, 'ist': 0.21, 'Elterndienst': 0.135, 'Kinderbetreuungszeit': 0.525, 'Sagt': 0.22, 'ein': 0, 'Papi': 0.16, 'Es': 0.21, 'heisst': 0.16, 'ja': 0, 'auch': 0, 'nicht': 0, 'Militärurlaub': 0.09, 'Zivilzeit': 0.060000000000000005}",neutral,"[0.8466648, 0.13601278, 0.017322436]",,,,,,,"{'Wieso': 0, 'nennt': 0, 'man': 0, 'das': 0, 'eigentlich': 0.05, 'Vaterschaftsurlaub': 1.0, 'oder': 0.19, 'Papizeit': 0.1, 'Eigentlich': 0.05, 'ist': 0.08, 'Elterndienst': 0.03, 'Kinderbetreuungszeit': 0.11000000000000001, 'Sagt': 0.18, 'ein': 0, 'Papi': 0.06, 'Es': 0.08, 'heisst': 0.095, 'ja': 0, 'auch': 0, 'nicht': 0, 'Militärurlaub': 0.585, 'Zivilzeit': 0.175}",neutral,"[0.8653532, 0.1096656, 0.024981221]",,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,negative,"Ich verstehe nicht, wieso alle über #Vaterschaftsurlaub diskutieren, wenn es eher ein #Vaterschaftsdienst ist.
Dito #Elternzeit, die doch eine #Kinderbetreuungszeit ist.
#KeineFerien #KeineErholung
Passt doch mal das Wording an liebe @NZZ @20min @tagesanzeiger @Blickch",verstehen wieso all vaterschaftsurlaub diskutieren eher vaterschaftsdienst dito elternzeit kinderbetreuungszeit keineferien keineerholung passt mal wording lieb,"{'Ich': 0.04, 'verstehe': 0.07, 'nicht': 0, 'wieso': 0, 'alle': 0.06, 'über': 0, 'Vaterschaftsurlaub': 0.16, 'diskutieren': 0, 'wenn': 0, 'es': 0.06, 'eher': 0, 'ein': 0, 'Vaterschaftsdienst': 0.09, 'ist': 0.06, 'Dito': 0, 'Elternzeit': 0.15000000000000002, 'die': 0.21, 'doch': 0, 'eine': 0, 'Kinderbetreuungszeit': 0.39499999999999996, 'KeineFerien': 0.2, 'KeineErholung': 0.2, 'Passt': 0, 'mal': 0, 'das': 0, 'Wording': 0.99, 'an': 0, 'liebe': 1.0}",positive,"[0.3141988, 0.10296593, 0.58283526]",,,,,,,"{'Ich': 0.05, 'verstehe': 0.14, 'nicht': 0, 'wieso': 0, 'alle': 0.17, 'über': 0, 'Vaterschaftsurlaub': 0.03, 'diskutieren': 0, 'wenn': 0, 'es': 0.02, 'eher': 0, 'ein': 0, 'Vaterschaftsdienst': 0.1, 'ist': 0.02, 'Dito': 0, 'Elternzeit': 0.035, 'die': 0.03, 'doch': 0, 'eine': 0, 'Kinderbetreuungszeit': 0.05, 'KeineFerien': 0.03, 'KeineErholung': 0.03, 'Passt': 0, 'mal': 0, 'das': 0, 'Wording': 0.04, 'an': 0, 'liebe': 0.06}",positive,"[0.31706238, 0.29014584, 0.3927918]",,,,,,,,,,,,,,,,,,,positive
