answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3473,absa_sentiment_3473,absa_scores_3473,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,sentiment_tb
0.0,0.0,14.0,-0.7,neutral,"RT @DieMitte_ZH: Für Kantonsrat Jean-Philippe Pinto ist klar: ""Der Kanton soll sich an Corona-bedingten Mehrkosten in der Kinderbetreuung b…",kantonsrat jean philippe pinto klaren kanton corona bedingt mehrkosten kinderbetreuung b,"{'Für': 0.19, 'Kantonsrat': 0.1, 'Jean-Philippe': 0.045, 'Pinto': 0.04, 'ist': 0.06, 'klar': 0.09, 'Der': 0.13, 'Kanton': 0.08, 'soll': 0, 'sich': 0, 'an': 0, 'Corona-bedingten': 0, 'Mehrkosten': 0.30000000000000004, 'in': 0.44, 'der': 0.13, 'Kinderbetreuung': 1.0, 'b': 0, '…': 0}",negative,"[0.40878665, 0.5755008, 0.015712496]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,86.0,0.7,neutral,RT @retolipp: Länger arbeiten? Ist die Schweiz bereit für ein höheres Rentenalter? #srfecotalk montags 22.25 Uhr https://t.co/HGWedbG7DV,lang arbeiten schweiz bereiten hoch rentenalter srfecotalk montags uhr,,,,"{'Länger': 0.1, 'arbeiten': 0.09, 'Ist': 0.13, 'die': 0, 'Schweiz': 0.03, 'bereit': 0.07, 'für': 0.06, 'ein': 0, 'höheres': 0.06, 'Rentenalter': 0.095, 'srfecotalk': 0.31, 'montags': 0, '22.25': 0, 'Uhr': 0}",neutral,"[0.8501866, 0.013149305, 0.1366642]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,25.0,28.0,-0.15,neutral,"RT @hardmanpolitics: Unterstützt die #Generationeninitiative! https://t.co/gXvZCp9yb1
1. Rentenalter abhängig von Lebenserwartung
2. Keine…",unterstützen generationeninitiative rentenalter abhängig lebenserwartung,,,,"{'Unterstützt': 0, 'die': 0.13, 'Generationeninitiative': 0, '1.': 0, 'Rentenalter': 0.82, 'abhängig': 0, 'von': 0, 'Lebenserwartung': 0.66, '2.': 0, 'Keine': 1.0, '…': 0}",neutral,"[0.75136346, 0.044173516, 0.20446295]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,RT @Blickch: Kampf gegen höheres Rentenalter: Mitte verliert Geduld mit Gewerkschaften https://t.co/eOEyV4ZKv8,kampf hoch rentenalter mitte verlieren geduld gewerkschaften,,,,"{'Kampf': 0, 'gegen': 1.0, 'höheres': 1.0, 'Rentenalter': 0.8200000000000001, 'Mitte': 0, 'verliert': 0, 'Geduld': 0.17, 'mit': 0.07, 'Gewerkschaften': 0.12}",positive,"[0.29028925, 0.17388885, 0.5358219]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,RT @ErichAschi: «Aufstand der Jungen» – endlich muss die Schweiz ernsthaft über die Erhöhung des Rentenalters diskutieren https://t.co/VlI6…,aufstehen jung endlich schweiz ernsthaft erhöhung rentenalters diskutieren,,,,"{'«': 0, 'Aufstand': 0, 'der': 0, 'Jungen': 0, '»': 0, '–': 0, 'endlich': 0, 'muss': 0, 'die': 0, 'Schweiz': 0, 'ernsthaft': 0, 'über': 0, 'Erhöhung': 0, 'des': 0, 'Rentenalters': 0, 'diskutieren': 0}",positive,"[0.38905054, 0.014796586, 0.5961529]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @MonikaBuetler: Das tiefere Rentenalter der Frauen ist kein Pfand für Zugeständnisse in anderen Gebieten, sondern eher eine Ausrede, nic…",tief rentenalter frauen pfand zugeständnisse gebieten eher ausreden nic,,,,"{'Das': 1.0, 'tiefere': 0, 'Rentenalter': 0.6799999999999999, 'der': 1.0, 'Frauen': 0.18, 'ist': 0.41, 'kein': 0, 'Pfand': 0, 'für': 0.07, 'Zugeständnisse': 0.08, 'in': 0.05, 'anderen': 0, 'Gebieten': 0.06, 'sondern': 0.04, 'eher': 0.03, 'eine': 0, 'Ausrede': 0.11, 'nic': 0, '…': 0}",negative,"[0.27763483, 0.6357584, 0.086606815]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @rudolf_mohler: Im Gegensatz zur Schweiz hat Deutschland eine Erhöhung des Rentenalters auf 67 längst eingeleitet. Gleichwohl sind weite…,gegensatz schweiz deutschland erhöhung rentenalters längst einleiten gleichwohl weit,,,,"{'Im': 0, 'Gegensatz': 0.26, 'zur': 0.07, 'Schweiz': 0.06, 'hat': 0, 'Deutschland': 0.11, 'eine': 0, 'Erhöhung': 0.26, 'des': 0, 'Rentenalters': 0.125, 'auf': 0, 'längst': 0.06, 'eingeleitet': 0.11, 'Gleichwohl': 0.46, 'sind': 0, 'weite': 0, '…': 0}",positive,"[0.30156884, 0.1249017, 0.57352954]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @rudolf_mohler: Eine Studie der @swisslife_ch zeigt: Die Zahl der über das #Rentenalter hinaus Erwerbstätigen hat deutlich zugenommen, a…",studie zeigen zahl rentenalter hinaus erwerbstätig deutlich zunehmen a,,,,"{'Eine': 0, 'Studie': 0.15, 'der': 0.2, 'zeigt': 0, 'Die': 0.2, 'Zahl': 0.35, 'über': 0, 'das': 0.05, 'Rentenalter': 0.33499999999999996, 'hinaus': 0, 'Erwerbstätigen': 0.07, 'hat': 0, 'deutlich': 0, 'zugenommen': 1.0, 'a': 0.1, '…': 0}",negative,"[0.09843445, 0.8339186, 0.067647]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @NZZaS: Grössere Firmen müssen neu eine Lohngleichheitsanalyse durchführen. Kürzlich ist die Frist für diese Analyse abgelaufen und erst…,grössere firmen müssen neu lohngleichheitsanalyse durchfahren kürzlich frist analyse ablaufen erst,,,,,,,"{'Grössere': 0, 'Firmen': 0.23, 'müssen': 0.16, 'neu': 0, 'eine': 0, 'Lohngleichheitsanalyse': 0.37, 'durchführen': 0, 'Kürzlich': 0.09, 'ist': 0, 'die': 0.08, 'Frist': 0.22, 'für': 0.04, 'diese': 0.21, 'Analyse': 0.14, 'abgelaufen': 0.08, 'und': 0.06, 'erst': 0, '…': 0}",neutral,"[0.98165315, 0.0067926864, 0.011554176]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,positive,"RT @NeuhausC: Rot, röter, Basel? Das Ja zum Mindestlohn ist ein Hammer – und doch ist die Stadt konservativer als Bern oder Zürich, schreib…",rot röter basel ja mindestlohn hammer stadt konservativ bern zürich schreib,,,,,,,,,,"{'Rot': 0, 'röter': 0, 'Basel': 0.12, 'Das': 0.06, 'Ja': 0.14, 'zum': 0.09, 'Mindestlohn': 0.8200000000000001, 'ist': 0, 'ein': 0, 'Hammer': 0, '–': 0, 'und': 0, 'doch': 0, 'die': 0, 'Stadt': 0, 'konservativer': 0, 'als': 0, 'Bern': 0, 'oder': 0, 'Zürich': 0, 'schreib': 0, '…': 0}",positive,"[0.0013563584, 0.0012303771, 0.99741334]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
