answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3433,absa_sentiment_3433,absa_scores_3433,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3451,absa_sentiment_3451,absa_scores_3451,absa_token_weights_3455,absa_sentiment_3455,absa_scores_3455,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
100.0,100.0,86.0,0.7,neutral,"RT @jglpCH: Zusammen mit @beatflach wollen wir #Cannabis kontrolliert legalisieren und besteuern. «Ein Haufen Geld, den man analog zum #Tab…",zusammen cannabis kontrollieren legalisieren besteuern haufen geld analog tab,"{'Zusammen': 0.08, 'mit': 0.06, 'wollen': 0.11, 'wir': 0, 'Cannabis': 1.0, 'kontrolliert': 0.2, 'legalisieren': 0.7, 'und': 0.36, 'besteuern': 1.0, '«': 0, 'Ein': 0, 'Haufen': 0, 'Geld': 0, 'den': 0, 'man': 0, 'analog': 0, 'zum': 0, 'Tab': 0, '…': 0}",neutral,"[0.88689196, 0.03227997, 0.08082807]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @kathrinbertschy: Die #SVP: Gestern gegen Cannabis für Schwerkranke http://t.co/kKTgzlNnLF heute #EinHerzfürSchnaps. #BertschymitKöpfli …,svp gestern cannabis schwerkranke heute einherzfürschnaps bertschymitköpfli,"{'Die': 0.12, 'SVP': 0, 'Gestern': 0.85, 'gegen': 1.0, 'Cannabis': 0.89, 'für': 0.4, 'Schwerkranke': 0.16, 'heute': 0.11, 'EinHerzfürSchnaps': 0.4, 'BertschymitKöpfli': 0, '…': 0}",neutral,"[0.7030542, 0.18463425, 0.11231156]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @BundeshausRadio: NR stimmt für Pilotversuch mit Cannabis. #Cannabis soll bei Schwerkranken als Medi eingesetzt werden. 123:39/17 #ParlCH,nr stimmen pilotversuch cannabis cannabis schwerkrank medi einsetzen parlch,"{'NR': 0, 'stimmt': 0, 'für': 0.06, 'Pilotversuch': 0.655, 'mit': 1.0, 'Cannabis': 0.14, 'soll': 0, 'bei': 0, 'Schwerkranken': 0.065, 'als': 0.05, 'Medi': 0.06, 'eingesetzt': 0.11, 'werden': 0, '123:39': 0, 'ParlCH': 0.06}",neutral,"[0.8255736, 0.008724664, 0.16570175]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,RT @grunliberale: Grünliberale Politik ist #enkeltauglich. «Das Rentenalter muss sich den jeweiligen demografischen Realitäten anpassen. Da…,grünliberale politik enkeltauglich rentenalter jeweilig demografischen realitäten anpassen,,,,"{'Grünliberale': 0.1, 'Politik': 0, 'ist': 0, 'enkeltauglich': 0, '«': 0, 'Das': 0, 'Rentenalter': 0, 'muss': 0, 'sich': 0, 'den': 0, 'jeweiligen': 0, 'demografischen': 0, 'Realitäten': 0, 'anpassen': 0, 'Da': 0, '…': 0}",positive,"[0.041907907, 0.01157359, 0.9465185]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"Das Rentenalter muss angepasst werden - aber in einer separaten Vorlage. Getraut Euch @FDP_Liberalen, beerdigt mit uns diesen unsäglichen #Kuhhandel. @PetraGoessi @RuediNoser https://t.co/6ZfoebZHIP",rentenalter angepasst separat vorlage trauen beerdigen unsäglichen kuhhandel,,,,"{'Das': 0.33, 'Rentenalter': 0.85, 'muss': 0.11, 'angepasst': 0, 'werden': 0, 'aber': 0.62, 'in': 0.31, 'einer': 0, 'separaten': 0.33, 'Vorlage': 0.36, 'Getraut': 0, 'Euch': 0, 'beerdigt': 0, 'mit': 0.1, 'uns': 0.09, 'diesen': 0.16, 'unsäglichen': 0.37, 'Kuhhandel': 0.32}",neutral,"[0.59372026, 0.19876203, 0.20751776]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
25.0,25.0,28.0,-0.4,neutral,"@ChristianLevrat @tagesanzeiger Das ist der Abschied von enkeltauglicher Politik. Eine echte Reform wird verzögert,  damit bezahlen Junge immer mehr! Es braucht eine Angleichung und Erhöhung des Rentenalters! sachfremder #Giftmix, ungerechte #Umverteilung, Angriff auf #Generationenvertrag",abschied enkeltauglicher politik echte reform verzögern bezahlen junge immer mehr brauchen angleichung erhöhung rentenalters sachfremder giftmix ungerecht umverteilung angreifen generationenvertrag,,,,"{'Das': 1.0, 'ist': 0.05, 'der': 1.0, 'Abschied': 0, 'von': 0, 'enkeltauglicher': 0, 'Politik': 0, 'Eine': 0, 'echte': 0.03, 'Reform': 0.1, 'wird': 0, 'verzögert': 0.07, 'damit': 0.12, 'bezahlen': 0, 'Junge': 0.05, 'immer': 0, 'mehr': 0.04, 'Es': 0.05, 'braucht': 0.76, 'eine': 0, 'Angleichung': 0, 'und': 0.04, 'Erhöhung': 0, 'des': 0, 'Rentenalters': 0.9199999999999999, 'sachfremder': 0, 'Giftmix': 0.07, 'ungerechte': 0, 'Umverteilung': 0.03, 'Angriff': 0.06, 'auf': 0.02, 'Generationenvertrag': 0}",negative,"[0.004999364, 0.9837091, 0.011291517]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
25.0,0.0,14.0,-0.5666666666666667,neutral,"@RuediNoser @digit_AI Und was ist mit den jungen Arbeitnehmer/-innen? Sie bezahlen den AHV-Zustupf über mehr Lohnbeiträge und Steuern und riskieren erst noch, dass die Rentenalteranpassung dadurch weiter verzögert wird.",jung arbeitnehmer innen bezahlen ahv zustupf mehr lohnbeiträge steuern riskieren erst rentenalteranpassung dadurch weit verzögern,,,,"{'Und': 0.07, 'was': 0, 'ist': 0, 'mit': 0, 'den': 0.2, 'jungen': 0, 'Arbeitnehmer/-innen': 0, 'Sie': 0, 'bezahlen': 0.14, 'AHV-Zustupf': 0, 'über': 0, 'mehr': 0.06, 'Lohnbeiträge': 0.11000000000000001, 'und': 0.07, 'Steuern': 0, 'riskieren': 0.19, 'erst': 0, 'noch': 0.17, 'dass': 0.22, 'die': 0.2, 'Rentenalteranpassung': 0.8049999999999999, 'dadurch': 0.1, 'weiter': 0.83, 'verzögert': 1.0, 'wird': 0.31}",negative,"[0.014190979, 0.9813301, 0.004478912]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,100.0,1.0,neutral,"Wir wollen eine Volksabstimmung zur #AV2020. Senkung Umw.-Satz &amp; Angl. Rentenalter gut, bittere Pille 70 Fr für alle https://t.co/kT2JZ9NZby",volksabstimmung av2020 senkung umw satz amp angl rentenalter gut bitter pille fr all,,,,"{'Wir': 0.06, 'wollen': 0.18, 'eine': 0, 'Volksabstimmung': 0.12, 'zur': 0, 'AV2020.': 0, 'Senkung': 0.17, 'Umw.-Satz': 0, 'amp': 0.06, 'Angl': 0.11, 'Rentenalter': 0.915, 'gut': 0, 'bittere': 0.46, 'Pille': 0.32, 'Fr': 0.09, 'für': 0.27, 'alle': 0.23}",positive,"[0.0010452841, 0.0010009318, 0.9979538]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
25.0,25.0,28.0,-0.3333333333333333,neutral,"@ruediloeffel @RuediNoser Endlich das Rentenalter erhöhen! 5% bezahlen 70% der Steuern, Sozialleistungen müssen auch berücksichtigt werden.",endlich rentenalter erhöhen bezahlen steuern sozialleistungen müssen berücksichtigen,,,,"{'Endlich': 1.0, 'das': 0, 'Rentenalter': 0.49, 'erhöhen': 1.0, 'bezahlen': 0.15, 'der': 0.08, 'Steuern': 0, 'Sozialleistungen': 0.1, 'müssen': 0, 'auch': 0.07, 'berücksichtigt': 0.10500000000000001, 'werden': 0}",positive,"[0.21181656, 0.044633966, 0.7435494]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"RT @grunliberale: Für uns Grünliberale gehört zur #Ehefüralle auch der Zugang zur #Fortpflanzungsmedizin. Es gibt schlicht keinen Grund, di…",grünliberale hören ehefüralle zugang fortpflanzungsmedizin geben schleichen grund di,,,,,,,"{'Für': 0.06, 'uns': 0.07, 'Grünliberale': 0.085, 'gehört': 0, 'zur': 0.06, 'Ehefüralle': 0.06, 'auch': 0.2, 'der': 0, 'Zugang': 0.73, 'Fortpflanzungsmedizin': 0.6950000000000001, 'Es': 0.04, 'gibt': 0, 'schlicht': 0, 'keinen': 0, 'Grund': 0, 'di': 0, '…': 0}",positive,"[0.068795815, 0.008399167, 0.9228051]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
75.0,75.0,71.0,0.35,neutral,"Immer mehr Wirtschaftsvertreter haben den Durchblick in Sachen wirksamem #Klimaschutz, ich teile die 10 Punkte. Vielen Dank. Hier meine Roadmap zur erneuerbaren, klimaneutralen und eigenständigen Energieversorgung der Schweiz: https://t.co/fhPSuHMwaV https://t.co/NGCvtSVdAO",immer mehr wirtschaftsvertreter durchblick sachen wirksam klimaschutz teile punkte danken roadmap erneuerbaren klimaneutralen eigenständig energieversorgung schweiz,,,,,,,,,,"{'Immer': 0, 'mehr': 0.05, 'Wirtschaftsvertreter': 0.07, 'haben': 0.08, 'den': 0.05, 'Durchblick': 0, 'in': 0.36, 'Sachen': 0, 'wirksamem': 0.05, 'Klimaschutz': 0.05500000000000001, 'ich': 0.06, 'teile': 0.07, 'die': 0.05, 'Punkte': 0.08, 'Vielen': 0.12, 'Dank': 0.21, 'Hier': 0.39, 'meine': 0.41, 'Roadmap': 0.63, 'zur': 0.05, 'erneuerbaren': 0.28, 'klimaneutralen': 0.08, 'und': 0.21, 'eigenständigen': 0.17, 'Energieversorgung': 0.18, 'der': 0.05, 'Schweiz': 0.6}",positive,"[0.0013013912, 0.001023829, 0.99767476]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
