answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3419,absa_sentiment_3419,absa_scores_3419,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3432,absa_sentiment_3432,absa_scores_3432,absa_token_weights_3433,absa_sentiment_3433,absa_scores_3433,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3474,absa_sentiment_3474,absa_scores_3474,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,sentiment_tb
100.0,100.0,86.0,0.7,neutral,"Hey @nau_live, wie könnt ihr einen Beitrag zur #Cannabis Legalisierung machen, welche dank Parl. Initiative von @Mitte_Centre NR @h_siegenthaler einen grossen Schritt vorwärts macht, ohne ihn im Beitrag zu erwähnen? https://t.co/iioppC02Wc",hey beitrag cannabis legalisierung welch danken parl initiative nr grossen schritt vorwärts beitrag erwähnen,"{'Hey': 0.19, 'wie': 0.65, 'könnt': 0.69, 'ihr': 0, 'einen': 0.15, 'Beitrag': 0.15, 'zur': 0.21000000000000002, 'Cannabis': 0.1, 'Legalisierung': 0.13, 'machen': 0, 'welche': 0.15, 'dank': 0.39, 'Parl': 0.12, 'Initiative': 0.57, 'von': 0, 'NR': 0, 'grossen': 0, 'Schritt': 0.24, 'vorwärts': 0.25, 'macht': 0, 'ohne': 0.69, 'ihn': 0, 'im': 0, 'zu': 0.26, 'erwähnen': 0}",neutral,"[0.53838474, 0.019690976, 0.44192427]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,RT @h_siegenthaler: Mein Vorstoss zu Cannabis wurde gutgeheissen! https://t.co/eLwxFhxAjL,vorstoss cannabis gutgeheissen,"{'Mein': 0.45, 'Vorstoss': 0, 'zu': 0.39, 'Cannabis': 0.65, 'wurde': 0, 'gutgeheissen': 1.0}",positive,"[0.0051549813, 0.0012209249, 0.9936241]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @HansruediWidmer: @RonjaJansen Es ist die Mathematik, die eine Erhöhung des Rentenalters diktiert. Und Mathematik ist weder rechts noch…",mathematik erhöhung rentenalters diktieren mathematik weder rechts,,,,"{'Es': 0.14, 'ist': 0.14, 'die': 0.33, 'Mathematik': 0, 'eine': 0, 'Erhöhung': 1.0, 'des': 0, 'Rentenalters': 0.8200000000000001, 'diktiert': 0, 'Und': 0.15, 'weder': 0.36, 'rechts': 0.17, 'noch': 0, '…': 0}",positive,"[0.4086478, 0.16383012, 0.42752203]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @papizeit: Jetzt ist es amtlich: Ab dem 1. Januar 2021 erhalten alle frischgebackenen Väter in der Schweiz einen #Vaterschaftsurlaub!
Al…",amtlich ab januar erhalten all frischgebackenen väter schweiz vaterschaftsurlaub al,,,,,,,"{'Jetzt': 0.04, 'ist': 0.04, 'es': 0.04, 'amtlich': 0.1, 'Ab': 0, 'dem': 0, '1.': 0, 'Januar': 0.04, 'erhalten': 0.64, 'alle': 0, 'frischgebackenen': 0, 'Väter': 0.1, 'in': 0.07, 'der': 0, 'Schweiz': 0.13, 'einen': 0, 'Vaterschaftsurlaub': 0.64, 'Al': 0.15, '…': 0}",positive,"[0.0051404806, 0.0017804162, 0.9930791]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Einmal mehr ein Lob an die Bundeskanzlei für die #VoteInfo App des Bundes.

Schnelle &amp; übersichtliche Resultate zu den Vorlagen der heutigen Abstimmung. #Abst20
#Kündigungsinitiative #Vaterschaftsurlaub #Kampfflugzeuge https://t.co/wYhGoRdv6m",mehr lob bundeskanzlei voteinfo app bundes schnellen amp übersichtlich resultate vorlagen heutig abstimmung abst20 kündigungsinitiative vaterschaftsurlaub kampfflugzeuge,,,,,,,"{'Einmal': 0.02, 'mehr': 0, 'ein': 0, 'Lob': 0, 'an': 0, 'die': 0.02, 'Bundeskanzlei': 0.025, 'für': 0.02, 'VoteInfo': 0.09, 'App': 0.06, 'des': 0, 'Bundes': 0.02, 'Schnelle': 0.03, 'amp': 0.04, 'übersichtliche': 0.03, 'Resultate': 0.04, 'zu': 0.02, 'den': 0.02, 'Vorlagen': 0, 'der': 0.02, 'heutigen': 0.04, 'Abstimmung': 0, 'Abst20': 0.19, 'Kündigungsinitiative': 0.46, 'Vaterschaftsurlaub': 1.0, 'Kampfflugzeuge': 0}",neutral,"[0.6707545, 0.048626516, 0.280619]",,,,,,,,,,,,,"{'Einmal': 0.01, 'mehr': 0, 'ein': 0, 'Lob': 0, 'an': 0, 'die': 0.04, 'Bundeskanzlei': 0.08, 'für': 0.02, 'VoteInfo': 0.1, 'App': 0.04, 'des': 0, 'Bundes': 0.06, 'Schnelle': 0.04, 'amp': 0.05, 'übersichtliche': 0.03, 'Resultate': 0.05, 'zu': 0.02, 'den': 0.04, 'Vorlagen': 0, 'der': 0.04, 'heutigen': 0.05, 'Abstimmung': 0, 'Abst20': 0.09, 'Kündigungsinitiative': 0.1, 'Vaterschaftsurlaub': 0.24, 'Kampfflugzeuge': 0}",neutral,"[0.68826795, 0.034608006, 0.27712405]",,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"@MFrauchigerSVP Viele machen aus Bequemlichkeit keinen Spendeausweis für eine Organspende.

Aus Bequemlichkeit sich nicht gegen die Organspende auszusprechen ist mMn deutlich sinnvoller. Ja zur Widerspruchslösung, meinetwegen auch mit Mitsprache der Angehörigen. Aber die Situation muss ändern!",bequemlichkeit spendeausweis organspende bequemlichkeit organspende aussprechen mmn deutlich sinnvoll ja widerspruchslösung meinetwegen mitsprache angehörig situation ändern,,,,,,,,,,"{'Viele': 0, 'machen': 0.08, 'aus': 0.01, 'Bequemlichkeit': 0.02, 'keinen': 0, 'Spendeausweis': 0.03, 'für': 0.02, 'eine': 0, 'Organspende': 0.03, 'Aus': 0.01, 'sich': 0, 'nicht': 0.02, 'gegen': 0.05, 'die': 0.03, 'auszusprechen': 0.05, 'ist': 0, 'mMn': 0, 'deutlich': 0, 'sinnvoller': 0.015, 'Ja': 0, 'zur': 0.04, 'Widerspruchslösung': 0.02, 'meinetwegen': 0.01, 'auch': 0, 'mit': 0.01, 'Mitsprache': 0, 'der': 0.03, 'Angehörigen': 0.02, 'Aber': 0.03, 'Situation': 0.04, 'muss': 0.05, 'ändern': 0.05}",neutral,"[0.69715464, 0.06134393, 0.24150147]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,"@Conly0301 @MFrauchigerSVP @ZStadtfux Also, was sind denn die Gründe welche gegen eine Einbürgerung sprechen? Dr 5er unds Weggli gibt es nicht.

Selbes Spiel: Die EU kann nicht erwarten dass eine UBRL in einem Land eingesetzt wird, welches nicht mal Mitglied der Union ist.",gründe welch einbürgerung sprechen dr 5er unds weggli geben selbes spiel eu erwarten ubrl land einsetzen welch mal mitglied union,,,,,,,,,,,,,"{'Also': 0, 'was': 0, 'sind': 0.06, 'denn': 0, 'die': 0.02, 'Gründe': 0.38, 'welche': 0, 'gegen': 1.0, 'eine': 0, 'Einbürgerung': 1.0, 'sprechen': 0.295, 'Dr': 0.05, '5er': 0.07, 'unds': 0.07, 'Weggli': 0.05, 'gibt': 0.06, 'es': 0.01, 'nicht': 0.01, 'Selbes': 0, 'Spiel': 0.16, 'Die': 0.02, 'EU': 0, 'kann': 0, 'erwarten': 0.05, 'dass': 0.02, 'UBRL': 0.06, 'in': 0.02, 'einem': 0, 'Land': 0, 'eingesetzt': 0.04, 'wird': 0, 'welches': 0, 'mal': 0, 'Mitglied': 0.03, 'der': 0.02, 'Union': 0.05, 'ist': 0.01}",negative,"[0.24731292, 0.70996296, 0.042724103]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
75.0,75.0,71.0,0.2333333333333333,negative,"@ZStadtfux Autom. Einbürgerungen finde ich falsch. Es gibt bereits heute genug Möglichkeiten das schweizer Bürgerrecht zu erhalten, da wäre eine vereinheitlichung der Abläufe innerhalb der Schweiz sinnvoller.

Was Wermuth da fordert ist nur ein Zwischenschritt zum Beitritt in die EU.",autom einbürgerungen finden falsch geben bereits heute genug möglichkeiten schweizer bürgerrecht erhalten vereinheitlichung abläufe innerhalb schweiz sinnvoll wermuth fordern zwischenschritt beitreten eu,,,,,,,,,,,,,"{'Autom': 0, 'Einbürgerungen': 1.0, 'finde': 0, 'ich': 0.2, 'falsch': 0, 'Es': 0.02, 'gibt': 0.08, 'bereits': 0.07, 'heute': 0.04, 'genug': 0.11, 'Möglichkeiten': 0.11, 'das': 0, 'schweizer': 0.04, 'Bürgerrecht': 0, 'zu': 0.03, 'erhalten': 0, 'da': 0, 'wäre': 0.04, 'eine': 0, 'vereinheitlichung': 0, 'der': 0.02, 'Abläufe': 0.05, 'innerhalb': 0, 'Schweiz': 0.03, 'sinnvoller': 0.08, 'Was': 0, 'Wermuth': 0, 'fordert': 0, 'ist': 0.02, 'nur': 0.05, 'ein': 0, 'Zwischenschritt': 0.03, 'zum': 0.025, 'Beitritt': 0, 'in': 0, 'die': 0.02, 'EU': 0.2}",negative,"[0.005900321, 0.9731873, 0.02091241]",,,,,,,,,,,,,"{'Autom': 0, 'Einbürgerungen': 0.57, 'finde': 0, 'ich': 0.57, 'falsch': 0, 'Es': 0.06, 'gibt': 0.07, 'bereits': 0.08, 'heute': 0.11, 'genug': 0.06, 'Möglichkeiten': 0.08, 'das': 0, 'schweizer': 0.02, 'Bürgerrecht': 0, 'zu': 0.02, 'erhalten': 0, 'da': 0, 'wäre': 0.04, 'eine': 0, 'vereinheitlichung': 0, 'der': 0.01, 'Abläufe': 0.03, 'innerhalb': 0, 'Schweiz': 0.03, 'sinnvoller': 0.05, 'Was': 0, 'Wermuth': 0, 'fordert': 0, 'ist': 0.06, 'nur': 0.06, 'ein': 0, 'Zwischenschritt': 0.02, 'zum': 0.015, 'Beitritt': 0, 'in': 0, 'die': 0.01, 'EU': 0.57}",negative,"[0.24097821, 0.6567919, 0.10222992]",,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,neutral,"Hey Ruedi, Verständigungsfrage:

Wir wollen die gleiche Rechte.

#Israel kennt die Leihmutterschaft für Heterosexuelle Menschen und gibt nun gleichgeschlechtlichen Paaren dieselben Rechte.

In der Schweiz ist #Leihmutterschaft auch für Heteros verboten. Das bedeutet also...? https://t.co/q6gaGObFiI",hey ruedi verständigungsfrage gleich rechte israel kennen leihmutterschaft heterosexuelle menschen geben gleichgeschlechtlich paaren rechte schweiz leihmutterschaft heteros verbieten bedeuten,,,,,,,,,,,,,,,,"{'Hey': 0.03, 'Ruedi': 0.05, 'Verständigungsfrage': 0.03, 'Wir': 0.02, 'wollen': 0.02, 'die': 0.23, 'gleiche': 0.25, 'Rechte': 0, 'Israel': 0.06, 'kennt': 0.04, 'Leihmutterschaft': 0.08, 'für': 0.04, 'Heterosexuelle': 0, 'Menschen': 0.08, 'und': 0.06, 'gibt': 0, 'nun': 0, 'gleichgeschlechtlichen': 0.625, 'Paaren': 0, 'dieselben': 0.25, 'In': 0.02, 'der': 0.23, 'Schweiz': 0.04, 'ist': 0.04, 'auch': 0.03, 'Heteros': 0.1, 'verboten': 0.04, 'Das': 0.23, 'bedeutet': 0.02, 'also': 0.03, '...': 0}",neutral,"[0.7720243, 0.013843011, 0.21413274]",,,,,,,,,,,,,,,,,,,,,,negative
0.0,0.0,0.0,-1.0,neutral,"@rodochri90 @Ursula140619 @nickglaettli @evppev Fortpflanzungsmedizin wird mit einem Nein zur Ehe für Alle nicht verboten, das ist bewusst oder?",fortpflanzungsmedizin nein ehe all verbieten bewusst,,,,,,,,,,,,,,,,,,,"{'Fortpflanzungsmedizin': 0.52, 'wird': 0, 'mit': 0.15, 'einem': 0, 'Nein': 0.07, 'zur': 0.05, 'Ehe': 0.11, 'für': 0.07, 'Alle': 0.08, 'nicht': 1.0, 'verboten': 0, 'das': 0.12, 'ist': 0.14, 'bewusst': 0, 'oder': 0}",neutral,"[0.54758406, 0.019335981, 0.4330799]",,,,,,,,,,,,,,,,,,,negative
