answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,sentiment_tb
100.0,100.0,100.0,1.0,neutral,"Einfach genial, wie unsere Bundesrätin neue Wege anpackt: Teilzeit-Soldat*innen, Kinderbetreuung und Verankerung des Militärs/Armee im Lehrplan von Schulen. Danke @Violapamherd  für diese Perspektiven am #weltfrauentag2021 
https://t.co/867bbhShk9",einfach genial bundesrätin neue wege anpacken teilzeit soldat innen kinderbetreuung verankerung militärs armee lehrplan schulen danke perspektiven weltfrauentag2021,"{'Einfach': 0, 'genial': 0, 'wie': 0.03, 'unsere': 0.02, 'Bundesrätin': 0.03, 'neue': 0.04, 'Wege': 0, 'anpackt': 0.1, 'Teilzeit-Soldat*innen': 0.19, 'Kinderbetreuung': 1.0, 'und': 0.36, 'Verankerung': 0.16, 'des': 0, 'Militärs': 0.02, 'Armee': 0.04, 'im': 0, 'Lehrplan': 0.05, 'von': 0, 'Schulen': 0, 'Danke': 0.03, 'für': 0.02, 'diese': 0, 'Perspektiven': 0.12, 'am': 0, 'weltfrauentag2021': 0}",positive,"[0.0006776704, 0.0010862282, 0.99823606]",,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Die ⁦@spschweiz⁩ kündigt das Referendum gegen die höheren Steuerabzüge für externe Kinderbetreuung an. Ja... genau die Partei, welche sich sonst #Gleichstellung permanent auf die Fahne schreibt.  https://t.co/UGWmNgHWpt",kündigen referendum hoch steuerabzüge externe kinderbetreuung ja genau partei welch gleichstellung permanent fahne schreiben,"{'Die': 0.05, '\u2066\u2069': 0, 'kündigt': 0, 'das': 0, 'Referendum': 0, 'gegen': 0, 'die': 0, 'höheren': 0, 'Steuerabzüge': 0, 'für': 0, 'externe': 0, 'Kinderbetreuung': 0, 'an': 0, 'Ja': 0, '...': 0, 'genau': 0, 'Partei': 0, 'welche': 0, 'sich': 0, 'sonst': 0, 'Gleichstellung': 0, 'permanent': 0, 'auf': 0, 'Fahne': 0, 'schreibt': 0}",neutral,"[0.8534631, 0.06410977, 0.08242704]",,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,FAMILIE - Erfolgsmodell Teilzeitarbeit: Gemeinsame Kinderbetreuung macht glücklich https://t.co/bW3yFTEFzD @LuzernerZeitung,familie erfolgsmodell teilzeitarbeit gemeinsam kinderbetreuung glücklich,"{'FAMILIE': 0.1, 'Erfolgsmodell': 0.14, 'Teilzeitarbeit': 0.03, 'Gemeinsame': 0, 'Kinderbetreuung': 1.0, 'macht': 0, 'glücklich': 0.11}",positive,"[0.00165718, 0.0018670694, 0.99647576]",,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.6666666666666666,neutral,"Frauenkandidaturen für den Bundesrat, gleiches Rentenalter für alle und aktuelle Debatte um #SV17 &amp; #AHV für Mittelstand prüfen - klingt gar nicht so nach SVP ... man staune😲😉

Nur Frauen wären interessant» https://t.co/x8AHTrhTlH",frauenkandidaturen bundesrat gleich rentenalter all aktuell debatte sv17 amp ahv mittelstand prüfen klingen gar svp staunen frauen interessant,,,,"{'Frauenkandidaturen': 0.25, 'für': 0.07, 'den': 0.17, 'Bundesrat': 0.135, 'gleiches': 1.0, 'Rentenalter': 0.905, 'alle': 0, 'und': 0.34, 'aktuelle': 0.13, 'Debatte': 0.49, 'um': 0, 'SV17': 0.08, 'amp': 0.03, 'AHV': 0.04, 'Mittelstand': 0, 'prüfen': 0.05, 'klingt': 0, 'gar': 0.06, 'nicht': 0, 'so': 0, 'nach': 0, 'SVP': 0, '...': 0, 'man': 0, 'staune': 0, 'Nur': 0, 'Frauen': 0.05, 'wären': 0.04, 'interessant': 0.1, '»': 0}",neutral,"[0.7349839, 0.01691958, 0.24809647]",,,,,,,,,,,,,,,,positive
0.0,0.0,14.0,-0.7,neutral,RT @LaeriPatrizia: Was habe ich in meiner Kindheit am meisten vermisst? Meinen Vater. Die Debatte um den #Vaterschaftsurlaub ist für mich u…,kindheit meist vermisst vater debatte vaterschaftsurlaub u,,,,,,,"{'Was': 0, 'habe': 0, 'ich': 0.03, 'in': 0.02, 'meiner': 0, 'Kindheit': 0.08, 'am': 0, 'meisten': 0.04, 'vermisst': 0, 'Meinen': 0, 'Vater': 0.09, 'Die': 0.12, 'Debatte': 0.88, 'um': 0, 'den': 0.12, 'Vaterschaftsurlaub': 0.48, 'ist': 0.21, 'für': 0.14, 'mich': 0.12, 'u': 0.19, '…': 0}",neutral,"[0.6972221, 0.11648273, 0.18629515]",,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,negative,"Nein, es gibt eben den #Vaterschaftsurlaub noch nicht! Es gibt wenn dann FERIEN! Das ist nicht das Gleiche! #srfarena",nein geben eben vaterschaftsurlaub geben ferien gleich srfarena,,,,,,,"{'Nein': 1.0, 'es': 0.05, 'gibt': 0, 'eben': 0, 'den': 0.03, 'Vaterschaftsurlaub': 0.81, 'noch': 0, 'nicht': 0.12, 'Es': 0.05, 'wenn': 0.28, 'dann': 0, 'FERIEN': 0, 'Das': 0.03, 'ist': 0.05, 'das': 0.08, 'Gleiche': 0.13, 'srfarena': 0.11}",negative,"[0.030856851, 0.9502024, 0.018940797]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @CVP_PDC: Wieso fordert die #CVP schon lange einen zweiwöchigen   Vaterschaftsurlaub? @AGmur erklärte es hier kurz und knapp. 💪🏼 Und nic…,wieso fordern cvp schon lang zweiwöchigen vaterschaftsurlaub erklären kurz knapp nic,,,,,,,"{'Wieso': 0, 'fordert': 0, 'die': 0.14, 'CVP': 0.25, 'schon': 0, 'lange': 0.11, 'einen': 0.04, 'zweiwöchigen': 0, 'Vaterschaftsurlaub': 0.69, 'erklärte': 0.22, 'es': 0, 'hier': 0.05, 'kurz': 0, 'und': 0.05, 'knapp': 0, 'Und': 0.05, 'nic': 0, '…': 0}",neutral,"[0.5209719, 0.471741, 0.00728709]",,,,,,,,,,,,,neutral
25.0,25.0,28.0,-0.35,neutral,Passend zu heute: Nie mehr Vätertag ohne #Vaterschaftsurlaub   https://t.co/YQRtb7nUXe,passen heute nie mehr vätertag vaterschaftsurlaub,,,,,,,"{'Passend': 0, 'zu': 0, 'heute': 0.1, 'Nie': 0.22, 'mehr': 0.11, 'Vätertag': 0, 'ohne': 0.39, 'Vaterschaftsurlaub': 0.61}",positive,"[0.023321215, 0.008666697, 0.9680121]",,,,,,,,,,,,,negative
75.0,75.0,71.0,0.3333333333333333,neutral,"Und übrigends: wenn kein #Vaterschaftsurlaub und nicht mehr ausreichend #Kitas da sind, dann können wir FRAUEN unser wirtschaftliches Potenzial auch nicht mehr ausschöpfen! So viel noch liebe #SVP zur #Wirschaftsförderung!",übrigends vaterschaftsurlaub mehr ausreichen kitas frauen wirtschaftlich potenzial mehr ausschöpfen lieb svp wirschaftsförderung,,,,,,,"{'Und': 0.42, 'übrigends': 0.0475, 'wenn': 1.0, 'kein': 0.05, 'Vaterschaftsurlaub': 0.94, 'und': 0.42, 'nicht': 0, 'mehr': 0, 'ausreichend': 0, 'Kitas': 0, 'da': 0, 'sind': 0.55, 'dann': 0.05, 'können': 0, 'wir': 0, 'FRAUEN': 0.06, 'unser': 0.02, 'wirtschaftliches': 0.04, 'Potenzial': 0.05, 'auch': 0, 'ausschöpfen': 0, 'So': 0.03, 'viel': 0, 'noch': 0, 'liebe': 0, 'SVP': 0, 'zur': 0.03, 'Wirschaftsförderung': 0.035}",negative,"[0.036426485, 0.6486757, 0.31489778]",,,,,,,,,,,,,positive
50.0,25.0,28.0,-0.15,negative,"#Vaterschaftsurlaub braucht‘s  nicht
#Kitas brauchen kein Geld vom Bund #Begrenzungsinitiative ist nötig, weil der Schutz vor #Corona durch #Grenzkontrollen gewährleistet werden kann.
#Welcome to the ⁦@SVPch⁩ World❗️😷 🤷🏻‍♀️

https://t.co/ro3CGweMeA",vaterschaftsurlaub brauchen s kitas brauchen geld bund begrenzungsinitiative nötigen schutz corona grenzkontrollen gewährleisten welcome to the world,,,,,,,"{'Vaterschaftsurlaub': 0.31, 'braucht': 0, '‘': 0, 's': 0, 'nicht': 0, 'Kitas': 0, 'brauchen': 0, 'kein': 0, 'Geld': 0, 'vom': 0, 'Bund': 0, 'Begrenzungsinitiative': 0, 'ist': 0, 'nötig': 0, 'weil': 0, 'der': 0, 'Schutz': 0, 'vor': 0, 'Corona': 0, 'durch': 0, 'Grenzkontrollen': 0, 'gewährleistet': 0, 'werden': 0, 'kann': 0, 'Welcome': 0, 'to': 0, 'the': 0, '\u2066\u2069': 0, 'World️': 0, '🤷': 0, '\u200d️': 0}",positive,"[0.24609004, 0.120443635, 0.6334663]",,,,,,,,,,,,,neutral
