answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3437,absa_sentiment_3437,absa_scores_3437,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3469,absa_sentiment_3469,absa_scores_3469,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3473,absa_sentiment_3473,absa_scores_3473,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
100.0,100.0,100.0,1.0,negative,Finanzhilfe für familienergänzende Kinderbetreuung wird mit 113 Ja zu 77 Nein angenommen. Gut so! https://t.co/vk792fDHXZ,finanzhilfe familienergänzende kinderbetreuung ja nein annehmen gut,"{'Finanzhilfe': 0.495, 'für': 1.0, 'familienergänzende': 0.06, 'Kinderbetreuung': 1.0, 'wird': 0, 'mit': 0.08, 'Ja': 0, 'zu': 0.05, 'Nein': 0.06, 'angenommen': 0.25, 'Gut': 0, 'so': 0}",positive,"[0.15149456, 0.04067849, 0.807827]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Finanzhilfe für familienergänzende Kinderbetreuung wird angenommen. @CVP_PDC einstimmig,  @FDP_Liberalen partiell. https://t.co/2gVgqC6GD4",finanzhilfe familienergänzende kinderbetreuung annehmen einstimmig partiell,"{'Finanzhilfe': 0.455, 'für': 1.0, 'familienergänzende': 0.04, 'Kinderbetreuung': 1.0, 'wird': 0, 'angenommen': 0.23, 'einstimmig': 0.06, 'partiell': 0.06}",positive,"[0.34092796, 0.047017105, 0.61205494]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,CVP-Fraktion sagt erneut klar JA zu Finanzhilfen für familienergänzende Kinderbetreuung. Z.K. liebe @SRF! https://t.co/dX9uAygd6e @CVP_PDC,cvp fraktion sagen erneut klaren ja finanzhilfen familienergänzende kinderbetreuung z k lieb,"{'CVP-Fraktion': 0, 'sagt': 0.07, 'erneut': 0, 'klar': 0, 'JA': 0, 'zu': 0.18, 'Finanzhilfen': 0, 'für': 1.0, 'familienergänzende': 0.08, 'Kinderbetreuung': 1.0, 'Z.K.': 0, 'liebe': 0.08}",positive,"[0.0009994769, 0.0013876507, 0.99761283]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @CVP_PDC: Die CVP-Fraktion entscheidet in ihrer Sitzung einstimmig, der Anschubfinanzierung für familienergänzende Kinderbetreuung zuzus…",cvp fraktion entscheiden sitzung einstimmig anschubfinanzierung familienergänzende kinderbetreuung zuzus,"{'Die': 0.15, 'CVP-Fraktion': 0, 'entscheidet': 0.12, 'in': 0.04, 'ihrer': 0, 'Sitzung': 0.08, 'einstimmig': 0.11, 'der': 0.15, 'Anschubfinanzierung': 0.99, 'für': 1.0, 'familienergänzende': 0.17, 'Kinderbetreuung': 1.0, 'zuzus': 0, '…': 0}",positive,"[0.45608345, 0.02946567, 0.5144509]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,@KarlMller13 @CVP_PDC Tolle Debatte der Männerlobby zu Gleichstellungsgesetz und Frauenrentenalter. Was ich wirklich gesagt habe heute Vormittag im Nationalrat: https://t.co/qjJgThEIsN,toll debatte männerlobby gleichstellungsgesetz frauenrentenalter wirklich sagen heute vormittag nationalrat,,,,"{'Tolle': 0.33, 'Debatte': 0.26, 'der': 0.06, 'Männerlobby': 0.11, 'zu': 0, 'Gleichstellungsgesetz': 0, 'und': 0.42, 'Frauenrentenalter': 0.8375, 'Was': 0, 'ich': 0.03, 'wirklich': 0.02, 'gesagt': 0.05, 'habe': 0, 'heute': 0, 'Vormittag': 0.06, 'im': 0, 'Nationalrat': 0.04}",positive,"[0.34438476, 0.012062285, 0.6435529]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0999999999999999,neutral,Vimentis sorgt für Verwirrung und falsche politische Schlüsse zum Rentenalter. Dies ist nicht das erste Mal. Vimentis ist leider zu wenig wissenschaftlich und seriös. @DFoppa  https://t.co/sXeJ8t6HZw,vimentis sorgen verwirrung falsch politische schlüsse rentenalter erste mal vimentis leider wenig wissenschaftlich seriös,,,,"{'Vimentis': 0.08, 'sorgt': 0, 'für': 0, 'Verwirrung': 0.44, 'und': 0.04, 'falsche': 1.0, 'politische': 0.44, 'Schlüsse': 1.0, 'zum': 0.04, 'Rentenalter': 0.5, 'Dies': 0, 'ist': 0.04, 'nicht': 0.05, 'das': 0, 'erste': 0.03, 'Mal': 0, 'leider': 0.07, 'zu': 0, 'wenig': 0.05, 'wissenschaftlich': 0.05, 'seriös': 0.05}",negative,"[0.011484228, 0.961842, 0.026673738]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @RuthHumbel: SVP will Rentenalter 67. Und was machen die tapferen Mannen? Sie enthalten sich der Stimme. https://t.co/sCnh5q2Ov1,svp rentenalter tapfer mannen enthalten stimme,,,,"{'SVP': 0, 'will': 0, 'Rentenalter': 0.8400000000000001, '67.': 0, 'Und': 0.26, 'was': 0, 'machen': 0.16, 'die': 0.11, 'tapferen': 0.14, 'Mannen': 0.12, 'Sie': 0, 'enthalten': 0, 'sich': 0, 'der': 0.11, 'Stimme': 0}",neutral,"[0.63341045, 0.023203691, 0.34338593]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,Nationalratskommission: Für automatische Erhöhung des Rentenalters. Mit FDP + SVP Absturz der Rentenreform!? https://t.co/lgm7qWbEvb,nationalratskommission automatische erhöhung rentenalters fdp svp absturz rentenreform,,,,"{'Nationalratskommission': 0, 'Für': 0.32, 'automatische': 1.0, 'Erhöhung': 1.0, 'des': 0, 'Rentenalters': 0.27999999999999997, 'Mit': 0.07, 'FDP': 0.12, 'SVP': 0, 'Absturz': 0.13, 'der': 0.06, 'Rentenreform': 0.11}",positive,"[0.28122827, 0.19976263, 0.51900905]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,@FelixSchneuwly @RuthHumbel Rechnen ist mehr als 1+1=2! Es geht um  Erfolgsabschätzung. Frauenrentenalter + Umwandlungssatz sind knifflig!,rechnen mehr gehen erfolgsabschätzung frauenrentenalter umwandlungssatz knifflig,,,,"{'Rechnen': 0, 'ist': 0.09, 'mehr': 0.07, 'als': 0, '1+1=2': 0, 'Es': 0.09, 'geht': 0, 'um': 0, 'Erfolgsabschätzung': 0.25, 'Frauenrentenalter': 0.4275, 'Umwandlungssatz': 0.375, 'sind': 1.0, 'knifflig': 1.0}",negative,"[0.0046564, 0.9797794, 0.015564111]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,AHV: @JCosandey rechnet falsch und würde ungl. Rentenalter behalten. 70.- ist guter Kompromiss @RuthHumbel  https://t.co/UxPjtPteVU,ahv rechnen falsch ungl rentenalter behalten gut kompromiss,,,,"{'AHV': 0.2, 'rechnet': 0.38, 'falsch': 0, 'und': 0.23, 'würde': 0.31, 'ungl': 0, 'Rentenalter': 0.8300000000000001, 'behalten': 0.65, '70.-': 0, 'ist': 0.08, 'guter': 0, 'Kompromiss': 0.15}",negative,"[0.13422115, 0.5737996, 0.29197925]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
