answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3419,absa_sentiment_3419,absa_scores_3419,absa_token_weights_3433,absa_sentiment_3433,absa_scores_3433,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"RT @grunliberale: «Die Grünliberalen beurteilen die #Kinderbetreuung für erwerbstätige Eltern als systemrelevant. Gerade jetzt, wo es alle…",grünliberalen beurteilen kinderbetreuung erwerbstätige eltern systemrelevant gerade all,"{'«': 0, 'Die': 0, 'Grünliberalen': 0, 'beurteilen': 0, 'die': 0, 'Kinderbetreuung': 0, 'für': 0, 'erwerbstätige': 0, 'Eltern': 0, 'als': 0, 'systemrelevant': 0, 'Gerade': 0, 'jetzt': 0, 'wo': 0, 'es': 0, 'alle': 0, '…': 0}",positive,"[0.023237213, 0.015220625, 0.9615421]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"Danke an @ClaudeBuehler und sein Team von @Telebasel für die interessante Diskussion im #Sonntagstalk über verschobene Lockerungen, «Autofresser» und Frauenrentenalter“. 
 https://t.co/c4mjD0JTe7",danke team interessante diskussion sonntagstalk verschoben lockerungen autofresser frauenrentenalter,,,,"{'Danke': 0, 'an': 0, 'und': 0, 'sein': 0, 'Team': 0.06, 'von': 0.05, 'für': 0.05, 'die': 0.05, 'interessante': 0.08, 'Diskussion': 0.1, 'im': 0, 'Sonntagstalk': 0, 'über': 0, 'verschobene': 0.47, 'Lockerungen': 0, '«': 0, 'Autofresser': 0, '»': 0, 'Frauenrentenalter': 0, '“': 0}",positive,"[0.20909607, 0.024346769, 0.76655716]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @grunliberale: «Das deutliche Ja zum #Vaterschaftsurlaub und Nein zu den #Kinderabzügen ist ein Zeichen, dass wir vorwärts machen können…",deutlich ja vaterschaftsurlaub nein kinderabzügen zeichen vorwärts,,,,,,,"{'«': 0, 'Das': 0, 'deutliche': 0, 'Ja': 0, 'zum': 0, 'Vaterschaftsurlaub': 0, 'und': 0, 'Nein': 0, 'zu': 0, 'den': 0, 'Kinderabzügen': 0, 'ist': 0, 'ein': 0, 'Zeichen': 0, 'dass': 0, 'wir': 0, 'vorwärts': 0, 'machen': 0, 'können': 0, '…': 0}",positive,"[0.068985134, 0.039084498, 0.8919304]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,RT @grunliberale: Das Ja zum #Vaterschaftsurlaub ist ein wichtiger Schritt in die richtige Richtung. Wir verlangen eine #Elternzeit von 14…,ja vaterschaftsurlaub wichtig schritt richtige richtung verlangen elternzeit,,,,,,,"{'Das': 0.04, 'Ja': 0, 'zum': 0.05, 'Vaterschaftsurlaub': 1.0, 'ist': 0.1, 'ein': 0, 'wichtiger': 0.11, 'Schritt': 0.1, 'in': 0.05, 'die': 0.04, 'richtige': 0.09, 'Richtung': 0.08, 'Wir': 0.73, 'verlangen': 0.06, 'eine': 0, 'Elternzeit': 0.61, 'von': 0, '…': 0}",neutral,"[0.6096362, 0.04763521, 0.34272856]",,,,,,,,,,,,,,,,,,,,,,,,,positive
0.0,0.0,0.0,-1.0,neutral,"RT @beatflach: Die #FDP hat heut die Vorlage für einen #Vaterschaftsurlaub auch mit der Begründung abgelehnt, es brauche eine Elternzeit. A…",fdp heut vorlage vaterschaftsurlaub begründung ablehnen brauche elternzeit a,,,,,,,"{'Die': 0.05, 'FDP': 0.27, 'hat': 0, 'heut': 0.1, 'die': 0.05, 'Vorlage': 0, 'für': 0.32, 'einen': 0.06, 'Vaterschaftsurlaub': 0.09, 'auch': 0, 'mit': 0, 'der': 0.05, 'Begründung': 0, 'abgelehnt': 0, 'es': 0, 'brauche': 0, 'eine': 0, 'Elternzeit': 0.095, 'A': 0.06, '…': 0}",neutral,"[0.46110746, 0.45131367, 0.08757889]",,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,86.0,0.7,neutral,"""Wir sind nicht nur verantwortlich für das, was wir tun, sondern auch für das was wir nicht tun"" sagte schon Molière. Ich unterstütze bei der #Organspende die Bewegung hin zu einer #Widerspruchslösung. Schweigen ist Silber, reden ist Gold! @srfnews 
 #srf https://t.co/Ed4vHTmvXP",verantwortlich tun tun sagen schon molière unterstützen organspende bewegung widerspruchslösung schweigen silber reden gold srf,,,,,,,,,,"{'Wir': 0.02, 'sind': 0.02, 'nicht': 0.04, 'nur': 0.05, 'verantwortlich': 0.06, 'für': 0.02, 'das': 0, 'was': 0, 'wir': 0, 'tun': 0.02, 'sondern': 0.04, 'auch': 0.04, 'sagte': 0.08, 'schon': 0, 'Molière': 0.24, 'Ich': 0.63, 'unterstütze': 0.53, 'bei': 0, 'der': 0.1, 'Organspende': 0.88, 'die': 0.1, 'Bewegung': 0, 'hin': 0, 'zu': 0, 'einer': 0, 'Widerspruchslösung': 0.1, 'Schweigen': 0, 'ist': 0.05, 'Silber': 0.1, 'reden': 0, 'Gold': 0.1, 'srf': 0.15}",positive,"[0.020830061, 0.0046491516, 0.9745208]",,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Wenn wir wollen, dass bei einem #Kinderwunsch das #Kindeswohl an erster Stelle steht, müssen wir die #Fortpflanzungsmedizin in der Schweiz liberalisieren und regulieren. ""Aus dem Auge aus dem Sinn"" ist nicht realitätsnah! #GesellschaftimWandel   
https://t.co/Jz7XkahjMb",kinderwunsch kindeswohl erst stelle stehen müssen fortpflanzungsmedizin schweiz liberalisieren regulieren auge sinn realitätsnah gesellschaftimwandel,,,,,,,,,,,,,"{'Wenn': 0.02, 'wir': 0, 'wollen': 0.01, 'dass': 0, 'bei': 0, 'einem': 0, 'Kinderwunsch': 0.07500000000000001, 'das': 0, 'Kindeswohl': 0, 'an': 0, 'erster': 0.02, 'Stelle': 0, 'steht': 0, 'müssen': 0.085, 'die': 0.04, 'Fortpflanzungsmedizin': 0.775, 'in': 0.04, 'der': 0.04, 'Schweiz': 0.25, 'liberalisieren': 0.41, 'und': 0.15, 'regulieren': 0.81, 'Aus': 0.03, 'dem': 0.07, 'Auge': 0, 'aus': 0.03, 'Sinn': 0, 'ist': 0.04, 'nicht': 0.09, 'realitätsnah': 0.14, 'GesellschaftimWandel': 0.08}",neutral,"[0.6836271, 0.06265176, 0.25372115]",,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @grunliberale: «Die #Fortpflanzungsmedizin wird angeboten in fast allen Ländern Europas, und wer sie nutzen will, tut es trotz Schweizer…",fortpflanzungsmedizin angeboten fast ländern europas wer nutzen tun trotzen schweizer,,,,,,,,,,,,,"{'«': 0, 'Die': 0, 'Fortpflanzungsmedizin': 0, 'wird': 0, 'angeboten': 0, 'in': 0, 'fast': 0, 'allen': 0, 'Ländern': 0, 'Europas': 0, 'und': 0, 'wer': 0, 'sie': 0, 'nutzen': 0, 'will': 0, 'tut': 0, 'es': 0, 'trotz': 0, 'Schweizer': 0, '…': 0}",neutral,"[0.77703637, 0.033409305, 0.18955436]",,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"RT @grunliberale: Die Roadmap Grossen zeigt den Weg in die komplett erneuerbare, CO2-neutrale und eigenversorgte Energiezukunft der Schweiz…",roadmap grossen zeigen komplett erneuerbare co2 neutral eigenversorgte energiezukunft schweiz,,,,,,,,,,,,,,,,"{'Die': 0.07, 'Roadmap': 0.12, 'Grossen': 0, 'zeigt': 0, 'den': 0.07, 'Weg': 0, 'in': 0.07, 'die': 0.07, 'komplett': 1.0, 'erneuerbare': 1.0, 'CO2-neutrale': 0, 'und': 0.09, 'eigenversorgte': 0, 'Energiezukunft': 0.19, 'der': 0.07, 'Schweiz': 0.06, '…': 0}",positive,"[0.00088480505, 0.0010582305, 0.99805695]",,,,,,,,,,,,,,,,positive
75.0,75.0,71.0,0.35,neutral,RT @grunliberale: #EsistZeit für mehr erneuerbare Energien. Das neue #Energiegesetz ist ein wichtiger Schritt in die richtige Richtung. Für…,esistzeit mehr erneuerbare energien neue energiegesetz wichtig schritt richtige richtung,,,,,,,,,,,,,,,,"{'EsistZeit': 0, 'für': 1.0, 'mehr': 0.22, 'erneuerbare': 0.11, 'Energien': 0.1, 'Das': 0.04, 'neue': 0.05, 'Energiegesetz': 0.07, 'ist': 0.07, 'ein': 0, 'wichtiger': 0.15, 'Schritt': 0.06, 'in': 0.03, 'die': 0.04, 'richtige': 0.05, 'Richtung': 0.06, 'Für': 1.0, '…': 0}",positive,"[0.018763417, 0.009043636, 0.972193]",,,,,,,,,,,,,,,,positive
