answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3391,absa_sentiment_3391,absa_scores_3391,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3455,absa_sentiment_3455,absa_scores_3455,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3474,absa_sentiment_3474,absa_scores_3474,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
75.0,75.0,71.0,0.2333333333333333,neutral,"Bravo. Ein Vorschlag, der mehrfach rentiert. Mehr Chancengerechtigkeit, höhere Pensen für Mütter, wirtschaftlich.
Vereinbarkeit von Beruf und Familie: Arbeitgeberverband ruft nach mehr Steuergeldern für Kinderbetreuung - Schweiz - Aargauer Zeitung https://t.co/zBgYpJI144",bravo vorschlag mehrfach rentieren mehr chancengerechtigkeit hoch pensen mütter wirtschaftlich vereinbarkeit beruf familie arbeitgeberverband rufen mehr steuergeldern kinderbetreuung schweiz aargauer zeitung,"{'Bravo': 0.02, 'Ein': 0.03, 'Vorschlag': 0.08, 'der': 0, 'mehrfach': 0, 'rentiert': 0.02, 'Mehr': 0.61, 'Chancengerechtigkeit': 0, 'höhere': 0.07, 'Pensen': 0, 'für': 1.0, 'Mütter': 0.03, 'wirtschaftlich': 0.03, 'Vereinbarkeit': 0, 'von': 0, 'Beruf': 0, 'und': 0, 'Familie': 0, 'Arbeitgeberverband': 0.35, 'ruft': 0.58, 'nach': 0, 'mehr': 0.61, 'Steuergeldern': 0.71, 'Kinderbetreuung': 1.0, 'Schweiz': 0.2, 'Aargauer': 0.1, 'Zeitung': 0}",positive,"[0.3288231, 0.11709361, 0.5540833]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
25.0,25.0,28.0,-0.2333333333333333,negative,"@prime_news_ch @thomas_aeschi @roche_schweiz @svpbasel @SVPch Schwierig, NR TAe nach dieser abwegigen Attacke in Wirtschaftsfragen noch ernst zu nehmen. Der Mix aus Ressentiments gegen erfolgreiche Ausländer (bzw. Eingebürgerte) und Unternehmen ist unappetitlich und absurd. Die Entfaltung von Innovation und Integration schafft Wohlstand.",schwierig nr tae abwegig attacke wirtschaftsfragen ernst nehmen mix ressentiments erfolgreich ausländer bzw eingebürgert unternehmen unappetitlich absurd entfaltung innovation integration schaffen wohlstand,,,,"{'Schwierig': 0.04, 'NR': 0, 'TAe': 0.06, 'nach': 0.03, 'dieser': 0.03, 'abwegigen': 0.22, 'Attacke': 0.1, 'in': 0, 'Wirtschaftsfragen': 0.07, 'noch': 0, 'ernst': 0, 'zu': 0.02, 'nehmen': 0.025, 'Der': 0.06, 'Mix': 0.21, 'aus': 0, 'Ressentiments': 0.36, 'gegen': 0.59, 'erfolgreiche': 1.0, 'Ausländer': 1.0, 'bzw.': 0, 'Eingebürgerte': 0.24, 'und': 0.05, 'Unternehmen': 0, 'ist': 0.16, 'unappetitlich': 0, 'absurd': 0.22, 'Die': 0.06, 'Entfaltung': 0, 'von': 0, 'Innovation': 0.1, 'Integration': 0.11, 'schafft': 0.11, 'Wohlstand': 0.13}",positive,"[0.19283004, 0.04988477, 0.7572851]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,14.0,-0.7,neutral,"@redder66 @nau_live Ihr Beitrag beschreibt ein nationales Phänomen und die Frage der tatsächlichen Toleranz und Solidarität. Die linken Stadtkreise stimmten bis 75 xenophob, Soli gibt es, seit die Ausländer keine Konkurrenz mehr sind. Die Blasen sind monoton, Reibung + Integration gibts ausserhalb.",beitrag beschreiben national phänomen fragen tatsächlich toleranz solidarität link stadtkreise stimmen xenophob soli geben seit ausländer konkurrenz mehr blasen monoton reibung integration gibts ausserhalb,,,,"{'Ihr': 0, 'Beitrag': 0.02, 'beschreibt': 0.09, 'ein': 0, 'nationales': 0.03, 'Phänomen': 0.06, 'und': 0.03, 'die': 0.5, 'Frage': 0, 'der': 0.5, 'tatsächlichen': 0.04, 'Toleranz': 0.02, 'Solidarität': 0.05, 'Die': 0.5, 'linken': 0.04, 'Stadtkreise': 0.05, 'stimmten': 0, 'bis': 0, 'xenophob': 0, 'Soli': 0, 'gibt': 0.55, 'es': 0.79, 'seit': 0.17, 'Ausländer': 0.11, 'keine': 0, 'Konkurrenz': 0, 'mehr': 0, 'sind': 0.55, 'Blasen': 0, 'monoton': 0, 'Reibung': 0.65, 'Integration': 0.36, 'gibts': 1.0, 'ausserhalb': 0.25}",negative,"[0.20339662, 0.68538463, 0.11121878]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,86.0,0.7,neutral,"Bravo 🇨🇭! Endlich differenzierte Regulierung mit Jugendschutz und Abgaben für Prävention und AHV statt Schwarzmarkt.
Parlamentskommissionen will Cannabis legalisieren https://t.co/2sT1hn7VDi",bravo endlich differenzieren regulierung jugendschutz abgaben prävention ahv statt schwarzmarkt parlamentskommissionen cannabis legalisieren,,,,,,,"{'Bravo': 0.04, '🇨': 0, '🇭': 0, 'Endlich': 0, 'differenzierte': 0, 'Regulierung': 0, 'mit': 0, 'Jugendschutz': 0, 'und': 0, 'Abgaben': 0, 'für': 0, 'Prävention': 0, 'AHV': 0, 'statt': 0, 'Schwarzmarkt': 0, 'Parlamentskommissionen': 0, 'will': 0, 'Cannabis': 0, 'legalisieren': 0}",neutral,"[0.74329346, 0.009756939, 0.24694964]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Die Überwindung der Prohibition ist längst fällig - für jeden Hanf.
„Cannabis light"" und die Marktmechanismen - SWI https://t.co/LMQ7z6125C https://t.co/bIK2J94XYb",überwindung prohibition längst fällig jed hanf cannabis light marktmechanismen swi,,,,,,,"{'Die': 0.59, 'Überwindung': 0.08, 'der': 0.59, 'Prohibition': 0.1, 'ist': 0.14, 'längst': 0.07, 'fällig': 0, 'für': 0.12, 'jeden': 0.15, 'Hanf': 0.08, '„': 0, 'Cannabis': 0, 'light': 0, 'und': 0, 'die': 0, 'Marktmechanismen': 0, 'SWI': 0}",positive,"[0.0021158631, 0.0009745588, 0.99690956]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,neutral,"Nach 50 J Irrtum mit Prohibition und Elend endlich Vernunft:

Cannabis-Legalisierung ist erst der Anfang – Das stille Ende des Kriegs gegen die Drogen | Tages-Anzeiger https://t.co/zp5Kgkrfz9",j irrtum prohibition elend endlich vernunft cannabis legalisierung erst anfang still ende kriegs drogen tages anzeiger,,,,,,,"{'Nach': 0, 'J': 0, 'Irrtum': 0, 'mit': 0.06, 'Prohibition': 0.47, 'und': 0.06, 'Elend': 0.16, 'endlich': 0, 'Vernunft': 0.1, 'Cannabis-Legalisierung': 1.0, 'ist': 0.17, 'erst': 0, 'der': 0.08, 'Anfang': 0.09, '–': 0, 'Das': 0, 'stille': 0, 'Ende': 0, 'des': 0, 'Kriegs': 0, 'gegen': 0, 'die': 0, 'Drogen': 0, 'Tages-Anzeiger': 0}",positive,"[0.09825927, 0.037278052, 0.86446273]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"Cannabis konkret und aktuell; mit Beitrag zur 🇨🇭:
https://t.co/4PMzx6xfrb https://t.co/BVLS6VjgoU",cannabis konkret aktuell beitrag,,,,,,,"{'Cannabis': 0.46, 'konkret': 0.6, 'und': 1.0, 'aktuell': 0, 'mit': 0.25, 'Beitrag': 0.18, 'zur': 0.12, '🇨': 0, '🇭': 0}",positive,"[0.09930602, 0.0027098455, 0.89798415]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,neutral,"Die Hanfpolitik - bzw. die Mühen der Menschen mit einer Pflanze:
Blick über den Gartenzaun: Wie geht die Schweiz 🇨🇭mit Cannabis um? | ASU https://t.co/fWvhfW8eXM",hanfpolitik bzw mühen menschen pflanze blick gartenzaun gehen schweiz cannabis asu,,,,,,,"{'Die': 0.09, 'Hanfpolitik': 0, 'bzw.': 0, 'die': 0.09, 'Mühen': 0.12, 'der': 0.09, 'Menschen': 0.07, 'mit': 0, 'einer': 0, 'Pflanze': 0.31, 'Blick': 0.13, 'über': 0.06, 'den': 0.09, 'Gartenzaun': 0.195, 'Wie': 0, 'geht': 0, 'Schweiz': 0.38, '🇨': 0, '🇭': 0, 'Cannabis': 0, 'um': 0, 'ASU': 0}",neutral,"[0.92667055, 0.04939306, 0.023936383]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
0.0,0.0,0.0,-1.0,neutral,"🇨🇭hat keine Cannabispolitik. NR bodigte 17 die Regulierung mit 55%, weil C nicht harmlos sei... Dass er deshalb reguliert werden muss, kapiert ev das neue Parlament.
Untersuchung der WHO – Schweizer Schüler sind Europameister im Kiffen | Tages-Anzeiger https://t.co/d8oENqhw4S",cannabispolitik nr bodigte regulierung c harmlos deshalb regulieren kapieren ev neue parlament untersuchung who schweizer schüler europameister kiffen tages anzeiger,,,,,,,"{'🇨': 0, '🇭': 0, 'hat': 0, 'keine': 0, 'Cannabispolitik': 0, 'NR': 0, 'bodigte': 0, 'die': 0, 'Regulierung': 0, 'mit': 0, 'weil': 0, 'C': 0, 'nicht': 0, 'harmlos': 0, 'sei': 0, '...': 0, 'Dass': 0, 'er': 0, 'deshalb': 0, 'reguliert': 0, 'werden': 0, 'muss': 0, 'kapiert': 0, 'ev': 0, 'das': 0, 'neue': 0, 'Parlament': 0, 'Untersuchung': 0, 'der': 0, 'WHO': 0, '–': 0, 'Schweizer': 0, 'Schüler': 0, 'sind': 0, 'Europameister': 0, 'im': 0, 'Kiffen': 0, 'Tages-Anzeiger': 0}",neutral,"[0.739089, 0.1215021, 0.13940886]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
75.0,75.0,86.0,0.4666666666666666,neutral,"Bekanntes wird bestätigt. Auch bei Alkohol konsumiert ein Zehntel den Grossteil, für Prävention und Steuerung braucht es eine differenzierte Regulierung -&gt; Podium 15. 5. Cannatrade Bern. 

Cannabis laut einer Lausanner Studie weniger rentabel als Kokain https://t.co/skg5igKN4D https://t.co/Bxk5C8SJv3",bekannt bestätigen alkohol konsumieren zehntel grossteil prävention steuerung brauchen differenzieren regulierung gt podium cannatrade bern cannabis laut lausanner studie wenig rentabel kokain,,,,,,,"{'Bekanntes': 0.03, 'wird': 0, 'bestätigt': 0.03, 'Auch': 0, 'bei': 0, 'Alkohol': 0.01, 'konsumiert': 0, 'ein': 0, 'Zehntel': 0.03, 'den': 0.02, 'Grossteil': 0, 'für': 0.03, 'Prävention': 0.02, 'und': 0.01, 'Steuerung': 0, 'braucht': 0, 'es': 1.0, 'eine': 0, 'differenzierte': 0.02, 'Regulierung': 0.06, '-&gt': 0, 'Podium': 0.02, '15.': 0, '5.': 0, 'Cannatrade': 0.05, 'Bern': 0.02, 'Cannabis': 0.89, 'laut': 0.15, 'einer': 0, 'Lausanner': 0.03, 'Studie': 0.28, 'weniger': 0, 'rentabel': 0.79, 'als': 0, 'Kokain': 0.3}",neutral,"[0.57297605, 0.36545888, 0.06156505]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
