answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
100.0,100.0,86.0,0.7,neutral,"RT @derbund: Cannabis soll legalisiert werden, das fordern die Grünen mit einer parlamentarischen Initiative. https://t.co/BUHB5bAA33",cannabis legalisieren fordern grün parlamentarisch initiative,"{'Cannabis': 0.55, 'soll': 0, 'legalisiert': 0.24, 'werden': 0, 'das': 0.13, 'fordern': 0, 'die': 0.03, 'Grünen': 0.15, 'mit': 0.03, 'einer': 0, 'parlamentarischen': 0.05, 'Initiative': 0.1}",positive,"[0.42849997, 0.023953501, 0.54754657]",,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,RT @adrianwuethrich: Heute geht's los: Bitte unterschreibt die Initiative für einen flexiblen Vaterschaftsurlaub von 20 Tagen! https://t.co…,heute gehen s los bitte unterschreiben initiative flexibel vaterschaftsurlaub tagen,,,,"{'Heute': 0.14, ""geht's"": 0, 'los': 0.25, 'Bitte': 0, 'unterschreibt': 0, 'die': 0.25, 'Initiative': 0.4, 'für': 0.62, 'einen': 0, 'flexiblen': 1.0, 'Vaterschaftsurlaub': 0.9450000000000001, 'von': 0, 'Tagen': 0.34}",positive,"[0.005324941, 0.0015100323, 0.99316496]",,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @fljan: mit dem Steuerprivileg für Bauern, das #Nationalrat heute beschliessen wird, hätte man #Vaterschaftsurlaub gleich doppelt finanz…",steuerprivileg bauern nationalrat heute beschliessen vaterschaftsurlaub gleichen doppeln finanz,,,,"{'mit': 0.02, 'dem': 0.03, 'Steuerprivileg': 0.035, 'für': 0.02, 'Bauern': 0.04, 'das': 0, 'Nationalrat': 0.045, 'heute': 0.06, 'beschliessen': 0.03, 'wird': 0.02, 'hätte': 0, 'man': 0, 'Vaterschaftsurlaub': 0.44, 'gleich': 0, 'doppelt': 0, 'finanz': 0, '…': 0}",negative,"[0.008388803, 0.9542274, 0.03738386]",,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,negative,RT @RegulaRytz: #Rechtsrutsch konkret: Einzelne CVP-Nationalräte bringen CVP-Vorschlag für Vaterschaftsurlaub zu Fall. Irgendwie tragisch.…,rechtsrutsch konkret einzelne cvp nationalräte bringen cvp vorschlag vaterschaftsurlaub fall irgendwie tragisch,,,,"{'Rechtsrutsch': 0, 'konkret': 0, 'Einzelne': 0, 'CVP-Nationalräte': 0.14750000000000002, 'bringen': 0.37, 'CVP-Vorschlag': 0.19999999999999998, 'für': 0.27, 'Vaterschaftsurlaub': 0.6599999999999999, 'zu': 0, 'Fall': 0, 'Irgendwie': 0.92, 'tragisch': 1.0, '…': 0}",negative,"[0.029938746, 0.9431338, 0.026927492]",,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,RT @FrickerJonas: #Nationalrat lehnt mit 97:90 den 2wöchigen #Vaterschaftsurlaub ab. Die #Schweiz bleibt das europäische #Schlusslicht in d…,nationalrat lehnen 2wöchigen vaterschaftsurlaub ab schweiz bleiben europäische schlusslicht d,,,,"{'Nationalrat': 0.62, 'lehnt': 1.0, 'mit': 0, '97:90': 0, 'den': 0.06, '2wöchigen': 0.13, 'Vaterschaftsurlaub': 0.67, 'ab': 0, 'Die': 0.06, 'Schweiz': 0.11, 'bleibt': 0.29, 'das': 0, 'europäische': 0.09, 'Schlusslicht': 0, 'in': 0.07, 'd': 0, '…': 0}",negative,"[0.3649676, 0.5422121, 0.092820264]",,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @papizeit: Schweiz bleibt Sonderfall: #Vaterschaftsurlaub im #OECD Ländervergleich #srfarena #papizeit http://t.co/00UQAkYRcJ http://t.c…,schweiz bleiben sonderfall vaterschaftsurlaub oecd ländervergleich srfarena papizeit,,,,"{'Schweiz': 0.1, 'bleibt': 0.1, 'Sonderfall': 0.09, 'Vaterschaftsurlaub': 0.51, 'im': 0, 'OECD': 0.13, 'Ländervergleich': 0.07500000000000001, 'srfarena': 0.15, 'papizeit': 0}",positive,"[0.0065896944, 0.004293115, 0.9891172]",,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,RT @lschmitter: Jetzt Appell unterzeichnen - am 12.2. JA zur erleichterten Einbürgerung für 3. Generation stimmen! https://t.co/dUKwH62eYD…,appell unterzeichnen ja erleichtern einbürgerung generation stimmen,,,,,,,"{'Jetzt': 0.06, 'Appell': 0.11, 'unterzeichnen': 0.18, 'am': 0, '12.2.': 0, 'JA': 0, 'zur': 0.255, 'erleichterten': 0, 'Einbürgerung': 1.0, 'für': 0.27, '3.': 0, 'Generation': 0.25, 'stimmen': 0}",positive,"[0.013226064, 0.0049745017, 0.9817994]",,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @gruenebern: Gemeinsam geht es aufwärts mit der #Lohngleichheit! Die Fraktion @gruenebern steht dafür ein. https://t.co/xJ6USzfLuk @lohn…,gemeinsam gehen aufwärts lohngleichheit fraktion stehen dafür,,,,,,,,,,"{'Gemeinsam': 0.13, 'geht': 0, 'es': 0, 'aufwärts': 0, 'mit': 0.09, 'der': 0.21, 'Lohngleichheit': 0, 'Die': 0.21, 'Fraktion': 0, 'steht': 0.64, 'dafür': 0, 'ein': 0, '…': 0}",positive,"[0.045060642, 0.010404808, 0.9445346]",,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"To do's der kommenden Jahre für uns Schweizerinnen und Schweizer: Weg vom Öl, hin zu erneuerbarer Energie, weniger tierische Produkte essen, und endlich fairen Handel durchsetzen.
#jazuklimagerechtigkeit",to do s kommend jahre schweizerinnen schweizer öl erneuerbarer energie wenig tierische produkte essen endlich fair handel durchsetzen jazuklimagerechtigkeit,,,,,,,,,,,,,"{'To': 0.02, ""do's"": 0, 'der': 0.02, 'kommenden': 0.03, 'Jahre': 0.05, 'für': 0.03, 'uns': 0.02, 'Schweizerinnen': 0.03, 'und': 0.07, 'Schweizer': 0.03, 'Weg': 0, 'vom': 0.135, 'Öl': 0.15, 'hin': 0, 'zu': 0.02, 'erneuerbarer': 1.0, 'Energie': 0.33, 'weniger': 0, 'tierische': 0.07, 'Produkte': 0.05, 'essen': 0, 'endlich': 0, 'fairen': 0.07, 'Handel': 0.06, 'durchsetzen': 0, 'jazuklimagerechtigkeit': 0.035}",positive,"[0.25006682, 0.055754647, 0.6941786]",,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Überraschungserfolg im #grbe Unsere Motion ""Förderprogramm für erneuerbare Energie ausbauen"" wurde angenommen. #Klimaschutz
Vielleicht auch weil die SVP am schlafen war🤫
https://t.co/JP3o3uUGMS https://t.co/n8kLxekjZ9",überraschungserfolg grbe motion förderprogramm erneuerbare energie ausbauen annehmen klimaschutz vielleicht svp schlafen,,,,,,,,,,,,,"{'Überraschungserfolg': 0.105, 'im': 0, 'grbe': 0, 'Unsere': 0.06, 'Motion': 0.14, 'Förderprogramm': 0.13, 'für': 0.13, 'erneuerbare': 0.18, 'Energie': 0, 'ausbauen': 0, 'wurde': 0, 'angenommen': 0.12, 'Klimaschutz': 0.245, 'Vielleicht': 0, 'auch': 0.26, 'weil': 0.38, 'die': 0.44, 'SVP': 0, 'am': 0, 'schlafen': 0, 'war': 0, '🤫': 0}",positive,"[0.18626091, 0.056702252, 0.75703686]",,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @gruenebern: Wow. Kantonsparlament beschliesst deutlich (94:57) Erhöhung des Förderprogramms für erneuerbare Energien! @Klimawahl2019 Da…,wow kantonsparlament beschliesst deutlich erhöhung förderprogramms erneuerbare energien,,,,,,,,,,,,,"{'Wow': 0.26, 'Kantonsparlament': 0.16, 'beschliesst': 0.28, 'deutlich': 0, '94:57': 0, 'Erhöhung': 0.26, 'des': 0, 'Förderprogramms': 0.16499999999999998, 'für': 0.22, 'erneuerbare': 0.2, 'Energien': 0.18, 'Da': 0, '…': 0}",positive,"[0.023760928, 0.006291049, 0.969948]",,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,RT @swissolar_d: Das  Berner #Energiegesetz fördert erneuerbare Energien und reduziert unsere  Abhängigkeit vom Ausland. Bernerinnen und Be…,berner energiegesetz fördern erneuerbare energien reduzieren abhängigkeit ausland bernerinnen be,,,,,,,,,,,,,"{'Das': 0.13, 'Berner': 0, 'Energiegesetz': 0.375, 'fördert': 1.0, 'erneuerbare': 1.0, 'Energien': 0.24, 'und': 0.21, 'reduziert': 0, 'unsere': 0.1, 'Abhängigkeit': 0, 'vom': 0.13, 'Ausland': 0, 'Bernerinnen': 0.08, 'Be': 0, '…': 0}",positive,"[0.0015619018, 0.0014955669, 0.99694246]",,,,,,,,,,positive
100.0,100.0,100.0,0.85,neutral,"SonntagsZeitung Standpunkte -
Zwei Initiativen bekämpfen den Pestizideinsatz in der Schweiz und haben reale Chancen, befürwortet zu werden. Welches ist die richtige Balance zwischen Umweltschutz und Produktivität der Schweizer Landwirtschaft? https://t.co/xw61M5ShGt",sonntagszeitung standpunkte zwei initiativen bekämpfen pestizideinsatz schweiz reale chancen befürworten welch richtige balance umweltschutz produktivität schweizer landwirtschaft,,,,,,,,,,,,,,,,"{'SonntagsZeitung': 0.025, 'Standpunkte': 0, 'Zwei': 0.03, 'Initiativen': 0.04, 'bekämpfen': 0, 'den': 0.06, 'Pestizideinsatz': 0.0225, 'in': 0.12, 'der': 0.06, 'Schweiz': 0.02, 'und': 0.11, 'haben': 0.04, 'reale': 0.02, 'Chancen': 0, 'befürwortet': 0, 'zu': 0, 'werden': 0, 'Welches': 0, 'ist': 0.16, 'die': 0.06, 'richtige': 0.11, 'Balance': 0.07, 'zwischen': 0.06, 'Umweltschutz': 0.045, 'Produktivität': 0.05, 'Schweizer': 0.05, 'Landwirtschaft': 0.08}",neutral,"[0.56794, 0.06259085, 0.36946908]",,,,"{'SonntagsZeitung': 0.025, 'Standpunkte': 0, 'Zwei': 0.03, 'Initiativen': 0.05, 'bekämpfen': 0, 'den': 0.07, 'Pestizideinsatz': 0.0225, 'in': 0.15, 'der': 0.07, 'Schweiz': 0.02, 'und': 0.14, 'haben': 0.05, 'reale': 0.03, 'Chancen': 0, 'befürwortet': 0, 'zu': 0, 'werden': 0, 'Welches': 0, 'ist': 0.15, 'die': 0.07, 'richtige': 0.11, 'Balance': 0.09, 'zwischen': 0.08, 'Umweltschutz': 0.04, 'Produktivität': 0.05, 'Schweizer': 0.1, 'Landwirtschaft': 0.18}",neutral,"[0.58423513, 0.039689925, 0.3760749]",positive
50.0,75.0,57.0,0.0,neutral,RT @GrueneParlament: 📣Medienmitteilung: Klima- und Umweltschutz sind auch in Pandemiezeiten zentrale Anliegen der Bevölkerung. Mit einem Kl…,medienmitteilung klima umweltschutz pandemiezeiten zentrale anliegen bevölkerung kl,,,,,,,,,,,,,,,,"{'Medienmitteilung': 0.07, 'Klima-': 0.54, 'und': 1.0, 'Umweltschutz': 0.64, 'sind': 0.48, 'auch': 0, 'in': 0.03, 'Pandemiezeiten': 0, 'zentrale': 0.13, 'Anliegen': 0, 'der': 0.04, 'Bevölkerung': 0.05, 'Mit': 0.05, 'einem': 0, 'Kl': 0, '…': 0}",positive,"[0.0016221582, 0.001321214, 0.9970566]",,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @nau_live: Grünen-Nationalrat Kilian Baumann wirft #Proviande Schönfärberei und zu wenig #Umweltschutz vor. Die Fleisch-Branche lässt di…,grün nationalrat kilian baumann werfen proviande schönfärberei wenig umweltschutz fleisch branche lässt di,,,,,,,,,,,,,,,,"{'Grünen-Nationalrat': 0.08, 'Kilian': 0.13, 'Baumann': 0.17, 'wirft': 0, 'Proviande': 0.26, 'Schönfärberei': 0.22, 'und': 0.42, 'zu': 0, 'wenig': 0.65, 'Umweltschutz': 0.8049999999999999, 'vor': 0, 'Die': 0.11, 'Fleisch-Branche': 0.13, 'lässt': 0, 'di': 0, '…': 0}",negative,"[0.16451058, 0.6856438, 0.14984559]",,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @gruenebern: 'Vom Musterknaben zum Sorgenkind' beim #Umweltschutz, heute in @BernerZeitung. Da wirkt #GrüneWirtschaft @GrueneCH https://…",musterknaben sorgenkind beim umweltschutz heute wirken grünewirtschaft,,,,,,,,,,,,,,,,"{'Vom': 0.11, 'Musterknaben': 0.1, 'zum': 0.04, 'Sorgenkind': 0.075, 'beim': 0.04, 'Umweltschutz': 0, 'heute': 0.11, 'in': 0.08, 'Da': 0, 'wirkt': 0.44, 'GrüneWirtschaft': 0}",neutral,"[0.48458365, 0.14093737, 0.374479]",,,,,,,neutral
