answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3417,absa_sentiment_3417,absa_scores_3417,absa_token_weights_3427,absa_sentiment_3427,absa_scores_3427,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3435,absa_sentiment_3435,absa_scores_3435,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,sentiment_tb
75.0,75.0,86.0,0.4333333333333333,neutral,@cvp_bs #WahlCH19 Mit Unterstützung der CVP konnte die von der Linken geforderte Verstaatlichung der Kinderbetreuung abgewendet werden. Kindererziehung soll weiterhin primär in der Familie erfolgen. Der Staat ergänzt diese mit dem neuen Tagesbetreuungsgesetz. Das ist gut so! https://t.co/VnNWb84e0A,wahlch19 unterstützung cvp link gefordert verstaatlichung kinderbetreuung abwenden kindererziehung weiterhin primär familie erfolgen staat ergänzen neu tagesbetreuungsgesetz gut,"{'WahlCH19': 0, 'Mit': 0.02, 'Unterstützung': 0.06, 'der': 0.02, 'CVP': 0.1, 'konnte': 0.28, 'die': 0.02, 'von': 0, 'Linken': 0.12, 'geforderte': 0, 'Verstaatlichung': 0.51, 'Kinderbetreuung': 1.0, 'abgewendet': 0.21, 'werden': 0, 'Kindererziehung': 0.125, 'soll': 0, 'weiterhin': 0, 'primär': 0, 'in': 0.02, 'Familie': 0.05, 'erfolgen': 0, 'Der': 0.02, 'Staat': 0.06, 'ergänzt': 0, 'diese': 0.02, 'mit': 0.02, 'dem': 0.02, 'neuen': 0.03, 'Tagesbetreuungsgesetz': 0.07500000000000001, 'Das': 0.02, 'ist': 0, 'gut': 0, 'so': 0}",neutral,"[0.50867605, 0.32701647, 0.16430755]",,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.675,neutral,#cvpbs Diese Nachtsitzung im Grossen Rat hat sich für die CVP-Anliegen wirklich gelohnt! Nun ist auch mein Anzug „Förderung von sozialverträglichem Wohnungsbau auch durch nicht-gemeinnützige Investoren“ mit grossem Mehr überwiesen worden. https://t.co/HIp1Zx7GhH,cvpbs nachtsitzung grossen rat cvp anliegen wirklich lohnen anzug förderung sozialverträglich wohnungsbau gemeinnützig investoren grossem mehr überweisen,,,,"{'cvpbs': 0.07, 'Diese': 0.04, 'Nachtsitzung': 0.045, 'im': 0, 'Grossen': 0, 'Rat': 0, 'hat': 0, 'sich': 0, 'für': 0.02, 'die': 0.05, 'CVP-Anliegen': 0.07, 'wirklich': 0.03, 'gelohnt': 0, 'Nun': 0, 'ist': 0, 'auch': 0, 'mein': 0.11, 'Anzug': 0.15, '„': 0, 'Förderung': 0, 'von': 0, 'sozialverträglichem': 0, 'Wohnungsbau': 0, 'durch': 0, 'nicht-gemeinnützige': 0, 'Investoren': 0, '“': 0, 'mit': 0, 'grossem': 0, 'Mehr': 0, 'überwiesen': 0, 'worden': 0}",neutral,"[0.4578532, 0.13247058, 0.4096762]",,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.6999999999999998,neutral,#cvpbs Cool! Unsere Motion für eine neue Planung für Wohnungsbau an der Grenzacherstrasse ist soeben vom Grossen Rat überwiesen worden - Ein wichtiger Schritt! https://t.co/f1R7wWc04U,cvpbs cool motion neue planung wohnungsbau grenzacherstrasse soeben grossen rat überweisen wichtig schritt,,,,"{'cvpbs': 0.14, 'Cool': 0.1, 'Unsere': 0.06, 'Motion': 0.14, 'für': 0.06, 'eine': 0, 'neue': 0.11, 'Planung': 0, 'Wohnungsbau': 0, 'an': 0.67, 'der': 0.31, 'Grenzacherstrasse': 0.5, 'ist': 0, 'soeben': 0.27, 'vom': 0.31, 'Grossen': 0, 'Rat': 0, 'überwiesen': 0, 'worden': 0, 'Ein': 0.07, 'wichtiger': 1.0, 'Schritt': 1.0}",positive,"[0.24880503, 0.08511653, 0.66607845]",,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,0.9,neutral,"@karl_rieder @prime_news_ch @cvp_bs @beatrice_isler Es ist nur das aktive Wahlrecht, also kandidieren kann man zB nicht. Im Kanton Genf (wo es das kant. Ausländerstimmrecht schon gibt), soll das der Grund sein für vermehrte Einbürgerungen. Und: wenn eine der Voraussetzungen wegfällt, muss das Recht von Amtes wegen entzogen werden.",aktive wahlrecht kandidieren zb kanton genf kant ausländerstimmrecht schon geben grund vermehren einbürgerungen voraussetzungen wegfallen recht amtes wegen entziehen,,,,,,,"{'Es': 0.03, 'ist': 0.03, 'nur': 0.04, 'das': 0, 'aktive': 0.04, 'Wahlrecht': 0, 'also': 0, 'kandidieren': 0.08, 'kann': 0, 'man': 0, 'zB': 0, 'nicht': 0, 'Im': 0, 'Kanton': 0.06, 'Genf': 0.05, 'wo': 0.04, 'es': 0.03, 'kant': 0, 'Ausländerstimmrecht': 0.15, 'schon': 0, 'gibt': 0, 'soll': 0, 'der': 0.04, 'Grund': 0, 'sein': 0, 'für': 0.15, 'vermehrte': 0.12, 'Einbürgerungen': 0.11, 'Und': 1.0, 'wenn': 0.22, 'eine': 0.05, 'Voraussetzungen': 0, 'wegfällt': 0.01, 'muss': 0.01, 'Recht': 0, 'von': 0, 'Amtes': 0, 'wegen': 0, 'entzogen': 0.11, 'werden': 0}",neutral,"[0.631517, 0.18232808, 0.18615496]","{'Es': 0.02, 'ist': 0.02, 'nur': 0.02, 'das': 0, 'aktive': 0.06, 'Wahlrecht': 0, 'also': 0, 'kandidieren': 0.225, 'kann': 0, 'man': 0, 'zB': 0, 'nicht': 0, 'Im': 0, 'Kanton': 0.03, 'Genf': 0.06, 'wo': 0.03, 'es': 0.02, 'kant': 0, 'Ausländerstimmrecht': 0.43, 'schon': 0, 'gibt': 0, 'soll': 0, 'der': 0.02, 'Grund': 0, 'sein': 0, 'für': 0.43, 'vermehrte': 1.0, 'Einbürgerungen': 1.0, 'Und': 0.06, 'wenn': 0.04, 'eine': 0.02, 'Voraussetzungen': 0, 'wegfällt': 0.02, 'muss': 0.02, 'Recht': 0, 'von': 0, 'Amtes': 0, 'wegen': 0, 'entzogen': 0.11, 'werden': 0}",negative,"[0.1409502, 0.4474223, 0.41162744]",,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"@karl_rieder @prime_news_ch @cvp_bs @beatrice_isler Ich bin eigentlich eher für härtere Tests und längere Fristen bei der Einbürgerung, als sie heute gelten. Und beim vorgeschlagenen Stimmrecht auf lokaler Ebene sollen z.B. auch zuerst entsprechende Sprachtests bestanden werden müssen.",eigentlich eher hart tests lang fristen einbürgerung heute gelten beim vorgeschlagen stimmrecht lokal eben sollen z b zuerst entsprechend sprachtests bestehen müssen,,,,,,,,,,"{'Ich': 0.07, 'bin': 0, 'eigentlich': 0.07, 'eher': 0, 'für': 0.02, 'härtere': 0, 'Tests': 0.1, 'und': 0.04, 'längere': 0.19, 'Fristen': 0.63, 'bei': 0.02, 'der': 0.04, 'Einbürgerung': 1.0, 'als': 0, 'sie': 0, 'heute': 0.08, 'gelten': 0.02, 'Und': 0.04, 'beim': 0.03, 'vorgeschlagenen': 0.06, 'Stimmrecht': 0.02, 'auf': 0, 'lokaler': 0, 'Ebene': 0.03, 'sollen': 0.02, 'z.B.': 0, 'auch': 0, 'zuerst': 0.02, 'entsprechende': 0.04, 'Sprachtests': 0.08, 'bestanden': 0, 'werden': 0, 'müssen': 0}",neutral,"[0.51723874, 0.16003512, 0.32272613]",,,,,,,,,,,,,positive
100.0,100.0,100.0,0.9,neutral,"@karl_rieder @prime_news_ch @cvp_bs @beatrice_isler Es ist nur das aktive Wahlrecht, also kandidieren kann man zB nicht. Im Kanton Genf (wo es das kant. Ausländerstimmrecht schon gibt), soll das der Grund sein für vermehrte Einbürgerungen. Und: wenn eine der Voraussetzungen wegfällt, muss das Recht von Amtes wegen entzogen werden.",aktive wahlrecht kandidieren zb kanton genf kant ausländerstimmrecht schon geben grund vermehren einbürgerungen voraussetzungen wegfallen recht amtes wegen entziehen,,,,,,,"{'Es': 0.03, 'ist': 0.03, 'nur': 0.04, 'das': 0, 'aktive': 0.04, 'Wahlrecht': 0, 'also': 0, 'kandidieren': 0.08, 'kann': 0, 'man': 0, 'zB': 0, 'nicht': 0, 'Im': 0, 'Kanton': 0.06, 'Genf': 0.05, 'wo': 0.04, 'es': 0.03, 'kant': 0, 'Ausländerstimmrecht': 0.15, 'schon': 0, 'gibt': 0, 'soll': 0, 'der': 0.04, 'Grund': 0, 'sein': 0, 'für': 0.15, 'vermehrte': 0.12, 'Einbürgerungen': 0.11, 'Und': 1.0, 'wenn': 0.22, 'eine': 0.05, 'Voraussetzungen': 0, 'wegfällt': 0.01, 'muss': 0.01, 'Recht': 0, 'von': 0, 'Amtes': 0, 'wegen': 0, 'entzogen': 0.11, 'werden': 0}",neutral,"[0.631517, 0.18232808, 0.18615496]","{'Es': 0.02, 'ist': 0.02, 'nur': 0.02, 'das': 0, 'aktive': 0.06, 'Wahlrecht': 0, 'also': 0, 'kandidieren': 0.225, 'kann': 0, 'man': 0, 'zB': 0, 'nicht': 0, 'Im': 0, 'Kanton': 0.03, 'Genf': 0.06, 'wo': 0.03, 'es': 0.02, 'kant': 0, 'Ausländerstimmrecht': 0.43, 'schon': 0, 'gibt': 0, 'soll': 0, 'der': 0.02, 'Grund': 0, 'sein': 0, 'für': 0.43, 'vermehrte': 1.0, 'Einbürgerungen': 1.0, 'Und': 0.06, 'wenn': 0.04, 'eine': 0.02, 'Voraussetzungen': 0, 'wegfällt': 0.02, 'muss': 0.02, 'Recht': 0, 'von': 0, 'Amtes': 0, 'wegen': 0, 'entzogen': 0.11, 'werden': 0}",negative,"[0.1409502, 0.4474223, 0.41162744]",,,,,,,,,,,,,positive
50.0,75.0,57.0,0.075,neutral,"@karl_rieder @prime_news_ch @cvp_bs @beatrice_isler Da bin ich einig: Die Einbürgerung muss das Ziel bleiben. Das Thema kommt so oder so von linker Seite als verbindliche Motion mit unverantwortlich geringen Hürden, aber grossen Chancen in Basel. Da kämpfe ich lieber für restriktive Regeln.",einbürgerung ziel bleiben thema kommen link seite verbindlich motion unverantwortlich gering hürden grossen chancen basel kämpfe lieb restriktive regeln,,,,,,,,,,"{'Da': 0, 'bin': 0, 'ich': 0.02, 'einig': 0, 'Die': 0.03, 'Einbürgerung': 1.0, 'muss': 0.02, 'das': 0, 'Ziel': 0, 'bleiben': 0.2, 'Das': 0.03, 'Thema': 0, 'kommt': 0.03, 'so': 0, 'oder': 0, 'von': 0.02, 'linker': 0, 'Seite': 0, 'als': 0.01, 'verbindliche': 0.06, 'Motion': 0.04, 'mit': 0.02, 'unverantwortlich': 0, 'geringen': 0, 'Hürden': 0, 'aber': 0.02, 'grossen': 0, 'Chancen': 0.04, 'in': 0.02, 'Basel': 0.04, 'kämpfe': 0.07, 'lieber': 0, 'für': 0.02, 'restriktive': 0.04, 'Regeln': 0.1}",positive,"[0.07040524, 0.016884623, 0.9127102]",,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,negative,"@cvp_bs @WahlCH19 Mein Leserbrief zum Thema Regelung von Sterbehilfe in der BaZ hat mir einige positive Rückmeldungen beschert. Das Thema gehört auf den Tisch, bis es sauber geregelt ist! https://t.co/M3yDI1jj4n",leserbrief thema regelung sterbehilfe baz positiv rückmeldungen bescheren thema hören tisch sauber regeln,,,,,,,,,,,,,"{'Mein': 0.05, 'Leserbrief': 0.08875, 'zum': 0.05, 'Thema': 0, 'Regelung': 0, 'von': 0, 'Sterbehilfe': 1.0, 'in': 0.15, 'der': 0.06, 'BaZ': 0.08, 'hat': 0, 'mir': 0.04, 'einige': 0.02, 'positive': 0.06, 'Rückmeldungen': 0.09, 'beschert': 0, 'Das': 0.06, 'gehört': 0, 'auf': 0.03, 'den': 0.06, 'Tisch': 0.07, 'bis': 0.03, 'es': 0.03, 'sauber': 0, 'geregelt': 0, 'ist': 0.03}",positive,"[0.48014483, 0.013093386, 0.5067618]",,,,,,,,,,positive
50.0,25.0,57.0,-0.1,negative,"@Dede71Mueller Aber sicher. Es ist ein äusserst anspruchsvolles Thema. Und darum darf es nicht sein, dass dies nicht sauber geregelt ist. Für viel weniger anspruchsvolle Tätigkeiten braucht es Lizenz, Bewilligung, Fachausweis etc. Aber „Sterbehilfe“ kann man ohne Lizenz anbieten. Absurd.",sichern äusserst anspruchsvoll thema darum dürfen sauber regeln wenig anspruchsvolle tätigkeiten brauchen lizenz bewilligung fachausweis etc sterbehilfe lizenz anbieten absurd,,,,,,,,,,,,,"{'Aber': 0.13, 'sicher': 0, 'Es': 0.04, 'ist': 0.04, 'ein': 0, 'äusserst': 0.08, 'anspruchsvolles': 0.07, 'Thema': 0, 'Und': 0.03, 'darum': 0, 'darf': 0, 'es': 0.04, 'nicht': 0.16, 'sein': 0, 'dass': 0.08, 'dies': 0, 'sauber': 0, 'geregelt': 0.05, 'Für': 0.08, 'viel': 0.08, 'weniger': 0, 'anspruchsvolle': 0.07, 'Tätigkeiten': 0.05, 'braucht': 0, 'Lizenz': 0, 'Bewilligung': 0.04, 'Fachausweis': 0, 'etc.': 0, '„': 0, 'Sterbehilfe': 0, '“': 0, 'kann': 0, 'man': 0, 'ohne': 0, 'anbieten': 0, 'Absurd': 0}",negative,"[0.20277023, 0.7280058, 0.069223925]",,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"⁦@cvp_bs⁩ ⁦@wahlch2019⁩ Sterbehilfe gehört endlich ganz klar und schweizweit einheitlich geregelt, das forderte ich bereits 2015. Jetzt ist die Zeit hoffentlich endlich reif.  https://t.co/DO7tODqOpT",sterbehilfe hören endlich ganz klaren schweizweit einheitlich regeln fordern bereits zeit hoffentlich endlich reif,,,,,,,,,,,,,"{'\u2066\u2069': 0, 'Sterbehilfe': 0, 'gehört': 0, 'endlich': 0, 'ganz': 0, 'klar': 0, 'und': 0, 'schweizweit': 0, 'einheitlich': 0, 'geregelt': 0, 'das': 0, 'forderte': 0, 'ich': 0, 'bereits': 0, '2015.': 0, 'Jetzt': 0, 'ist': 0, 'die': 0, 'Zeit': 0, 'hoffentlich': 0, 'reif': 0}",positive,"[0.2897105, 0.025358185, 0.6849313]",,,,,,,,,,positive
