answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3474,absa_sentiment_3474,absa_scores_3474,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,RT @RenatKuenzi: „Ich bin nicht grundsätzlich gegen #eVote. Aber nicht auf nationalem Level! In kleineren Gruppen dagegen kann E-Voting zur…,grundsätzlich evote national level klein gruppen dagegen e voting,"{'„': 0, 'Ich': 0, 'bin': 0, 'nicht': 0, 'grundsätzlich': 0, 'gegen': 0, 'eVote': 0, 'Aber': 0, 'auf': 0, 'nationalem': 0, 'Level': 0, 'In': 0, 'kleineren': 0, 'Gruppen': 0, 'dagegen': 0, 'kann': 0, 'E-Voting': 0, 'zur': 0, '…': 0}",neutral,"[0.8825103, 0.05711615, 0.060373545]",,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"RT @adfichter: Quellcode von E-Voting-Systemen soll offen gelegt werden.        
https://t.co/ovI36ol4vf #evoting #parlCH #digitaldemocracy…",quellcode e voting systemen offen legen evoting parlch digitaldemocracy,"{'Quellcode': 0.07, 'von': 0, 'E-Voting-Systemen': 0.08, 'soll': 0, 'offen': 0, 'gelegt': 0, 'werden': 0, 'evoting': 0.12, 'parlCH': 0.16, 'digitaldemocracy': 1.0, '…': 0}",neutral,"[0.7189307, 0.15532838, 0.12574098]",,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Transparenz ist die Grundlage für das Vertrauen in E-Voting Systeme. Open Source ist der Weg dazu, so @AnjaWydenGuelpa am @parldigi Dinner.",transparenz grundlage vertrauen e voting systeme open source dinner,"{'Transparenz': 0.06, 'ist': 0.08, 'die': 0.05, 'Grundlage': 0.04, 'für': 0.04, 'das': 0, 'Vertrauen': 0.04, 'in': 0.06, 'E-Voting': 0, 'Systeme': 0.04, 'Open': 0.06, 'Source': 0.08, 'der': 0.05, 'Weg': 0, 'dazu': 0.06, 'so': 0.98, 'am': 0, 'Dinner': 1.0}",neutral,"[0.53781784, 0.18268253, 0.27949962]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,Gespannt auf den @parldigi-Dinner zu E-Voting. Was wohl der Tenor zu Open Source Wahlsystemen in der Schweiz ist? https://t.co/iREByncjw0,spannen dinner e voting wohl tenor open source wahlsystemen schweiz,"{'Gespannt': 0, 'auf': 0, 'den': 0.11, '-Dinner': 0, 'zu': 0.04, 'E-Voting': 0, 'Was': 0, 'wohl': 0, 'der': 0.11, 'Tenor': 0.11, 'Open': 0.04, 'Source': 0.06, 'Wahlsystemen': 0.1, 'in': 0.08, 'Schweiz': 0.16, 'ist': 0.2}",neutral,"[0.51955235, 0.4524843, 0.027963389]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @GSoASchweiz: #Waffenexporte florieren: Schweiz führt doppelt soviel Kriegsmaterial aus - trotz Corona-Krise und Aufruf für einen global…,waffenexporte florieren schweiz führen doppeln soviel kriegsmaterial trotzen corona krise aufruf global,,,,"{'Waffenexporte': 1.0, 'florieren': 0, 'Schweiz': 0.46, 'führt': 0, 'doppelt': 0, 'soviel': 0.45, 'Kriegsmaterial': 0.43, 'aus': 0, 'trotz': 0, 'Corona-Krise': 0, 'und': 0.11, 'Aufruf': 0.17, 'für': 0.07, 'einen': 0.07, 'global': 0.14, '…': 0}",positive,"[0.0050240415, 0.002124494, 0.9928515]",,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,neutral,"RT @CCC_CH: Crypto-Wars/Totalüberwachung - wenn ein Verbot von Ende-zu-Ende-Crypto kommt, ist die #Digitalisierung in Europa vollends gesch…",crypto wars totalüberwachung verbieten ende ende crypto kommen digitalisierung europa vollends gesch,,,,,,,"{'Crypto-Wars': 0, 'Totalüberwachung': 0.05, 'wenn': 0.1, 'ein': 0, 'Verbot': 0.09, 'von': 0, 'Ende-zu-Ende-Crypto': 0.2, 'kommt': 0, 'ist': 0.37, 'die': 0, 'Digitalisierung': 0, 'in': 0.16, 'Europa': 0.25, 'vollends': 0.43, 'gesch': 0, '…': 0}",negative,"[0.06613395, 0.9237613, 0.010104659]",,,,,,,negative
50.0,75.0,57.0,0.0,neutral,RT @dsj_fspj_fspg: Wie haben's Jugendliche mit der Digitalisierung? Jugendliche Anliegen und Wünsche für die digitale Schweiz von morgen je…,s jugendlich digitalisierung jugendlich anliegen wünsche digitale schweiz morgen je,,,,,,,"{'Wie': 0, ""haben's"": 0, 'Jugendliche': 0, 'mit': 0.36, 'der': 0.09, 'Digitalisierung': 0, 'Anliegen': 0, 'und': 0.15, 'Wünsche': 0.43, 'für': 0.14, 'die': 0.09, 'digitale': 0.11, 'Schweiz': 0.04, 'von': 0, 'morgen': 0.09, 'je': 0, '…': 0}",positive,"[0.12459108, 0.0125789745, 0.86283]",,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"RT @CCC_CH: Coronavirus/Digitalisierung - es ist schon generell bei komplexer IT, aber bei der #SwissCovid-App im Besonderen unseriös sowas…",coronavirus digitalisierung schon generell komplex it swisscovid app besonder unseriös sowas,,,,,,,"{'Coronavirus': 1.0, 'Digitalisierung': 0, 'es': 0.04, 'ist': 0.04, 'schon': 0, 'generell': 0, 'bei': 0, 'komplexer': 0.15, 'IT': 0.06, 'aber': 0.07, 'der': 0.08, 'SwissCovid-App': 0, 'im': 0, 'Besonderen': 0, 'unseriös': 0, 'sowas': 0, '…': 0}",neutral,"[0.8173901, 0.06012581, 0.12248407]",,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @CCC_CH: Coronavirus/Digitalisierung - in der #CoronaApp-Euphorie geht unter, dass gerade aus der @EPFL scharfe Kritik erfolgt (via @adf…",coronavirus digitalisierung coronaapp euphorie gehen gerade scharf kritik erfolgen via,,,,,,,"{'Coronavirus': 0.09, 'Digitalisierung': 0, 'in': 0, 'der': 0.12, 'CoronaApp-Euphorie': 0, 'geht': 0, 'unter': 0, 'dass': 0.21, 'gerade': 0, 'aus': 0.03, 'scharfe': 0.12, 'Kritik': 0.26, 'erfolgt': 0, 'via': 0.71, '…': 0}",neutral,"[0.7712929, 0.09777306, 0.13093403]",,,,,,,neutral
50.0,25.0,28.0,-0.15,neutral,RT @maemst: Progressive Holländer verfolgen #PublicMoneyPublicCode: Digitalisierung der öffentlichen Verwaltung anerkennt Open Source Einsa…,progressive holländer verfolgen publicmoneypubliccode digitalisierung öffentlich verwaltung anerkennen open source einsa,,,,,,,"{'Progressive': 0.1, 'Holländer': 0.07, 'verfolgen': 0, 'PublicMoneyPublicCode': 0.42, 'Digitalisierung': 0, 'der': 0, 'öffentlichen': 0.2, 'Verwaltung': 0.49, 'anerkennt': 0, 'Open': 0.75, 'Source': 0.54, 'Einsa': 0, '…': 0}",positive,"[0.004451054, 0.0026249841, 0.992924]",,,,,,,neutral
