answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3433,absa_sentiment_3433,absa_scores_3433,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3435,absa_sentiment_3435,absa_scores_3435,absa_token_weights_3444,absa_sentiment_3444,absa_scores_3444,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3473,absa_sentiment_3473,absa_scores_3473,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
100.0,100.0,86.0,0.7,neutral,RT @alliance_F: Wichtiger Entscheid: NR stimmt mit 113:80 Stimmen der Vorlage über die Finanzhilfen für familienergänzende Kinderbetreuung…,wichtig entscheid nr stimmen stimmen vorlage finanzhilfen familienergänzende kinderbetreuung,"{'Wichtiger': 0.05, 'Entscheid': 0.07, 'NR': 0, 'stimmt': 0, 'mit': 0, '113:80': 0, 'Stimmen': 0, 'der': 0.14, 'Vorlage': 0, 'über': 0, 'die': 0.14, 'Finanzhilfen': 0, 'für': 1.0, 'familienergänzende': 0.16, 'Kinderbetreuung': 0.95, '…': 0}",neutral,"[0.73629427, 0.04285193, 0.22085379]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,0.85,neutral,RT @QuadrantiR: Sondersession NR. Hoffe auf Zustimmung für die Finanzhilfen für Kinderbetreuung. Für die bessere Vereinbarkeit von Familie…,sondersession nr hoffen zustimmung finanzhilfen kinderbetreuung gut vereinbarkeit familie,"{'Sondersession': 0.125, 'NR': 0.1, 'Hoffe': 0.18, 'auf': 0, 'Zustimmung': 0, 'für': 0.18, 'die': 0.11, 'Finanzhilfen': 1.0, 'Kinderbetreuung': 1.0, 'Für': 0.18, 'bessere': 0.12, 'Vereinbarkeit': 0.08, 'von': 0, 'Familie': 0.13, '…': 0}",positive,"[0.046177812, 0.021668576, 0.93215364]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"...die Grünen wollen Schweizer Cannabis fördern, die Juso kämpfen schon mit den Langzeitfolgen... https://t.co/We6B7eivPW",grün schweizer cannabis fördern juso kämpfen schon langzeitfolgen,,,,"{'...': 0, 'die': 0.08, 'Grünen': 0.36, 'wollen': 0.53, 'Schweizer': 0.39, 'Cannabis': 1.0, 'fördern': 0, 'Juso': 0.21, 'kämpfen': 0, 'schon': 0, 'mit': 0.08, 'den': 0.08, 'Langzeitfolgen': 0.2}",positive,"[0.24259837, 0.057470083, 0.6999315]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @NathalieChris18: Rentenalter 67: Warum die @BDPSchweiz dies für nötig und mehrheitsfähig hält, erklärt Präsident @LandoltMartin heute i…",rentenalter warum nötigen mehrheitsfähig halten erklären präsident heute i,,,,,,,"{'Rentenalter': 0.185, 'Warum': 0.21, 'die': 0.07, 'dies': 0, 'für': 0, 'nötig': 0.11, 'und': 0.08, 'mehrheitsfähig': 0.1, 'hält': 0, 'erklärt': 0, 'Präsident': 0.2, 'heute': 0.48, 'i': 0.87, '…': 0}",neutral,"[0.85045946, 0.020493625, 0.12904696]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"...Sicherung der Finanzierung bis 2030... - Das ist ja schon übermorgen! ⁦

Es braucht die automatische Verknüpfung von Rentenalter und Lebenserwartung... 

@BDPSchweiz⁩ ⁦@JBDP_CH⁩  https://t.co/DkPrD54IKU",sicherung finanzierung ja schon übermorgen brauchen automatische verknüpfung rentenalter lebenserwartung,,,,,,,"{'...': 0, 'Sicherung': 0, 'der': 0.16, 'Finanzierung': 0.11, 'bis': 0.04, 'Das': 0.16, 'ist': 0.12, 'ja': 0.47, 'schon': 0, 'übermorgen': 0.0525, '\u2066': 0, 'Es': 0, 'braucht': 0, 'die': 0, 'automatische': 0, 'Verknüpfung': 0, 'von': 0, 'Rentenalter': 0, 'und': 0, 'Lebenserwartung': 0, '\u2069': 0, '\u2066\u2069': 0}",neutral,"[0.8732832, 0.010105705, 0.116611086]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,negative,"RT @BDPSchweiz: Die Schweiz will BDP. Langweilig, aber gut. Schön, dass sich die @FDP_Liberalen hinter unsere Rentenalter-Lösung stellt. Me…",schweiz bdp langweilig gut schön rentenalter lösung stellen me,,,,,,,"{'Die': 0, 'Schweiz': 0.09, 'will': 0, 'BDP': 0.12, 'Langweilig': 0.13, 'aber': 0.04, 'gut': 0, 'Schön': 0, 'dass': 0.11, 'sich': 0, 'die': 0, 'hinter': 0.77, 'unsere': 0.43, 'Rentenalter-Lösung': 0.95, 'stellt': 0, 'Me': 0.1, '…': 0}",positive,"[0.0069404007, 0.0024081166, 0.9906515]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @BDPSchweiz: «Ob man das #Rentenalter bei 66 oder 67 Jahren festsetzt: Wichtig ist, dass mehr Flexibilisierungsmöglichkeiten geschaffen…",rentenalter jahren festsetzen wichtig mehr flexibilisierungsmöglichkeiten schaffen,,,,,,,"{'«': 0, 'Ob': 0, 'man': 0, 'das': 0, 'Rentenalter': 0, 'bei': 0, 'oder': 0, 'Jahren': 0, 'festsetzt': 0, 'Wichtig': 0, 'ist': 0, 'dass': 0, 'mehr': 0, 'Flexibilisierungsmöglichkeiten': 0, 'geschaffen': 0, '…': 0}",neutral,"[0.7626785, 0.02663787, 0.21068355]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @BDPSchweiz: Die #BDP erneuert ihre langjährige Forderung zum Rentenalter: https://t.co/IgRk8kKL0d #langweiligabergut,bdp erneuern langjährig forderung rentenalter langweiligabergut,,,,,,,"{'Die': 0.07, 'BDP': 0.09, 'erneuert': 0, 'ihre': 0, 'langjährige': 0, 'Forderung': 0, 'zum': 0.07, 'Rentenalter': 0.12, 'langweiligabergut': 0}",positive,"[0.008778586, 0.0027969216, 0.9884244]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,Breaking! Nach @FDP_Liberalen unterstützen auch @grunliberale die langjährige Forderung der @BDPSchweiz nach einer Verknüpfung des Rentenalters mit der Lebenserwartung. - Kommt da endlich Bewegung in die Sache? #langweiligabergut https://t.co/MAbUIcbR9p https://t.co/n05F4tawnE,breaking unterstützen langjährig forderung verknüpfung rentenalters lebenserwartung kommen endlich bewegung sache langweiligabergut,,,,,,,"{'Breaking': 0.07, 'Nach': 0, 'unterstützen': 0.3, 'auch': 0.09, 'die': 0.04, 'langjährige': 0, 'Forderung': 0, 'der': 0.04, 'nach': 0.07, 'einer': 0, 'Verknüpfung': 0, 'des': 0, 'Rentenalters': 0.845, 'mit': 0, 'Lebenserwartung': 0.345, 'Kommt': 0, 'da': 0, 'endlich': 0, 'Bewegung': 0, 'in': 0.02, 'Sache': 0.13, 'langweiligabergut': 0.065}",positive,"[0.017938502, 0.0034456935, 0.9786159]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,"RT @bdp_zurich: #Rentenalter an Lebenserwartung knüpfen? Fordert die @BDPSchweiz
schon lange! Schön, kommt das Thema endlich in Fahrt. #lan…",rentenalter lebenserwartung knüpfen fordern schon lang schön kommen thema endlich fahrt lan,,,,,,,"{'Rentenalter': 0.7749999999999999, 'an': 0, 'Lebenserwartung': 0.165, 'knüpfen': 0, 'Fordert': 0.32, 'die': 0.08, 'schon': 0, 'lange': 0.1, 'Schön': 0, 'kommt': 0, 'das': 0, 'Thema': 0, 'endlich': 0, 'in': 0, 'Fahrt': 0, 'lan': 0.12, '…': 0}",neutral,"[0.8192965, 0.010390336, 0.1703131]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"RT @BDPSchweiz: „Wenn das #Rentenalter erhöht werden soll, müssen die Arbeitsmarktchancen für ü55 verbessert werden.“ @LandoltMartin #samst…",rentenalter erhöhen müssen arbeitsmarktchancen ü55 verbessern samen,,,,,,,"{'„': 0, 'Wenn': 0, 'das': 0, 'Rentenalter': 0, 'erhöht': 0, 'werden': 0, 'soll': 0, 'müssen': 0, 'die': 0, 'Arbeitsmarktchancen': 0, 'für': 0, 'ü55': 0, 'verbessert': 0, '“': 0, 'samst': 0, '…': 0}",negative,"[0.34341663, 0.51815593, 0.1384275]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
