answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3474,absa_sentiment_3474,absa_scores_3474,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,sentiment_tb
100.0,100.0,100.0,0.9,positive,"@FabianMolinaNR @spschweiz #GratisÖV und #GratisKinderbetreuung hatte ich in der Schweiz bei der #WahlCH19 mit (damals noch erlaubter) Twitter-Werbung lanciert. Finde ich sehr geil, dass ihr das jetzt anpacken wollt, aber vermisse ordentliche #VeloWegeJetzt-Strategie in linksgrün regierten CH-Städten.",gratisöv gratiskinderbetreuung schweiz wahlch19 damals erlaubt twitter werbung lanciert finden geil anpacken vermissen ordentliche velowegejetzt strategie linksgrün regieren ch städten,"{'GratisÖV': 0, 'und': 0.05, 'GratisKinderbetreuung': 0, 'hatte': 0, 'ich': 0.01, 'in': 0.01, 'der': 0.02, 'Schweiz': 0.1, 'bei': 0.01, 'WahlCH19': 0, 'mit': 0.02, 'damals': 0, 'noch': 0.01, 'erlaubter': 0.01, 'Twitter-Werbung': 0.04, 'lanciert': 0.05, 'Finde': 0, 'sehr': 0.01, 'geil': 0, 'dass': 0.01, 'ihr': 0, 'das': 0.01, 'jetzt': 0.01, 'anpacken': 0.01, 'wollt': 0.0, 'aber': 0.01, 'vermisse': 0.01, 'ordentliche': 0, 'VeloWegeJetzt-Strategie': 0.04, 'linksgrün': 0.015, 'regierten': 0, 'CH-Städten': 0.02}",positive,"[0.2891291, 0.23302266, 0.47784826]",,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,"RT @ppsde: Die Parlamentskommissionen von NR und SR stimmen für #Cannabislegalisierung. 🥦
https://t.co/GgKe5IvEKy
Leider wird es zum finale…",parlamentskommissionen nr sr stimmen cannabislegalisierung leider finale,,,,"{'Die': 0.15, 'Parlamentskommissionen': 0.08, 'von': 0, 'NR': 0, 'und': 0.04, 'SR': 0.04, 'stimmen': 0, 'für': 0.08, 'Cannabislegalisierung': 0.13, '🥦': 0, 'Leider': 0, 'wird': 0, 'es': 0, 'zum': 0, 'finale': 0, '…': 0}",neutral,"[0.5540806, 0.2908308, 0.1550886]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @UrsWyder: Wow, Andrea Geissbühler, meine Lieblings-SVPlerin. Mein Lieblings-Zitat von ihr:
""Alkohol ist ein Genussmittel, Cannabis eine…",wow andrea geissbühler lieblings svplerin lieblings zitat alkohol genussmittel cannabis,,,,"{'Wow': 0.21, 'Andrea': 0.08, 'Geissbühler': 0, 'meine': 0.16, 'Lieblings-SVPlerin': 0.265, 'Mein': 0.16, 'Lieblings-Zitat': 0.66, 'von': 0.24, 'ihr': 0.14, 'Alkohol': 0.33, 'ist': 0.29, 'ein': 0, 'Genussmittel': 0.57, 'Cannabis': 0.74, 'eine': 0, '…': 0}",positive,"[0.034781646, 0.009016296, 0.9562021]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"@Propshaftrider Nein, ich brauche die Energie besonders im Winter. Würden Erneuerbare den Wegfall von Nuklearstrom kompensieren, müsste ich mich nicht auf einen Blackout einstellen.",nein brauche energie besonders winter erneuerbare wegfall nuklearstrom kompensieren müsste blackout einstellen,,,,,,,"{'Nein': 0.05, 'ich': 0.07, 'brauche': 0.06, 'die': 0.08, 'Energie': 0.18, 'besonders': 0.05, 'im': 0, 'Winter': 0.12, 'Würden': 0.04, 'Erneuerbare': 0, 'den': 0.08, 'Wegfall': 0, 'von': 0, 'Nuklearstrom': 0.17, 'kompensieren': 0.34, 'müsste': 0.0325, 'mich': 0, 'nicht': 0.07, 'auf': 0, 'einen': 0.04, 'Blackout': 0.13, 'einstellen': 0.03}",positive,"[0.22635262, 0.10491237, 0.668735]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"@sacovo Die Speicherung von Energie über längere Zeiträume, um negative saisonale Effekte der Erneuerbaren und des Wärmeverbrauchs zu kompensieren, scheint mir kein besonders gutes Geschäft, sondern eine klimapolitische Notwendigkeit.",speicherung energie lang zeiträume negative saisonale effekte erneuerbaren wärmeverbrauchs kompensieren scheinen besonders gutes geschäft klimapolitische notwendigkeit,,,,,,,"{'Die': 0.18, 'Speicherung': 0.04, 'von': 0, 'Energie': 0.05, 'über': 0.03, 'längere': 0.03, 'Zeiträume': 0.02, 'um': 0.02, 'negative': 1.0, 'saisonale': 0.23, 'Effekte': 0.41, 'der': 0.18, 'Erneuerbaren': 1.0, 'und': 0.1, 'des': 0, 'Wärmeverbrauchs': 0.06, 'zu': 0.02, 'kompensieren': 0.28, 'scheint': 0, 'mir': 0.02, 'kein': 0, 'besonders': 0, 'gutes': 0.03, 'Geschäft': 0, 'sondern': 0.02, 'eine': 0, 'klimapolitische': 0.035, 'Notwendigkeit': 0}",negative,"[0.019985113, 0.94382066, 0.03619423]",,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"RT @CCC_CH: Cybervoting - es sei dem @Staat_Freiburg gratuliert! 🥳

""Der Staatsrat hat beschlossen, das E-Voting-Projekt vorerst nicht neu…",cybervoting gratulieren staatsrat beschließen e voting projekt vorerst neu,,,,,,,,,,"{'Cybervoting': 0.2, 'es': 0, 'sei': 0, 'dem': 0.135, 'gratuliert': 0, '🥳': 0, 'Der': 0, 'Staatsrat': 0, 'hat': 0, 'beschlossen': 0, 'das': 0, 'E-Voting-Projekt': 0, 'vorerst': 0, 'nicht': 0, 'neu': 0, '…': 0}",negative,"[0.43759674, 0.542211, 0.020192206]",,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,@SusScro58355800 Sobald unsicheres E-Voting eingeführt sein wird schätzungsweise bei 200%.😉,sobald unsicher e voting einführen schätzungsweise,,,,,,,,,,"{'Sobald': 0, 'unsicheres': 1.0, 'E-Voting': 0, 'eingeführt': 0, 'sein': 0, 'wird': 0, 'schätzungsweise': 0.23, 'bei': 0}",negative,"[0.22068861, 0.7615774, 0.017734032]",,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"@postcovid_CH @vecirex @postschweiz Wir sind digital in der Steinzeit, weil der Bund seit 20 Jahren E-Voting, statt sinvolle Digitalisierung priorisiert.",digital steinzeit bund seit jahren e voting statt sinvolle digitalisierung priorisiert,,,,,,,,,,"{'Wir': 0.32, 'sind': 0.23, 'digital': 0.28, 'in': 0.13, 'der': 0.14, 'Steinzeit': 0.17, 'weil': 0.26, 'Bund': 0, 'seit': 0, 'Jahren': 0.51, 'E-Voting': 0, 'statt': 0.24, 'sinvolle': 0, 'Digitalisierung': 0, 'priorisiert': 0}",neutral,"[0.49182612, 0.48167592, 0.026497941]","{'Wir': 0.06, 'sind': 0.07, 'digital': 0.14, 'in': 0.04, 'der': 0.09, 'Steinzeit': 0.11, 'weil': 0.06, 'Bund': 0, 'seit': 0, 'Jahren': 0.19, 'E-Voting': 0, 'statt': 0.55, 'sinvolle': 0, 'Digitalisierung': 0, 'priorisiert': 0}",neutral,"[0.8647757, 0.09204368, 0.043180652]",,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @ppsde: Unsere Vernehmlassungsantwort zur Neuausrichtung von E-Voting.
tl;dr Keine Experimente mit unserer Basisdemokratie und dabei noc…",vernehmlassungsantwort neuausrichtung e voting tlr experimente basisdemokratie dabei noc,,,,,,,,,,"{'Unsere': 0.18, 'Vernehmlassungsantwort': 0.12000000000000001, 'zur': 0.04, 'Neuausrichtung': 0.18, 'von': 0, 'E-Voting': 0, 'tlr': 0.64, 'Keine': 0, 'Experimente': 0, 'mit': 0.2, 'unserer': 0.18, 'Basisdemokratie': 0.12, 'und': 0.12, 'dabei': 0, 'noc': 0, '…': 0}",neutral,"[0.565403, 0.09074155, 0.3438555]",,,,,,,,,,neutral
100.0,100.0,86.0,0.7,negative,"RT @Piratenpartei: Digitalisierung ohne IT-Sicherheitsstrategie geht irgendwann schief. NGOs helfen bei der Entwicklung, daher, schreiben u…",digitalisierung it sicherheitsstrategie gehen irgendwann schief ngos helfen entwicklung daher schreiben u,,,,,,,,,,,,,"{'Digitalisierung': 0, 'ohne': 0.28, 'IT-Sicherheitsstrategie': 0.3375, 'geht': 0.79, 'irgendwann': 0, 'schief': 0, 'NGOs': 0.1, 'helfen': 0.19, 'bei': 0.39, 'der': 0.05, 'Entwicklung': 0.07, 'daher': 0, 'schreiben': 0.08, 'u': 0.04, '…': 0}",negative,"[0.17610234, 0.807191, 0.016706737]",,,,,,,positive
