answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3433,absa_sentiment_3433,absa_scores_3433,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3451,absa_sentiment_3451,absa_scores_3451,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
100.0,100.0,100.0,1.0,neutral,"@Angelika_Ruider @elkusarta @kathrinbertschy Es ist aber struktureller Faktor, welcher den Anreiz schafft, kein zweites Einkommen zu haben. Natürlich braucht es noch weitere Massnahmen für die bessere Vereinbarkeit, gerade im Bereich der Kinderbetreuung. Eine Individualbesteuerung ist zeitgemäss und wäre ein erster Schritt!",strukturell faktor welch anreiz schaffen zweit einkommen natürlich brauchen weit massnahmen gut vereinbarkeit gerade bereich kinderbetreuung individualbesteuerung zeitgemäss erst schritt,"{'Es': 0.05, 'ist': 0.05, 'aber': 0.02, 'struktureller': 0.04, 'Faktor': 0.03, 'welcher': 0, 'den': 0.23, 'Anreiz': 0, 'schafft': 0.02, 'kein': 0, 'zweites': 0.03, 'Einkommen': 0.05, 'zu': 0.05, 'haben': 0.030000000000000002, 'Natürlich': 0, 'braucht': 0, 'es': 0.05, 'noch': 0, 'weitere': 0.06, 'Massnahmen': 0.11, 'für': 0, 'die': 0.23, 'bessere': 0, 'Vereinbarkeit': 0.11, 'gerade': 0, 'im': 0, 'Bereich': 1.0, 'der': 0.23, 'Kinderbetreuung': 1.0, 'Eine': 0, 'Individualbesteuerung': 0.11, 'zeitgemäss': 0.07, 'und': 0.03, 'wäre': 0.02, 'ein': 0, 'erster': 0.03, 'Schritt': 0.08}",positive,"[0.39661044, 0.20224692, 0.40114254]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"@AdiWilli @jglpCH Geschlechterrichtwerte, zudem müssen diverse Fehlanreize bei der Besteuerung oder der Kinderbetreuung dringend beseitigt werden. Dazu gehören eine Elternzeit, Finanzierung von Kitas, Individualbesteuerung, usw.",geschlechterrichtwerte zudem müssen divers fehlanreize besteuerung kinderbetreuung dringen beseitigen gehören elternzeit finanzierung kitas individualbesteuerung usw,"{'Geschlechterrichtwerte': 0.2, 'zudem': 0.22, 'müssen': 0, 'diverse': 0, 'Fehlanreize': 0.55, 'bei': 0, 'der': 0, 'Besteuerung': 0.07, 'oder': 0.38, 'Kinderbetreuung': 0.55, 'dringend': 0.69, 'beseitigt': 1.0, 'werden': 0, 'Dazu': 0.22, 'gehören': 0, 'eine': 0, 'Elternzeit': 0.07, 'Finanzierung': 0.11, 'von': 0, 'Kitas': 0, 'Individualbesteuerung': 0.05, 'usw.': 0}",negative,"[0.26421598, 0.68846315, 0.04732085]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"RT @jglpCH: Zusammen mit @beatflach wollen wir #Cannabis kontrolliert legalisieren und besteuern. «Ein Haufen Geld, den man analog zum #Tab…",zusammen cannabis kontrollieren legalisieren besteuern haufen geld analog tab,,,,"{'Zusammen': 0.08, 'mit': 0.06, 'wollen': 0.11, 'wir': 0, 'Cannabis': 1.0, 'kontrolliert': 0.2, 'legalisieren': 0.7, 'und': 0.36, 'besteuern': 1.0, '«': 0, 'Ein': 0, 'Haufen': 0, 'Geld': 0, 'den': 0, 'man': 0, 'analog': 0, 'zum': 0, 'Tab': 0, '…': 0}",neutral,"[0.88689196, 0.03227997, 0.08082807]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,RT @jglp_be: Wir wollen #Cannabis entkriminalisieren und echten Jugendschutz schaffen. Deshalb fordern wir eine #Regulierung des Cannabis-M…,cannabis entkriminalisiere echt jugendschutz schaffen deshalb fordern regulierung cannabis m,,,,"{'Wir': 0.03, 'wollen': 0.14, 'Cannabis': 0.12, 'entkriminalisieren': 0.73, 'und': 0.36, 'echten': 0.19, 'Jugendschutz': 0.17, 'schaffen': 0.26, 'Deshalb': 0, 'fordern': 0, 'wir': 0, 'eine': 0, 'Regulierung': 0.06, 'des': 0, 'Cannabis-M': 0, '…': 0}",neutral,"[0.73012114, 0.039083492, 0.23079535]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,RT @jglpCH: Der Bund stoppt die Berner Cannabis-Studie - Den Ball nehmen die Jungen Grünliberalen auf: Nationalrätin @kathrinbertschy will…,bund stoppen berner cannabis studie ball nehmen jung grünliberalen nationalrätin,,,,"{'Der': 0.04, 'Bund': 0, 'stoppt': 0.14, 'die': 0.04, 'Berner': 0, 'Cannabis-Studie': 0.19, 'Den': 0.04, 'Ball': 0.08, 'nehmen': 0.04, 'Jungen': 0, 'Grünliberalen': 0.045, 'auf': 0, 'Nationalrätin': 0.25, 'will': 0, '…': 0}",neutral,"[0.50817984, 0.0068355096, 0.4849846]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @jglpCH: Zwei Drittel der Bevölkerung würde Cannabis legalisieren - Parlament zögert und zögert. Es ist höchste Zeit! https://t.co/ZfHig…,zwei drittel bevölkerung cannabis legalisieren parlament zögern zögern hoch zeit,,,,"{'Zwei': 0.05, 'Drittel': 0, 'der': 0.04, 'Bevölkerung': 0.12, 'würde': 0.13, 'Cannabis': 0.2, 'legalisieren': 0.16, 'Parlament': 0.18, 'zögert': 0.22, 'und': 0.1, 'Es': 0, 'ist': 0, 'höchste': 0, 'Zeit': 0.59}",positive,"[0.14183496, 0.013698878, 0.8444662]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
75.0,100.0,86.0,0.5666666666666667,negative,"@Pietro_Imhof @PhilippSchnbch1 @gody_herger @kut_ahmet @spschweiz @grunliberale @glp_SZ @hpkennel @MarkusSchilter @jazu Leider wird es wegen der Finanzspritze wahrscheinlich auf längere Zeit keine AHV oder BVG-Revision geben, das Problem ist ja „gelöst“. Die SP hat bereits angekündigt, dass ein höheres Rentenalter nicht mehr in Frage kommt. Deshalb NEIN zum STAF und lieber eine richtige Revision!",leider wegen finanzspritze wahrscheinlich lang zeit ahv bvg revision geben problem ja lösen sp bereits ankündigen hoch rentenalter mehr fragen kommen deshalb nein staf lieb richtige revision,,,,,,,"{'Leider': 0.03, 'wird': 0.02, 'es': 0.21, 'wegen': 0.02, 'der': 0.06, 'Finanzspritze': 0.04, 'wahrscheinlich': 0.03, 'auf': 0, 'längere': 0.19, 'Zeit': 0.02, 'keine': 0, 'AHV': 0.07, 'oder': 0.04, 'BVG-Revision': 0, 'geben': 0, 'das': 0.24, 'Problem': 0.08, 'ist': 0.21, 'ja': 0.03, '„': 0, 'gelöst': 0, '“': 0, 'Die': 0, 'SP': 0, 'hat': 0, 'bereits': 0, 'angekündigt': 0, 'dass': 0, 'ein': 0, 'höheres': 0, 'Rentenalter': 0, 'nicht': 0, 'mehr': 0, 'in': 0, 'Frage': 0, 'kommt': 0, 'Deshalb': 0, 'NEIN': 0, 'zum': 0, 'STAF': 0, 'und': 0, 'lieber': 0, 'eine': 0, 'richtige': 0, 'Revision': 0}",negative,"[0.11467047, 0.8205974, 0.064732134]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,"RT @grunliberale: Statt mit Verknüpfungen wieder neue Ungerechtigkeiten zu schaffen, sei es sinnvoller, die Erhöhung des Rentenalters mit e…",statt verknüpfungen neue ungerechtigkeiten schaffen sinnvoll erhöhung rentenalters e,,,,,,,"{'Statt': 0.155, 'mit': 0.48, 'Verknüpfungen': 0, 'wieder': 0, 'neue': 0.16, 'Ungerechtigkeiten': 0.33, 'zu': 0.5, 'schaffen': 0, 'sei': 0, 'es': 0, 'sinnvoller': 0.64, 'die': 0.56, 'Erhöhung': 1.0, 'des': 0, 'Rentenalters': 0.75, 'e': 0.24, '…': 0}",positive,"[0.03823117, 0.007823488, 0.95394534]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @FWiedemeier: Mit der Weigerung, das #Frauenrentenalter anzupassen, zementiert man nur die Ungleichheit zwischen Mann und Frau! Und hind…",weigerung frauenrentenalter anpassen zementieren ungleichheit mann frau hind,,,,,,,"{'Mit': 0.22, 'der': 0.09, 'Weigerung': 0.93, 'das': 0, 'Frauenrentenalter': 0.6075, 'anzupassen': 0, 'zementiert': 0, 'man': 0, 'nur': 0.14, 'die': 0.09, 'Ungleichheit': 0.36, 'zwischen': 0.09, 'Mann': 0, 'und': 0.05, 'Frau': 0, 'Und': 0.05, 'hind': 0.09, '…': 0}",neutral,"[0.49445057, 0.32781893, 0.1777305]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"RT @Juerg_Grossen: Das Rentenalter muss angepasst werden - aber in einer separaten Vorlage. Getraut Euch @FDP_Liberalen, beerdigt mit uns d…",rentenalter angepasst separat vorlage trauen beerdigen d,,,,,,,"{'Das': 0.13, 'Rentenalter': 0.615, 'muss': 0.13, 'angepasst': 0, 'werden': 0, 'aber': 0.42, 'in': 0.28, 'einer': 0, 'separaten': 0.25, 'Vorlage': 0.33, 'Getraut': 0, 'Euch': 0, 'beerdigt': 0, 'mit': 0, 'uns': 0, 'd': 0.09, '…': 0}",neutral,"[0.5268044, 0.3411579, 0.13203768]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @alliance_F: «Die Frauen erwarten ein Entgegenkommen für die Erhöhung des Rentenalters. Man darf nicht vergessen, dass sie etwa fünfzig…",frauen erwarten entgegenkommen erhöhung rentenalters dürfen vergessen etwa fünfzig,,,,,,,"{'«': 0, 'Die': 0, 'Frauen': 0, 'erwarten': 0, 'ein': 0, 'Entgegenkommen': 0, 'für': 0, 'die': 0, 'Erhöhung': 0, 'des': 0, 'Rentenalters': 0, 'Man': 0, 'darf': 0, 'nicht': 0, 'vergessen': 0, 'dass': 0, 'sie': 0, 'etwa': 0, 'fünfzig': 0, '…': 0}",positive,"[0.27991068, 0.14126228, 0.578827]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"RT @grunliberale: ""Vaterschaftsurlaub, Individualbesteuerung, Tagesstrukturen: Das sind Themen, die in der Politik nicht ernst genommen wer…",vaterschaftsurlaub individualbesteuerung tagesstrukturen themen politik ernst nehmen wer,,,,,,,,,,"{'Vaterschaftsurlaub': 0.69, 'Individualbesteuerung': 0.485, 'Tagesstrukturen': 0.155, 'Das': 0, 'sind': 0.05, 'Themen': 0, 'die': 0, 'in': 0.09, 'der': 0, 'Politik': 0, 'nicht': 0.12, 'ernst': 0, 'genommen': 0.04, 'wer': 0, '…': 0}",negative,"[0.305956, 0.50186616, 0.19217774]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,14.0,-0.7,negative,"RT @jglp_be: Ein Vater hat Anspruch auf einen einzige Tag Vaterschaftsurlaub.
Familie und Beruf sollen sich nicht ausschliessen. Deshalb wo…",vater anspruch einzig tag vaterschaftsurlaub familie beruf sollen ausschliessen deshalb,,,,,,,,,,"{'Ein': 0.16, 'Vater': 0.76, 'hat': 0, 'Anspruch': 0, 'auf': 0, 'einen': 0.16, 'einzige': 0, 'Tag': 0, 'Vaterschaftsurlaub': 0.665, 'Familie': 0.13, 'und': 0.11, 'Beruf': 0, 'sollen': 0.12, 'sich': 0, 'nicht': 0.07, 'ausschliessen': 0, 'Deshalb': 0, 'wo': 0.1, '…': 0}",neutral,"[0.8099834, 0.013007994, 0.17700861]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"RT @grunliberale: Für uns Grünliberale gehört zur #Ehefüralle auch der Zugang zur #Fortpflanzungsmedizin. Es gibt schlicht keinen Grund, di…",grünliberale hören ehefüralle zugang fortpflanzungsmedizin geben schleichen grund di,,,,,,,,,,,,,"{'Für': 0.06, 'uns': 0.07, 'Grünliberale': 0.085, 'gehört': 0, 'zur': 0.06, 'Ehefüralle': 0.06, 'auch': 0.2, 'der': 0, 'Zugang': 0.73, 'Fortpflanzungsmedizin': 0.6950000000000001, 'Es': 0.04, 'gibt': 0, 'schlicht': 0, 'keinen': 0, 'Grund': 0, 'di': 0, '…': 0}",positive,"[0.068795815, 0.008399167, 0.9228051]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,Der Ständerat stimmt dem revidierten #gleichstellungsgesetz zu! Nach 37 Jahren wird endlich Bewegung in die Sache gebracht. @alliance_F #lohngleichheit,ständerat stimmen revidierten gleichstellungsgesetz jahren endlich bewegung sache bringen lohngleichheit,,,,,,,,,,,,,,,,"{'Der': 0.1, 'Ständerat': 0.1125, 'stimmt': 0, 'dem': 0.1, 'revidierten': 0.16, 'gleichstellungsgesetz': 1.0, 'zu': 0, 'Nach': 0, 'Jahren': 0.11, 'wird': 0, 'endlich': 0, 'Bewegung': 0, 'in': 0, 'die': 0.1, 'Sache': 0, 'gebracht': 0, 'lohngleichheit': 0}",positive,"[0.06558943, 0.008674351, 0.92573625]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"Wir sind der Meinung, dass die Frauen in diesem Land ein besseres Gesetz verdient haben, eines das wirkt. Genau #BR Simonetta Sommaruga!  #lohngleichheit",meinung frauen land gut gesetz verdienen wirken genau br simonetta sommaruga lohngleichheit,,,,,,,,,,,,,,,,"{'Wir': 0.14, 'sind': 0, 'der': 0, 'Meinung': 0, 'dass': 0.11, 'die': 0, 'Frauen': 0.47, 'in': 0.14, 'diesem': 0.07, 'Land': 0, 'ein': 0.13, 'besseres': 0.15, 'Gesetz': 0.46, 'verdient': 0, 'haben': 0, 'eines': 0.13, 'das': 0.11, 'wirkt': 0.23, 'Genau': 0, 'BR': 0.19, 'Simonetta': 0.42, 'Sommaruga': 0.84, 'lohngleichheit': 0}",positive,"[0.04903015, 0.07605431, 0.87491554]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @alliance_F: Die Minderheit schlägt eine #Selbstdeklaration vor, dass Unternehmen die #Lohngleichheit einhalten. Mit Verlaub: Überall wo…",minderheit schlagen selbstdeklaration unternehmen lohngleichheit einhalten verlaub überall,,,,,,,,,,,,,,,,"{'Die': 0.11, 'Minderheit': 0.13, 'schlägt': 0, 'eine': 0, 'Selbstdeklaration': 0, 'vor': 0, 'dass': 0.4, 'Unternehmen': 0, 'die': 0.11, 'Lohngleichheit': 0.885, 'einhalten': 0, 'Mit': 0.1, 'Verlaub': 0, 'Überall': 0.08, 'wo': 0, '…': 0}",positive,"[0.28935206, 0.010460979, 0.70018697]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @alliance_F: #Nichtmeinständerat? Morgen geht’s in die 2. Runde der #Lohngleichheit-Debatte im Ständerat. Kriegen die bürgerlichen Herre…,nichtmeinständerat morgen gehen s runden lohngleichheit debatte ständerat kriegen bürgerlich herre,,,,,,,,,,,,,,,,"{'Nichtmeinständerat': 0, 'Morgen': 0.08, 'geht': 0, '’s': 0, 'in': 0.07, 'die': 0.49, '2.': 0, 'Runde': 0.08, 'der': 0.49, 'Lohngleichheit-Debatte': 0.21250000000000002, 'im': 0, 'Ständerat': 0.0925, 'Kriegen': 0, 'bürgerlichen': 0, 'Herre': 0, '…': 0}",neutral,"[0.9323963, 0.0049516927, 0.06265195]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @alliance_F: #Lohngleichheit: Morgen berät die Kommission erneut über die Beseitigung von geschlechterdiskriminierenden Löhnen. Jetzt ze…,lohngleichheit morgen beraten kommission erneut beseitigung geschlechterdiskriminierenden löhnen ze,,,,,,,,,,,,,,,,"{'Lohngleichheit': 0.7, 'Morgen': 0.5, 'berät': 0, 'die': 0.05, 'Kommission': 0.14, 'erneut': 0, 'über': 0, 'Beseitigung': 0.09, 'von': 0, 'geschlechterdiskriminierenden': 0.075, 'Löhnen': 0.06, 'Jetzt': 0.11, 'ze': 0, '…': 0}",neutral,"[0.6363946, 0.0074490174, 0.3561563]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,14.0,-0.7,negative,RT @alliance_F: Wieso werden Frauen wenn es um @lohngleichheit oder #Frauenquote geht eigentlich immer kopflos dargestellt 🤔? Und wieso eig…,wieso frauen frauenquote gehen eigentlich immer kopflos darstellen wieso eig,,,,,,,,,,,,,,,,"{'Wieso': 0, 'werden': 0, 'Frauen': 0.07, 'wenn': 0, 'es': 0, 'um': 0, 'oder': 0.07, 'Frauenquote': 0.07, 'geht': 0, 'eigentlich': 0, 'immer': 0.14, 'kopflos': 0.16, 'dargestellt': 0, '🤔': 0, 'Und': 0, 'wieso': 0, 'eig': 0, '…': 0}",negative,"[0.13297188, 0.8431059, 0.023922127]",,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
0.0,0.0,0.0,-1.0,negative,"RT @alliance_F: #Lohngleichheit mit Bubenstreich auf Sankt Nimmerleinstag verschoben: Es ist beschämend, dass der Ständerat auch 37 Jahre n…",lohngleichheit bubenstreich sinken nimmerleinstag verschieben beschämend ständerat jahre n,,,,,,,,,,,,,,,,"{'Lohngleichheit': 1.0, 'mit': 0.38, 'Bubenstreich': 0.25, 'auf': 0, 'Sankt': 0, 'Nimmerleinstag': 0.07, 'verschoben': 0.18, 'Es': 0.06, 'ist': 0.06, 'beschämend': 0.19, 'dass': 0.04, 'der': 0.07, 'Ständerat': 0.07250000000000001, 'auch': 0.04, 'Jahre': 0.07, 'n': 0.05, '…': 0}",positive,"[0.33393446, 0.038201395, 0.6278642]",,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,100.0,1.0,neutral,Das Ergebnis nach gut 2.5 Stunden Diskussion zur #Lohngleichheit : Rückweisung an die Kommission. Quo Vadis? @alliance_F #EqualPayDay,ergebnis gut stunden diskussion lohngleichheit rückweisung kommission quo vadis equalpayday,,,,,,,,,,,,,,,,"{'Das': 0.05, 'Ergebnis': 0.05, 'nach': 0.03, 'gut': 0, '2.5': 0, 'Stunden': 0.03, 'Diskussion': 0.05, 'zur': 0.045, 'Lohngleichheit': 0, 'Rückweisung': 0.1, 'an': 0, 'die': 0.05, 'Kommission': 0.13, 'Quo': 0.11, 'Vadis': 0.16, 'EqualPayDay': 1.0}",positive,"[0.44824034, 0.020681059, 0.53107864]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
