answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3415,absa_sentiment_3415,absa_scores_3415,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,sentiment_tb
50.0,75.0,57.0,0.0,neutral,Wir leben nicht um zu arbeiten. Wir arbeiten um zu leben. Unsere Hochleistungsgesellschaft sollte sich mal wieder darauf zurückbesinnen. Gilt auch für den ⁦@gewerbeverband⁩. #Vaterschaftsurlaub  https://t.co/jDBBBwrSeP,leben arbeiten arbeiten leben hochleistungsgesellschaft sollen mal darauf zurückbesinnen gelten vaterschaftsurlaub,"{'Wir': 0.03, 'leben': 0, 'nicht': 0, 'um': 0, 'zu': 0.13, 'arbeiten': 0.03, 'Unsere': 0.04, 'Hochleistungsgesellschaft': 0.0825, 'sollte': 0.05, 'sich': 0, 'mal': 0, 'wieder': 0.04, 'darauf': 0, 'zurückbesinnen': 0, 'Gilt': 0, 'auch': 0.13, 'für': 0, 'den': 0.27, '\u2066\u2069.': 0, 'Vaterschaftsurlaub': 0}",positive,"[0.021668382, 0.0056519606, 0.9726796]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,25.0,28.0,-0.15,neutral,"Man kann die Abstimmungsergebnisse gut oder schlecht finden. In einem Punkt dürften wir uns aber heute einig sein: Wir dürfen stolz sein auf unsere starke, direkte Demokratie! 💪🏼🇨🇭 #abst20 #CHVote #BGI #Jagdgesetz #Kampfjets #Vaterschaftsurlaub",abstimmungsergebnisse gut schlecht finden punkt dürfen heute dürfen stolz starke direkt demokratie abst20 chvote bgi jagdgesetz kampfjets vaterschaftsurlaub,"{'Man': 0, 'kann': 0.05, 'die': 0.03, 'Abstimmungsergebnisse': 0.065, 'gut': 0, 'oder': 0.03, 'schlecht': 0.03, 'finden': 0.05, 'In': 0, 'einem': 0.01, 'Punkt': 0.02, 'dürften': 0.02, 'wir': 0, 'uns': 0, 'aber': 0, 'heute': 0.03, 'einig': 0, 'sein': 0, 'Wir': 0.04, 'dürfen': 0, 'stolz': 0, 'auf': 0.02, 'unsere': 0.05, 'starke': 0, 'direkte': 0.04, 'Demokratie': 0.12, '🇨': 0, '🇭': 0, 'abst20': 0, 'CHVote': 0, 'BGI': 0, 'Jagdgesetz': 0, 'Kampfjets': 0, 'Vaterschaftsurlaub': 0}",positive,"[0.16742119, 0.018212797, 0.814366]",,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,0.85,positive,RT @papizeit: Yeah! Die Schweiz sagt klar JA zum #Vaterschaftsurlaub. Wir sind überglücklich und bedanken uns von ganzem 💙 für die grandios…,yeah schweiz sagen klaren ja vaterschaftsurlaub überglücklich bedanken ganz grandios,"{'Yeah': 0.07, 'Die': 0.08, 'Schweiz': 0.16, 'sagt': 0.3, 'klar': 0, 'JA': 0.05, 'zum': 0.43, 'Vaterschaftsurlaub': 0.75, 'Wir': 0.11, 'sind': 0.06, 'überglücklich': 0.31, 'und': 0.05, 'bedanken': 0.07, 'uns': 0, 'von': 0, 'ganzem': 0, 'für': 0.04, 'die': 0.08, 'grandios': 0, '…': 0}",positive,"[0.0014898519, 0.001362843, 0.99714726]",,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,negative,Mit dem Vaterschaftsurlaub stellen wir unsere Familien auf gesunde Beine. Ein Gewinn für uns alle! #VaterschaftsurlaubJETZT #AbstCH20 https://t.co/DONXnvgKVD,vaterschaftsurlaub stellen familien gesunden beine gewinn all vaterschaftsurlaubjetzt abstch20,"{'Mit': 1.0, 'dem': 0, 'Vaterschaftsurlaub': 0.9450000000000001, 'stellen': 0.16, 'wir': 0, 'unsere': 0.15, 'Familien': 0, 'auf': 0.1, 'gesunde': 0.14, 'Beine': 0.06, 'Ein': 0.13, 'Gewinn': 0, 'für': 0.04, 'uns': 0.03, 'alle': 0, 'VaterschaftsurlaubJETZT': 0.9450000000000001, 'AbstCH20': 0.13}",positive,"[0.0027196684, 0.0011307118, 0.99614966]",,,,,,,,,,,,,,,,,,,,,,positive
0.0,0.0,0.0,-1.0,negative,"RT @papizeit: Wir haben einen #Witz über den #Vaterschaftsurlaub, aber der dauert 1 ganzen Tag....",witz vaterschaftsurlaub dauern ganz tag,"{'Wir': 0.27, 'haben': 0.43, 'einen': 0.51, 'Witz': 1.0, 'über': 0, 'den': 0.3, 'Vaterschaftsurlaub': 0.67, 'aber': 0.37, 'der': 0.3, 'dauert': 0, 'ganzen': 0, 'Tag': 0, '....': 0}",negative,"[0.14784113, 0.728713, 0.123445906]",,,,,,,,,,,,,,,,,,,,,,negative
25.0,0.0,14.0,-0.5,neutral,"Einmal mehr bleibt unsere #Armee in der Steinzeit stehen. Und alle fragen sich, wieso der Armeedienst so unattraktiv geworden ist. Es liegt genau am Umgang mit solchen Themen. #Vaterschaftsurlaub #TeamOrange #WahlCH19 https://t.co/y3ERRFQ1H7",mehr bleiben armee steinzeit stehen all fragen wieso armeedienst unattraktiv liegen genau umgang solch themen vaterschaftsurlaub teamorange wahlch19,"{'Einmal': 0.03, 'mehr': 0, 'bleibt': 0, 'unsere': 0.03, 'Armee': 0.03, 'in': 0.02, 'der': 0.02, 'Steinzeit': 0.02, 'stehen': 0, 'Und': 0.04, 'alle': 0.05, 'fragen': 0, 'sich': 0, 'wieso': 0.035, 'Armeedienst': 0.03, 'so': 0.03, 'unattraktiv': 0.09, 'geworden': 0.02, 'ist': 0.03, 'Es': 0.03, 'liegt': 0, 'genau': 0, 'am': 0, 'Umgang': 0, 'mit': 0.02, 'solchen': 0.07, 'Themen': 0, 'Vaterschaftsurlaub': 0.67, 'TeamOrange': 0.32, 'WahlCH19': 0}",positive,"[0.108912505, 0.032080807, 0.85900664]",,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"Und wieder bringt uns ein Kompromiss einen Schritt weiter, statt einen zurück: Dank der ⁦@CVP_PDC⁩ gibt es bald zwei Wochen Papi-Zeit #TeamOrange #WahlCH19 #Vaterschaftsurlaub  https://t.co/5PzOJAoXlq",bringen kompromiss schritt weit statt zurück danken geben bald zwei wochen papi zeit teamorange wahlch19 vaterschaftsurlaub,"{'Und': 0.02, 'wieder': 0.01, 'bringt': 0, 'uns': 0.02, 'ein': 0.03, 'Kompromiss': 0.02, 'einen': 0.02, 'Schritt': 0.03, 'weiter': 0.02, 'statt': 0.09, 'zurück': 0.03, 'Dank': 0.035, 'der': 0, '\u2066\u2069': 0, 'gibt': 0, 'es': 0, 'bald': 0, 'zwei': 0, 'Wochen': 0, 'Papi-Zeit': 0, 'TeamOrange': 0, 'WahlCH19': 0, 'Vaterschaftsurlaub': 0}",neutral,"[0.640184, 0.08370771, 0.2761083]",,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,14.0,-0.7,negative,"RT @CVP_PDC: Linke und Rechte scheinen in Kauf zu nehmen, dass entlassene ältere Menschen weiterhin keine Rente aus der Pensionskasse bezie…",link rechte scheinen kauf nehmen entlassen alt menschen weiterhin rente pensionskasse bezie,,,,"{'Linke': 0.06, 'und': 0.04, 'Rechte': 0.06, 'scheinen': 0.10500000000000001, 'in': 0, 'Kauf': 0, 'zu': 0.13, 'nehmen': 0.13, 'dass': 0.22, 'entlassene': 0.17, 'ältere': 0.12, 'Menschen': 0.18, 'weiterhin': 0, 'keine': 0, 'Rente': 0, 'aus': 0, 'der': 0.16, 'Pensionskasse': 0.23500000000000001, 'bezie': 0, '…': 0}",negative,"[0.20236628, 0.7395168, 0.05811698]",,,,,,,,,,,,,,,,,,,negative
100.0,100.0,86.0,0.7,neutral,"Wie richtig eine erleichterte Einbürgerung für die dritte Generation wäre, zeigt sich manchmal sogar an den Plakaten der Gegner. #Abst17 https://t.co/mkDbaxateW",richtig erleichtern einbürgerung dritt generation zeigen manchmal sogar plakaten gegner abst17,,,,,,,"{'Wie': 0, 'richtig': 0, 'eine': 0, 'erleichterte': 0, 'Einbürgerung': 1.0, 'für': 0.09, 'die': 0.09, 'dritte': 0.09, 'Generation': 0.13, 'wäre': 0.28, 'zeigt': 0, 'sich': 0, 'manchmal': 0.09, 'sogar': 0.07, 'an': 0, 'den': 0.09, 'Plakaten': 0.12, 'der': 0.09, 'Gegner': 0, 'Abst17': 0.21}",positive,"[0.022739902, 0.09248883, 0.8847712]",,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,"Gesetze die nicht eingehalten werden müssen und sowieso nach 10 Jahren gestrichen werden. Das braucht die Schweiz nicht. Wenn wir #Lohngleichheit wollen, so braucht es Gesetze, die ihren Namen auch verdient haben. #GenderPayGap https://t.co/jnNgxoszYs",gesetze einhalten müssen sowieso jahren streichen brauchen schweiz lohngleichheit brauchen gesetze namen verdienen genderpaygap,,,,,,,,,,"{'Gesetze': 0.08, 'die': 0, 'nicht': 0.02, 'eingehalten': 0.02, 'werden': 0.02, 'müssen': 0.03, 'und': 0.05, 'sowieso': 0.03, 'nach': 0.01, 'Jahren': 0.03, 'gestrichen': 0, 'Das': 0, 'braucht': 0, 'Schweiz': 0.05, 'Wenn': 0, 'wir': 0, 'Lohngleichheit': 0.52, 'wollen': 0.69, 'so': 0, 'es': 0, 'ihren': 0, 'Namen': 0, 'auch': 0, 'verdient': 0, 'haben': 0.03, 'GenderPayGap': 0.24}",positive,"[0.10363906, 0.010584575, 0.8857764]",,,,,,,,,,,,,neutral
